identificador,nombre,href,agencia,timestamp,ubicacion,CCAA,codigo_postal,planta,orientacion,precio,precio_m2,antiguedad,actualizacion,superficie_util,superficie_construida,superficie,habitaciones,baños,cocina_equipada,amueblado,terraza,armarios_empotrados,calefaccion,aire_acondicionado,ascensor,consumo,emisiones
47513426588_100500,Ático en Retamar,https://www.pisos.com/alquilar/atico-almeria_capital_retamar04131-47513426588_100500/,INMOBILIARIA MARTIN BELTRAN,2025-02-12,almeria_capital,Andalucía,4131.0,2.0,SUR,2000.0,16.0,,2025-02-12,101.0,121.0,121.0,4.0,3.0,,Si,Si,Si,Si,Si,Si,Error al procesar consumo,Error al procesar emisiones
44205263476_279300,Piso en Centro,https://www.pisos.com/alquilar/piso-almeria_capital_centro04003-44205263476_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-23,almeria_capital,Andalucía,4003.0,0.0,SIN ESPECIFICAR,800.0,6.0,Entre 30 y 50 años,2025-01-23,113.0,131.0,131.0,3.0,2.0,Si,Si,Si,Si,,Si,Si,"E, E","E, E"
635526071_501470,Piso en Zona Centro,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto-635526071_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-14,almeria_capital,Andalucía,,9.0,SIN ESPECIFICAR,750.0,9.0,Entre 30 y 50 años,2025-02-14,70.0,78.0,78.0,3.0,1.0,Si,Si,,Si,,Si,Si,Error al procesar consumo,Error al procesar emisiones
40899712424_501470,Piso en Avenida de los Juegos del Mediterráneo,https://www.pisos.com/alquilar/piso-almeria_capital_retamar-40899712424_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-20,almeria_capital,Andalucía,,2.0,SUR,850.0,7.0,,2025-02-20,95.0,113.0,113.0,3.0,2.0,Si,Si,Si,,,Si,Si,Error al procesar consumo,Error al procesar emisiones
44171051773_995984,Piso en calle de Don Juan de Austria,https://www.pisos.com/alquilar/piso-plaza_de_toros_santa_rita04003-44171051773_995984/,DOMO PROPIEDADES INMOBILIARIAS,2025-01-27,almeria_capital,Andalucía,4003.0,3.0,NORESTE,750.0,10.0,,2025-01-27,65.0,70.0,70.0,2.0,1.0,Si,Si,,,,Si,Si,Error al procesar consumo,Error al procesar emisiones
30922437188_279300,Piso en Plaza de Toros-Santa Rita,https://www.pisos.com/alquilar/piso-plaza_de_toros_santa_rita-30922437188_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-09-16,almeria_capital,Andalucía,,1.0,SUR,600.0,8.0,,2024-09-16,60.0,75.0,75.0,1.0,1.0,Si,Si,Si,Si,,Si,Si,"E, E","E, E"
35089978137_501470,Piso en Avenida del Mediterráneo,https://www.pisos.com/alquilar/piso-almeria_capital_nueva_andalucia-35089978137_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-13,almeria_capital,Andalucía,,5.0,SUR,1000.0,8.0,,2025-02-13,125.0,125.0,125.0,4.0,2.0,Si,Si,,,,Si,Si,"G, G","G, G"
51742055252_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo04007-51742055252_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-10,almeria_capital,Andalucía,4007.0,2.0,SIN ESPECIFICAR,800.0,7.0,,2025-02-10,112.0,112.0,112.0,3.0,1.0,Si,Si,,Si,,,,"E, E","E, E"
51723738356_279300,Piso en San Luis-Los Molinos,https://www.pisos.com/alquilar/piso-san_luis_los_molinos04009-51723738356_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-19,almeria_capital,Andalucía,4009.0,1.0,SIN ESPECIFICAR,720.0,7.0,,2025-02-19,95.0,95.0,95.0,3.0,1.0,Si,Si,,Si,,Si,Si,"G, G","G, G"
51692028677_100500,Chalet en Villablanca - Torrecárdenas,https://www.pisos.com/alquilar/chalet-villablanca_torrecardenas04009-51692028677_100500/,INMOBILIARIA VALERAMOR,2025-02-05,almeria_capital,Andalucía,4009.0,,SIN ESPECIFICAR,2000.0,9.0,Menos de 5 años,2025-02-05,204.0,210.0,210.0,4.0,3.0,,Si,,Si,Si,Si,,Error al procesar consumo,Error al procesar emisiones
571952764_279300,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto04005-571952764_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-09-20,almeria_capital,Andalucía,4005.0,2.0,SIN ESPECIFICAR,750.0,8.0,Entre 30 y 50 años,2024-09-20,92.0,92.0,92.0,3.0,1.0,Si,Si,,,,Si,Si,"E, E","E, E"
861525743_279300,Piso en Oliveros-Altamira-Barrio Alto,https://www.pisos.com/alquilar/piso-oliveros_altamira_barrio_alto-861525743_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-15,almeria_capital,Andalucía,,7.0,SIN ESPECIFICAR,650.0,6.0,,2025-01-15,95.0,95.0,95.0,3.0,1.0,Si,Si,,Si,,,Si,"E, E","E, E"
20914355752_279300,Piso en Centro,https://www.pisos.com/alquilar/piso-almeria_capital_centro-20914355752_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-17,almeria_capital,Andalucía,,8.0,SIN ESPECIFICAR,800.0,7.0,,2025-02-17,94.0,104.0,104.0,3.0,2.0,Si,,Si,Si,,Si,Si,"E, E","E, E"
33411439656_501470,Piso en Nueva Almería-Cortijo Grande-Vega de Acá,https://www.pisos.com/alquilar/piso-nueva_almeria_cortijo_grande_vega_de_aca-33411439656_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-11,almeria_capital,Andalucía,,3.0,SIN ESPECIFICAR,850.0,8.0,Entre 10 y 20 años,2025-02-11,100.0,100.0,100.0,3.0,2.0,Si,,,Si,,,Si,Error al procesar consumo,Error al procesar emisiones
15058411501_279300,Piso en Centro,https://www.pisos.com/alquilar/piso-almeria_capital_centro-15058411501_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-01-27,almeria_capital,Andalucía,,4.0,NORTE,700.0,5.0,,2025-01-27,118.0,118.0,118.0,3.0,2.0,Si,,Si,Si,,,Si,"E, E","E, E"
40033351795_501470,Piso en Avenida de Federico García Lorca,https://www.pisos.com/alquilar/piso-plaza_de_toros_santa_rita-40033351795_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-20,almeria_capital,Andalucía,,5.0,SURESTE,850.0,5.0,Entre 30 y 50 años,2025-02-20,144.0,168.0,168.0,4.0,3.0,Si,,Si,Si,,No,Si,Error al procesar consumo,Error al procesar emisiones
937851513_501470,Apartamento en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/apartamento-ciudad_jardin_tagarete_zapillo-937851513_501470/,ALCASA SERVICIOS INMOBILIARIOS,2025-02-13,almeria_capital,Andalucía,,0.0,SUR,650.0,11.0,Entre 30 y 50 años,2025-02-13,50.0,55.0,55.0,1.0,1.0,Si,Si,Si,Si,,Si,,Error al procesar consumo,Error al procesar emisiones
30097031256_279300,Piso en Ciudad Jardín-Tagarete-Zapillo,https://www.pisos.com/alquilar/piso-ciudad_jardin_tagarete_zapillo-30097031256_279300/,INMOBILIARIA NUEVA ANDALUCIA,2025-02-19,almeria_capital,Andalucía,,3.0,SUR,800.0,8.0,,2025-02-19,86.0,100.0,100.0,3.0,1.0,Si,Si,Si,Si,,,Si,"E, E","E, E"
214727985_279300,Piso en Plaza de Toros-Santa Rita,https://www.pisos.com/alquilar/piso-plaza_de_toros_santa_rita-214727985_279300/,INMOBILIARIA NUEVA ANDALUCIA,2024-10-18,almeria_capital,Andalucía,,2.0,SIN ESPECIFICAR,800.0,6.0,Entre 10 y 20 años,2024-10-18,115.0,115.0,115.0,3.0,2.0,Si,Si,,,Si,Si,Si,"E, E","E, E"
