nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
Piso en El Encinar de los Reyes,MAGNAPOL Soluciones Inmobiliarias,20 €/m²,2.850 €/mes,140 m²,28904,https://www.pisos.com/alquilar/piso-la_moraleja_encinar_de_los_reyes28109-20865368521_179400/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,140 m²,135 m²,3,2,1ª,N/A,Entre 10 y 20 años,En buen estado,1794-1101844,Parquet,Gas natural,N/A,N/A,N/A,Este,,,N/A,,,Frío,,2,N/A,N/A,N/A,N/A,N/A,,N/A,,,N/A,,,,,,,,N/A,,,,,,
Piso en Prado de Somosaguas,INMOBARALIA,12 €/m²,2.800 €/mes,225 m²,28115,https://www.pisos.com/alquilar/piso-prado_de_somosaguas-51679172699_280500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,225 m²,190 m²,5,3,3ª,N/A,,Reformado,2805-002426,Parquet,Gas natural,N/A,,,Norte,,Más de 2,N/A,Aluminio,,,,2,N/A,N/A,N/A,N/A,N/A,,N/A,Comunitario,Comunitaria,,,,,,,,,,,,,,,
Ático en calle de Felipe IV,Soluciones Tengacasa,28 €/m²,4.300 €/mes,150 m²,28079,https://www.pisos.com/alquilar/atico-jeronimos28014-45882710017_440000/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,150 m²,150 m²,3,2,Bajo,N/A,Más de 50 años,Reformado,4400-23657,Parquet,Gas natural,Independiente,,,Noroeste,N/A,Más de 2,,Madera,N/A,Frío y calor,,,,,N/A,,N/A,,,,,N/A,,,N/A,,,,,,,,,,,
Estudio en calle Corredera Baja de San Pablo,Soluciones Tengacasa,35 €/m²,1.050 €/mes,30 m²,28079,https://www.pisos.com/alquilar/estudio-universidad_malasana28004-15057266329_440000/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,30 m²,30 m²,,1,4ª,,Entre 10 y 20 años,Reformado,4400-023353,Tarima maciza,Eléctrica,,,,Oeste,,1,N/A,PVC,,Frío y calor,,,N/A,,N/A,,N/A,,,,,N/A,,,Se alquila con o sin muebles,,,N/A,,,,,,,,
"Estudio en calle de Pollensa, 5",AZATA,22 €/m²,1.147 €/mes,50 m²,28127,https://www.pisos.com/alquilar/estudio-parque_empresarial28290-45008053320_101800/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,50 m²,,,1,,,,,IF5032-tartesos,,,,,,,,1,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
"Piso en calle de Arciniega, 13",AGENCIA ASTORGA,18 €/m²,1.450 €/mes,80 m²,28079,https://www.pisos.com/alquilar/piso-valdezarza28039-32564541244_992099/,2025-02-18,"E, E","E, E",80 m²,80 m²,3,1,4ª,N/A,,En buen estado,4992099-1105,,Gas natural,,,,,,2,,,,Frío y calor,,,,,,,N/A,,,,,N/A,,,N/A,,,,,N/A,,,,,,
Ático en Glorieta de Ruiz Jiménez,WALTER HAUS CHAMBERI,39 €/m²,3.200 €/mes,81 m²,28079,https://www.pisos.com/alquilar/atico-universidad_malasana28004-50027237747_101800/,2025-02-20,"E, E","E, E",81 m²,,2,1,5ª,,,,IF76602-M20618A,,,N/A,,,,,,,,,,,,,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,
Dúplex en calle del Mediodía Grande,Alquigest,25 €/m²,1.750 €/mes,70 m²,28079,https://www.pisos.com/alquilar/duplex-centro_palacio28005-50922902949_501265/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,70 m²,60 m²,3,1,Bajo,,Más de 50 años,En buen estado,501265-900221,Tarima flotante,Eléctrica,Americana,,,,N/A,2,,Madera,,Frío,,,,,N/A,,,,,,,,,,N/A,,,N/A,,,,,,,,
Piso en Aravaca,AZATA,16 €/m²,1.500 €/mes,90 m²,28079,https://www.pisos.com/alquilar/piso-moncloa_aravaca_aravaca28023-45072351463_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,90 m²,,2,1,2ª,,,,IF5032-Pza_2dvac,,Central,,,,,,,,,,,,,,,,,N/A,,,,Propia,,,,,,,,,,,,,,,
Piso en Valdemarín,AZATA,31 €/m²,2.200 €/mes,70 m²,28079,https://www.pisos.com/alquilar/piso-valdemarin-45072478244_101800/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,70 m²,,2,2,2ª,,Entre 20 y 30 años,,IF5032-La Florida,,,,,,,,1,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en calle del Alcalde Sáinz de Baranda,ELEPHANT ROOM MADRID,24 €/m²,2.100 €/mes,87 m²,28079,https://www.pisos.com/alquilar/piso-ibiza28009-50014663208_100500/,2025-02-20,"E, D","E, D",87 m²,81 m²,3,2,2ª,,Más de 50 años,,SA3035-06822/7621,Tarima flotante,Central,,,,Norte,,,,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,
