nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Calefacción,Cocina equipada,Comedor,Lavadero,Orientación,No se aceptan mascotas,Armarios empotrados,Vidrios dobles,Carpintería exterior,Teléfono,Aire acondicionado,Chimenea,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Jardín,Piscina,Soleado,Agua,Balcón,Amueblado,Carpintería interior,Se aceptan mascotas,Interior,Gastos de comunidad,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar
"Piso en calle Felipe III, 9",Nestar,13 €/m²,950 €/mes,73 m²,28161,https://www.pisos.com/alquilar/piso-valdemoro_estacion-47561548160_100500/,2025-02-02,Error al procesar consumo,Error al procesar emisiones,73 m²,,2,2,5ª,N/A,,En buen estado,SA5100-2200/22000832/00000190,,,N/A,,,,,1,,,,N/A,,1,,,,,N/A,,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,
Piso en Latina,"ALQUILER SEGURO,S.A.",22 €/m²,990 €/mes,45 m²,28079,https://www.pisos.com/alquilar/piso-puerta_del_angel-51693711595_108900/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,45 m²,,2,1,2ª,N/A,,En buen estado,XA24-2808-033479,,N/A,N/A,N/A,,,,,,,,N/A,,,,,,,,,,,,,N/A,,,,,,,N/A,N/A,,,,,
Loft en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Engel & Völkers Madrid,26 €/m²,890 €/mes,33 m²,28134,https://www.pisos.com/alquilar/loft-rosa_luxemburgo_padreron_poligono_industrial_norte-51686127036_101800/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,33 m²,,1,1,,,,,IF77045-I-00L7M8-W-02YOEB,,Central,N/A,,,,,,,,,,,1,,,,,N/A,,N/A,,Propia,,,,,,,,,,,,,,,
Apartamento en Pacífico,MADRID HOUSE SERVICE REAL ESTATE,16 €/m²,1.590 €/mes,98 m²,28079,https://www.pisos.com/alquilar/apartamento-retiro_pacifico28007-51670415688_108500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,98 m²,90 m²,2,4,,N/A,,,AG649-AP0004,Parquet,Central,Individual,,,Este,,N/A,,,,,,,,,N/A,,N/A,,,Comunitario,Comunitaria,,,,,,,,,,,,,,,
Piso en calle de Bulgaria,GRUPO RSL,9 €/m²,1.280 €/mes,133 m²,28005,https://www.pisos.com/alquilar/piso-puerta_de_madrid_el_juncal28802-50846578352_100500/,2025-02-20,"D, E","D, E",133 m²,,2,2,4ª,N/A,Entre 10 y 20 años,En buen estado,SA5643-Alcalá de Henares,,,N/A,,,Norte,,1,,,,N/A,,1,N/A,,,,N/A,,N/A,N/A,N/A,,,N/A,N/A,,N/A,,,,,,,,,
Piso en Chorrillo,"ALQUILER SEGURO,S.A.",12 €/m²,950 €/mes,75 m²,28005,https://www.pisos.com/alquilar/piso-chorrillo28806-51676434430_108900/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,75 m²,,2,1,5ª,N/A,,En buen estado,XA24-2830-033412,,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,,,,N/A,,,,,,N/A,,,,,,,N/A,N/A,,,,,
Piso en calle de la Virgen de los Peligros,MIMAISON,25 €/m²,3.100 €/mes,120 m²,28079,https://www.pisos.com/alquilar/piso-sol_barrio28013-47530081655_100500/,2025-02-20,"A, A","A, A",120 m²,,2,2,2ª,N/A,,En buen estado,SA2783-105703842,,,N/A,,,,N/A,1,,,,N/A,,,,,,,N/A,,,N/A,N/A,,,N/A,,,,,,,,,,,,
Piso en San Diego,ALQUILA TU HOGAR,18 €/m²,1.125 €/mes,60 m²,28079,https://www.pisos.com/alquilar/piso-san_diego28018-32544909402_100500/,2025-01-24,Error al procesar consumo,Error al procesar emisiones,60 m²,,3,1,1ª,N/A,,En buen estado,SA3458-2001/20010001/1180,Gres,,N/A,,,,,,,,,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,,,
Apartamento en calle de los Geranios,SERVICHECK.,31 €/m²,950 €/mes,30 m²,28079,https://www.pisos.com/alquilar/apartamento-tetuan_almenara28029-50864512158_100500/,2025-01-23,Error al procesar consumo,Error al procesar emisiones,30 m²,25 m²,1,1,Bajo,,Más de 50 años,,SA4312-Cgeranios_KL/9940,,N/A,,,,,,1,,,,N/A,,,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,
Piso en Villaverde,"ALQUILER SEGURO,S.A.",14 €/m²,950 €/mes,65 m²,28079,https://www.pisos.com/alquilar/piso-villaverde_san_andres28021-51704245926_108900/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,65 m²,,2,1,,N/A,,En buen estado,XA24-2829-033455,,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,N/A,N/A,,,,,
Casa en Somosaguas-Húmera-Los Ángeles,Engel & Völkers Madrid,Error al procesar precio m²,13.000 €/mes,2.507 m²,28115,https://www.pisos.com/alquilar/casa-somosaguas_humera_los_angeles28223-47530207182_101800/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,,,5,5,,,Menos de 5 años,,IF77045-I-00L2WA-W-02X06U,,Central,N/A,,N/A,,,1,,,,,,1,N/A,,,,,,N/A,Privado,Propia,,,,,,,,,,,,,,,2.507 m²
Piso en calle de Julián Camarillo,SERVICHECK.,23 €/m²,1.000 €/mes,42 m²,28079,https://www.pisos.com/alquilar/piso-san_blas_simancas28037-51698054656_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,42 m²,,1,1,4ª,,Entre 20 y 30 años,,SA4312-esther_jcamarillo/9940,,N/A,,,,,,1,,,,N/A,,,,,,,N/A,,,N/A,Comunitaria,,,,,,,,,,,,,,,
Piso en calle de Puerto Rico,LIVE4LIFE,25 €/m²,1.950 €/mes,77 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-50879184487_100500/,2025-01-23,Error al procesar consumo,Error al procesar emisiones,77 m²,76 m²,3,1,1ª,N/A,,En buen estado,SA1925-2231113,,N/A,Cocina amueblada,,,,,,,,,Frío,,,,,,,N/A,,N/A,,,N/A,,,N/A,,,,,,,,,,,
Piso en calle del Príncipe de Vergara,MONAPART,26 €/m²,2.400 €/mes,91 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_hispanoamerica28016-51694842591_101800/,2025-02-20,"E, D","E, D",91 m²,,3,2,1ª,,Más de 50 años,,IF76872-RE0015-4754,,Central,N/A,,,,,1,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en Valdeacederas,Alquila Tu Hogar - ATH,20 €/m²,940 €/mes,45 m²,28079,https://www.pisos.com/alquilar/piso-valdeacederas28039-38370467566_100500/,2025-01-27,Error al procesar consumo,Error al procesar emisiones,45 m²,,2,1,Bajo,N/A,,En buen estado,SA4647-2201/22010039/14,Gres,,N/A,,,Sur,,,,,,,,,,,,,N/A,,,,,,N/A,,,,N/A,,,,,,,,,
Casa pareada en calle del Camino Nuevo,COTARENT,20 €/m²,3.300 €/mes,160 m²,28904,https://www.pisos.com/alquilar/casa_pareada-el_soto_de_la_moraleja28109-39242229622_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,160 m²,,4,3,,,,Reformado,SA2106-CR515,,Gas natural,Cocina amueblada,,N/A,,,1,,,,Frío,,1,,,,,,,N/A,Privado,Comunitaria,,,,,,,,,,,Pareada,,,,
Piso en Fuencarral,"ALQUILER SEGURO,S.A.",24 €/m²,1.090 €/mes,45 m²,28079,https://www.pisos.com/alquilar/piso-fuencarral_el_pardo_valverde28034-50916359594_108900/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,45 m²,,2,1,1ª,N/A,,En buen estado,XA24-2807-033184,,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,N/A,N/A,,,,,
Piso en calle del Príncipe de Vergara,eXp Realty,17 €/m²,3.200 €/mes,180 m²,28079,https://www.pisos.com/alquilar/piso-salamanca_castellana28006-48393060896_100500/,2025-02-19,"D, D","D, D",180 m²,142 m²,3,3,5ª,,Más de 50 años,,SA3689-EXP08488/8930,Parquet,Central,,,,Oeste,,,,,,N/A,,1,,,,,N/A,,,,,,,,N/A,,,,Más de 100 €,,,,,,,
Dúplex en calle de Don Ramón de la Cruz,MONAPART,25 €/m²,1.650 €/mes,66 m²,28079,https://www.pisos.com/alquilar/duplex-goya28001-51673801817_101800/,2025-02-14,"E, E","E, E",66 m²,,1,1,,,Más de 50 años,,IF76872-NA0002-4711,,Central,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en calle de Fernando Poo,LIVE4LIFE,15 €/m²,1.800 €/mes,120 m²,28079,https://www.pisos.com/alquilar/piso-chopera28045-51671468066_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,120 m²,110 m²,3,1,2ª,N/A,,En buen estado,SA1925-232342434234234261,,Central,Cocina amueblada,,,,,,,,,Frío,,,,,,,N/A,,N/A,,,N/A,,N/A,N/A,,,,,,,,,,,
Piso en calle de Arturo Soria,R 2000 Servicios Inmobiliarios,22 €/m²,1.125 €/mes,50 m²,28079,https://www.pisos.com/alquilar/piso-ciudad_lineal_atalaya-43407630984_519303/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,50 m²,50 m²,1,1,3ª,N/A,Entre 20 y 30 años,En buen estado,4519303-000826,Parquet,Gas natural,N/A,N/A,N/A,Sureste,N/A,2,N/A,PVC,N/A,Frío y calor,,1,,N/A,N/A,N/A,N/A,N/A,,Comunitario,Comunitaria,N/A,,N/A,N/A,N/A,,,Entre 20 y 40 €,N/A,,,,,,
Piso en calle del Tutor,"Estudio Nueva Plaza España, 2016",18 €/m²,2.500 €/mes,136 m²,28079,https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-50914075605_100200/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,136 m²,,3,2,1ª,,Más de 50 años,En buen estado,TC1144-607215,,N/A,,,,,,,,,,N/A,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Buenos Aires-Cañada Real de Toledo-Puerta de Pinto,Alquila Tu Hogar - ATH,26 €/m²,835 €/mes,32 m²,28113,https://www.pisos.com/alquilar/piso-buenos_aires_canada_real_de_toledo_puerta_de_pinto-50083745528_100500/,2025-01-27,Error al procesar consumo,Error al procesar emisiones,32 m²,,1,1,2ª,N/A,,En buen estado,SA4647-2201/22010061/3,,,N/A,,,,,,,,,,,1,,,,,N/A,,N/A,,,,,,,,N/A,,,,,,,,,
"Piso en calle de Luis Martínez Feduchi, 142","RENTAS INVERSIONES Y ASESORAMIENTO,S.L. (Rentisa).",15 €/m²,2.100 €/mes,140 m²,28079,https://www.pisos.com/alquilar/piso-valdebebas_valdefuentes28055-45888255578_991150/,2024-09-26,Error al procesar consumo,Error al procesar emisiones,140 m²,130 m²,3,2,1ª,N/A,Menos de 5 años,En buen estado,4991150-000029,Tarima flotante,Gas natural,N/A,N/A,N/A,,N/A,Más de 2,N/A,PVC,,Frío y calor,,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Comunitario,Comunitaria,N/A,,,,N/A,,,,N/A,,,,,,
"Apartamento en calle del Poeta Joan Maragall, 19","RENTAS INVERSIONES Y ASESORAMIENTO,S.L. (Rentisa).",18 €/m²,1.200 €/mes,65 m²,28079,https://www.pisos.com/alquilar/apartamento-castillejos28020-45078622957_991150/,2024-07-11,Error al procesar consumo,Error al procesar emisiones,65 m²,55 m²,1,1,10ª,N/A,Entre 10 y 20 años,En buen estado,4991150-CAPITAN HAYA,Parquet,Eléctrica,N/A,N/A,,,N/A,2,N/A,Aluminio,,Frío y calor,,,,N/A,,N/A,N/A,N/A,,,,N/A,,,N/A,N/A,,,,,,,,,,
"Piso en calle de Martín Muñoz de las Posadas, 7",Nestar,12 €/m²,1.320 €/mes,110 m²,28079,https://www.pisos.com/alquilar/piso-ensanche_de_vallecas_valdecarros28031-43359842675_100500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,110 m²,,3,2,4ª,N/A,,En buen estado,SA5100-2200/22000637/00000174,,,N/A,,,,,1,,,,,,1,N/A,,,,N/A,,N/A,N/A,N/A,,,,,,N/A,,,,,,,,,
Piso en calle de Valdesangil,GRUPO RSL,18 €/m²,1.380 €/mes,74 m²,28079,https://www.pisos.com/alquilar/piso-valdezarza28039-50922189567_100500/,2025-02-20,"C, C","C, C",74 m²,,2,1,5ª,N/A,Más de 50 años,En buen estado,SA5643-piso valdesangil,,,N/A,,,,N/A,1,,,,N/A,,1,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Piso en calle Estocolmo,Testa Residencial,16 €/m²,1.250 €/mes,76 m²,28007,https://www.pisos.com/alquilar/piso-parque_oeste_fuente_cisneros_campodon-51707623320_108900/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,76 m²,56 m²,2,,4ª,,,,XA614-12622,,,,,,,,N/A,,,,,,,,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,
Apartamento en Zona Avenida de Europa,Engel & Völkers Madrid,16 €/m²,1.900 €/mes,117 m²,28115,https://www.pisos.com/alquilar/apartamento-zona_avenida_de_europa28224-51723604011_101800/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,117 m²,,2,2,3ª,,,,IF77045-I-00L7HN-W-02YRUT,,Central,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,
Loft en Ensanche de Vallecas-Valdecarros,Engel & Völkers Madrid,16 €/m²,875 €/mes,52 m²,28079,https://www.pisos.com/alquilar/loft-ensanche_de_vallecas_valdecarros28051-50856345650_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,52 m²,,,1,,,,,IF77045-I-00L6Y1-W-02YIPS,,Central,N/A,,N/A,,,1,,,,,,1,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,
Piso en Los Ángeles,ALQUILA TU HOGAR,20 €/m²,1.130 €/mes,56 m²,28079,https://www.pisos.com/alquilar/piso-villaverde_los_angeles28041-50904438422_100500/,2025-01-27,Error al procesar consumo,Error al procesar emisiones,56 m²,,3,1,5ª,N/A,,En buen estado,SA3458-2001/20010001/1939,,,N/A,,,,,,,,,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,,,
Piso en Peñagrande,LLAVE MAESTRA,19 €/m²,1.900 €/mes,100 m²,28079,https://www.pisos.com/alquilar/piso-penagrande28035-50897292173_108500/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,100 m²,90 m²,3,4,,N/A,,,AG78-BE698AL,,Eléctrica,Individual,,,,,N/A,N/A,,,N/A,,,N/A,,N/A,,N/A,,,Comunitario,Comunitaria,,,,N/A,,,,,,,,,,,
Piso en calle del Salitre,LIVE4LIFE,32 €/m²,1.760 €/mes,55 m²,28079,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-50919395982_100500/,2025-01-23,Error al procesar consumo,Error al procesar emisiones,55 m²,49 m²,2,1,,N/A,,En buen estado,SA1925-854776,,,Cocina amueblada,,,,,1,,,,Frío,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Norte - Universidad,"ALQUILER SEGURO,S.A.",15 €/m²,1.200 €/mes,78 m²,28092,https://www.pisos.com/alquilar/piso-norte_universidad28932-50859756106_108900/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,78 m²,,3,1,1ª,N/A,,En buen estado,XA24-2822-033240,,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,,,,N/A,,N/A,,,,N/A,,,,,,,N/A,N/A,,,,,
"Piso en calle de Matilde Salvador, 12",Nestar,13 €/m²,930 €/mes,67 m²,28113,https://www.pisos.com/alquilar/piso-la_teneria_i_la_teneria_ii-40853053581_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,67 m²,,2,1,2ª,N/A,,En buen estado,SA5100-2200/22000809/00000100,,,,,,,,1,,,,,,1,N/A,,,,N/A,,,N/A,N/A,,,,,,N/A,,,,,,,,,
Piso en Avenida de Las Suertes,REDPISO Ensanche de Vallecas,18 €/m²,900 €/mes,48 m²,28079,https://www.pisos.com/alquilar/piso-ensanche_de_vallecas_valdecarros28051-51710211195_104700/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,48 m²,,1,1,,,Entre 10 y 20 años,En buen estado,STA42-RP2062025134868,Tarima maciza,Gas natural,,,,,,,,,,Frío y calor,,1,N/A,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,
Piso en calle de Abtao,R 2000 Servicios Inmobiliarios,26 €/m²,1.200 €/mes,45 m²,28079,https://www.pisos.com/alquilar/piso-retiro_pacifico28007-45024668010_519303/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,45 m²,45 m²,1,1,3ª,N/A,Entre 30 y 50 años,En buen estado,4519303-000907,Tarima flotante,Gas natural,N/A,N/A,N/A,Sureste,N/A,Más de 2,N/A,PVC,N/A,Frío y calor,,1,,N/A,N/A,N/A,N/A,N/A,,Comunitario,,N/A,,N/A,N/A,N/A,,,,N/A,,,,,,
Piso en calle Valderribas,LIVE4LIFE,24 €/m²,2.050 €/mes,85 m²,28079,https://www.pisos.com/alquilar/piso-retiro_pacifico28007-50903065064_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,85 m²,80 m²,3,2,1ª,N/A,,En buen estado,SA1925-528456585,,N/A,Cocina amueblada,,,,,1,,,,Frío,,,,,,,N/A,,N/A,,,N/A,,,N/A,,,,,,,,,,,
Piso en calle de Cadarso,RENTUOS,27 €/m²,1.500 €/mes,55 m²,28079,https://www.pisos.com/alquilar/piso-moncloa_aravaca_arguelles28008-51684717167_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,55 m²,49 m²,1,1,1ª,N/A,Entre 20 y 30 años,En buen estado,SA246-342800870028,Parquet,,Cocina equipada,,,,,1,,,,Frío,,,,,,,N/A,,,,Comunitaria,,,,N/A,,,,,,,,,,,
Piso en Zona Noroeste,ALQUILA TU HOGAR,20 €/m²,1.130 €/mes,56 m²,28148,https://www.pisos.com/alquilar/piso-zona_noroeste-51735254575_100500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,56 m²,,3,1,1ª,N/A,,En buen estado,SA3458-2002/20020004/6,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Piso en calle de Matilde Hernández,REMAX URBE,21 €/m²,1.150 €/mes,53 m²,28079,https://www.pisos.com/alquilar/piso-carabanchel_vista_alegre28025-45840536438_100500/,2024-09-13,Error al procesar consumo,Error al procesar emisiones,53 m²,41 m²,1,1,,N/A,Menos de 5 años,En buen estado,SA2484-3248-24024,,,N/A,,,,N/A,1,,,,,,1,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,,,,,,,
Piso en Vista Alegre,Estudio Avda De Fatima Sl (,15 €/m²,1.350 €/mes,87 m²,28079,https://www.pisos.com/alquilar/piso-carabanchel_vista_alegre28047-50913043474_100200/,2025-01-25,Error al procesar consumo,Error al procesar emisiones,87 m²,,3,1,,,Más de 50 años,En buen estado,TC1173-579448,,Central,,,,,,,,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carabanchel,"ALQUILER SEGURO,S.A.",19 €/m²,950 €/mes,50 m²,28079,https://www.pisos.com/alquilar/piso-cuatro_vientos28044-50848275599_108900/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,50 m²,,2,1,1ª,N/A,,En buen estado,XA24-2826-032978,,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,N/A,N/A,,,,,
Piso en Los Satélites-Roza Martín,INMOBILIARIA INTERNACIONAL CPM,17 €/m²,2.500 €/mes,143 m²,28080,https://www.pisos.com/alquilar/piso-los_satelites_roza_martin-44247891478_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,143 m²,114 m²,3,3,2ª,N/A,,En buen estado,SA3051-07892,,,N/A,,,Sur,N/A,1,,,,N/A,,1,N/A,,,,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,
Piso en Embajadores-Lavapiés,Estudio Real De Lavapies Sl,25 €/m²,800 €/mes,32 m²,28079,https://www.pisos.com/alquilar/piso-centro_embajadores_lavapies28012-34202830202_100200/,2025-02-18,"E, E","E, E",32 m²,,2,1,4ª,,Más de 50 años,En buen estado,TC848-544724,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Monte Alina-La Cabaña,Engel & Völkers Madrid,10 €/m²,7.000 €/mes,650 m²,28115,https://www.pisos.com/alquilar/casa-monte_alina_la_cabana-50887891659_101800/,2025-01-27,Error al procesar consumo,Error al procesar emisiones,650 m²,,6,5,,,Entre 20 y 30 años,,IF77045-I-00L6VR-W-02YI3A,,Central,N/A,,N/A,,,1,,,,,,1,N/A,,,,,,N/A,Privado,Propia,,,,,,,,,,,,,,,1.610 m²
Piso en calle de Núñez de Balboa,SOLVIA SERVICIOS INMOBILIARIOS S.L.,15 €/m²,825 €/mes,55 m²,28065,https://www.pisos.com/alquilar/piso-getafe_distrito_centro28902-51758409185_107500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,55 m²,,1,1,,,,,SOL6-CH-95178-0001,,,Cocina abierta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de Calvo Asensio, 8",REMAX URBE,25 €/m²,3.000 €/mes,120 m²,28079,https://www.pisos.com/alquilar/piso-gaztambide28015-46667821260_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,120 m²,105 m²,5,1,2ª,N/A,Más de 50 años,En buen estado,SA2484-3248-24059,,,N/A,,,Oeste,N/A,1,,,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
"Piso en Ronda de Gloria Fuertes, 2",Nestar,12 €/m²,990 €/mes,79 m²,28123,https://www.pisos.com/alquilar/piso-rivas_vaciamadrid_centro28522-42512943850_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,79 m²,,2,1,2ª,N/A,,En buen estado,SA5100-2200/22000605/00000067,,,N/A,,,,N/A,1,,,,,,1,N/A,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,
Apartamento en Estación-Zona Norte,Engel & Völkers Madrid,15 €/m²,2.500 €/mes,160 m²,28115,https://www.pisos.com/alquilar/apartamento-estacion_zona_norte28224-51747818656_101800/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,160 m²,,3,2,,,,,IF77045-I-00L6YX-W-02YJBA,,Central,N/A,,,,,1,,,,,,1,N/A,,,,N/A,,N/A,,Propia,,,,,,,,,,,,,,,
Piso en Hortaleza,"ALQUILER SEGURO,S.A.",16 €/m²,1.213 €/mes,75 m²,28079,https://www.pisos.com/alquilar/piso-fuencarral_el_pardo_las_tablas28050-51710941081_108900/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,75 m²,,3,2,,N/A,,En buen estado,XA24-2805-033498,,N/A,N/A,N/A,,,,N/A,,,,,,N/A,,,,,N/A,,,N/A,N/A,,N/A,,,,,,,N/A,N/A,,,,,
Piso en Centro,ALQUILA TU HOGAR,16 €/m²,1.050 €/mes,65 m²,28092,https://www.pisos.com/alquilar/piso-mostoles_centro28934-20045907265_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,65 m²,,3,1,3ª,N/A,,En buen estado,SA3458-2001/20010012/2,Gres,,,,,Sur,,,,,,,,,,,,,,,N/A,,,,N/A,,,,N/A,,,,,,,,,
Piso en San Diego,ALQUILA TU HOGAR,19 €/m²,1.110 €/mes,58 m²,28079,https://www.pisos.com/alquilar/piso-san_diego28018-50066996711_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,58 m²,,3,1,1ª,N/A,,En buen estado,SA3458-2001/20010001/1869,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,
Apartamento en Berruguete,SYMBOLIC GESTION INMOBILIARIA,22 €/m²,2.300 €/mes,102 m²,28079,https://www.pisos.com/alquilar/apartamento-berruguete28039-50035639757_994318/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,102 m²,80 m²,3,2,3ª,N/A,Entre 5 y 10 años,En buen estado,4994318-AF-836,Tarima maciza,Gas natural,Amueblada y equipada con electrodomésticos,En el área del salón,Tendedero cerrado,Sureste,,Más de 2,Climalit,PVC,N/A,Frío y calor,,,En planta baja del edificio,N/A,Acorazada,,N/A,,N/A,,,N/A,,,,Madera maciza lacada en color blanco,N/A,,,,,,,,,
Piso en Espartales,GEPPCO ASESORES - ALCALA DE HENARES,17 €/m²,1.400 €/mes,82 m²,28005,https://www.pisos.com/alquilar/piso-espartales28805-51731336898_100500/,2025-02-09,"B, B","B, B",82 m²,,2,2,4ª,N/A,Entre 5 y 10 años,En buen estado,SA2459-GPA-19145,,,,,,,N/A,1,,,,N/A,,1,N/A,,,,N/A,,N/A,N/A,N/A,,,,,,,,,,,,,,,
Casa adosada en Avenida de la Armada Española,MR. HOUSE REAL ESTATE,9 €/m²,3.500 €/mes,362 m²,28022,https://www.pisos.com/alquilar/casa_adosada-parque_de_boadilla28660-51762557442_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,362 m²,,5,4,,,,En buen estado,SA208-8694PA-B,,N/A,Cocina equipada,,,,,,,,,Frío,,1,,,,,,,,Privado,Propia,,,,,,,,,,,Adosada,,,,
Piso en calle de Alcalá,I SOL BUSINESS CONSULTORES INMOBILIARIOS INTERNACIONALES,14 €/m²,900 €/mes,64 m²,28079,https://www.pisos.com/alquilar/piso-rejas28022-51728833218_501059/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,64 m²,64 m²,2,1,2ª,N/A,Más de 50 años,En buen estado,501059-3681930563,Tarima flotante,Eléctrica,N/A,N/A,,,,1,,Aluminio,,Frío y calor,,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,
Piso en Opañel,ALQUILA TU HOGAR,16 €/m²,1.225 €/mes,76 m²,28079,https://www.pisos.com/alquilar/piso-opanel28019-28334990771_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,76 m²,,3,1,3ª,N/A,,En buen estado,SA3458-2001/20010001/874,Tarima flotante,,N/A,,,,,,,,,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,,,
Piso en calle de Atocha,SERVICHECK.,34 €/m²,1.000 €/mes,29 m²,28079,https://www.pisos.com/alquilar/piso-cortes_huertas28012-50905921420_100500/,2025-01-28,Error al procesar consumo,Error al procesar emisiones,29 m²,25 m²,1,1,5ª,,Más de 50 años,,SA4312-angel-1000/9940,,N/A,,,,Noroeste,,,,,,,,,,,N/A,,N/A,,,,,,N/A,N/A,N/A,,,,,,,,,,,
Piso en Chamartin,"ALQUILER SEGURO,S.A.",16 €/m²,1.590 €/mes,99 m²,28079,https://www.pisos.com/alquilar/piso-chamartin_prosperidad28002-50925471693_108900/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,99 m²,,3,1,1ª,N/A,,En buen estado,XA24-2800-033271,,N/A,N/A,N/A,,,,N/A,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,N/A,N/A,,,,,
