nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Chalet en Castellgalí,INMOAGENCE,1.108 €/m²,285.000 €,257 m²,https://www.pisos.com/comprar/chalet-castellgali_centro_urbano-48423273645_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),257 m²,250 m²,,7,2,Reformado,SA5599-003-1,Gasoil,Cocina americana,N/A,Noreste,,,,,,Entre 20 y 30 años,,Gres,,,,,,N/A,,N/A,,,,,N/A,1,,N/A,,,,,,N/A,Privado,Propia,,,
Casa en calle Raval Dels Torrents,FINSET SERVEIS IMMOBILIARIS,569 €/m²,420.000 €,738 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-45058105502_500831/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),738 m²,738 m²,,6,3,En buen estado,500831-000014,Gasoil,N/A,N/A,,,,,,,Entre 30 y 50 años,,Gres,N/A,Madera,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,
Ático en Carrer Rocafort,AFYS MANRESA,1.500 €/m²,285.000 €,190 m²,https://www.pisos.com/comprar/atico-artes_centro_urbano-50881155715_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),190 m²,180 m²,,4,2,,SA2898-11460/5664,Gas natural,,N/A,,,,,Bajo,,Entre 30 y 50 años,,Mármol,,,N/A,N/A,,,,N/A,N/A,,,,,1,,,,,N/A,,,,,,,,
Casa en Castellbell I El Vilar,LA LLAR DE CASTELLET,816 €/m²,299.000 €,366 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-32504322731_518220/,Anuncio actualizado el 30/01/2025,"E, E","E, E",bages (BCN),366 m²,205 m²,172 m²,4,3,Reformado,518220-0401,Gasoil,Independiente oficce,84 metros  y  15 metros,Sur,N/A,N/A,N/A,,,Entre 20 y 30 años,Sapeli,Gres,N/A,Aluminio,Frío y calor,Salon con chimenea,Más de 2,,,"Si, de aluminio",,N/A,,,,Más de 2,,N/A,,Alarma,,,N/A,En el salon,,,,,
Chalet en Ctra. de Santpedor-Bases de Manresa,GEFI HOMES,490 €/m²,650.000 €,1.325 m²,https://www.pisos.com/comprar/chalet-ctra_de_santpedor_bases_de_manresa08243-50890287873_108500/,Anuncio actualizado el 05/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),1.325 m²,375 m²,,6,8,,AG605-CHA0006,Central,Individual,,Sur,,,,,,,,Tarima flotante,,,,,,N/A,,N/A,,,,,,N/A,,,N/A,,,,,N/A,N/A,Privada,,,
Piso en Carrer Maternitat d'Elna,FINSET SERVEIS IMMOBILIARIS,1.806 €/m²,159.000 €,88 m²,https://www.pisos.com/comprar/piso-ctra_de_vic_remei08243-50844513381_500831/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),88 m²,88 m²,,3,2,En buen estado,500831-000007,Gas natural,N/A,,,,,,1ª,N/A,Entre 10 y 20 años,,Parquet,N/A,Aluminio,,N/A,,,N/A,N/A,N/A,,N/A,,,,N/A,N/A,,,N/A,,,,,,,,
Casa rústica en Castellgalí,Engel & Völkers MMC Barcelona,654 €/m²,165.000 €,252 m²,https://www.pisos.com/comprar/casa_rustica-castellgali_centro_urbano-35002141275_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),252 m²,,1.600 m²,4,2,,IF76306-I-00X664-W-02SOX1,,,N/A,A la montaña,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rústica,,,,,,,
Piso en Carrer del Pintor Morell,Àtic Immobiliària,2.150 €/m²,215.000 €,100 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia-28409652977_523950/,Anuncio actualizado el 27/01/2025,"E, E","E, E",bages (BCN),100 m²,76 m²,,3,2,En buen estado,523950-V2105,Eléctrica,N/A,N/A,,,,,3ª,N/A,Entre 10 y 20 años,N/A,Gres,N/A,,,N/A,1,N/A,N/A,,N/A,,N/A,N/A,,,,N/A,,,N/A,,,,,,,,
Casa unifamiliar en Sant Salvador de Guardiola,Alfa Puig-Reig,872 €/m²,199.000 €,228 m²,https://www.pisos.com/comprar/casa_unifamiliar-sant_salvador_de_guardiola_centro_urbano-21688989072_101000/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),228 m²,,,5,2,,AF94-245/1329,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unifamiliar,,,,N/A,,,
Dúplex en Carrer del Doctor Esteve,FORTALEZA GESTIÓN,2.068 €/m²,151.000 €,73 m²,https://www.pisos.com/comprar/duplex-manresa_poble_nou-50010716316_529022/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),73 m²,70 m²,,2,2,Reformado,4529022-000010,,,N/A,,,,,4ª,,Entre 5 y 10 años,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.966 €/m²,194.670 €,99 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5220028365_109700/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),99 m²,,,2,,A estrenar,1097-21766719,,,N/A,,,,,2ª,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Apartamento en Poble Nou,Engel & Völkers MMC Barcelona,1.548 €/m²,175.000 €,113 m²,https://www.pisos.com/comprar/apartamento-manresa_poble_nou-50868487065_101800/,Anuncio actualizado el 13/02/2025,"E, E","E, E",bages (BCN),113 m²,,,4,2,,IF76306-I-00YZQ2-W-02Y01A,Central,,,,,,,2ª,,Entre 30 y 50 años,,,,,,,1,,,,N/A,,,,,,,,,,,,,,,,,,
Dúplex en Sagrada Família,Alfa Puig-Reig,1.192 €/m²,180.000 €,151 m²,https://www.pisos.com/comprar/duplex-manresa_sagrada_familia08243-50923921336_101000/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),151 m²,130 m²,,3,2,,AF94-245/1567,,,,,,,,,N/A,,,,,,Frío,,,,,,N/A,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Maurici,FORTALEZA GESTIÓN,1.238 €/m²,104.000 €,84 m²,https://www.pisos.com/comprar/piso-escodines08241-48344073007_529022/,Anuncio actualizado el 04/02/2025,"E, E","E, E",bages (BCN),84 m²,84 m²,,1,1,Reformado,4529022-5,,Abierta,N/A,,,,,Sótano,,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.643 €/m²,119.995 €,73 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5229170264_109700/,Anuncio actualizado el 09/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),73 m²,,,2,,A estrenar,1097-21766705,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sagrada Familia,"VicMoBa, S.L",1.220 €/m²,105.000 €,86 m²,https://www.pisos.com/comprar/piso-escodines08241-38352425029_100500/,Anuncio actualizado el 17/02/2025,"D, D","D, D",bages (BCN),86 m²,76 m²,,2,1,,SA3706-VMB1548/3498,Gas natural,,,Norte,,,,Bajo,,Entre 20 y 30 años,,Gres,,,,,,,,,N/A,,,Más de 100 €,,,,,,,,,,,,,,,
Chalet en Castellfollit del Boix,INMOAGENCE,2.478 €/m²,290.000 €,117 m²,https://www.pisos.com/comprar/chalet-castellfollit_del_boix_centro_urbano-48360469371_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),117 m²,92 m²,10.300 m²,4,2,En buen estado,SA5599-049,,,,,,,,,,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Centre,BEST HOUSE MARTORELL,1.024 €/m²,125.000 €,122 m²,https://www.pisos.com/comprar/casa-monistrol_de_montserrat_centro_urbano-50863616282_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",bages (BCN),122 m²,120 m²,224 m²,7,2,,SA449-747788/3134,Gas natural,,N/A,Sureste,,,,,,Más de 50 años,,Terrazo,,,,,,N/A,,N/A,,,,,,1,,,,,,,,,,,,,
Dúplex en Carrer del Doctor Esteve,"FINQUES MAJES 2000, S.L.",2.180 €/m²,231.100 €,106 m²,https://www.pisos.com/comprar/duplex-centre_passeig_i_rodalies08242-50089730148_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),106 m²,91 m²,,2,2,A estrenar,501506-V6847,Gas natural,"10,6 m² (abierta)","16,70 m²",Este,,,,3ª,N/A,Entre 10 y 20 años,Lacado,Parquet,N/A,Aluminio,,"26,40 m²",1,Nº48,N/A,N/A,N/A,,N/A,,,,,"1,8 m²",,,N/A,,,,,,,,
Casa en calle calle Mirador del Tibidabo,FINCAS EVA,963 €/m²,185.000 €,192 m²,https://www.pisos.com/comprar/casa-el_pont_de_vilomara_i_rocafort_centro_urbano-47524873351_109300/,Anuncio actualizado el 04/02/2025,"E, E","E, E",bages (BCN),192 m²,96 m²,,2,1,En buen estado,EP918-FE25401,Gas natural,Independiente,,Sur,,,,,,Entre 30 y 50 años,,Cerámica o gress,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,N/A,
Piso en Zona Borras,LA LLAR DE CASTELLET,646 €/m²,106.000 €,164 m²,https://www.pisos.com/comprar/piso-castellbell_i_el_vilar_centro_urbano-96756571338_518220/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),164 m²,74 m²,,1,2,En buen estado,518220-0069,Eléctrica,Independiente,,,,,,Bajo,,,,Gres,,,Frío y calor,,1,,,,,N/A,,,,,,,,,,,,,,,,,
Dúplex en Carrer de l'Església,MST IMMOBILIÀRIA,1.520 €/m²,295.000 €,194 m²,https://www.pisos.com/comprar/duplex-navas_centro_urbano-4182084917_997923/,Anuncio actualizado el 19/02/2025,"D, C","D, C",bages (BCN),194 m²,182 m²,,3,2,En buen estado,4997923-0760,Central,N/A,N/A,,,,,2ª,N/A,Entre 10 y 20 años,N/A,Mármol,N/A,,,N/A,,N/A,N/A,,N/A,N/A,N/A,,,2,,N/A,,N/A,,,,N/A,,,,,
Chalet en River Park,INMOAGENCE,1.090 €/m²,180.000 €,165 m²,https://www.pisos.com/comprar/chalet-el_pont_de_vilomara_i_rocafort_centro_urbano-48400206530_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),165 m²,100 m²,816 m²,5,2,En buen estado,SA5599-054,Eléctrica,Cocina amueblada,N/A,Noreste,,,,,,Entre 20 y 30 años,,Mármol,,,Frío,,,N/A,,,,,,,,,,,,,,,,N/A,,Propia,,,
Casa en Zona Instituto,LA LLAR DE CASTELLET,884 €/m²,192.000 €,217 m²,https://www.pisos.com/comprar/casa-sant_vicenc_de_castellet_centro_urbano-29202453243_518220/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),217 m²,90 m²,329 m²,3,1,En buen estado,518220-0375,Gasoil,Oficce,N/A,Sur,N/A,N/A,N/A,,,Entre 30 y 50 años,Madera,Gres,N/A,Aluminio,,Salon,,,,,,N/A,,,,,,En el patio,,,,,,,Privado,,,,
Piso en Passeig de Pere III,FS FINQUES,3.298 €/m²,640.000 €,194 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-50063456850_100500/,Anuncio actualizado el 04/12/2024,"E, E","E, E",bages (BCN),194 m²,,,4,3,,SA411-FSV0396/4962,Gas natural,,N/A,,,,,4ª,,Entre 20 y 30 años,,Parquet,,,N/A,,1,,,N/A,N/A,,,,,1,,,,,N/A,,N/A,N/A,N/A,Comunitaria,N/A,,
Piso en Carrer Mestre Saura,FINSET SERVEIS IMMOBILIARIS,1.056 €/m²,130.000 €,123 m²,https://www.pisos.com/comprar/piso-el_pont_de_vilomara_i_rocafort_centro_urbano-51736375933_500831/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),123 m²,123 m²,,4,1,En buen estado,500831-0000028,Gas natural,N/A,,,,,,4ª,,Más de 50 años,,Gres,N/A,Aluminio,,N/A,,N/A,N/A,,,,N/A,N/A,,,N/A,N/A,,,N/A,,,,,,,,
Piso en Carrer de Pau Duarri,MST IMMOBILIÀRIA,1.312 €/m²,105.000 €,80 m²,https://www.pisos.com/comprar/piso-navas_centro_urbano-45019938431_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bages (BCN),80 m²,76 m²,,2,1,En buen estado,4997923-1054,Gas natural,N/A,,,,,,3ª,N/A,Entre 10 y 20 años,,Parquet,N/A,Madera,,N/A,,,N/A,,,,N/A,,,,N/A,,,,N/A,,N/A,,,,,,
Piso en Centre-Passeig i Rodalies,"CANDÀLIGA CANAL, SL",2.951 €/m²,262.697 €,89 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08241-49198969809_516728/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),89 m²,80 m²,,3,2,A estrenar,516728-2016832,Radiant i aerotèrmia,,N/A,,,,,3ª,N/A,Menos de 5 años,,,N/A,Aluminio con rotura térmica,Aerotèrmia,,1,,,,N/A,N/A,,,,,,,,,,,,,,,,,
Casa en Carrer de Salvador Espriu,Engel & Völkers MMC Barcelona,1.202 €/m²,475.000 €,395 m²,https://www.pisos.com/comprar/casa-artes_centro_urbano-41679885077_101800/,Anuncio actualizado el 08/01/2025,"A, A","A, A",bages (BCN),395 m²,,686 m²,4,2,,IF76306-I-00WKQK-W-02QU07,Central,,N/A,,,,,,,Entre 5 y 10 años,,,,,,,1,,,,,,,,,,,,,,,,,,Privado,Propia,,,
Casa en Carrer de Pablo Picasso,"VicMoBa, S.L",1.891 €/m²,295.000 €,156 m²,https://www.pisos.com/comprar/casa-la_balconada_cal_gravat08243-51669766277_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),156 m²,128 m²,,4,2,,SA3706-vmb1960/3498,Gas natural,,,Suroeste,,,,,,Entre 30 y 50 años,,Gres,,,,,1,N/A,,,,,,,,,,,,,,,,,N/A,,,,
Chalet en Centre,PERITAX,1.017 €/m²,520.000 €,511 m²,https://www.pisos.com/comprar/chalet-suria_centro_urbano-32510253686_100500/,Anuncio actualizado el 31/12/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),511 m²,460 m²,745 m²,6,5,,SA730-GV0340/2691,Gas natural,,N/A,Este,,,,,,Entre 30 y 50 años,,,,,N/A,N/A,1,,,,,,,,,1,,,,N/A,,,,N/A,N/A,Propia,N/A,,
Piso en Passeig de Pere Iii,"VicMoBa, S.L",2.526 €/m²,379.000 €,150 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08241-43374832608_100500/,Anuncio actualizado el 05/02/2025,"F, E","F, E",bages (BCN),150 m²,128 m²,,5,2,,SA3706-VMB-INS00331/3498,Gas natural,,N/A,,,,,1ª,,,,Gres,,,N/A,,1,N/A,,,,,,,,,,,,,N/A,,,,N/A,Propia,,,
Casa en El Pont de Vilomara I Rocafort,"CANDÀLIGA CANAL, SL",525 €/m²,67.300 €,128 m²,https://www.pisos.com/comprar/casa-el_pont_de_vilomara_i_rocafort_centro_urbano-50007608482_516728/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),128 m²,120 m²,,,,A reformar,516728-2016835,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en El Pont de Vilomara I Rocafort,LA LLAR DE CASTELLET,1.678 €/m²,282.000 €,168 m²,https://www.pisos.com/comprar/casa-el_pont_de_vilomara_i_rocafort_centro_urbano-41749956136_518220/,Anuncio actualizado el 30/01/2025,"E, E","E, E",bages (BCN),168 m²,76 m²,725 m²,3,2,Reformado,518220-0456,Gasoil,Independiente,Porche delantero,Sur,N/A,N/A,N/A,,,Entre 20 y 30 años,Pino mazizo,Gres,Puente termico,PVC,Frío y calor,Salon,1,,,,,N/A,,,,,,N/A,,Alarma,,,,En comedor,Privado,Propia,,,
Piso en Sallent,Alfa Puig-Reig,926 €/m²,76.000 €,82 m²,https://www.pisos.com/comprar/piso-sallent_centro_urbano-45853357085_101000/,Anuncio actualizado el 29/12/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),82 m²,80 m²,,1,1,,AF94-245/1392,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del General Prim,CANO & PUJOL,1.536 €/m²,149.000 €,97 m²,https://www.pisos.com/comprar/piso-placa_de_catalunya08242-48390450491_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),97 m²,90 m²,,2,1,,EP1034-5760,,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,,
Piso en Congost-Santa Caterina-Els Comtals,Alfa Puig-Reig,1.101 €/m²,76.000 €,69 m²,https://www.pisos.com/comprar/piso-congost_santa_caterina_els_comtals08241-50851477997_101000/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),69 m²,,,2,1,,AF94-245/1568,,,,,,,,,N/A,,,,,,Frío,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carretera Cardona,"VicMoBa, S.L",1.631 €/m²,155.000 €,95 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08242-50085784882_100500/,Anuncio actualizado el 05/02/2025,"D, E","D, E",bages (BCN),95 m²,75 m²,,4,2,,SA3706-VMB-B17789/3498,Gas natural,,,Sureste,,,,1ª,,Más de 50 años,,Gres,,,N/A,,,,,,N/A,,,Más de 100 €,,,,,,N/A,N/A,,,,,,N/A,,
Chalet en Sant Fruitós de Bages,"CANDÀLIGA CANAL, SL",1.791 €/m²,575.000 €,321 m²,https://www.pisos.com/comprar/chalet-sant_fruitos_de_bages_centro_urbano-50035220881_516728/,Anuncio actualizado el 16/01/2025,"E, E","E, E",bages (BCN),321 m²,229 m²,757 m²,6,3,En buen estado,516728-2016834,Gas natural,N/A,N/A,,N/A,N/A,N/A,,,Entre 30 y 50 años,,Mármol,N/A,Madera,Frío y calor,N/A,2,,,N/A,,,,,,Más de 2,N/A,N/A,N/A,,,,,N/A,Privado,,,,
Piso en Cardona,GESTIONS IMMOBILIARIES SILVIA,723 €/m²,55.000 €,76 m²,https://www.pisos.com/comprar/piso-cardona_centro_urbano-47551216304_308400/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bages (BCN),76 m²,65 m²,,3,1,A reformar,3084-24077,,N/A,,Sur,,,,Bajo,N/A,Entre 30 y 50 años,,Gres,,Madera,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa rústica en El Pont de Vilomara i Rocafort,Engel & Völkers MMC Barcelona,893 €/m²,938.000 €,1.050 m²,https://www.pisos.com/comprar/casa_rustica-el_pont_de_vilomara_i_rocafort_centro_urbano-44231116727_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),1.050 m²,,585.000 m²,8,10,,IF76306-I-00Y7PM-W-02V0AM,Central,,N/A,,,,,,,Más de 50 años,,,,,,,1,,,,,,,,,,,,,,,Rústica,,,Privado,Propia,,,
Casa en Castellgalí,LA LLAR DE CASTELLET,1.349 €/m²,390.000 €,289 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-18334407831_518220/,Anuncio actualizado el 04/02/2025,"G, G","G, G",bages (BCN),289 m²,150 m²,521 m²,4,3,Reformado,518220-0269,Gasoil,Oficce,N/A,Sur,N/A,N/A,N/A,,,Entre 10 y 20 años,Haya,Gres,Climalit,Madera,,Salon,2,,,N/A,,,,,,,,,,Alarma,,,,,Privado,Propia,,,
Casa en Urbanització Ca L'esteve,FINSET SERVEIS IMMOBILIARIS,1.290 €/m²,489.000 €,379 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-47550321245_500831/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),379 m²,250 m²,1.000 m²,3,2,Reformado,500831-000022,,N/A,N/A,Suroeste,,,,,,Entre 20 y 30 años,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,Privado,Propia,,,
Casa en Carrer de la Carena,Engel & Völkers MMC Barcelona,1.508 €/m²,350.000 €,232 m²,https://www.pisos.com/comprar/casa-castellnou_de_bages_centro_urbano08251-32582216866_101800/,Anuncio actualizado el 11/11/2024,"B, B","B, B",bages (BCN),232 m²,,1.419 m²,4,2,,IF76306-I-00WR4P-W-02RJW3,Central,,N/A,Sureste,,,,,,Más de 50 años,,,,,,,1,,,,,,,,,,,,,,,,,,Privado,Propia,,,
Piso en Escodines,B.C. GESTIONS,375 €/m²,28.921 €,77 m²,https://www.pisos.com/comprar/piso-escodines08241-49237844497_106700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),77 m²,65 m²,,3,1,,IFC76360-MORE-1638,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.938 €/m²,73.645 €,38 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5168753023_109700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),38 m²,,,1,,A estrenar,1097-21766687,,,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Artés,"VicMoBa, S.L",125 €/m²,575.000 €,588 m²,https://www.pisos.com/comprar/finca_rustica-artes_centro_urbano-50073647142_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),588 m²,450 m²,4.595 m²,6,2,,SA3706-VMB-OI202164/3498,N/A,,N/A,,,,,,,,,,,,,,1,,,,,,,,,,,,,N/A,,,,N/A,,Propia,N/A,,
Casa en Castellbell I El Vilar,LA LLAR DE CASTELLET,1.739 €/m²,287.000 €,165 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-14207765536_518220/,Anuncio actualizado el 31/01/2025,"E, E","E, E",bages (BCN),165 m²,93 m²,,4,2,Reformado,518220-0238,Gas natural,Independiente,,Sur,N/A,N/A,N/A,,,,Roble,Parquet,Climalit,Aluminio,Frío y calor,Salon,Más de 2,,,,,,,,,,,N/A,,,,,,N/A,,,,,
Piso en Passeig de Pere Iii,"VicMoBa, S.L",1.495 €/m²,149.500 €,100 m²,https://www.pisos.com/comprar/piso-centre_passeig_i_rodalies08241-45096684381_100500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",bages (BCN),100 m²,95 m²,,4,2,,SA3706-VMB-IN00335/3498,,,,,,,,3ª,,,,Terrazo,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,
Casa adosada en Castellgalí,Engel & Völkers MMC Barcelona,792 €/m²,420.000 €,530 m²,https://www.pisos.com/comprar/casa_adosada-castellgali_centro_urbano-37512820166_101800/,Anuncio actualizado el 16/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),530 m²,,350 m²,8,5,,IF76306-I-00XHH6-W-02S6A6,Central,N/A,N/A,Noroeste,,,,,,Entre 30 y 50 años,,,,,,,1,,,,,,,,,,,,,,,Adosada,,,Privado,,,,
Chalet en Bages,IAD ESPAÑA,1.626 €/m²,135.000 €,83 m²,https://www.pisos.com/comprar/chalet-congost_santa_caterina_els_comtals08241-50859116748_108700/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),83 m²,83 m²,,3,1,,UVC882-31537,,,,,,,,,,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer del Doctor Esteve,"FINQUES MAJES 2000, S.L.",1.623 €/m²,215.900 €,133 m²,https://www.pisos.com/comprar/duplex-centre_passeig_i_rodalies08242-50094958909_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),133 m²,95 m²,,3,3,A estrenar,501506-V6849,Gas natural,13 m²,15 m²,Este,,,,3ª,N/A,Entre 10 y 20 años,Lacado,Parquet,N/A,Aluminio,,28 m²,1,Nº3,N/A,N/A,N/A,,N/A,,,,,,,,N/A,,,,,,,,
Piso en Oms I de Prat,"VicMoBa, S.L",1.737 €/m²,139.000 €,80 m²,https://www.pisos.com/comprar/piso-escodines08241-49258146485_100500/,Anuncio actualizado el 05/02/2025,"E, D","E, D",bages (BCN),80 m²,69 m²,,3,1,,SA3706-VMB-IN00353/3498,Gas natural,,,,,,,3ª,,Más de 50 años,,,,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,
Piso en Carrer de Santa Llúcia,Aliseda Inmobiliaria,617 €/m²,76.000 €,123 m²,https://www.pisos.com/comprar/piso-barri_antic-41745549428_105900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),123 m²,,,6,2,,AN1-ANT00030657632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Congost-Santa Caterina-Els Comtals,Engel & Völkers MMC Barcelona,2.334 €/m²,1.800.000 €,771 m²,https://www.pisos.com/comprar/casa-congost_santa_caterina_els_comtals08241-35087016320_101800/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),771 m²,,12.600 m²,6,2,,IF76306-I-00X3LK-W-02RWXM,Central,N/A,,Oeste,,,,,,,,,,,,,1,N/A,,,,,,,,1,,,,,,,,,Privado,Propia,,,
Piso en Carrer de la Llibertat,LES CLAUS DE SANT VICENÇ,1.990 €/m²,73.645 €,37 m²,https://www.pisos.com/comprar/piso-sant_vicenc_de_castellet_centro_urbano-5177192871_109700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),37 m²,,,1,,A estrenar,1097-21766678,,,,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Ca  Lesteve,IMMOMAX,733 €/m²,195.000 €,266 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-43410900218_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),266 m²,188 m²,,4,3,En buen estado,EP950-16367,,,N/A,Sur,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,N/A,,Propia,,,
