nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Conservación,Referencia,Calefacción,Cocina equipada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Planta,Exterior,Antigüedad,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Soleado,Gastos de comunidad,Amueblado,Armarios empotrados,Gas,Lavadero,Se aceptan mascotas,Sistema de seguridad,Balcón,Tipo de casa,Teléfono,Chimenea,Jardín,Piscina,Agua,Luz,Interior
Casa en Castellgalí,finques GALI,1.518 €/m²,369.000 €,243 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-35912885672_106700/,Anuncio actualizado el 23/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),243 m²,230 m²,423 m²,5,3,,IFC128-CAS_1770,,,,,,,,,,Entre 20 y 30 años,,,,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Castellgalí,finques GALI,1.107 €/m²,299.000 €,270 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-41727311182_106700/,Anuncio actualizado el 16/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),270 m²,,670 m²,5,2,,IFC128-CAS_1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Sant Fruitós de Bages,finques GALI,1.784 €/m²,149.900 €,84 m²,https://www.pisos.com/comprar/atico-sant_fruitos_de_bages_centro_urbano-49183849630_106700/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),84 m²,80 m²,,3,1,,IFC128-ÀTI_2120,,,,,,,,,,,,,N/A,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Castellbell i el Vilar,finques GALI,816 €/m²,299.000 €,366 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-30846602163_106700/,Anuncio actualizado el 04/06/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),366 m²,,,4,3,,IFC128-CAS_1570,,,N/A,,,,,,,,,,,,N/A,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,
Casa en Castellgalí,finques GALI,1.344 €/m²,390.000 €,290 m²,https://www.pisos.com/comprar/casa-castellgali_centro_urbano-19167037026_106700/,Anuncio actualizado el 12/03/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),290 m²,270 m²,521 m²,4,2,En buen estado,IFC128-CAS_1278,N/A,,,,,,,,,Entre 10 y 20 años,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Balsareny,finques GALI,1.237 €/m²,245.000 €,198 m²,https://www.pisos.com/comprar/casa-balsareny_centro_urbano-47523346188_106700/,Anuncio actualizado el 08/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),198 m²,166 m²,,3,3,,IFC128-CAS_2087,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa en Sant Salvador de Guardiola,Engel & Völkers MMC Barcelona,947 €/m²,450.000 €,475 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-41696287625_101800/,Anuncio actualizado el 06/11/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),475 m²,,250 m²,4,2,,IF76306-I-00XZIR-W-02U6PG,Central,N/A,N/A,A la montaña,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,Privado,Propia,,,
Casa en Castellnou de Bages,Engel & Völkers MMC Barcelona,1.077 €/m²,390.000 €,362 m²,https://www.pisos.com/comprar/casa-castellnou_de_bages_centro_urbano08251-35919169474_101800/,Anuncio actualizado el 25/10/2024,"E, F","E, F",bages (BCN),362 m²,,688 m²,6,4,,IF76306-I-00XAZ6-W-02SKL7,Central,,N/A,A la montaña,,,,,,Entre 30 y 50 años,,,,,,,1,,,,,,,,,,,,,,,,,,Privado,,,,
Casa adosada en Carrer de Sant Jordi,Aliseda Inmobiliaria,694 €/m²,148.000 €,213 m²,https://www.pisos.com/comprar/casa_adosada-fonollosa_centro_urbano-42576586200_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),213 m²,,,3,2,,AN1-ANT00030684561,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,
Casa en Carrer de la Font de la Mata,VIVANTIAL,1.084 €/m²,245.000 €,226 m²,https://www.pisos.com/comprar/casa-castellbell_i_el_vilar_centro_urbano-30911537003_109300/,Anuncio actualizado el 09/08/2024,"E, E","E, E",bages (BCN),226 m²,156 m²,,,,En buen estado,EP618-11732-13,,,N/A,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,N/A,,,
"Piso en Carrer de la Trieta, nº .",Housfy real Estate,1.916 €/m²,230.000 €,120 m²,https://www.pisos.com/comprar/piso-manresa_sagrada_familia08243-45842104141_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),120 m²,108 m²,,4,2,,EP442-781692,N/A,,N/A,,,,,4ª,,,,,,,N/A,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,
Casa adosada en Avenida Casa Sebarroja,Aliseda Inmobiliaria,698 €/m²,714.000 €,1.022 m²,https://www.pisos.com/comprar/casa_adosada-santpedor_centro_urbano-49237133426_105900/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,bages (BCN),1.022 m²,,,,,,AN1-ANT00030665739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,,
"Casa en Carrer de Sant Marc, nº .",Housfy real Estate,972 €/m²,280.000 €,288 m²,https://www.pisos.com/comprar/casa-sant_salvador_de_guardiola_centro_urbano-45878075134_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,bages (BCN),288 m²,288 m²,,6,2,,EP442-753071,N/A,,N/A,,,,,,,,,,,,N/A,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,N/A,,,
