nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Carrer de Rabassa,Urbane International Real estate,5.902 €/m²,425.000 €,72 m²,https://www.pisos.com/comprar/piso-la_vila_de_gracia08024-50882625424_109300/,Anuncio actualizado el 14/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),72 m²,1,1,,,EP974-3737,N/A,Eléctrica,49 m²,N/A,En buen estado,,,,Frío y calor,N/A,,,,,,,N/A,,,,,,1,,,,,,,,N/A,,N/A,,,,,,,
Piso en El Baix Guinardó,Engel & Völkers MMC Barcelona,6.645 €/m²,525.000 €,79 m²,https://www.pisos.com/comprar/piso-el_baix_guinardo08025-5129272807_109700/,Anuncio actualizado el 03/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),79 m²,3,2,,,IF76306-D-000LKN,N/A,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Balmes,Urbane International Real estate,6.893 €/m²,999.500 €,145 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08008-49221823334_109300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),145 m²,4,2,1ª,,EP974-3650,N/A,Gas natural,145 m²,N/A,,,,,Frío,N/A,,,,,,,N/A,,,,,,,,,,,,,,N/A,,N/A,,,,,,,
Ático en Carrer de Lepant,BARCINO JURIDIC,7.500 €/m²,900.000 €,120 m²,https://www.pisos.com/comprar/atico-el_baix_guinardo08025-48424844153_101800/,Anuncio actualizado el 21/10/2024,"E, E","E, E",barcelona_capital (BCN),120 m²,4,3,,Más de 50 años,IF6819-Travesera - Lepanto,N/A,Central,,,,,,,,N/A,,,,,N/A,,N/A,,1,,,,,N/A,,,,N/A,,,,,,,,,,,,
Ático en Carrer de la Diputació,WALTER HAUS,7.534 €/m²,1.100.000 €,146 m²,https://www.pisos.com/comprar/atico-la_dreta_de_eixample08013-50883780959_101800/,Anuncio actualizado el 17/01/2025,"F, F","F, F",barcelona_capital (BCN),146 m²,3,4,,,IF7349-5084V,N/A,Central,,,,,,,,N/A,,,,,,,N/A,,1,,,,,,,,,,,,,,,,,,,,,
Dúplex en Passeig de García Fària,DCANO Real Estate Agency,11.250 €/m²,4.500.000 €,400 m²,https://www.pisos.com/comprar/duplex-diagonal_mar_el_front_maritim_del_poblenou08019-51724381887_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),400 m²,4,4,Bajo,Entre 5 y 10 años,SA5856-DC015/9085,N/A,Gas natural,240 m²,,,,,,N/A,,,,Sureste,,N/A,,N/A,,1,,,N/A,1,N/A,N/A,,,,Comunitaria,,N/A,,N/A,,,,,,,
Piso en El Poble-sec,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,3.427 €/m²,329.000 €,96 m²,https://www.pisos.com/comprar/piso-el_poble_sec08004-42507053883_101800/,Anuncio actualizado el 23/11/2024,"E, E","E, E",barcelona_capital (BCN),96 m²,4,1,2ª,Más de 50 años,IF77106-LCB29466,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Camp de l'Arpa del Clot,TECNOCASA CLOT D ARAGO,3.986 €/m²,295.000 €,74 m²,https://www.pisos.com/comprar/piso-el_camp_de_arpa_del_clot08026-48343765609_100200/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),74 m²,3,1,4ª,Más de 50 años,TC558-596734,,,,,En buen estado,Más de 100 €,,,N/A,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Vallcarca-Els Penitents,ENTRE SUELOS INMOBILIARIA,3.597 €/m²,1.180.000 €,328 m²,https://www.pisos.com/comprar/casa-vallcarca_els_penitents08023-43355846959_101800/,Anuncio actualizado el 11/12/2024,"E, D","E, D",barcelona_capital (BCN),328 m²,6,6,,,IF5919-1113 VALLCARCA,,Central,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Miguel Pedrola y Alegre,ALFA CASA,5.271 €/m²,369.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-45917870197_109300/,Anuncio actualizado el 08/08/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),70 m²,3,1,3ª,,EP1011-1577,N/A,Eléctrica,60 m²,N/A,,,,,,N/A,,,Sur,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Balmes,CORNEX CAPITAL,4.896 €/m²,950.000 €,194 m²,https://www.pisos.com/comprar/piso-sant_gervasi_galvany08006-42508081858_108900/,Anuncio actualizado el 03/01/2025,"E, E","E, E",barcelona_capital (BCN),194 m²,5,4,2ª,,XA597-V-BONANOVA-10,N/A,N/A,,N/A,En buen estado,,,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Gernika,PISOS LA MARINA,4.154 €/m²,349.000 €,84 m²,https://www.pisos.com/comprar/piso-la_marina_del_port_parc_de_montjuic08038-51752221216_997297/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),84 m²,2,1,Bajo,Entre 10 y 20 años,4997297-2715,N/A,,75 m²,N/A,En buen estado,,,,Frío y calor,,,,Noreste,,N/A,,N/A,,,,,,,,,,Privado,,Propia,,,,,,N/A,,,,,
Piso en Eixample,Alemany Real Estate,8.076 €/m²,1.050.000 €,130 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08009-50871454764_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",barcelona_capital (BCN),130 m²,4,2,2ª,Entre 20 y 30 años,SA1889-A02287/5298,N/A,Gas natural,116 m²,,,,,,N/A,,,,Sureste,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Ramon Turró,FINCADOR,5.533 €/m²,830.000 €,150 m²,https://www.pisos.com/comprar/duplex-la_vila_olimpica_del_poblenou08005-49201732909_995255/,Anuncio actualizado el 20/02/2025,"E, E","E, E",barcelona_capital (BCN),150 m²,4,3,4ª,Entre 30 y 50 años,4995255-ALM_RTurro,N/A,Gas natural,140 m²,N/A,En buen estado,Más de 100 €,Parquet,PVC,,N/A,N/A,,,N/A,,,N/A,,2,N/A,N/A,,1,N/A,N/A,N/A,Comunitario,N/A,Comunitaria,,,,,,N/A,,,,,
Estudio en Plaça de Jaume Huguet,ETHIC REAL ESTATE,2.066 €/m²,155.000 €,75 m²,https://www.pisos.com/comprar/estudio-el_besos_el_maresme08019-51726344111_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),75 m²,2,1,Bajo,Más de 50 años,SA4866-878/9037,N/A,,65 m²,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,
"Piso en Carrer de Padilla, 334",Jordi Cos,4.230 €/m²,550.000 €,130 m²,https://www.pisos.com/comprar/piso-el_baix_guinardo08025-47555844055_108700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),130 m²,5,4,,Más de 50 años,UVC762-28765,,N/A,130 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en El Gòtic,SINGULAR PROPERTIES,6.217 €/m²,485.000 €,78 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-48387278199_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),78 m²,3,3,2ª,Más de 50 años,SA2030-SP426JO/2237,N/A,,,,,Entre 80 y 100 €,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda Meridiana,ANCOR PROPERTIES,3.243 €/m²,240.000 €,74 m²,https://www.pisos.com/comprar/piso-sant_andreu_barrio08030-50922384664_100500/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),74 m²,2,2,,Más de 50 años,SA5469-106943779,N/A,,,N/A,A reformar,,,,N/A,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en Camí de Sant Cugat,URBAN COSTA-BRAVA,3.482 €/m²,975.000 €,280 m²,https://www.pisos.com/comprar/chalet-vallvidrera_el_tibidabo_les_planes08035-43365032425_100500/,Anuncio actualizado el 05/11/2024,"G, F","G, F",barcelona_capital (BCN),280 m²,6,2,,,SA5325-10284,,Central,240 m²,,,,,,,,,,Sur,,,,N/A,,1,,,,,,,,N/A,,,,,,,341 m²,,,,,,
Piso en Carrer del Bisbe Català,CORNEX CAPITAL,5.381 €/m²,1.480.000 €,275 m²,https://www.pisos.com/comprar/piso-pedralbes08034-45877421504_108900/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),275 m²,3,3,1ª,,XA597-V-PEDRALBES-16,N/A,,,N/A,A reformar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Font de la Guatlla,Estudi Gestio Plaça De Sants Slu,3.535 €/m²,495.000 €,140 m²,https://www.pisos.com/comprar/piso-la_font_de_la_guatlla08004-44205415525_100200/,Anuncio actualizado el 24/01/2025,"E, E","E, E",barcelona_capital (BCN),140 m²,3,1,2ª,Más de 50 años,TC1106-581360,N/A,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de la Cera,DON PISO BCN - SANT ANTONI,5.769 €/m²,450.000 €,78 m²,https://www.pisos.com/comprar/piso-el_raval08001-48427820886_519046/,Anuncio actualizado el 17/02/2025,"B, B","B, B",barcelona_capital (BCN),78 m²,3,1,4ª,Menos de 5 años,4519046-286909,N/A,,70 m²,N/A,A estrenar,,Parquet,Aluminio,Frío y calor,N/A,N/A,N/A,,N/A,,N/A,,,Más de 2,,,,,,,,,,Comunitaria,,,,,,,,,,,
Piso en Carrer de Pau Claris,Urbane International Real estate,7.718 €/m²,1.428.000 €,185 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08009-43352373909_109300/,Anuncio actualizado el 14/05/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),185 m²,3,2,2ª,,EP974-1422,N/A,Eléctrica,158 m²,,,,,,Frío y calor,N/A,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,
Piso en Plaça del Pedró,SIMURBA,2.637 €/m²,153.000 €,58 m²,https://www.pisos.com/comprar/piso-el_raval08001-50847001708_990014/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),58 m²,1,1,Entresuelo,Más de 50 años,4990014-5263,,,57 m²,N/A,A reformar,,,Madera,,N/A,N/A,,Oeste,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Comerç,FINQUES FUTURA,5.059 €/m²,419.900 €,83 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-49216447097_109300/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),83 m²,3,2,1ª,,EP673-5512,N/A,Gas natural,73 m²,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estudio en Plaça de Jaume Huguet,ETHIC REAL ESTATE,2.066 €/m²,155.000 €,75 m²,https://www.pisos.com/comprar/estudio-el_besos_el_maresme08019-50835586075_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),75 m²,2,1,Bajo,Más de 50 años,SA4866-863/9037,N/A,,65 m²,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,N/A,,,,,,,
Piso en Carrer del Consell de Cent,CORNEX CAPITAL,4.090 €/m²,360.000 €,88 m²,https://www.pisos.com/comprar/piso-la_nova_esquerra_de_eixample08015-43371202024_108900/,Anuncio actualizado el 15/02/2025,"E, E","E, E",barcelona_capital (BCN),88 m²,3,1,,,XA597-V-EIXAM.NOV-05,N/A,,,N/A,A reformar,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Dalmases,SINGULAR PROPERTIES,5.446 €/m²,1.585.000 €,291 m²,https://www.pisos.com/comprar/piso-les_tres_torres08017-45913503532_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),291 m²,6,6,2ª,Entre 30 y 50 años,SA2030-SP133EL/2237,N/A,N/A,220 m²,,,Más de 100 €,Tarima maciza,,N/A,,N/A,,,,,,N/A,,1,,,,1,N/A,,,,,,,,,,,,,,,,
Ático en Carrer d'Argimon,SINGULAR PROPERTIES,4.854 €/m²,500.000 €,103 m²,https://www.pisos.com/comprar/atico-el_carmel08032-49205522010_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),103 m²,5,3,6ª,Más de 50 años,SA2030-SP109MW/2237,N/A,,,,,Entre 80 y 100 €,,,,,,,Suroeste,,,N/A,N/A,,,,,,1,,,,,,,,,,,,,,,,,
Dúplex en El Poble-sec,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,4.393 €/m²,145.000 €,33 m²,https://www.pisos.com/comprar/duplex-el_poble_sec08004-50014523298_101800/,Anuncio actualizado el 12/12/2024,"E, E","E, E",barcelona_capital (BCN),33 m²,1,1,,Más de 50 años,IF77106-LCB32081,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Via Laietana,FINCADOR,5.603 €/m²,1.300.000 €,232 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08003-48374870260_995255/,Anuncio actualizado el 20/02/2025,"D, D","D, D",barcelona_capital (BCN),232 m²,4,4,3ª,Más de 50 años,4995255-7ALVA23,N/A,Gas natural,210 m²,N/A,En buen estado,,Parquet,PVC,,N/A,N/A,,,,,N/A,,,Más de 2,N/A,N/A,,,N/A,N/A,N/A,,N/A,,,N/A,,,,N/A,,,,,
Piso en El Raval,COMFI HOMES BARCELONA,4.375 €/m²,175.000 €,40 m²,https://www.pisos.com/comprar/piso-el_raval08001-47582091553_108900/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona_capital (BCN),40 m²,3,1,Bajo,Entre 30 y 50 años,XA869-COMFI 581038,N/A,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en La Dreta de l'Eixample,Engel & Völkers MMC Barcelona,7.649 €/m²,1.025.000 €,134 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08025-5008415997_109700/,Anuncio actualizado el 04/12/2024,"E, E","E, E",barcelona_capital (BCN),134 m²,3,2,,,IF76306-D-000IAD,,,,,A estrenar,,,,Frío y calor,N/A,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Pj Valeri Serra, nº 19",TOLL WOHNEN,6.099 €/m²,860.000 €,141 m²,https://www.pisos.com/comprar/piso-antiga_esquerra_de_eixample08011-48391138542_108900/,Anuncio actualizado el 07/02/2025,"E, D","E, D",barcelona_capital (BCN),141 m²,3,2,Entresuelo,Más de 50 años,XA861-TWB315,N/A,N/A,133 m²,N/A,,,,,N/A,N/A,,,,,,,30,,N/A,,N/A,,,N/A,N/A,,,N/A,,,N/A,,N/A,,,,,,,
Piso en Hostafrancs,Estudi Gestio Plaça De Sants Slu,3.750 €/m²,390.000 €,104 m²,https://www.pisos.com/comprar/piso-sants_montjuic_hostafrancs08014-51717456596_100200/,Anuncio actualizado el 07/02/2025,"C, C","C, C",barcelona_capital (BCN),104 m²,3,2,4ª,Entre 30 y 50 años,TC1106-609136,,,,,A estrenar,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Mallorca,WALTER HAUS,7.523 €/m²,1.580.000 €,210 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08037-50911309369_101800/,Anuncio actualizado el 17/01/2025,"F, E","F, E",barcelona_capital (BCN),210 m²,3,2,,,IF7349-4784V,N/A,Central,,,,,,,,N/A,,,,,,,,,1,,,,,,,,,N/A,,,N/A,,,,,,,,,
Piso en Barcelonés,IGNACIO BORDANOVE VAZQUEZ,3.588 €/m²,445.000 €,124 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-45026309102_108700/,Anuncio actualizado el 31/01/2025,"F, E","F, E",barcelona_capital (BCN),124 m²,2,1,,Más de 50 años,UVC715-26695,,,124 m²,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Pere - Santa Caterina I La Ribera,Casc Antic BCN Gestión Inmobiliaria,5.925 €/m²,474.000 €,80 m²,https://www.pisos.com/comprar/piso-sant_pere_santa_caterina_la_ribera08003-50897322477_100500/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),80 m²,2,2,2ª,Más de 50 años,SA4876-v1881/7617,N/A,N/A,75 m²,,,,Parquet,,N/A,,N/A,,Sur,,,N/A,N/A,,1,,,,,,,,,,,,N/A,,,,,,,,,
Piso en Carrer de Benet Mateu,Llarcelona,4.750 €/m²,285.000 €,60 m²,https://www.pisos.com/comprar/piso-sarria_sant_gervasi_sarria08034-45005251986_100500/,Anuncio actualizado el 24/01/2025,"G, G","G, G",barcelona_capital (BCN),60 m²,2,1,Bajo,Más de 50 años,SA2024-Llar868/4463,N/A,N/A,54 m²,,,Entre 20 y 40 €,Parquet,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Plaça Sant Jaume - Plaça del Rei,LIVING Luxury Real Estate. Barcelona,5.125 €/m²,410.000 €,80 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-46749423635_109100/,Anuncio actualizado el 16/01/2025,"E, E","E, E",barcelona_capital (BCN),80 m²,2,1,2ª,,FE42-285531,N/A,Eléctrica,70 m²,Exterior calle,,Entre 60 y 80 €,Otros,Madera,Con bomba de calor,,,,Noreste,Por la mañana,,,,,,,,,,,,,,,,,,,,,Otra compañía,,,,,
"Piso en Carrer d'Aragó, 477",TOLL WOHNEN,6.808 €/m²,320.000 €,47 m²,https://www.pisos.com/comprar/piso-la_sagrada_familia08013-48389874535_108900/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),47 m²,1,1,,Más de 50 años,XA861-TWB367,,,42 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Passeig dels Til·lers,CORNEX CAPITAL,6.111 €/m²,2.200.000 €,360 m²,https://www.pisos.com/comprar/chalet-pedralbes08034-50050029798_108900/,Anuncio actualizado el 21/01/2025,"E, E","E, E",barcelona_capital (BCN),360 m²,4,4,,,XA597-V-PEDRALBES-21,,N/A,,,En buen estado,,,,N/A,,,,,,N/A,,N/A,,,,,,N/A,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de la Cera,ETHIC REAL ESTATE,5.769 €/m²,450.000 €,78 m²,https://www.pisos.com/comprar/piso-el_raval08001-45840262229_100500/,Anuncio actualizado el 07/02/2025,"B, B","B, B",barcelona_capital (BCN),78 m²,2,2,4ª,Entre 5 y 10 años,SA4866-705/9037,N/A,,70 m²,,,Más de 100 €,,,,,,,,,,N/A,N/A,,1,,,,,,,,,,Comunitaria,,,,N/A,,,,,,,
Piso en Plaça de Sarrià,LIVING Luxury Real Estate. Barcelona,5.600 €/m²,420.000 €,75 m²,https://www.pisos.com/comprar/piso-sarria_sant_gervasi_sarria08034-45020490545_109100/,Anuncio actualizado el 17/01/2025,"G, G","G, G",barcelona_capital (BCN),75 m²,2,2,,,FE42-285317,N/A,N/A,75 m²,,,,Parket,,N/A,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Antoni,"PISOS UNIVERSITAT MAR, S.L.",4.915 €/m²,467.000 €,95 m²,https://www.pisos.com/comprar/piso-eixample_sant_antoni08015-50916228536_100200/,Anuncio actualizado el 17/01/2025,"F, E","F, E",barcelona_capital (BCN),95 m²,3,1,,Más de 50 años,TC332-605771,N/A,N/A,,,En buen estado,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Gervasi-Galvany,Durán Carasso,5.145 €/m²,1.595.000 €,310 m²,https://www.pisos.com/comprar/casa-sant_gervasi_galvany08006-50838876501_105600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),310 m²,3,4,,,BM201-ON0084/91,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Carrer del Salvador,FINCAS EVA,3.170 €/m²,149.000 €,47 m²,https://www.pisos.com/comprar/piso-el_raval08001-50098089747_109300/,Anuncio actualizado el 08/01/2025,"G, G","G, G",barcelona_capital (BCN),47 m²,2,1,1ª,Más de 50 años,EP918-FE0199,,No tiene calefacción,44 m²,N/A,,40,,N/A,,Americana,,,Este,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Avinguda d'Icària,CORNEX CAPITAL,5.475 €/m²,657.000 €,120 m²,https://www.pisos.com/comprar/duplex-la_vila_olimpica_del_poblenou08005-51685286895_108900/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),120 m²,2,2,,,XA597-V-DESLITE-A07,,N/A,,N/A,En buen estado,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de València,FINQUES FUTURA,6.532 €/m²,810.000 €,124 m²,https://www.pisos.com/comprar/piso-la_dreta_de_eixample08009-50840299024_109300/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),124 m²,5,2,,,EP673-5532,N/A,Gas natural,101 m²,,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Sant Marti,Urbane International Real estate,5.500 €/m²,550.000 €,100 m²,https://www.pisos.com/comprar/piso-sant_andreu_navas08026-50862626143_109300/,Anuncio actualizado el 15/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),100 m²,1,1,8ª,,EP974-2930,N/A,,61 m²,N/A,,,,,,N/A,,,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,N/A,,,,,,,
Dúplex en Carrer de Pau Claris,Urbane International Real estate,11.010 €/m²,2.158.000 €,196 m²,https://www.pisos.com/comprar/duplex-la_dreta_de_eixample08009-43399931513_109300/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),196 m²,2,3,,,EP974-1410,N/A,,,N/A,,,,,,N/A,,,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,,,,,
Piso en La Sagrada Família,Engel & Völkers MMC Barcelona,7.846 €/m²,816.000 €,104 m²,https://www.pisos.com/comprar/piso-la_sagrada_familia08013-4877487746_109700/,Anuncio actualizado el 11/02/2025,"A, A","A, A",barcelona_capital (BCN),104 m²,3,2,,,IF76306-D-000HY1,N/A,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Enrique Granados,Urbane International Real estate,8.380 €/m²,880.000 €,105 m²,https://www.pisos.com/comprar/piso-antiga_esquerra_de_eixample08007-51708730831_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),105 m²,2,2,1ª,,EP974-3780,,Eléctrica,98 m²,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Berlín,SINGULAR PROPERTIES,6.333 €/m²,570.000 €,90 m²,https://www.pisos.com/comprar/piso-les_corts_barrio08029-49176939699_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",barcelona_capital (BCN),90 m²,4,2,5ª,Entre 30 y 50 años,SA2030-SP106MW/2237,N/A,,,,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Icària,CORNEX CAPITAL,6.640 €/m²,591.000 €,89 m²,https://www.pisos.com/comprar/piso-la_vila_olimpica_del_poblenou08005-51684319763_108900/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),89 m²,1,1,,,XA597-V-DESLITE-B11,,N/A,,N/A,En buen estado,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Travessera de Gràcia,CANO & PUJOL,5.475 €/m²,438.000 €,80 m²,https://www.pisos.com/comprar/piso-la_vila_de_gracia08012-48426193243_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),80 m²,4,2,3ª,,EP1034-5390,N/A,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,
Piso en Carrer de Provença,TORESFA,6.393 €/m²,780.000 €,122 m²,https://www.pisos.com/comprar/piso-antiga_esquerra_de_eixample08008-49245588396_992878/,Anuncio actualizado el 08/01/2025,"E, E","E, E",barcelona_capital (BCN),122 m²,4,2,2ª,Entre 30 y 50 años,992878-P 08008151124,N/A,Gas natural,115 m²,N/A,En buen estado,,Parquet,Aluminio,Frío y calor,,,,,N/A,,N/A,,,2,,Doble carpintería exterior en cerramiento balcón,,,,N/A,,,N/A,,,,N/A,,,N/A,,,,,
Casa en Sants - Badal,SINGULAR PROPERTIES,4.525 €/m²,525.000 €,116 m²,https://www.pisos.com/comprar/casa-sants_badal-50877599016_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),116 m²,4,3,,Entre 20 y 30 años,SA2030-SP118MT/2237,,N/A,,,,,,,N/A,,,,Sureste,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de Castanyer,SINGULAR PROPERTIES,4.247 €/m²,480.000 €,113 m²,https://www.pisos.com/comprar/piso-sant_gervasi_la_bonanova08022-50907771346_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),113 m²,4,2,Bajo,,SA2030-SP190NE/2237,N/A,Gas natural,100 m²,,,Entre 60 y 80 €,,,,,,,Sur,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,
Piso en Carrer de Calderón de la Barca,Don Casa,3.134 €/m²,210.000 €,67 m²,https://www.pisos.com/comprar/piso-el_carmel08032-48408499277_500869/,Anuncio actualizado el 16/02/2025,"E, E","E, E",barcelona_capital (BCN),67 m²,3,1,Bajo,Más de 50 años,500869-BVGH1048,N/A,,60 m²,N/A,En buen estado,Entre 20 y 40 €,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
