nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Planta,Antigüedad,Referencia,Ascensor,Calefacción,Superficie útil,Exterior,Conservación,Gastos de comunidad,Tipo suelo,Carpintería exterior,Aire acondicionado,Cocina equipada,Comedor,Portero automático,Orientación,Soleado,Trastero,Balcón,Terraza,Se aceptan mascotas,Armarios empotrados,Carpintería interior,Vidrios dobles,Teléfono,Garaje,Puerta blindada,Sistema de seguridad,Adaptado a personas con movilidad reducida,Jardín,Lavadero,Piscina,Interior,Amueblado,Chimenea,Agua,Superficie solar,Gas,Luz,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Loft en El Raval,Engel & Völkers MMC Barcelona,5.232 €/m²,450.000 €,86 m²,https://www.pisos.com/comprar/loft-el_raval08001-32542796010_101800/,Anuncio actualizado el 25/06/2024,"C, C","C, C",barcelona_capital (BCN),86 m²,2,1,,,IF76306-I-00WQ1Q-W-02RNXU,N/A,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,Propia,,,,,,,,,,,
Apartamento en Carrer de Girona,Engel & Völkers MMC Barcelona,8.914 €/m²,1.150.000 €,129 m²,https://www.pisos.com/comprar/apartamento-la_dreta_de_eixample08010-50035583651_101800/,Anuncio actualizado el 06/12/2024,"F, E","F, E",barcelona_capital (BCN),129 m²,3,3,6ª,Más de 50 años,IF76306-I-00YU5S-W-02XTMZ,N/A,Central,,,,,,,,N/A,,,,,,,,,1,,,,,,,,,N/A,,,,,,,,,,,,
Piso en La Trinitat Vella,"DESARROLLO SANT ANDREU, S.L.U",3.507 €/m²,199.900 €,57 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-50907199742_100200/,Anuncio actualizado el 30/01/2025,"E, E","E, E",barcelona_capital (BCN),57 m²,3,1,,Más de 50 años,TC586-605584,,N/A,,,En buen estado,Más de 100 €,,,N/A,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Loft en El Raval,Engel & Völkers MMC Barcelona,5.232 €/m²,450.000 €,86 m²,https://www.pisos.com/comprar/loft-el_raval08001-4895151280_109700/,Anuncio actualizado el 18/12/2024,"C, C","C, C",barcelona_capital (BCN),86 m²,2,1,,,IF76306-D-000F2T,,,,,A estrenar,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Villarroel, 214",IAD ESPAÑA,6.844 €/m²,746.000 €,109 m²,https://www.pisos.com/comprar/piso-antiga_esquerra_de_eixample08036-51696856118_108700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",barcelona_capital (BCN),109 m²,3,2,,Más de 50 años,UVC882-31788,N/A,,109 m²,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Ático en L'Antiga Esquerra de l'Eixample,Engel & Völkers MMC Barcelona,8.068 €/m²,710.000 €,88 m²,https://www.pisos.com/comprar/atico-antiga_esquerra_de_eixample08036-48357393937_101800/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),88 m²,2,2,,Más de 50 años,IF76306-I-00YPGB-W-02X7S6,N/A,Central,,,,,,,,,,,,,N/A,,N/A,,1,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de la Foradada,MERCAT IMMOBILIARI CATALA,2.318 €/m²,160.000 €,69 m²,https://www.pisos.com/comprar/piso-la_trinitat_vella08033-50855403156_106000/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),69 m²,2,1,1ª,,NI268-PORTA-4196MA,N/A,,63 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Nou de Sant Francesc,INMODERNA GSI,4.880 €/m²,449.000 €,92 m²,https://www.pisos.com/comprar/piso-el_barri_gotic08002-51736486194_101300/,Anuncio actualizado el 13/02/2025,"E, E","E, E",barcelona_capital (BCN),92 m²,3,1,,Más de 50 años,API222-288411,N/A,N/A,77 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda del Paral·lel,JPC Serveis Immobiliaris,3.708 €/m²,445.000 €,120 m²,https://www.pisos.com/comprar/piso-eixample_sant_antoni08015-47559854197_527412/,Anuncio actualizado el 14/11/2024,Error al procesar consumo,Error al procesar emisiones,barcelona_capital (BCN),120 m²,4,2,3ª,Más de 50 años,4527412-000086,N/A,,110 m²,N/A,En buen estado,,Parquet,Madera,,,,,Noreste,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,
Apartamento en Can Baró,Engel & Völkers MMC Barcelona,5.769 €/m²,675.000 €,117 m²,https://www.pisos.com/comprar/apartamento-can_baro08024-41752381611_101800/,Anuncio actualizado el 28/01/2025,"E, D","E, D",barcelona_capital (BCN),117 m²,4,3,,Entre 20 y 30 años,IF76306-I-00XYAY-W-02UHN2,N/A,Central,,,,,,,,N/A,,,Suroeste,,,,,,1,,,,1,,,,,,,,,,,,,,,,,
