nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Puerta blindada,Superficie solar,Agua,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Garaje,Trastero,Sistema de seguridad,Tipo de casa,Gastos de comunidad,Amueblado,Armarios empotrados,Chimenea,Teléfono,Ascensor,Carpintería interior,Vidrios dobles,Gas,Lavadero,Portero automático,Soleado,Se aceptan mascotas,Balcón,Interior,Adaptado a personas con movilidad reducida,Luz
Casa en Carrer de Sant Joan,UN SOMNI X M2,1.356 €/m²,312.000 €,230 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-45052062831_103800/,Anuncio actualizado el 17/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),230 m²,199 m²,4,3,,,,En buen estado,INB577-3328,Parquet,,,Central,N/A,,,136 m²,,N/A,N/A,Propia,A la montaña,,,,Más de 2,N/A,,,,,N/A,,,,,,,,,,,,,,
Casa en Carrer Major,FINQUES GAUDI - IGUALADA,472 €/m²,130.000 €,275 m²,https://www.pisos.com/comprar/casa-santa_margarida_de_montbui_centro_urbano-50087679057_501441/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),275 m²,275 m²,1,1,,,Más de 50 años,A reformar,501441-013161,,Madera,,,,,,552 m²,,N/A,Privado,,Sureste,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle Marià Cuyner,UN SOMNI X M2,1.362 €/m²,139.000 €,102 m²,https://www.pisos.com/comprar/piso-pla_de_sant_magi-50001587297_103800/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),102 m²,,2,1,2ª,N/A,,,INB577-RC-0062,Gres,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
Chalet en Les Comes Iii,finques igualada,1.983 €/m²,470.000 €,237 m²,https://www.pisos.com/comprar/chalet-les_comes08700-9199895453_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",anoia (BCN),237 m²,214 m²,4,3,,,Entre 20 y 30 años,,SA1184-JF131120/2067,Gres,,N/A,Gas natural,,,N/A,365 m²,N/A,N/A,N/A,Propia,Norte,,,,1,N/A,N/A,,,,1,,,,,,,,,,,,,,
Casa unifamiliar en Carrer de l'Hospitalet,Alfa pisos i casas Anoia,1.825 €/m²,230.000 €,126 m²,https://www.pisos.com/comprar/casa_unifamiliar-cabrera_anoia_centro_urbano-44207592733_101000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),126 m²,,4,2,,,,,AF216-2322/31,,,,,,,,,,,,,,,,,,,,Unifamiliar,,,,,,,,,,,,,,,,,
Piso en  Maians I S Pere Martir,Aliseda Inmobiliaria,1.354 €/m²,107.000 €,79 m²,https://www.pisos.com/comprar/piso-odena_centro_urbano-40847001919_109700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),79 m²,,3,2,,,,A estrenar,-16065,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en Carrer d'Holanda,FINQUES EL POBLE,2.166 €/m²,130.000 €,60 m²,https://www.pisos.com/comprar/chalet-els_hostalets_de_pierola-51716560877_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),60 m²,,2,1,,,,En buen estado,SA4698-7448,,,,,,,,,,,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda de Josep Miró,Aliseda Inmobiliaria,927 €/m²,77.000 €,83 m²,https://www.pisos.com/comprar/piso-calaf_centro_urbano08280-45914577320_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),83 m²,,3,2,,,,A estrenar,-930000291,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
"Piso en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.846 €/m²,259.000 €,91 m²,https://www.pisos.com/comprar/piso-el_bruc_centro_urbano-4931970182_109700/,Anuncio actualizado el 23/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),91 m²,,3,2,Bajo,,,A estrenar,1097-21499268,,,Frío y calor,,,,,,,,Privado,,A la montaña,,,,N/A,,,,,,,,,N/A,,,,,,,,N/A,,,
Dúplex en Vilanova del Camí,FINQUES SUBIRANA,1.546 €/m²,150.000 €,97 m²,https://www.pisos.com/comprar/duplex-vilanova_del_cami_centro_urbano-45030819258_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",anoia (BCN),97 m²,85 m²,3,1,2ª,,Entre 20 y 30 años,,SA377-18585/1783,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
Piso en Poble Sec,FINQUES SUBIRANA,2.055 €/m²,185.000 €,90 m²,https://www.pisos.com/comprar/piso-pla_de_sant_magi-50018817726_100500/,Anuncio actualizado el 18/02/2025,"F, F","F, F",anoia (BCN),90 m²,77 m²,4,2,4ª,,Más de 50 años,,SA377-18832/1783,Parquet,,N/A,Gas natural,,,,,,N/A,,,Norte,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,
Casa en Calaf,FINQUES SUBIRANA,496 €/m²,139.500 €,281 m²,https://www.pisos.com/comprar/casa-calaf_centro_urbano08280-48425209010_100500/,Anuncio actualizado el 18/02/2025,"F, F","F, F",anoia (BCN),281 m²,80 m²,2,1,,,Más de 50 años,,SA377-18730/1783,Terrazo,,,N/A,,,,,,,N/A,,Este,,,,1,N/A,,,,,,,,,,,,,,,,,,,
