nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Puerta blindada,Superficie solar,Agua,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Garaje,Trastero,Sistema de seguridad,Tipo de casa,Gastos de comunidad,Amueblado,Armarios empotrados,Chimenea,Teléfono,Ascensor,Carpintería interior,Vidrios dobles,Gas,Lavadero,Portero automático,Soleado,Se aceptan mascotas,Balcón,Interior,Adaptado a personas con movilidad reducida,Luz
Casa en Can Mata,D & HABITAT,1.524 €/m²,285.000 €,187 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-25041387754_510396/,Anuncio actualizado el 05/02/2025,"E, E","E, E",anoia (BCN),187 m²,175 m²,3,1,,,Entre 20 y 30 años,En buen estado,510396-010151,Gres,Aluminio,,,N/A,N/A,,972 m²,,N/A,,Propia,,,N/A,...,1,,,,,,,,N/A,,,.,N/A,,,,N/A,,,,
Casa en Carrer de la Generalitat,Konectas.com,1.455 €/m²,345.000 €,237 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-42501629704_100500/,Anuncio actualizado el 21/08/2024,"E, E","E, E",anoia (BCN),237 m²,225 m²,4,3,,,,,SA5251-KON06202/2837,,,,,,,,,,N/A,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,
Dúplex en Carrer Nou,Alfa pisos i casas Anoia,1.321 €/m²,115.000 €,87 m²,https://www.pisos.com/comprar/duplex-vallbona_anoia_centro_urbano-39261332513_101000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),87 m²,,2,1,,N/A,,,AF216-2322/7,,,,,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,
Casa en Can Gras,BEST HOUSE MARTORELL,721 €/m²,171.000 €,237 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_pierola-29235341860_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),237 m²,220 m²,4,1,,,Más de 50 años,,SA449-705234/3134,Gres,,,N/A,,,,,,N/A,,,Sur,N/A,,,,N/A,,,,,,N/A,,,,,,,,,,,,,
Casa en Els Hostalets de Pierola,OWL SERVEIS IMMOBILIARIS SQV,670 €/m²,169.000 €,252 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_pierola-50078309291_101300/,Anuncio actualizado el 19/02/2025,"E, E","E, E",anoia (BCN),252 m²,237 m²,,,,,Más de 50 años,,API152-A12725,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Avinguda del Mirador,CASA HOUSE,1.021 €/m²,262.500 €,257 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-48407481385_109300/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),257 m²,250 m²,4,3,,,Entre 30 y 50 años,En buen estado,EP1035-05897,Tarima,,,,N/A,,,,,N/A,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,
Chalet en Hostalets de Pierola,FINQUES EL POBLE,1.473 €/m²,274.000 €,186 m²,https://www.pisos.com/comprar/chalet-els_hostalets_de_pierola-45032695982_100500/,Anuncio actualizado el 14/02/2025,"G, G","G, G",anoia (BCN),186 m²,114 m²,4,,,,,En buen estado,SA4698-7383,,,,,,,,1.060 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Pujalt,Engel & Völkers MMC Barcelona,707 €/m²,235.000 €,332 m²,https://www.pisos.com/comprar/casa-pujalt_centro_urbano-34232221689_101800/,Anuncio actualizado el 21/05/2024,"D, D","D, D",anoia (BCN),332 m²,,5,3,,,Más de 50 años,,IF76306-I-00X118-W-02RTSM,,,,,N/A,,,90 m²,,N/A,,,A la montaña,,,,1,,,,,,,,,,,,,N/A,,,,,,,
Casa en Carrer de Roger de Flor,GUIMAR CONSULTING,750 €/m²,225.000 €,300 m²,https://www.pisos.com/comprar/casa-masquefa_centro_urbano-47572305235_100500/,Anuncio actualizado el 09/02/2025,"E, F","E, F",anoia (BCN),300 m²,212 m²,4,2,,,Entre 30 y 50 años,,SA4468-GC02271/10008,Gres,,,Gas natural,,,,573 m²,,,N/A,Propia,,N/A,,,,,,,,,,N/A,N/A,,,,,,,,,,,,
Casa en La Torre de Claramunt,Engel & Völkers MMC Barcelona,1.015 €/m²,129.000 €,127 m²,https://www.pisos.com/comprar/casa-la_torre_de_claramunt_centro_urbano-40892002718_101800/,Anuncio actualizado el 08/01/2025,"A, A","A, A",anoia (BCN),127 m²,,3,2,,,Más de 50 años,,IF76306-I-00XW6A-W-02SYS9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Piera,FINCAS DOMUS,25 €/m²,270.000 €,370 m²,https://www.pisos.com/comprar/finca_rustica-piera_centro_urbano-45834998551_501106/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),370 m²,370 m²,4,2,,,,A reformar,501106-001458,,,,,N/A,N/A,,10.700 m²,,N/A,,,Sureste,N/A,N/A,N/A,Más de 2,,,,,,,N/A,,,,,,N/A,,,,,,,
Dúplex en Centro,MACROFINCAS S.L,744 €/m²,189.205 €,254 m²,https://www.pisos.com/comprar/duplex-la_pobla_de_claramunt_centro_urbano-19192642302_100500/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),254 m²,198 m²,4,2,2ª,,Más de 50 años,,SA565-MCM4928JF/1454,,,,Eléctrica,,N/A,N/A,,N/A,N/A,,,Este,,,,,,,,,,,N/A,N/A,,,,,,,,,N/A,,,
Piso en calle Sevilla,TAMM SERVEIS IMMOBILIARIS,1.385 €/m²,133.000 €,96 m²,https://www.pisos.com/comprar/piso-vilanova_del_cami_centro_urbano-47509684790_101300/,Anuncio actualizado el 04/09/2024,"G, G","G, G",anoia (BCN),96 m²,92 m²,3,2,,,,,API173-OK-676-460,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,
Casa en Pinedas Armengol,FINQUES VALLBONA,1.511 €/m²,195.000 €,129 m²,https://www.pisos.com/comprar/casa-la_torre_de_claramunt_centro_urbano-42503670716_100500/,Anuncio actualizado el 04/02/2025,"G, G","G, G",anoia (BCN),129 m²,110 m²,4,1,,,Entre 30 y 50 años,,SA3868-PDA0207/9379,Gres,,,,,,,473 m²,N/A,,N/A,,Sur,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa en Campo de Futbol,BEST HOUSE MARTORELL,1.455 €/m²,345.000 €,237 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-42531560024_100500/,Anuncio actualizado el 20/02/2025,"E, E","E, E",anoia (BCN),237 m²,220 m²,4,4,,,Entre 20 y 30 años,,SA449-736629/3134,Gres,,,Gas natural,,,N/A,,,N/A,,,Sur,,,,1,,N/A,,,,1,,,,,,,,,,,,,,
Piso en Carrer de Sant Bartomeu,PROYECTOS BRUC,757 €/m²,53.000 €,70 m²,https://www.pisos.com/comprar/piso-santa_margarida_de_montbui_centro_urbano-35073059824_324700/,Anuncio actualizado el 23/01/2025,"G, G","G, G",anoia (BCN),70 m²,70 m²,3,1,4ª,,Más de 50 años,En buen estado,3247-055693,Terrazo,Madera,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en Bellprat,FINQUES MONTMAR,1 €/m²,1.500.000 €,228 m²,https://www.pisos.com/comprar/finca_rustica-bellprat_bellprat-51718753535_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),228 m²,206 m²,5,2,,,,,SA2365-FR1673/5393,,,,N/A,,N/A,,1.064.519 m²,N/A,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Pinedas Armengol,FINQUES VALLBONA,1.282 €/m²,288.500 €,225 m²,https://www.pisos.com/comprar/casa-la_torre_de_claramunt_centro_urbano-40881708421_100500/,Anuncio actualizado el 28/08/2024,"E, E","E, E",anoia (BCN),225 m²,149 m²,4,3,,,,,SA3868-PDA0205/9379,Gres,,,N/A,,,,522 m²,N/A,N/A,N/A,N/A,Sur,N/A,,,1,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en Zona Escuelas,finques igualada,900 €/m²,235.000 €,261 m²,https://www.pisos.com/comprar/casa_adosada-vilanova_del_cami_centro_urbano-49193052128_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),261 m²,201 m²,4,2,,,Entre 20 y 30 años,,SA1184-L261124/2067,Gres,,,Gas natural,,,N/A,,N/A,N/A,,,Sur,,,,1,N/A,,Adosada,,,,,N/A,,,,,,,,,,,,
Casa adosada en Carrer del Trull,PROYECTOS BRUC,723 €/m²,136.000 €,188 m²,https://www.pisos.com/comprar/casa_adosada-vallbona_anoia_centro_urbano-45877244695_324700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),188 m²,188 m²,4,2,,,Entre 20 y 30 años,A reformar,3247-055994,,,,,,,,,,N/A,,,,,,,1,,,Adosada,,,,,,,,,,,,,,,,,
Casa en Òdena,Alemany Real Estate,1.998 €/m²,735.600 €,368 m²,https://www.pisos.com/comprar/casa-odena_centro_urbano-50843357094_100500/,Anuncio actualizado el 31/01/2025,"C, C","C, C",anoia (BCN),368 m²,300 m²,7,5,,,Entre 10 y 20 años,,SA1889-A02304/5298,,,,,,,,1.049 m²,N/A,N/A,N/A,Comunitaria,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Gras,MACROFINCAS S.L,709 €/m²,177.260 €,250 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_pierola-30910274210_100500/,Anuncio actualizado el 13/12/2024,"E, E","E, E",anoia (BCN),250 m²,234 m²,3,1,,,Más de 50 años,,SA565-MCE5467MI/1454,,,,N/A,,N/A,,,N/A,N/A,N/A,,Noreste,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,
Piso en Carretera de Solsona,PROYECTOS BRUC,947 €/m²,109.000 €,115 m²,https://www.pisos.com/comprar/piso-calaf_centro_urbano-40050110888_324700/,Anuncio actualizado el 22/01/2025,"G, D","G, D",anoia (BCN),115 m²,100 m²,3,2,2ª,,Entre 10 y 20 años,En buen estado,3247-055856,Gres,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,N/A,,,,,,
Chalet en calle Septentrional,Finques Pardas,1.082 €/m²,250.000 €,231 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-40884379402_513967/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),231 m²,221 m²,4,3,,,Entre 20 y 30 años,En buen estado,513967-U-116,Gres,Aluminio,Frío,Eléctrica,N/A,N/A,,962 m²,,N/A,Privado,,Sur,,N/A,,2,,,,,,,N/A,,,N/A,N/A,,,,,N/A,,,,
Casa en Passatge dels Canals,Finques Pardas,548 €/m²,135.000 €,246 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-49237539316_513967/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),246 m²,190 m²,5,2,,,Entre 30 y 50 años,En buen estado,513967-C-0212,Terrazo,N/A,,,N/A,N/A,,67 m²,,,,,Sureste,N/A,N/A,N/A,,,,,,,1,N/A,,,,N/A,,N/A,,,N/A,,,N/A,
Casa en Piera,Engel & Völkers MMC Barcelona,2.072 €/m²,259.000 €,125 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-37526141906_101800/,Anuncio actualizado el 23/10/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),125 m²,,3,1,,,Entre 10 y 20 años,,IF76306-I-00XINO-W-02SKJ4,,,,Central,,,,573 m²,,,Privado,,A la montaña,,,,1,,,,,,,,,,,,,,,,,,,,
Casa en Centre,BEST HOUSE MARTORELL,1.237 €/m²,328.000 €,265 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-47554534093_100500/,Anuncio actualizado el 20/02/2025,"E, F","E, F",anoia (BCN),265 m²,240 m²,4,2,,,Entre 30 y 50 años,,SA449-743669/3134,Gres,,,,,,N/A,373 m²,,N/A,N/A,,Sur,,,,1,N/A,,,,,,,,,,,,,,,,,,,
Casa rústica en Sant Pere Sallavinera,Forcadell Terrassa,2.099 €/m²,1.100.000 €,524 m²,https://www.pisos.com/comprar/casa_rustica-sant_pere_sallavinera_centro_urbano-45069058668_101800/,Anuncio actualizado el 07/10/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),524 m²,,5,3,,,,,IF76845-TERHAB_324,,,,Central,,,,,,,,,,,,,,,,Rústica,,,,,,,,,,,,,,,,,
Casa en Carrer del Carme,PROYECTOS BRUC,754 €/m²,89.000 €,118 m²,https://www.pisos.com/comprar/casa-calaf_centro_urbano-40839456775_324700/,Anuncio actualizado el 22/01/2025,"G, G","G, G",anoia (BCN),118 m²,96 m²,3,2,,,Entre 20 y 30 años,En buen estado,3247-055864,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Centro,finques igualada,1.421 €/m²,675.000 €,475 m²,https://www.pisos.com/comprar/chalet-capellades_centro_urbano-9174354181_100500/,Anuncio actualizado el 04/12/2024,"C, C","C, C",anoia (BCN),475 m²,480 m²,4,6,,,Entre 30 y 50 años,,SA1184-1287/2067,Parquet,,,Gas natural,,,N/A,1.560 m²,N/A,N/A,N/A,,,,,,1,N/A,,,,,1,N/A,,,,,,,,,,,,,
"Dúplex en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.689 €/m²,199.000 €,74 m²,https://www.pisos.com/comprar/duplex-el_bruc_centro_urbano-4542836254_109700/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),74 m²,,1,1,2ª,,,A estrenar,1097-21499241,,,,,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,
Piso en Avinguda de Josep Miró,Aliseda Inmobiliaria,927 €/m²,77.000 €,83 m²,https://www.pisos.com/comprar/piso-calaf_centro_urbano08280-51694989003_109700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),83 m²,,3,2,,,,A estrenar,AS1-930000291,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Casa adosada en Sant Martí Sesgueioles,PROYECTOS BRUC,1.725 €/m²,352.000 €,204 m²,https://www.pisos.com/comprar/casa_adosada-sant_marti_sesgueioles_centro_urbano-44185614493_324700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),204 m²,165 m²,4,3,,,Entre 10 y 20 años,A reformar,3247-055972,,Aluminio,,,,,,,,N/A,,,,,,,2,,,Adosada,,,,,,,,,,,,,,,,,
Chalet en Carrer Gran,HOUSE-CHAIN,1.317 €/m²,299.000 €,227 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-48382292292_100500/,Anuncio actualizado el 11/02/2025,"G, G","G, G",anoia (BCN),227 m²,204 m²,4,2,,,Entre 30 y 50 años,,SA4221-HC10184/9864,Gres,,N/A,N/A,,,,532 m²,N/A,N/A,N/A,N/A,Este,N/A,,,1,,N/A,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de la Tossa,FINQUES GIRAMON,1.111 €/m²,80.000 €,72 m²,https://www.pisos.com/comprar/piso-santa_margarida_de_montbui_centro_urbano-50846876278_994552/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),72 m²,70 m²,2,1,3ª,N/A,Más de 50 años,En buen estado,4994552-01 santa margarida,Gres,,,Gas natural,N/A,N/A,,,,,,,,,,,,,,,,,2,,,,,,,,,N/A,,,,,
Finca rústica en El Bruc,TOLL WOHNEN,3 €/m²,5.200.000 €,1.220 m²,https://www.pisos.com/comprar/finca_rustica-el_bruc_centro_urbano-44229133802_108900/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),1.220 m²,,14,4,,,,,XA861-TWB19,,,,,,,,1.600.000 m²,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de la Verge de Montserrat, 10",finques igualada,332 €/m²,230.000 €,691 m²,https://www.pisos.com/comprar/casa-capellades_centro_urbano-50894367278_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),691 m²,608 m²,4,2,,,Más de 50 años,,SA1184-D1612242/2067,,,,,,,,351 m²,N/A,N/A,N/A,,,N/A,,,1,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,SOM GESTIO OLESA,1.145 €/m²,252.000 €,220 m²,https://www.pisos.com/comprar/casa_adosada-els_hostalets_de_pierola-21737402680_510933/,Anuncio actualizado el 19/10/2024,"E, D","E, D",anoia (BCN),220 m²,206 m²,3,3,,,Entre 10 y 20 años,En buen estado,510933-A-C-0205,Mármol,Aluminio,Frío y calor,,Office,N/A,N/A,,,N/A,Comunitario,Comunitaria,,N/A,N/A,N/A,1,,N/A,Adosada,Entre 20 y 40 €,,,,N/A,,,N/A,,N/A,,,,,,,
"Piso en Carrer de la Verge de Montserrat, 10",finques igualada,332 €/m²,230.000 €,691 m²,https://www.pisos.com/comprar/piso-capellades_centro_urbano-50915994275_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),691 m²,608 m²,4,2,1ª,,Más de 50 años,,SA1184-D1612241/2067,,,,,,,,,N/A,N/A,N/A,,,,,,1,N/A,,,,,,,,,,,,,,,,N/A,,,
Casa en Can Mata,BEST HOUSE MARTORELL,1.254 €/m²,281.000 €,224 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-22598700633_100500/,Anuncio actualizado el 20/02/2025,"F, E","F, E",anoia (BCN),224 m²,190 m²,3,1,,,Entre 20 y 30 años,,SA449-687089/3134,Gres,,,N/A,,,N/A,981 m²,,N/A,N/A,Propia,Sur,N/A,,,1,N/A,,,,,,,,,,,,,,,,,,,
Piso en Centre,FINQUES SUBIRANA,1.871 €/m²,189.000 €,101 m²,https://www.pisos.com/comprar/piso-vilanova_del_cami_centro_urbano-48334169375_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",anoia (BCN),101 m²,90 m²,4,2,3ª,,Entre 10 y 20 años,,SA377-18720/1783,,,,Gas natural,,,,,,N/A,,,Este,,,,,N/A,,,,,,,,N/A,,,,,,,,N/A,,,
Dúplex en Els Prats de Rei,Engel & Völkers MMC Barcelona,1.085 €/m²,165.000 €,152 m²,https://www.pisos.com/comprar/duplex-els_prats_de_rei-51693479523_101800/,Anuncio actualizado el 19/02/2025,"G, G","G, G",anoia (BCN),152 m²,,3,1,2ª,,Entre 10 y 20 años,,IF76306-I-00Z1C5-W-02YO6N,,,,,,,,,,N/A,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de les Abadesses,Aliseda Inmobiliaria,858 €/m²,140.800 €,164 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-38374019688_107000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),164 m²,,5,2,,,,,AS1-52972797,,,,,N/A,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,
Casa adosada en El Bruc,MACROFINCAS S.L,1.910 €/m²,280.890 €,147 m²,https://www.pisos.com/comprar/casa_adosada-el_bruc_centro_urbano-51677338413_100500/,Anuncio actualizado el 17/02/2025,"D, D","D, D",anoia (BCN),147 m²,128 m²,4,3,,,Entre 20 y 30 años,,SA565-MCO6121SZ/1454,,,N/A,Gas natural,,N/A,,,N/A,N/A,,,Este,,,,1,,,Adosada,,,,,,,,,,,,,,,,,
Casa en calle Alemanya,TAMM SERVEIS IMMOBILIARIS,1.750 €/m²,399.000 €,228 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_pierola-25893521529_101300/,Anuncio actualizado el 22/04/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),228 m²,200 m²,4,3,,,Entre 10 y 20 años,En buen estado,API173-TA 14-22,,,,N/A,,,,,,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Chalet en Can Bonastre,MACROFINCAS S.L,1.618 €/m²,283.283 €,175 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-41689906888_100500/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),175 m²,160 m²,3,1,,,Entre 10 y 20 años,,SA565-MCM4918MV/1454,Gres,,,N/A,,N/A,,472 m²,,N/A,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,
Casa en Cabrera d'Anoia,Engel & Völkers MMC Barcelona,1.732 €/m²,223.500 €,129 m²,https://www.pisos.com/comprar/casa-cabrera_anoia_centro_urbano-45019037811_101800/,Anuncio actualizado el 24/10/2024,"E, E","E, E",anoia (BCN),129 m²,,4,2,,,Entre 10 y 20 años,,IF76306-I-00YBZK-W-02VV58,,,,,,,,804 m²,,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Piera,Engel & Völkers MMC Barcelona,1.323 €/m²,675.000 €,510 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-35072079817_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),510 m²,,6,4,,,Entre 20 y 30 años,,IF76306-I-00X3RR-W-02RU3F,,,,Central,N/A,,,3.055 m²,,,Privado,Propia,,,,,1,,,,,,1,,,,,,,N/A,,,,,,,
Chalet en L Alfàs del Pi,Mediterranean Properties,3.988 €/m²,339.000 €,85 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-51706559272_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),85 m²,80 m²,2,2,,,Menos de 5 años,,SA3573-02155/8926,,,,,,,,500 m²,N/A,N/A,N/A,Propia,Sur,,,,1,,,,,,1,,,,,,,,,,,,,,
Casa en La Plana,JULIA ORDIALES,559 €/m²,279.500 €,500 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-50880333257_106000/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),500 m²,150 m²,4,2,,,Más de 50 años,,NI703-CPPL295,Terrazo,Aluminio,,N/A,Amueblada con electrodomésticos,N/A,,724 m²,Gasóleo,2,N/A,,,,,,N/A,,,,,,1,,,,,,,,,,,,,,
Chalet pareado en Carrer de l'Aurora,PROYECTOS BRUC,797 €/m²,130.000 €,163 m²,https://www.pisos.com/comprar/chalet_pareado-vilanova_del_cami_centro_urbano-23424302805_324700/,Anuncio actualizado el 22/01/2025,"D, D","D, D",anoia (BCN),163 m²,130 m²,3,1,,,Más de 50 años,En buen estado,3247-055250,,,,,N/A,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Can Musarro,MACROFINCAS S.L,2.058 €/m²,257.260 €,125 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-32561642281_100500/,Anuncio actualizado el 18/10/2024,"E, E","E, E",anoia (BCN),125 m²,76 m²,3,1,,,Entre 10 y 20 años,,SA565-MCO5562FG/1454,Gres,,,N/A,,,,573 m²,N/A,N/A,N/A,,,N/A,,,,N/A,,,,,1,,,,,,,,,,,,,,
Casa en Carrer de Cignus,CANO & PUJOL,995 €/m²,419.000 €,421 m²,https://www.pisos.com/comprar/casa-piera_centro_urbano-48353539263_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),421 m²,,6,3,,,,,EP1034-5283,,,,,,,,,N/A,N/A,,,,,,,Más de 2,N/A,,,,,,N/A,,,,,,,,,,,,,
Casa en Dusfort,"VicMoBa, S.L",803 €/m²,249.000 €,310 m²,https://www.pisos.com/comprar/casa-calonge_de_segarra_centro_urbano-47595853065_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),310 m²,179 m²,5,3,,,,,SA3706-VMB-OI202497/3498,Terrazo,,,,,,,,,N/A,,,,,,,1,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Verge de Núria,Aliseda Inmobiliaria,1.340 €/m²,118.000 €,88 m²,https://www.pisos.com/comprar/piso-vilanova_del_cami_centro_urbano-41728344104_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),88 m²,,3,2,,,,,AN1-ANT00030663828,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,
Casa unifamiliar en Carrer de Pau Casals,CASA TEVA SERVEIS IMMOBILIARIS,2.368 €/m²,135.000 €,57 m²,https://www.pisos.com/comprar/casa_unifamiliar-piera_centro_urbano-50088639966_526201/,Anuncio actualizado el 18/02/2025,"G, G","G, G",anoia (BCN),57 m²,50 m²,2,1,,,Entre 30 y 50 años,A reformar,4526201-B419,Gres,,,,Para,N/A,,,,,Privado,,Sureste,N/A,N/A,N/A,1,,,Unifamiliar,,,,,,,N/A,,,N/A,,,,,,,
Dúplex en Carrer Maura Mercader,PROYECTOS BRUC,773 €/m²,99.000 €,128 m²,https://www.pisos.com/comprar/duplex-santa_margarida_de_montbui_centro_urbano-40912317836_324700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),128 m²,81 m²,2,2,2ª,,Entre 10 y 20 años,En buen estado,3247-055871,Gres,Aluminio,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,
"Piso en Carrer d'El Bruc de Baix, 1",PROYECTOS BRUC,2.750 €/m²,165.000 €,60 m²,https://www.pisos.com/comprar/piso-el_bruc_centro_urbano-4903869149_109700/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),60 m²,,2,1,1ª,,,A estrenar,1097-21499885,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,N/A,,,
Piso en Igualada,Alemany Real Estate,1.031 €/m²,99.000 €,96 m²,https://www.pisos.com/comprar/piso-igualada_llevant08700-50919090610_100500/,Anuncio actualizado el 19/01/2025,"E, E","E, E",anoia (BCN),96 m²,68 m²,2,1,1ª,,Entre 10 y 20 años,,SA1889-A02299/5298,,,,,,,,,N/A,,N/A,,,,,,1,N/A,,,,,,,,,,,,,,,,,,,
Chalet en El Portell,IMMOMAX,633 €/m²,190.000 €,300 m²,https://www.pisos.com/comprar/chalet-piera_centro_urbano-48431225284_109300/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,anoia (BCN),300 m²,180 m²,5,1,,,,,EP950-16836,,,,,,,,,,,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Vilanova del Camí,FINQUES SUBIRANA,1.225 €/m²,98.000 €,80 m²,https://www.pisos.com/comprar/piso-vilanova_del_cami_centro_urbano-45025948245_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",anoia (BCN),80 m²,71 m²,3,1,3ª,,Más de 50 años,,SA377-18580/1783,Gres,,,,,,,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,N/A,,,
