nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Interior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Cocina equipada,Orientación,Se aceptan mascotas,Exterior,Aire acondicionado,Calefacción,Ascensor,Balcón,Terraza,Garaje,Gastos de comunidad,Puerta blindada,Trastero,Piscina,Armarios empotrados,Carpintería interior,Vidrios dobles,Gas,Teléfono,Comedor,Lavadero,Portero automático,Sistema de seguridad,Soleado,Agua,Superficie solar,Tipo de casa,Jardín,Adaptado a personas con movilidad reducida,Amueblado
Piso en Carrer d'Holanda,HOGAREA,2.454 €/m²,135.000 €,55 m²,https://www.pisos.com/comprar/piso-la_torrassa08903-50906052423_108900/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),55 m²,49 m²,3,1,3ª,,,,XA484-9827,,,,Oeste,,N/A,Frío,Gas natural,,,N/A,,Entre 20 y 40 €,N/A,,,,,,,,,,,,,N/A,,,,,
"Piso en Carrer de l'Aprestadora, 89",LA LLAVE DE ORO,3.761 €/m²,316.000 €,84 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-3741866409_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",hospitalet_de_llobregat (BCN),84 m²,,3,2,Bajo,,,A estrenar,4993346-20338258,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,
Apartamento en Santa Eulàlia,Engel & Völkers MMC Barcelona,3.719 €/m²,398.000 €,107 m²,https://www.pisos.com/comprar/apartamento-hospitalet_de_llobregat_santa_eulalia08902-39244296432_101800/,Anuncio actualizado el 16/10/2024,"A, A","A, A",hospitalet_de_llobregat (BCN),107 m²,,2,2,,,Menos de 5 años,,IF76306-I-00XNFU-W-02T2R0,,,N/A,,,,,,N/A,,N/A,1,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Alegria,Aliseda Inmobiliaria,2.432 €/m²,126.500 €,52 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-50025792030_105900/,Anuncio actualizado el 25/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),52 m²,,3,1,,,,,AN1-ANT00030648656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passatge d'Oliveras,Aliseda Inmobiliaria,2.265 €/m²,145.000 €,64 m²,https://www.pisos.com/comprar/piso-la_torrassa08904-41760149901_105900/,Anuncio actualizado el 25/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),64 m²,,3,1,,,,,AN1-ANT00047720335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Collblanc,GROCASA,3.369 €/m²,219.000 €,65 m²,https://www.pisos.com/comprar/piso-collblanc08904-45903102868_109300/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),65 m²,56 m²,2,1,1ª,,Entre 30 y 50 años,,EP743-495929,Parquet,Aluminio,Office,O,,,N/A,Individual,N/A,,,,30,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Llorer,Aliseda Inmobiliaria,1.694 €/m²,93.200 €,55 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-41729917650_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),55 m²,,3,1,,,,,AN1-ANT00030690512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Collblanc,Engel & Völkers MMC Barcelona,3.888 €/m²,595.000 €,153 m²,https://www.pisos.com/comprar/apartamento-collblanc08904-47561159255_101800/,Anuncio actualizado el 07/02/2025,"A, A","A, A",hospitalet_de_llobregat (BCN),153 m²,,3,2,,,Menos de 5 años,,IF76306-I-00YLV6-W-02X02U,,,N/A,,,,,,N/A,,N/A,1,,,,Propia,,,,,,,,,,,,,,,,
Piso en Carrer del Llorer,Aliseda Inmobiliaria,2.090 €/m²,115.000 €,55 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-41754544499_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),55 m²,,3,1,,,,,AN1-ANT00030650440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda d'Europa,PISOS MARINA CENTER - CASTELLDEFELS,2.328 €/m²,163.000 €,70 m²,https://www.pisos.com/comprar/piso-bellvitge08907-50894628276_511025/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),70 m²,65 m²,3,1,Bajo,,Entre 30 y 50 años,En buen estado,511025-000817,Gres,,N/A,Sureste,,,,,N/A,,,,,,,,,,,,,N/A,,,,N/A,,,,,,
Piso en Avinguda de Vilanova,PISOS MARINA CENTER - CASTELLDEFELS,2.651 €/m²,228.000 €,86 m²,https://www.pisos.com/comprar/piso-el_gornal08902-49241741989_511025/,Anuncio actualizado el 20/01/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),86 m²,75 m²,3,1,6ª,,Entre 30 y 50 años,En buen estado,511025-000807,Ceramico,Aluminio,N/A,,,N/A,,Central,N/A,N/A,,,,,,,,N/A,N/A,,,N/A,N/A,,,,,,,,,
Piso en Carrer d'Holanda,Don Casa,2.916 €/m²,175.000 €,60 m²,https://www.pisos.com/comprar/piso-la_torrassa08903-50927412238_500869/,Anuncio actualizado el 07/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),60 m²,40 m²,1,1,2ª,,,Reformado,500869-BVRB4262,,,N/A,,,N/A,Frío,Bomba de calor,,N/A,,,,,,,,,,,,N/A,,,,N/A,,,,,,
Piso en Carrer del Garraf,PISOS MARINA CENTER - CASTELLDEFELS,2.866 €/m²,215.000 €,75 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-44245039951_511025/,Anuncio actualizado el 29/10/2024,"E, E","E, E",hospitalet_de_llobregat (BCN),75 m²,74 m²,3,1,1ª,,Más de 50 años,En buen estado,511025-000772,,Aluminio,,,,N/A,Frío y calor,,N/A,N/A,,,Entre 20 y 40 €,N/A,,,1,,,,,,N/A,,,N/A,,,,,N/A,N/A
Piso en La Florida,LA CASA AGENCY ECV,2.847 €/m²,299.000 €,105 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-51673093434_103700/,Anuncio actualizado el 17/02/2025,"D, D","D, D",hospitalet_de_llobregat (BCN),105 m²,,4,2,,,Más de 50 años,En buen estado,BLU3-LCB30232,,,,,N/A,N/A,,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,
Ático en Santa Eulàlia,Engel & Völkers MMC Barcelona,4.565 €/m²,315.000 €,69 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-43384519362_101800/,Anuncio actualizado el 21/05/2024,"B, A","B, A",hospitalet_de_llobregat (BCN),69 m²,,1,1,2ª,,,,IF76306-I-00Y6WE-W-02VMGP,,,N/A,,,,,Central,N/A,,N/A,1,,,N/A,,1,,,,,,,,,,,,,,,
Piso en Carrer Major,"Punt Sagrada Família, S.L.",3.650 €/m²,219.000 €,60 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_centre08901-50056192384_103700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),60 m²,50 m²,1,1,,,Entre 30 y 50 años,A estrenar,BLU5-LCB33593,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Plaça dels Blocs de la Florida,Aliseda Inmobiliaria,2.020 €/m²,99.000 €,49 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-41682860129_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),49 m²,,2,1,,,,,AN1-ANT00030690853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de les Amapolas,LA CASA AGENCY ECV,2.422 €/m²,109.000 €,45 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-50926000091_103700/,Anuncio actualizado el 17/02/2025,"G, F","G, F",hospitalet_de_llobregat (BCN),45 m²,,2,1,,,,En buen estado,BLU3-LCB34511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça de Sant Jordi,HOGAREA,2.428 €/m²,170.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_josep08901-50932356333_108900/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),70 m²,61 m²,3,1,4ª,,,,XA484-8575,,,,Noreste,,,Frío,Gas natural,N/A,,,,Entre 60 y 80 €,,,,,,,,,,,,,,N/A,,,,,
Piso en Pubilla Cases,LA CASA AGENCY ECV,2.595 €/m²,129.794 €,50 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-50900387404_103700/,Anuncio actualizado el 17/02/2025,"C, C","C, C",hospitalet_de_llobregat (BCN),50 m²,48 m²,2,1,,,,En buen estado,BLU3-LCB33486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda del Ponent,HOGAREA,1.980 €/m²,99.000 €,50 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-49199756452_108900/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),50 m²,40 m²,2,1,3ª,,,,XA484-9563,,,,Sur,,N/A,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Carrer d'Albéniz,Aliseda Inmobiliaria,1.750 €/m²,120.800 €,69 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-41680685479_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),69 m²,,4,1,,,,,AN1-ANT00030688898,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Holanda,Aliseda Inmobiliaria,1.491 €/m²,88.000 €,59 m²,https://www.pisos.com/comprar/piso-la_torrassa08903-41755557609_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),59 m²,,3,1,,,,,AN1-ANT00030688790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Prat,Aliseda Inmobiliaria,2.126 €/m²,151.000 €,71 m²,https://www.pisos.com/comprar/piso-bellvitge08907-41697581546_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),71 m²,,3,1,,,,,AN1-ANT00030690734,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça dels Blocs de la Florida,Aliseda Inmobiliaria,1.406 €/m²,83.000 €,59 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-41723199820_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),59 m²,,3,1,,,,,AN1-ANT00030663490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Rafael Campalans,TENCASA LA TORRASSA,3.080 €/m²,154.000 €,50 m²,https://www.pisos.com/comprar/piso-la_torrassa-47585122120_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),50 m²,45 m²,1,1,1ª,N/A,Más de 50 años,En buen estado,SA3788-105562063,,,,Este,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Canigó,HELLOFINCA.,3.222 €/m²,145.000 €,45 m²,https://www.pisos.com/comprar/piso-sant_josep08901-50877350798_527713/,Anuncio actualizado el 24/01/2025,"F, F","F, F",hospitalet_de_llobregat (BCN),45 m²,32 m²,1,1,Entresuelo,,Entre 30 y 50 años,En buen estado,4527713-000055,Gres,Aluminio,Abierta y equipada electrodomésticos,Noreste,,N/A,Frío y calor,,N/A,,,,Entre 40 y 60 €,N/A,Pequeño trastero o despensa,,,Madera,N/A,,,Exterior,,N/A,N/A,N/A,,,,,,N/A
Ático en Avinguda del Carrilet,LA CASA AGENCY CASTELLDEFELS,3.725 €/m²,149.000 €,40 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-51684098365_103700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),40 m²,,3,1,,,Más de 50 años,A reformar,BLU1-LCB34872,,,,,,N/A,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en La Florida,Comprarcasa GAND HOUSE,2.538 €/m²,165.000 €,65 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-51702576129_100500/,Anuncio actualizado el 10/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),65 m²,58 m²,3,1,3ª,,Más de 50 años,,SA342-ghCORTADA/741,Parquet,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle Carrer de La Rosa Dalexandria, nº 46",Housfy real Estate,2.080 €/m²,129.000 €,62 m²,https://www.pisos.com/comprar/piso-pubilla_cases-51700030934_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),62 m²,62 m²,3,1,1ª,,,,EP442-698815,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça dels Blocs de la Florida,Aliseda Inmobiliaria,1.700 €/m²,102.000 €,60 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-49205153540_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),60 m²,,2,1,,,,,AN1-ANT00030658276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Collblanc,Engel & Völkers MMC Barcelona,4.579 €/m²,490.000 €,107 m²,https://www.pisos.com/comprar/piso-collblanc08904-4918700370_109700/,Anuncio actualizado el 11/02/2025,"A, A","A, A",hospitalet_de_llobregat (BCN),107 m²,,3,2,,,,A estrenar,IF76306-D-000LC9,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Dúplex en El Gornal,Engel & Völkers MMC Barcelona,3.842 €/m²,365.000 €,95 m²,https://www.pisos.com/comprar/duplex-el_gornal08902-4951516982_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",hospitalet_de_llobregat (BCN),95 m²,,2,3,,,,A estrenar,IF76306-D-000L0P,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,
Ático en Carrer del Gasòmetre,"Punt Sagrada Família, S.L.",3.640 €/m²,375.000 €,103 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-50853340227_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),103 m²,,4,2,,,Más de 50 años,,BLU5-LCB34456,,,,,,N/A,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Les Planes,LA CASA AGENCY ECV,2.500 €/m²,290.000 €,116 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-51753694882_103700/,Anuncio actualizado el 17/02/2025,"D, D","D, D",hospitalet_de_llobregat (BCN),116 m²,,4,2,,,Entre 30 y 50 años,,BLU3-LCB33244,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Garrofers,Aliseda Inmobiliaria,38 €/m²,10.000 €,259 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-38355758258_107000/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),259 m²,,3,1,,,,,AS1-ALI0000081997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de les Aigües del Llobregat,LA CASA AGENCY CASTELLDEFELS,2.864 €/m²,169.000 €,59 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-50867401617_103700/,Anuncio actualizado el 19/02/2025,"D, D","D, D",hospitalet_de_llobregat (BCN),59 m²,,3,1,,,Entre 30 y 50 años,En buen estado,BLU1-LCB34410,,,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer Modern,Aliseda Inmobiliaria,1.646 €/m²,107.000 €,65 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-37540685856_107000/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),65 m²,,3,1,,,,,AS1-ALI0000096330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Plaça dels Blocs de la Florida,Aliseda Inmobiliaria,2.041 €/m²,73.500 €,36 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-41682906046_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),36 m²,,2,1,,,,,AN1-ANT00030688639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Rambla de la Marina,PISOS MARINA CENTER - CASTELLDEFELS,2.826 €/m²,325.000 €,115 m²,https://www.pisos.com/comprar/piso-bellvitge08907-43350462636_511025/,Anuncio actualizado el 10/01/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),115 m²,105 m²,4,2,7ª,,Más de 50 años,Reformado,511025-000753,Parquet,Aluminio,,,,N/A,,,Ascensor en planta,N/A,,,Entre 40 y 60 €,,,,Más de 2,,,,,,N/A,,,N/A,,,,,N/A,
Piso en Plaça dels Blocs de la Florida,Aliseda Inmobiliaria,2.088 €/m²,106.500 €,51 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-49264895179_105900/,Anuncio actualizado el 21/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),51 m²,,3,1,,,,,AN1-ANT00030690493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Pubilla Cases,LA CASA AGENCY ECV,1.987 €/m²,159.000 €,80 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-48399358061_103700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),80 m²,60 m²,2,1,,,Más de 50 años,En buen estado,BLU3-LCB29684,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Collblanc/Torrassa,GROCASA,2.276 €/m²,148.000 €,65 m²,https://www.pisos.com/comprar/piso-collblanc08903-49230997706_109300/,Anuncio actualizado el 15/02/2025,"G, E","G, E",hospitalet_de_llobregat (BCN),65 m²,60 m²,3,1,Bajo,,Más de 50 años,,EP743-1682292,Parquet,Aluminio,Americana,O,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Jardí,Aliseda Inmobiliaria,1.961 €/m²,151.000 €,77 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-41747426272_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),77 m²,,4,1,,,,,AN1-ANT00030649894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Cobalt, 130",IAD ESPAÑA,4.500 €/m²,450.000 €,100 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_centre08907-51733202130_108700/,Anuncio actualizado el 10/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),100 m²,100 m²,2,1,,,Entre 5 y 10 años,,UVC882-31700,,,,,,,N/A,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Teide,LA CASA AGENCY CASTELLDEFELS,2.232 €/m²,250.000 €,112 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-50087596628_103700/,Anuncio actualizado el 19/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),112 m²,95 m²,4,2,,,Entre 30 y 50 años,En buen estado,BLU1-LCB34078,,,,,N/A,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'Oviedo,Aliseda Inmobiliaria,2.184 €/m²,100.500 €,46 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-41759390209_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),46 m²,,2,1,,,,,AN1-ANT00030663243,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Barcelonés,IAD ESPAÑA,3.796 €/m²,410.000 €,108 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_santa_eulalia08902-48391417030_108700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),108 m²,108 m²,2,2,,,Entre 10 y 20 años,,UVC882-29172,,,,,,,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Dúplex en Pubilla Cases,LA CASA AGENCY ECV,1.968 €/m²,315.000 €,160 m²,https://www.pisos.com/comprar/duplex-pubilla_cases08906-50903770009_103700/,Anuncio actualizado el 17/02/2025,"B, C","B, C",hospitalet_de_llobregat (BCN),160 m²,140 m²,4,3,,,Entre 30 y 50 años,,BLU3-LCB34748,,,,,,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en La Torrassa,"ESTUDI NOVA CAN SERRA, S.L.",2.500 €/m²,230.000 €,92 m²,https://www.pisos.com/comprar/piso-la_torrassa08904-50847864281_100200/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),92 m²,,3,1,2ª,,Entre 30 y 50 años,En buen estado,TC354-607393,,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Av Electricitat de L,ONREALE REAL ESTATE SERVICES,1.647 €/m²,112.000 €,68 m²,https://www.pisos.com/comprar/casa-sanfeliu08906-48423970151_109300/,Anuncio actualizado el 15/10/2024,"E, E","E, E",hospitalet_de_llobregat (BCN),68 m²,50 m²,3,1,,,Más de 50 años,En buen estado,EP839-PB-ON240831,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Les Planes,LA CASA AGENCY ECV,2.382 €/m²,112.000 €,47 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes08905-51675357065_103700/,Anuncio actualizado el 17/02/2025,"D, D","D, D",hospitalet_de_llobregat (BCN),47 m²,39 m²,2,1,,,Más de 50 años,En buen estado,BLU3-LCB34846,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida Dr. R. Solanich I Riera,Aliseda Inmobiliaria,1.729 €/m²,105.500 €,61 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-41711167275_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),61 m²,,3,1,,,,,AN1-ANT00030688633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Vallparda,Aliseda Inmobiliaria,14.900 €/m²,14.900 €,1 m²,https://www.pisos.com/comprar/piso-collblanc08904-45045559388_107000/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),1 m²,,3,1,,,,,AS1-ALI0000081999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Pujós,Aliseda Inmobiliaria,1.567 €/m²,114.400 €,73 m²,https://www.pisos.com/comprar/piso-collblanc08904-41727718338_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),73 m²,,3,1,,,,,AN1-ANT00047720440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer Riera Blanca, 60",CORNEX CAPITAL,4.789 €/m²,455.000 €,95 m²,https://www.pisos.com/comprar/piso-la_torrassa08903-3818224680_109700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),95 m²,,3,2,1ª,,,A estrenar,XA597-20438204,,,,,,,,,N/A,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Rafael Campalans,MONAPART,3.444 €/m²,155.000 €,45 m²,https://www.pisos.com/comprar/piso-la_torrassa08903-48365587628_101800/,Anuncio actualizado el 18/01/2025,"F, E","F, E",hospitalet_de_llobregat (BCN),45 m²,,2,1,2ª,,Más de 50 años,,IF76872-MI0126-4245,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Santa Eulalia,LA CASA AGENCY ECV,4.430 €/m²,319.000 €,72 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-50840574173_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),72 m²,65 m²,2,1,,N/A,Entre 30 y 50 años,En buen estado,BLU3-LCB34279,,,,,,,,N/A,N/A,,N/A,,,,N/A,,,,,,,,,,,,,,,,,
Piso en Carrer de Llançà,Aliseda Inmobiliaria,2.030 €/m²,132.000 €,65 m²,https://www.pisos.com/comprar/piso-la_torrassa08904-41695838102_105900/,Anuncio actualizado el 21/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),65 m²,,4,1,,,,,AN1-ANT00030648768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Graner,Aliseda Inmobiliaria,455 €/m²,155.000 €,340 m²,https://www.pisos.com/comprar/piso-collblanc08904-41699672114_105900/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),340 m²,,4,1,,,,,AN1-ANT00030688855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Llobregat,Aliseda Inmobiliaria,2.469 €/m²,121.000 €,49 m²,https://www.pisos.com/comprar/piso-la_torrassa08904-47555564351_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),49 m²,,3,1,,,,,AN1-ANT00030690429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer del Jardí,"Punto Badal-BCN, S.L.",3.202 €/m²,214.560 €,67 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_la_florida08905-51681932050_100500/,Anuncio actualizado el 03/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),67 m²,,2,1,5ª,,Más de 50 años,En buen estado,SA3078-PB-JD214K,,,,Norte,,N/A,N/A,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de l'Alegria,GROCASA,2.224 €/m²,129.000 €,58 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_la_florida08905-46753232188_109300/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),58 m²,47 m²,2,1,2ª,,Más de 50 años,,EP743-619240,Cerámico,Aluminio,Office,E,,,N/A,Centralizada,,,N/A,,70,,,,,,,,,,,,,,,,,,,
