nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Interior,Antigüedad,Conservación,Referencia,Tipo suelo,Carpintería exterior,Cocina equipada,Orientación,Se aceptan mascotas,Exterior,Aire acondicionado,Calefacción,Ascensor,Balcón,Terraza,Garaje,Gastos de comunidad,Puerta blindada,Trastero,Piscina,Armarios empotrados,Carpintería interior,Vidrios dobles,Gas,Teléfono,Comedor,Lavadero,Portero automático,Sistema de seguridad,Soleado,Agua,Superficie solar,Tipo de casa,Jardín,Adaptado a personas con movilidad reducida,Amueblado
Apartamento en Collblanc,Engel & Völkers MMC Barcelona,4.579 €/m²,490.000 €,107 m²,https://www.pisos.com/comprar/apartamento-collblanc08904-47545505989_101800/,Anuncio actualizado el 07/02/2025,"A, A","A, A",hospitalet_de_llobregat (BCN),107 m²,,3,2,,,Menos de 5 años,,IF76306-I-00YLV9-W-02X034,,,N/A,,,,,,N/A,,N/A,1,,,,Propia,,,,,,,,,,,,,,,,
Piso en Carrer del Llorer,Don Casa,4.316 €/m²,259.000 €,60 m²,https://www.pisos.com/comprar/piso-hospitalet_de_llobregat_les_planes-30054691422_500869/,Anuncio actualizado el 07/02/2025,"F, E","F, E",hospitalet_de_llobregat (BCN),60 m²,57 m²,3,1,1ª,,Más de 50 años,En buen estado,500869-CVGH0210,,Aluminio,N/A,,,N/A,,,N/A,N/A,,,,,,,,,,,,N/A,N/A,,,,,,,,,N/A
Piso en Carrer d'Albéniz,"Punt Sagrada Família, S.L.",1.987 €/m²,159.000 €,80 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-50071805373_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),80 m²,60 m²,2,1,,,Más de 50 años,En buen estado,BLU5-LCB29684,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Portugal,PISOS MARINA CENTER - CASTELLDEFELS,2.866 €/m²,215.000 €,75 m²,https://www.pisos.com/comprar/piso-bellvitge08907-48414668059_511025/,Anuncio actualizado el 10/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),75 m²,74 m²,3,1,7ª,,Entre 30 y 50 años,En buen estado,511025-000798,Terrazo,Aluminio,N/A,Sur,,N/A,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de les Amapolas,Fincas Esteban,2.416 €/m²,145.000 €,60 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-48349666807_992639/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),60 m²,60 m²,3,1,3ª,,Entre 30 y 50 años,Reformado,4992639-13509049,Parquet,Aluminio,N/A,Al mar,N/A,N/A,,,,,,,Entre 20 y 40 €,,,,,,,,,N/A,,,,N/A,,,,,,
Ático en Santa Eulàlia,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,3.640 €/m²,375.000 €,103 m²,https://www.pisos.com/comprar/atico-hospitalet_de_llobregat_santa_eulalia08902-51668058800_101800/,Anuncio actualizado el 19/02/2025,"E, E","E, E",hospitalet_de_llobregat (BCN),103 m²,,4,2,,,Más de 50 años,,IF77106-LCB34456-2,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de les Aigües del Llobregat,HOGAREA,2.574 €/m²,169.900 €,66 m²,https://www.pisos.com/comprar/piso-pubilla_cases08906-45922401551_108900/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,hospitalet_de_llobregat (BCN),66 m²,60 m²,3,1,4ª,,,Reformado,XA484-9049,,,,Noreste,,N/A,,,,,,,Entre 20 y 40 €,,,,,,,,,,,,,,N/A,,,,,
Apartamento en Santa Eulàlia,Engel & Völkers MMC Barcelona,4.128 €/m²,450.000 €,109 m²,https://www.pisos.com/comprar/apartamento-hospitalet_de_llobregat_santa_eulalia08902-50028225864_101800/,Anuncio actualizado el 12/12/2024,"C, B","C, B",hospitalet_de_llobregat (BCN),109 m²,,3,2,3ª,,Menos de 5 años,,IF76306-I-00YW0E-W-02Y1DY,,,N/A,,,,,Central,N/A,,N/A,1,,,,,,,,,,,,,,,,,,,,
Ático en Collblanc,Engel & Völkers MMC Barcelona,5.071 €/m²,456.435 €,90 m²,https://www.pisos.com/comprar/atico-collblanc08904-47525630335_101800/,Anuncio actualizado el 12/12/2024,"A, A","A, A",hospitalet_de_llobregat (BCN),90 m²,,3,2,4ª,,Menos de 5 años,,IF76306-I-00YLUQ-W-02X00T,,,N/A,,,,,,N/A,,N/A,1,,,,Propia,,,,,,,,,,,,,,,,
Apartamento en Collblanc,Engel & Völkers MMC Barcelona,4.763 €/m²,419.175 €,88 m²,https://www.pisos.com/comprar/apartamento-collblanc08904-42520685755_101800/,Anuncio actualizado el 12/12/2024,"A, A","A, A",hospitalet_de_llobregat (BCN),88 m²,,3,2,3ª,,Menos de 5 años,,IF76306-I-00Y3AE-W-02VA2N,,,N/A,,,,,,N/A,,N/A,1,,,,Propia,,,,,,,,,,,,,,,,
