nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Casa en Torre-sana,Engel & Völkers MMC Barcelona,2.372 €/m²,344.000 €,145 m²,https://www.pisos.com/comprar/casa-torre_sana-44240609957_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),145 m²,,4,3,,,Menos de 5 años,,IF76306-I-00Y969-W-02VSEG,,,,,N/A,,,,,,N/A,,,,Central,,,,,,1,Privado,,,,,,,,,,,,,,,,
Piso en Centre,DC TERRASSA IMMOBLES,2.582 €/m²,235.000 €,91 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-51727785278_103800/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),91 m²,,3,1,Bajo,,,En buen estado,INB722-205-01090TO,,Parquet,,,N/A,,,,,,N/A,,,,,,,,,2,,,,,,,,,N/A,,,,,,,,,
Casa pareada en Castellar del Vallès,GESTIÓ HABITAT,1.354 €/m²,474.000 €,350 m²,https://www.pisos.com/comprar/casa_pareada-castellar_del_valles_centro_urbano-41747055247_101800/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),350 m²,,3,3,,,Entre 10 y 20 años,,IF76555-349,,,,,N/A,,N/A,,,N/A,N/A,,,,Central,,,,145 m²,1,1,Privado,,,,,,,,,,,,,Pareada,,N/A,
Dúplex en Centre,Engel & Völkers MMC Barcelona,2.645 €/m²,500.000 €,189 m²,https://www.pisos.com/comprar/duplex-terrassa_centre08221-43370494985_101800/,Anuncio actualizado el 03/02/2025,"E, D","E, D",valles_occidental_nord (BCN),189 m²,,5,3,2ª,,Entre 20 y 30 años,,IF76306-I-00Y6AP-W-02VGCD,,,,,N/A,,N/A,,,,N/A,,,,Central,,,,,,1,,,,,N/A,,,,,,,,,,,,
Chalet en Carrer del Mussol,IMMOBLES PRESTIGI S.L,1.371 €/m²,473.000 €,345 m²,https://www.pisos.com/comprar/chalet-les_martines_can_palet_de_vista_alegre08224-51751142654_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",valles_occidental_nord (BCN),345 m²,,5,3,,,Entre 20 y 30 años,En buen estado,SA2318-A-MQF0013,,,,,Cocina amueblada,,,,,,N/A,,,Frío,Gas natural,,,,835 m²,1,1,Privado,,,,,,,,,,,,,,,,
Piso en Carrer de Balmes,AtipicFinques,1.969 €/m²,261.900 €,133 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-49255970838_525538/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),133 m²,1 m²,3,1,Bajo,N/A,Entre 30 y 50 años,Reformado,4525538-CRG - 052,,Parquet,Aluminio climalit,,N/A,N/A,N/A,,,,50m²,,,,Gas natural,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
Chalet en Avinguda de Catalunya,AtipicFinques,1.484 €/m²,449.900 €,303 m²,https://www.pisos.com/comprar/chalet-les_pedritxes-48399314192_101800/,Anuncio actualizado el 05/02/2025,"E, E","E, E",valles_occidental_nord (BCN),303 m²,,5,4,,,Entre 20 y 30 años,,IF76888-CRG - 001,,,,,,,,N/A,,,N/A,,,,Central,,,,2.000 m²,1,,Privado,,,,,,,,,,,,,,N/A,,
Chalet en Ronda del Vallès,SBD IMMOBLES,2.083 €/m²,425.000 €,204 m²,https://www.pisos.com/comprar/chalet-sant_llorenc_savall_centro_urbano-49232086686_100500/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),204 m²,180 m²,4,2,,,Entre 30 y 50 años,,SA723-11723/2605,,,,N/A,,,,N/A,,,N/A,,,,N/A,,,,983 m²,1,1,N/A,,,,,,,,,,,,,,,,
Casa en Pla de Sant Llorenç,COLDWELL BANKER STYLE REAL ESTATE,1.906 €/m²,650.000 €,341 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-50006585339_106700/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),341 m²,320 m²,4,2,,,,,IFC76326-CBMT444 2 2,,,,,,,,,,,,,,,,,,,1.059 m²,,,,,,,,,,,,,,,,,,,
Dúplex en Avinguda de Madrid,FS FINQUES,3.653 €/m²,285.000 €,78 m²,https://www.pisos.com/comprar/duplex-torre_sana-42525363992_100500/,Anuncio actualizado el 04/02/2025,"G, G","G, G",valles_occidental_nord (BCN),78 m²,60 m²,3,2,2ª,,Entre 20 y 30 años,,SA411-FSP470/4962,,,,,,,,,,N/A,N/A,,,,Gas natural,,,,,,,,,,,N/A,N/A,,,,Entre 40 y 60 €,,,,,,,
Casa en Carrer del Molí,FS FINQUES,1.265 €/m²,210.000 €,166 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-49264602004_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),166 m²,160 m²,4,1,,,Más de 50 años,,SA411-FSPV145/4962,,Terrazo,,,,,,,,,,Norte,,,N/A,,,,152 m²,,,N/A,,,,,,,,,,,,,,,,
Casa en Carrer de Camerun,GERFINCAS,2.132 €/m²,369.000 €,173 m²,https://www.pisos.com/comprar/casa-can_parellada08228-50880687457_500806/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),173 m²,173 m²,5,2,,,Entre 30 y 50 años,En buen estado,500806-007601,De embero,Gres,Aluminio,,1 independientes  de 5m² y 1 americana 15m²,1 independiente de 15 m² y 1 abierta de 15 m²,De 5 m² exterior,,,N/A,De 12 m²,Sur,Con ventanas de aluminio,Frío y calor,Gasoil,N/A,N/A,N/A,,1,2,,,,,,,,,,,,,,,,,
Piso en Carrer dels Ceps,GERFINCAS,2.025 €/m²,149.900 €,74 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-50013418972_500806/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),74 m²,74 m²,3,1,3ª,N/A,Entre 30 y 50 años,En buen estado,500806-007560,De madera,Terrazo,Aluminio,,De 5 m²,De 18 m²,De 2 m²,,N/A,N/A,N/A,Este,,,Gas natural,,,,,,,,,,,N/A,N/A,N/A,,,Entre 20 y 40 €,,,,,,N/A,
Dúplex en Carrer de la Mare de Déu del Pilar,M&M PROMOCIONES,2.977 €/m²,330.500 €,111 m²,https://www.pisos.com/comprar/duplex-vallparadis-49251806937_501613/,Anuncio actualizado el 16/01/2025,"A, A","A, A",valles_occidental_nord (BCN),111 m²,99 m²,3,3,3ª,N/A,Menos de 5 años,A estrenar,501613-MM1602,Puertas lacadas blancas,Parquet,Aluminio,,Office,Salida a terraza,N/A,,N/A,,"15 m² , salida desde comedor",,"Con cámara, con puente térmico",Frío y calor,Eléctrica,,,,,,,,,,,N/A,,,,,,N/A,,,,,,
Chalet en Carrer de Reiet,FS FINQUES,2.083 €/m²,525.000 €,252 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-44224591143_100500/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),252 m²,220 m²,4,3,,,Más de 50 años,,SA411-FSV0395/4962,,,,,,,,N/A,,,N/A,Sur,,N/A,Gas natural,,,,612 m²,1,1,N/A,N/A,,,,,,,,,,N/A,,,,N/A,
Piso en Castellar del Vallès,GESTIÓ HABITAT,2.222 €/m²,160.000 €,72 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-51702037654_101800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),72 m²,,3,1,1ª,,Más de 50 años,,IF76555-363,,,,,N/A,,N/A,,,N/A,,,,,Central,,,,,,,,,,,,,,,,,,,,,,,
Chalet en - Els Fruiters  -,VALLES INMOBILIARIA,2.083 €/m²,525.000 €,252 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-44241361130_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_nord (BCN),252 m²,220 m²,4,3,,,Más de 50 años,,SA4822-V0395-/10724,,,,,,,,N/A,,,N/A,Sur,,N/A,Gas natural,,,,612 m²,1,1,N/A,N/A,,,,,,,,,,Propia,,,,N/A,
Piso en Avinguda de Madrid,AtipicFinques,2.579 €/m²,239.900 €,93 m²,https://www.pisos.com/comprar/piso-torre_sana-50021175201_525538/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),93 m²,90 m²,3,2,Bajo,N/A,Entre 10 y 20 años,En buen estado,4525538-000002,Roble,Porcelanato,Aluminio,,N/A,N/A,,,,,50m²,,,Frío,Bomba de calor,,,,,,,,,,,N/A,,N/A,,,,,,,,N/A,,
Casa en - Casc Antic -,NOVA FINQUES,778 €/m²,200.000 €,257 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-48366370679_100500/,Anuncio actualizado el 04/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),257 m²,,3,1,,,Más de 50 años,,SA3386-CDV1ACT-00037/8710,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Plaça del Progrés,GERFINCAS,2.728 €/m²,382.000 €,140 m²,https://www.pisos.com/comprar/casa-ca_naurell08224-50835829229_500806/,Anuncio actualizado el 19/02/2025,"D, D","D, D",valles_occidental_nord (BCN),140 m²,140 m²,2,1,,,Más de 50 años,A reformar,500806-007604,De madera,Terrazo,Aluminio,,De 10 m² independiente,De 15 m²,De 8 m²,,,,De 25 m²,Sureste,,,,N/A,N/A,N/A,,1,,,,,,,,,,,,,,,,,,
Piso en calle Can Palet,LA IMMOBILIARIA TRS,1.294 €/m²,110.000 €,85 m²,https://www.pisos.com/comprar/piso-can_palet08223-50921804514_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),85 m²,70 m²,3,1,,N/A,,,EP999-ANT-005,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Casa en Sentmenat,FINQUES DURAN-ARGEMI,48 €/m²,595.000 €,12.166 m²,https://www.pisos.com/comprar/casa-sentmenat_centro_urbano-98409903676_142700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_nord (BCN),12.166 m²,200 m²,4,2,,,,En buen estado,1427-9390,,Parquet,Aluminio,,,,,,,,,A la montaña,,Frío y calor,Gas natural,,,,,Más de 2,Más de 2,Privado,,,,,,,,,,,Propia,,,,,
"Piso en Ronda de Tolosa,  s/n",RESIDENCIAL INBISA Castellar,2.536 €/m²,251.160 €,99 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-5044045957_109700/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),99 m²,,3,2,,,,A estrenar,4528976-0,,,,,,,N/A,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
"Piso en Carrer de Heribert Pons, 20",LA LLAR DE CASTELLET,441 €/m²,99.000 €,224 m²,https://www.pisos.com/comprar/piso-rellinars_centro_urbano-51723489769_518220/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),224 m²,156 m²,3,1,Bajo,N/A,Más de 50 años,A reformar,518220-0508,,Gres,Madera,,N/A,N/A,,,,,,Sur,,,,,,,,,,,,,,,,,,,,,,,,,Alarma,
Dúplex en Can Baixeres,NOVA FINQUES,2.750 €/m²,198.000 €,72 m²,https://www.pisos.com/comprar/duplex-sentmenat_centro_urbano-51732210152_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),72 m²,70 m²,2,2,Bajo,,,,SA3386-CDV11282/8710,,Parquet,,,,N/A,,,,N/A,,Sur,,N/A,N/A,,,,,,,,N/A,,,,,,,,Entre 20 y 40 €,,,N/A,,,,
Piso en Torre-sana,TOTAL GESTIÓN 2000,2.579 €/m²,239.900 €,93 m²,https://www.pisos.com/comprar/piso-torre_sana-50852795016_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),93 m²,90 m²,3,2,,N/A,Entre 10 y 20 años,En buen estado,SA2600-R154R,,,,,,,,,,,N/A,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de la Mare de Déu del Socors,DALETH Habitatges,2.344 €/m²,136.000 €,58 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-51721866271_501592/,Anuncio actualizado el 17/02/2025,"E, E","E, E",valles_occidental_nord (BCN),58 m²,39 m²,1,1,4ª,N/A,Entre 20 y 30 años,Reformado,501592-19711489,Haya,Gres,Aluminio,,N/A,N/A,,,,N/A,,,N/A,,Gas natural,,,,,,,,,,N/A,N/A,,N/A,,,,,,,,,,
Piso en Ronda de Tolosa,NOVA FINQUES,2.854 €/m²,251.160 €,88 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-45854791030_100500/,Anuncio actualizado el 22/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),88 m²,80 m²,3,2,4ª,,,,SA3386-NOVAPROMO/8710,,Parquet,,,,,,N/A,,N/A,N/A,,,,N/A,,,,,,,N/A,N/A,,,N/A,N/A,,,,,,Comunitaria,,,,,
Piso en Terrassa,Forcadell Terrassa,3.047 €/m²,374.900 €,123 m²,https://www.pisos.com/comprar/piso-terrassa_centre08221-45091715968_101800/,Anuncio actualizado el 07/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),123 m²,,4,2,,,,,IF76845-TERPIS_218,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Carrer de Sant Cosme,GERFINCAS,808 €/m²,190.000 €,235 m²,https://www.pisos.com/comprar/casa-ca_nanglada08222-48351563929_500806/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),235 m²,235 m²,5,2,,,Más de 50 años,A reformar,500806-007533,,Terrazo,Aluminio,,Americana 6 m²,De 25 m²,De 3 m²,,,N/A,De 5 m²,Oeste,,,,N/A,N/A,N/A,,,1,,,,N/A,,,,,,,,,,,,N/A,
Apartamento en Centre,Engel & Völkers MMC Barcelona,3.280 €/m²,292.000 €,89 m²,https://www.pisos.com/comprar/apartamento-terrassa_centre08221-47577950630_101800/,Anuncio actualizado el 06/02/2025,"A, A","A, A",valles_occidental_nord (BCN),89 m²,,2,2,1ª,,Menos de 5 años,,IF76306-I-00YMF8-W-02X1SQ,,,,,,,,,,,,,,,Central,,,,,1,,,,,,N/A,,,,,,,Propia,,,,,
Casa adosada en Carrer de Barcelona,SBD IMMOBLES,2.480 €/m²,444.000 €,179 m²,https://www.pisos.com/comprar/casa_adosada-castellar_del_valles_centro_urbano-48410181425_100500/,Anuncio actualizado el 09/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),179 m²,160 m²,4,3,,,Entre 20 y 30 años,,SA723-11676/2605,,Gres,,N/A,,N/A,,N/A,,N/A,N/A,Este,,N/A,N/A,,,,,,1,N/A,N/A,,,,,,,,,,,,Adosada,,N/A,
"Dúplex en Carrer d'Amadeu de Savoia, 121",MARBET FINQUES,2.222 €/m²,329.000 €,148 m²,https://www.pisos.com/comprar/duplex-can_boada_torrent_en_pere_parres08225-50929359041_101800/,Anuncio actualizado el 22/01/2025,"E, E","E, E",valles_occidental_nord (BCN),148 m²,,5,2,3ª,,Entre 20 y 30 años,,4518426-1554amadeu,,,,,N/A,,N/A,,,N/A,,,,,Central,,,,,1,1,,,,,N/A,,,,,,,,,,,,
Piso en Poble Nou-Zona Olímpica,Forcadell Terrassa,2.476 €/m²,279.900 €,113 m²,https://www.pisos.com/comprar/piso-poble_nou_zona_olimpica08225-51723564521_101800/,Anuncio actualizado el 07/02/2025,"E, E","E, E",valles_occidental_nord (BCN),113 m²,,3,2,,,,,IF76845-TER_3212,,,,,,,,,,,,,,,Central,,,,,,1,,,,,N/A,,,,,,,,,,,,
Chalet en - Balcó S Llorens -,VALLES INMOBILIARIA,1.340 €/m²,335.000 €,250 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-46762055668_100500/,Anuncio actualizado el 18/02/2025,"F, G","F, G",valles_occidental_nord (BCN),250 m²,135 m²,4,2,,,Entre 30 y 50 años,,SA4822-V0593-AP-/10724,,Gres,,N/A,,,,,,,,,,,N/A,N/A,,,750 m²,,,N/A,,,,,,,,,,,,,,,,
Piso en Carrer de Balmes,IMMOBLES PRESTIGI S.L,2.123 €/m²,223.000 €,105 m²,https://www.pisos.com/comprar/piso-can_boada_torrent_en_pere_parres08225-51710964874_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),105 m²,,4,1,4ª,,,En buen estado,SA2318-A-EF-1099,,,,,Cocina amueblada,,N/A,N/A,,,,,,Frío,,,,,,1,1,,,,,N/A,,,,,,N/A,,,,,,
Piso en Carrer del Montcau,DALETH Habitatges,2.283 €/m²,137.000 €,60 m²,https://www.pisos.com/comprar/piso-la_gripia_sant_llorenc_sant_llorenc08227-51737972518_501592/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),60 m²,55 m²,3,1,1ª,N/A,,Reformado,501592-DV0005,,Gres,Aluminio,,,,5m²,,N/A,,,Sur,N/A,,Gas natural,,,,,,,,,,N/A,,,N/A,,,,,,,,,,
Chalet en Carrer del Mas Pinetó,PERITAX,1.340 €/m²,335.000 €,250 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-47522415364_100500/,Anuncio actualizado el 29/12/2024,"G, F","G, F",valles_occidental_nord (BCN),250 m²,135 m²,4,2,,,,,SA730-GV0593-AP/2691,,,,N/A,,,,,,,,Suroeste,,,N/A,,,,751 m²,1,1,N/A,,,,,,,,,,,,,,,,
Ático en calle Ca Naurell,LA IMMOBILIARIA TRS,1.818 €/m²,180.000 €,99 m²,https://www.pisos.com/comprar/atico-ca_naurell08224-49203258395_109300/,Anuncio actualizado el 20/02/2025,"C, C","C, C",valles_occidental_nord (BCN),99 m²,,3,1,,N/A,,,EP999-RAQ-192,,,,,,,,,,,15,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,,,
Casa en Carrer de Colom,ESLALLAR,1.088 €/m²,320.000 €,294 m²,https://www.pisos.com/comprar/casa-can_palet08223-50063435859_100500/,Anuncio actualizado el 20/12/2024,"E, E","E, E",valles_occidental_nord (BCN),294 m²,160 m²,4,1,,,Más de 50 años,,SA5398-1280/11608,,,,,,,,,,,N/A,,,,Gas natural,,,,,,1,,N/A,,,,,,,,,,,,,,,
Piso en Sant Llorenç Savall,PERITAX,2.173 €/m²,100.000 €,46 m²,https://www.pisos.com/comprar/piso-sant_llorenc_savall_centro_urbano-48398613413_100500/,Anuncio actualizado el 11/02/2025,"E, E","E, E",valles_occidental_nord (BCN),46 m²,40 m²,1,1,Bajo,,Entre 10 y 20 años,,SA730-G000534/2691,,,,,,,,,,,,Sur,,,Eléctrica,,,,,,,,N/A,,,,,,,,Entre 10 y 20 €,,,,,N/A,,
Casa en Sant Llorenç Savall,SBD IMMOBLES,1.288 €/m²,143.000 €,111 m²,https://www.pisos.com/comprar/casa-sant_llorenc_savall_centro_urbano-35086455091_100500/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),111 m²,104 m²,5,2,,,Más de 50 años,,SA723-10973/2605,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Dalt,FINQUES DURAN-ARGEMI,1.761 €/m²,997.000 €,566 m²,https://www.pisos.com/comprar/casa-matadepera_centro_urbano-49228787021_142700/,Anuncio actualizado el 18/02/2025,"F, E","F, E",valles_occidental_nord (BCN),566 m²,540 m²,7,4,,,Más de 50 años,En buen estado,1427-99089,,,,N/A,,,,,,,,,,,,,,,3.660 m²,,1,Privado,,,,,,,,,,,Propia,,,,,
Piso en La Maurina,"ESTUDI PROJECTE TERRASSA, S.L.",1.449 €/m²,129.000 €,89 m²,https://www.pisos.com/comprar/piso-la_maurina08224-50921648541_100200/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),89 m²,,2,1,,,Más de 50 años,En buen estado,TC698-607661,,,,,,,,,,,,,,,Central,,,,,,,,,,,,,,,,,,,,,,,
Loft en Castellar del Vallès,OLVIA GESTIÓ IMMOBILIARIA,2.998 €/m²,164.900 €,55 m²,https://www.pisos.com/comprar/loft-castellar_del_valles_centro_urbano-50052952833_516838/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),55 m²,55 m²,1,1,Bajo,N/A,,En buen estado,516838-1415,,,,,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Sant Feliu del Racó,VALLES INMOBILIARIA,1.430 €/m²,495.000 €,346 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-50854083571_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_nord (BCN),346 m²,294 m²,6,4,,,Entre 20 y 30 años,,SA4822-PV150-/10724,,Gres,,N/A,,N/A,,,,,N/A,,,,,N/A,,,1.688 m²,1,,N/A,N/A,,,,,,,,,,Propia,,,,,
Piso en calle Mossen Angels Rodamilans,Belfinques Egara S.L.,1.366 €/m²,159.900 €,117 m²,https://www.pisos.com/comprar/piso-ca_nanglada08222-38403837809_106000/,Anuncio actualizado el 31/07/2024,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),117 m²,110 m²,4,2,Más de 20,,Entre 30 y 50 años,,NI211-Bel-V1407,,Terrazo,Madera,,Office,N/A,,,,,N/A,,,,,,,,,,,,Termo electrico,,,,N/A,,,,,,,,,,,
Piso en Carrer de Bartomeu Amat,IMMOBLES PRESTIGI S.L,2.518 €/m²,256.900 €,102 m²,https://www.pisos.com/comprar/piso-sant_pere_zona_esportiva_sant_pere08225-51683868467_100500/,Anuncio actualizado el 18/02/2025,"E, E","E, E",valles_occidental_nord (BCN),102 m²,,4,1,2ª,,,En buen estado,SA2318-A-DV719,,,,,Cocina amueblada,,N/A,,,,,,,,Gas natural,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,,
Ático en Castellar del Vallès,Grup Tecnocasa Sant Cugat,1.682 €/m²,345.000 €,205 m²,https://www.pisos.com/comprar/atico-castellar_del_valles_centro_urbano-51696726619_100200/,Anuncio actualizado el 18/02/2025,"D, D","D, D",valles_occidental_nord (BCN),205 m²,,5,2,,,Más de 50 años,En buen estado,TC423-609511,,,,,,,,,,,N/A,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,
Piso en Castellar del Vallès - Zona Centre,NOVA FINQUES,5.300 €/m²,265.000 €,50 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-27547549778_100500/,Anuncio actualizado el 17/02/2025,"A, A","A, A",valles_occidental_nord (BCN),50 m²,43 m²,2,1,1ª,,Menos de 5 años,,SA3386-CDV11154/8710,,Parquet,,,,,,N/A,,,N/A,,,N/A,N/A,,,,,,,,,,,N/A,,,,,,,Comunitaria,N/A,,,,
Chalet en Carrer De Dom Bosco,IMMOBLES PRESTIGI S.L,1.347 €/m²,399.000 €,296 m²,https://www.pisos.com/comprar/chalet-la_maurina08224-38380865666_100500/,Anuncio actualizado el 28/11/2024,"E, D","E, D",valles_occidental_nord (BCN),296 m²,,4,3,,,,En buen estado,SA2318-A-24975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en - Balcó S Llorens -,CAMEVA Serveis Immobiliaris,1.845 €/m²,430.000 €,233 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-43339922430_100500/,Anuncio actualizado el 10/02/2025,"D, D","D, D",valles_occidental_nord (BCN),233 m²,195 m²,3,2,,,Entre 10 y 20 años,,SA4360-CAM2150/10108,,,,N/A,,,,,,,N/A,,,,Gas natural,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,N/A,,
Piso en Castellar del Vallès,IFINQUES CASTELLAR,3.102 €/m²,242.000 €,78 m²,https://www.pisos.com/comprar/piso-castellar_del_valles_centro_urbano-50861693628_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),78 m²,70 m²,2,1,2ª,N/A,Menos de 5 años,En buen estado,SA4977-151,,,,,Cocina amueblada,,,,,,N/A,Sur,N/A,Frío,Gas natural,,,,,,,,,,,N/A,N/A,N/A,,,,,,,,,N/A,
"Piso en Carrer de Marconi, 126",AEDAS HOMES,2.628 €/m²,276.000 €,105 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-4879150091_109700/,Anuncio actualizado el 23/01/2025,"A, A","A, A",valles_occidental_nord (BCN),105 m²,,3,2,2ª,,,A estrenar,-a0P1v000011pLPjEAM,,,,,N/A,,,,,,N/A,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,
Piso en Carrer de Fiñana,FACTOR IMMOBLES,641 €/m²,172.500 €,269 m²,https://www.pisos.com/comprar/piso-roc_blanc-51759454545_100500/,Anuncio actualizado el 17/02/2025,"E, E","E, E",valles_occidental_nord (BCN),269 m²,80 m²,2,1,Bajo,N/A,,A reformar,SA5570-1585,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Torre-Sana,FINQUES DURAN-ARGEMI,1.666 €/m²,230.000 €,138 m²,https://www.pisos.com/comprar/casa_unifamiliar-torre_sana-50846169109_142700/,Anuncio actualizado el 18/02/2025,"G, G","G, G",valles_occidental_nord (BCN),138 m²,113 m²,3,1,,,Más de 50 años,En buen estado,1427-99114,,Terrazo,Aluminio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unifamiliar,,,
Casa en Sant Pere,MES QUE FINQUES,2.339 €/m²,269.000 €,115 m²,https://www.pisos.com/comprar/casa-sant_pere_zona_esportiva_sant_pere08225-51727964371_100500/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),115 m²,100 m²,4,1,,,Más de 50 años,,SA5682-MQF0016/12116,,,,,,,,,,,,,,,Gas natural,N/A,,,,1,,,N/A,,,,,,,,,,,,,,,
Casa en Carrer del Doctor Puigdueta,SBD IMMOBLES,2.551 €/m²,370.000 €,145 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-50910818060_100500/,Anuncio actualizado el 28/01/2025,"D, D","D, D",valles_occidental_nord (BCN),145 m²,130 m²,4,3,,,Más de 50 años,,SA723-11782/2605,,Gres,,N/A,,N/A,,N/A,,N/A,N/A,Este,,,Gas natural,,,,,,1,,N/A,,,,,,,,,,,N/A,,,,
