nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Carpintería interior,Tipo suelo,Carpintería exterior,Chimenea,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Puerta blindada,Terraza,Orientación,Vidrios dobles,Aire acondicionado,Calefacción,Urbanizado,Calle alumbrada,Calle asfaltada,Superficie solar,Armarios empotrados,Garaje,Jardín,Agua,Luz,Gas,Ascensor,Balcón,Soleado,Se aceptan mascotas,Interior,Gastos de comunidad,Adaptado a personas con movilidad reducida,Piscina,Teléfono,Tipo de casa,Amueblado,Sistema de seguridad,Alcantarillado
Piso en Carrer del Catorze d'Abril,PLUS HABITAT,2.253 €/m²,187.000 €,83 m²,https://www.pisos.com/comprar/piso-ca_naurell08224-50927414052_100500/,Anuncio actualizado el 18/02/2025,"E, D","E, D",valles_occidental_nord (BCN),83 m²,,4,1,3ª,N/A,Más de 50 años,En buen estado,SA2641-PH-278 Catorze d'Abril,,,,,,,,,,,,Norte,,,,,,,,,,,,,,N/A,N/A,,,,,,,,,,,
Piso en Carrer d'Àngel Guimerà,IMMOSAVALL,2.554 €/m²,155.800 €,61 m²,https://www.pisos.com/comprar/piso-can_palet08223-46696040815_520006/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),61 m²,54 m²,1,1,1ª,N/A,Entre 10 y 20 años,En buen estado,4520006-00302,,Parquet,Aluminio,,N/A,N/A,,,N/A,N/A,,Noroeste,N/A,Frío y calor,Gas natural,,,,,1,1,,,,N/A,N/A,N/A,N/A,N/A,,Entre 40 y 60 €,N/A,,,,N/A,Puerta blindada,
Casa adosada en Carrer de la Mare de Déu de las Angustias,Estudi Projecte Ca N´Anglada Slu,776 €/m²,69.900 €,90 m²,https://www.pisos.com/comprar/casa_adosada-ca_nanglada08222-50007783114_100200/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),90 m²,,,,,,Más de 50 años,En buen estado,TC1129-603697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,
Piso en Carrer de Ramón y Cajal,ESPAI CENTRE IMMOBLES,2.626 €/m²,260.000 €,99 m²,https://www.pisos.com/comprar/piso-cementiri_vell08222-48386292514_100500/,Anuncio actualizado el 18/02/2025,"A, A","A, A",valles_occidental_nord (BCN),99 m²,83 m²,3,2,Bajo,,Menos de 5 años,,SA5585-04051/11170,,Parquet,,,,,,,,N/A,N/A,Este,,N/A,N/A,,,,,,,,N/A,,,N/A,N/A,,,,,,,N/A,,,,
Casa pareada en Carrer de la Mare de Déu de l'Esperança,Estudi Projecte Ca N´Anglada Slu,1.142 €/m²,199.900 €,175 m²,https://www.pisos.com/comprar/casa_pareada-ca_nanglada08222-45908392150_100200/,Anuncio actualizado el 20/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),175 m²,,5,1,,,Más de 50 años,En buen estado,TC1129-586619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pareada,,,
Dúplex en Castellar del Vallès,GESTILLAR,2.182 €/m²,275.000 €,126 m²,https://www.pisos.com/comprar/duplex-castellar_del_valles_centro_urbano-41694909965_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_occidental_nord (BCN),126 m²,,2,2,,,,,AG560-10836,,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,
Chalet en Vallés Occidental,Patricia Rodriguez,1.864 €/m²,399.000 €,214 m²,https://www.pisos.com/comprar/chalet-castellar_del_valles_centro_urbano-50908103625_108700/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),214 m²,214 m²,4,3,,,Entre 30 y 50 años,,UVC179-31538,,,,,,,,,,,N/A,,,N/A,,,,,1.633 m²,,,N/A,,,,,,,,,,,N/A,,,,,
Casa en Carrer de Puigventos,SEDA IMMOBLES,1.673 €/m²,359.900 €,215 m²,https://www.pisos.com/comprar/casa-castellar_del_valles_centro_urbano-51723252266_520011/,Anuncio actualizado el 14/02/2025,"G, G","G, G",valles_occidental_nord (BCN),215 m²,190 m²,5,3,,,Entre 30 y 50 años,En buen estado,4520011-5507,N/A,Parquet y gres antiguo,Madera,,N/A,N/A,N/A,,,,,4 vientos,,,Gas natural,N/A,,,,Más de 2,1,,,,N/A,,,,N/A,,,,,,,,,
Piso en Terrassa,INMOAGENCE,2.998 €/m²,149.900 €,50 m²,https://www.pisos.com/comprar/piso-sant_pere_nord08226-48408820925_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",valles_occidental_nord (BCN),50 m²,45 m²,2,1,Bajo,N/A,Entre 10 y 20 años,En buen estado,SA5599-2828,,Parquet,,,Cocina amueblada,,,,,,,,,,Gas natural,,,,,1,,,,,,N/A,,,,,,,,,,,,
Piso en Escola Industrial-Plaça de Catalunya,D & HABITAT,2.400 €/m²,278.500 €,116 m²,https://www.pisos.com/comprar/piso-escola_industrial_placa_de_catalunya08222-37541006798_510396/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_occidental_nord (BCN),116 m²,111 m²,4,2,4ª,N/A,Entre 30 y 50 años,En buen estado,510396-0110377,Madera,Terrazo,PVC,N/A,10m²,30m²,4m²,,N/A,N/A,,Noroeste,N/A,Frío y calor,Central,,,,,2,,,,,N/A,N/A,N/A,N/A,,,,,,,,,N/A,
