nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Referencia,Calefacción,Garaje,Superficie solar,Tipo de casa,Conservación,Carpintería exterior,Vidrios dobles,Tipo suelo,Teléfono,Cocina equipada,Puerta blindada,Terraza,Orientación,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Carpintería interior,Comedor,Jardín,Lavadero,Chimenea,Piscina,Armarios empotrados,Adaptado a personas con movilidad reducida,Amueblado,Agua,Luz,Planta,Ascensor,Trastero,Exterior,Portero automático,Soleado,Aire acondicionado,Gas,Gastos de comunidad,Sistema de seguridad,Balcón,Alcantarillado
Casa en Carrer Marfà,FINQUES VILA VALLS,1.748 €/m²,320.000 €,183 m²,https://www.pisos.com/comprar/casa-castellcir_centro_urbano-51764727384_100500/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),183 m²,136 m²,4,2,Entre 20 y 30 años,SA1359-04-1512/6415,N/A,1,102 m²,,,,,Gres,N/A,,,,Sur,,,,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,
Casa en calle Quadro Del,FINQUES VILA VALLS,1.428 €/m²,390.000 €,273 m²,https://www.pisos.com/comprar/casa-castelltercol_centro_urbano-50874565162_100500/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),273 m²,220 m²,3,3,Entre 10 y 20 años,SA1359-04-1041/6415,Gas natural,1,188 m²,,,,,Gres,,,,N/A,Sur,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer Roqueres,FINQUES VILA VALLS,1.011 €/m²,445.000 €,440 m²,https://www.pisos.com/comprar/casa-castellcir_centro_urbano-23430091712_100500/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),440 m²,290 m²,6,3,Entre 20 y 30 años,SA1359-09-31/6415,Eléctrica,1,3 m²,,,,,Gres,,,,N/A,Sur,N/A,,,,,N/A,N/A,,,Propia,,,,,,,,N/A,,,,,,,,,
Chalet en Carrer Pinyons,FINQUES VILA VALLS,1.457 €/m²,360.000 €,247 m²,https://www.pisos.com/comprar/chalet-sant_quirze_safaja_centro_urbano08189-44224224683_100500/,Anuncio actualizado el 01/02/2025,"D, F","D, F",moianes (BCN),247 m²,208 m²,7,3,Entre 30 y 50 años,SA1359-06-30/6415,N/A,1,1.307 m²,,,,,Gres,N/A,,,N/A,Sur,N/A,,,,,N/A,N/A,,N/A,,1,,,N/A,,,,,,,,,,,,,
Casa en Carrer Clotes,A DINS 1964 Serveis Immobiliaris S.L.,1.900 €/m²,380.000 €,200 m²,https://www.pisos.com/comprar/casa-sant_quirze_safaja_centro_urbano-30086858725_417500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),200 m²,160 m²,4,2,Entre 5 y 10 años,4175-100457,Gasoil,2,1.000 m²,,En buen estado,Aluminio,N/A,Gres,,N/A,,N/A,,N/A,N/A,N/A,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,
Ático en Centre,LA CLAU GRUP IMMOBILIARI,2.000 €/m²,160.000 €,80 m²,https://www.pisos.com/comprar/atico-collsuspina_centro_urbano-20866787511_187000/,Anuncio actualizado el 20/02/2025,"F, F","F, F",moianes (BCN),80 m²,76 m²,4,1,Más de 50 años,1870-100115,Gasoil,,,,Reformado,Madera,N/A,Gres,,Reformada,,N/A,Sureste,,,,,,Amplio,,N/A,,,1,,,,,2ª,,N/A,N/A,N/A,Todo el dia,,,,,,
Chalet en calle C Rosell,FINQUES VILA VALLS,1.325 €/m²,269.000 €,203 m²,https://www.pisos.com/comprar/chalet-sant_quirze_safaja_centro_urbano08183-44229142743_100500/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),203 m²,202 m²,3,2,Más de 50 años,SA1359-06-1037/6415,N/A,,1.200 m²,,,,,Gres,N/A,,,N/A,Sur,N/A,,,,,N/A,N/A,,,,,,,N/A,,,,N/A,,,,,,,,,
Casa en Solà del Boix,FINQUES VILA VALLS,1.693 €/m²,398.000 €,235 m²,https://www.pisos.com/comprar/casa-sant_quirze_safaja_centro_urbano08189-26693672258_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),235 m²,210 m²,5,3,Entre 30 y 50 años,SA1359-06-1032/6415,N/A,1,3 m²,,,,,Gres,N/A,,,,Sur,N/A,,,,,N/A,N/A,,N/A,,1,,,N/A,,,,,,,,,,,,,
Casa en Poble A Baix,MACROFINCAS S.L,581 €/m²,157.000 €,270 m²,https://www.pisos.com/comprar/casa-monistrol_de_calders_centro_urbano-25876726154_100500/,Anuncio actualizado el 15/12/2024,"C, C","C, C",moianes (BCN),270 m²,144 m²,5,3,Más de 50 años,SA565-MCB5205EF/1454,N/A,1,200 m²,,,,,,,,,N/A,Sureste,,,,,,N/A,,,N/A,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer Major,Asif Grup,1.833 €/m²,165.000 €,90 m²,https://www.pisos.com/comprar/piso-castellcir_centro_urbano-35046609278_101800/,Anuncio actualizado el 02/02/2025,Error al procesar consumo,Error al procesar emisiones,moianes (BCN),90 m²,,2,1,Entre 10 y 20 años,IF76363-VTCASTÇIR-025,Central,1,,,,,,,,N/A,,N/A,A la montaña,,,,,,,Privado,,,,,,,,,,N/A,N/A,,,,,,,,,
