nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Aire acondicionado,Calefacción,Puerta blindada,Ascensor,Terraza,Orientación,Exterior,Conservación,Garaje,Trastero,Lavadero,Carpintería interior,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Cocina equipada,Comedor,Portero automático,Adaptado a personas con movilidad reducida,Soleado,Se aceptan mascotas,Sistema de seguridad,Balcón,Piscina,Jardín,Tipo de casa
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,5.150 €/m²,515.000 €,100 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-35854507714_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),100 m²,,3,2,3ª,Menos de 5 años,,IF76306-I-00XALR-W-02SEU2,N/A,1,,,,Central,,N/A,N/A,Sureste,,,,,,,,,,,N/A,,,,,,,,Propia,,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,3.857 €/m²,270.000 €,70 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-45025697586_101800/,Anuncio actualizado el 27/06/2024,"A, A","A, A",sant_adria_de_besos (BCN),70 m²,,2,1,2ª,Menos de 5 años,,IF76306-I-00YBWY-W-02VNP4,,,,,,,,N/A,,,,,1,,,,,,,,N/A,,,,,,,,,,
Piso en calle Festa Major D´Iquique,ENTREPISOS,1.842 €/m²,129.000 €,70 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50060155241_998927/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),70 m²,70 m²,3,1,3ª,,,4998927-Ref. 723,,,Gres,,,,,N/A,,Suroeste,N/A,En buen estado,,,,,,Madera,,,,,,,N/A,,,N/A,,,
Piso en Carrer del Xaloc,SQM Real Estate,2.217 €/m²,173.000 €,78 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49198197383_100500/,Anuncio actualizado el 07/01/2025,"F, F","F, F",sant_adria_de_besos (BCN),78 m²,66 m²,3,1,2ª,Más de 50 años,,SA5320-106544817,,1,,,N/A,,,N/A,,Norte,N/A,En buen estado,,,,,,,,,,,,,,,,N/A,,,
Piso en Sant Adrià de Besòs,TECNOCASA - SANT ADRIÀ DE BESÒS,1.006 €/m²,228.500 €,227 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-51726429806_100200/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),227 m²,,3,3,,Más de 50 años,Más de 100 €,TC412-608028,,,,,N/A,N/A,,,N/A,,,Reformado,1,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Ramon Llull,SQM Real Estate,3.387 €/m²,315.000 €,93 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-48335469717_100500/,Anuncio actualizado el 04/12/2024,"D, D","D, D",sant_adria_de_besos (BCN),93 m²,68 m²,3,2,3ª,Menos de 5 años,,SA5320-106393467,,1,,,N/A,Central,,N/A,,Sur,N/A,En buen estado,1,N/A,,,,,,,,,,,,,,N/A,,,
Piso en Carrer de l'Església,"Punt Sagrada Família, S.L.",3.646 €/m²,649.000 €,178 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-50047842143_103700/,Anuncio actualizado el 17/02/2025,"E, E","E, E",sant_adria_de_besos (BCN),178 m²,133 m²,3,2,,Entre 30 y 50 años,,BLU5-LCB31851,,,,,,,,N/A,N/A,,,En buen estado,N/A,,,,,,,,,,,,,,,N/A,N/A,N/A,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,2.962 €/m²,320.000 €,108 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-38333898714_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,sant_adria_de_besos (BCN),108 m²,,3,2,3ª,Entre 20 y 30 años,,IF76306-I-00XLNS-W-02TJ1X,,1,,,,Central,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,
Apartamento en Sant Adrià de Besòs,Engel & Völkers MMC Barcelona,3.992 €/m²,515.000 €,129 m²,https://www.pisos.com/comprar/apartamento-sant_adria_de_besos_centro_urbano-37543354250_101800/,Anuncio actualizado el 21/05/2024,"B, B","B, B",sant_adria_de_besos (BCN),129 m²,,3,2,,Entre 5 y 10 años,,IF76306-I-00XFYB-W-02T80J,,1,,,,,,N/A,N/A,,,,1,,N/A,,,,,,N/A,,,,,,,,Propia,,
Piso en calle Jardí del Pessebre Vivent,"Punt Sagrada Família, S.L.",5.555 €/m²,700.000 €,126 m²,https://www.pisos.com/comprar/piso-sant_adria_de_besos_centro_urbano-49180089218_103700/,Anuncio actualizado el 17/02/2025,"B, B","B, B",sant_adria_de_besos (BCN),126 m²,100 m²,2,2,,Entre 10 y 20 años,,BLU5-LCB33581,,,,,,N/A,,N/A,N/A,,N/A,A estrenar,N/A,N/A,,,,,,,,,,,,N/A,,N/A,N/A,N/A,
