nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Referencia,Ascensor,Balcón,Terraza,Superficie útil,Superficie solar,Antigüedad,Conservación,Tipo suelo,Agua,Luz,Calefacción,Cocina equipada,Trastero,Planta,Armarios empotrados,Vidrios dobles,Carpintería exterior,Gas,Comedor,Lavadero,Portero automático,Puerta blindada,Sistema de seguridad,Garaje,Adaptado a personas con movilidad reducida,Jardín,Orientación,Urbanizado,Carpintería interior,Calle alumbrada,Calle asfaltada,Exterior,Teléfono,Soleado,Se aceptan mascotas,Tipo de casa,Aire acondicionado,Chimenea,Interior,Amueblado,Piscina,Gastos de comunidad
Finca rústica en Gurb,SIMM,11 €/m²,2.950.000 €,1.917 m²,https://www.pisos.com/comprar/finca_rustica-gurb_centro_urbano-40930179705_110300/,Anuncio actualizado el 13/02/2025,"A, A","A, A",osona (BCN),1.917 m²,11,14,1103-002340,,,N/A,1.917 m²,246.300 m²,,Reformado,Gres,,,N/A,N/A,,,Más de 2,N/A,Madera,,N/A,N/A,,N/A,N/A,Más de 2,N/A,,Sur,,N/A,,N/A,,N/A,,,,Frío y calor,N/A,,,Propia,
Casa en Seva,Engel & Völkers MMC Barcelona,1.790 €/m²,985.000 €,550 m²,https://www.pisos.com/comprar/casa-seva_centro_urbano-41673597401_101800/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),550 m²,8,5,IF76306-I-00XZ7D-W-02QLUI,,,N/A,,2.882 m²,Entre 30 y 50 años,,,,,Central,N/A,N/A,,,,,,,,,,,1,,Privado,,,,,,,,,,,,,,,Propia,
Casa adosada en Carrer del Rosselló,CANO & PUJOL,2.446 €/m²,367.000 €,150 m²,https://www.pisos.com/comprar/casa_adosada-taradell_centro_urbano-48397876287_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),150 m²,4,3,EP1034-5461,,,,124 m²,,,Reformado,,N/A,,,N/A,N/A,,,,,,,,,,,1,,,,,,,,,,,,Adosada,,,,,,
Piso en Nord-El Sucre-Universitat,Visualpis,4.166 €/m²,300.000 €,72 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat08500-51737299128_106700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),72 m²,3,2,IFC76374-PIS_55,N/A,,N/A,72 m²,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida Pericas,Aliseda Inmobiliaria,782 €/m²,59.500 €,76 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-41692940926_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),76 m²,3,1,AN1-ANT00030656430,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,
Casa rústica en Seva,Engel & Völkers MMC Barcelona,1.557 €/m²,1.900.000 €,1.220 m²,https://www.pisos.com/comprar/casa_rustica-seva_centro_urbano-49189141353_101800/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),1.220 m²,6,6,IF76306-I-00YT7D-W-02X26D,,,N/A,,4.742 m²,Entre 10 y 20 años,,,,,Central,N/A,N/A,,1,,,,,,,,,1,,Privado,,,,,,,,,,Rústica,,,,N/A,Propia,
Dúplex en Carrer de Manlleu,SIMM,2.370 €/m²,211.000 €,89 m²,https://www.pisos.com/comprar/duplex-vic_centre_historic-45909336827_110300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),89 m²,3,2,1103-002438,N/A,N/A,N/A,74 m²,,Entre 5 y 10 años,En buen estado,Parquet,,,Gas natural,N/A,,3ª,N/A,N/A,Aluminio,N/A,N/A,N/A,N/A,N/A,,,,,N/A,,N/A,,,N/A,N/A,N/A,,,,,,N/A,,
Casa en Carrer Nou,HABITATGE,Error al procesar precio m²,A consultar,240 m²,https://www.pisos.com/comprar/casa-torello_centro_urbano-41669914444_110700/,Anuncio actualizado el 18/02/2025,"E, E","E, E",osona (BCN),240 m²,3,2,1107-VE12402-32,,,,240 m²,,Más de 50 años,A reformar,,,,Gasoil,,,,,,Madera,,,,,,,,,Privado,,,,,,,,,,,,,,,,
Piso en Centelles,URBENIA,2.678 €/m²,225.000 €,84 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-50036219434_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),84 m²,3,2,EP1014-97801,,,N/A,81 m²,,,En buen estado,,N/A,,,N/A,,2ª,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa pareada en Carrer del Cadí,HABITATGE,2.094 €/m²,375.000 €,179 m²,https://www.pisos.com/comprar/casa_pareada-santa_eugenia_de_berga_centro_urbano-30922335461_110700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),179 m²,4,2,1107-VC02301-04,,,N/A,108 m²,,Menos de 5 años,A estrenar,N/A,,,Gasoil,N/A,,,,N/A,Aluminio,,N/A,N/A,,N/A,,2,,Privado,N/A,N/A,N/A,N/A,N/A,,,,,Pareada,,,,,,
Chalet en Seva,B.C. GESTIONS,3.736 €/m²,355.000 €,95 m²,https://www.pisos.com/comprar/chalet-seva_centro_urbano-49169594088_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),95 m²,3,2,IFC76360-CH-7011,,,,81 m²,243 m²,Entre 30 y 50 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en L'esquirol,Casabona Finques,1.875 €/m²,795.000 €,424 m²,https://www.pisos.com/comprar/chalet-santa_maria_de_corco-45927247856_100500/,Anuncio actualizado el 04/01/2025,"E, E","E, E",osona (BCN),424 m²,5,3,SA1962-1046,,,N/A,400 m²,,,En buen estado,,,,N/A,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,N/A,,,Propia,
Casa en Roda de Ter,estudivic,997 €/m²,255.300 €,256 m²,https://www.pisos.com/comprar/casa-roda_de_ter_centro_urbano-45053099512_994602/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),256 m²,6,3,4994602-6760roda,,,N/A,256 m²,,Más de 50 años,A reformar,,,,,N/A,,,,,,,N/A,N/A,,,,2,,Privado,,N/A,,N/A,N/A,,,,,,,N/A,,,,
Casa en Carrer de Sant Fruitós,SIMM,3.290 €/m²,1.425.000 €,433 m²,https://www.pisos.com/comprar/casa-gurb_centro_urbano-33387386733_110300/,Anuncio actualizado el 13/02/2025,"E, E","E, E",osona (BCN),433 m²,6,3,1103-002198,,,N/A,318 m²,811 m²,Entre 10 y 20 años,En buen estado,Parquet,,,Gas natural,N/A,,,Más de 2,N/A,Aluminio,N/A,,N/A,,N/A,N/A,Más de 2,,Privado,Sur,N/A,N/A,N/A,N/A,,,,N/A,,Frío,,,,Propia,
Piso en Passatge de Torelló,estudivic,573 €/m²,39.000 €,68 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-40912984828_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),68 m²,3,1,4994602-198nopossessiovic,,,Galería cerrada,67 m²,,,En buen estado,,,,,N/A,,Bajo,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle Jaume I ´El Conqueridor´,SIMM,2.676 €/m²,265.000 €,99 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-41676565050_110300/,Anuncio actualizado el 18/02/2025,"F, F","F, F",osona (BCN),99 m²,3,2,1103-002348,N/A,N/A,,99 m²,,Entre 20 y 30 años,En buen estado,Parquet,,,Gas natural,N/A,,2ª,Más de 2,N/A,Madera,N/A,N/A,N/A,N/A,N/A,,,,,Noreste,,N/A,,,N/A,N/A,,,,,,,N/A,,N/A
Casa pareada en Roda de Ter,estudivic,765 €/m²,180.000 €,235 m²,https://www.pisos.com/comprar/casa_pareada-roda_de_ter_centro_urbano-90854262757_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),235 m²,4,3,4994602-303roda,,,,172 m²,263 m²,Menos de 5 años,A estrenar,,,,,,,,,,,,,,,,,Más de 2,,,,N/A,,,,,,,,Pareada,,,,,,
Piso en Tona,LA CLAU GRUP IMMOBILIARI,2.846 €/m²,287.480 €,101 m²,https://www.pisos.com/comprar/piso-tona_centro_urbano-21689216336_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),101 m²,3,2,1870-100165,N/A,,6.12m²,85 m²,,Menos de 5 años,A estrenar,Parquet,,,Central,N/A,,2ª,,N/A,Aluminio,,,N/A,N/A,N/A,,,,Comunitario,,,N/A,,,N/A,,N/A,,,Frío y calor,,,,Comunitaria,
Piso en Torelló,estudivic,1.095 €/m²,126.000 €,115 m²,https://www.pisos.com/comprar/piso-torello_centro_urbano-45044544529_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),115 m²,4,2,4994602-3152torello,,,N/A,115 m²,,Más de 50 años,A reformar,Terrazo,,,Gas natural,N/A,,2ª,,,Madera,,N/A,N/A,N/A,,N/A,,,,,,,,,N/A,,,,,,,,,,
Casa unifamiliar en Zona Pol. Ind. Sot Dels Pradals,SIMM,1.922 €/m²,598.000 €,311 m²,https://www.pisos.com/comprar/casa_unifamiliar-nord_el_sucre_universitat-31733143036_110300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),311 m²,4,4,1103-002161,,,N/A,261 m²,423 m²,Entre 10 y 20 años,En buen estado,Gres,,,Gas natural,N/A,,,,N/A,Aluminio,N/A,N/A,N/A,,,,2,,,Sureste,N/A,N/A,N/A,N/A,,N/A,,N/A,Unifamiliar,Frío y calor,N/A,,N/A,,
"Piso en Rambla del Passeig, 59",LA LLAR IMMOBILIÀRIA,2.330 €/m²,310.000 €,133 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-45007599512_116000/,Anuncio actualizado el 20/02/2025,"F, F","F, F",osona (BCN),133 m²,4,2,1160-099779,N/A,N/A,,110 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Gas natural,N/A,,2ª,Más de 2,N/A,Madera,N/A,N/A,N/A,N/A,,,,,,Sureste,,N/A,,,N/A,,N/A,,,,,,,,
Casa en Zona Rural,SIMM,2.541 €/m²,760.000 €,299 m²,https://www.pisos.com/comprar/casa-gurb_centro_urbano-41694007102_110300/,Anuncio actualizado el 13/02/2025,"E, E","E, E",osona (BCN),299 m²,5,3,1103-002367,,,N/A,241 m²,19.787 m²,Entre 30 y 50 años,En buen estado,Gres,,,Gasoil,N/A,,,,N/A,Madera,,N/A,N/A,,,N/A,2,,Privado,Sur,N/A,N/A,,N/A,,N/A,,,,Frío y calor,N/A,,N/A,,
Piso en Els Hostalets de Balenyà,estudivic,760 €/m²,57.000 €,75 m²,https://www.pisos.com/comprar/piso-els_hostalets_de_balenya-37560304340_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),75 m²,3,1,4994602-745balenya,,,N/A,65 m²,,Más de 50 años,A reformar,,,,,N/A,,5ª,,,,,N/A,N/A,N/A,N/A,N/A,,,,,,,,,N/A,,N/A,,,,,,,,
Casa en Vilanova de Sau,IMMOSONA,690 €/m²,250.000 €,362 m²,https://www.pisos.com/comprar/casa-vilanova_de_sau_centro_urbano-30016857878_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),362 m²,2,2,2424-00031,,,,332 m²,12.500.000 m²,,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Nord-El Sucre-Universitat,SIMM,1.416 €/m²,595.000 €,420 m²,https://www.pisos.com/comprar/casa-nord_el_sucre_universitat08500-45042281408_110300/,Anuncio actualizado el 16/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),420 m²,4,4,1103-002419,,,N/A,286 m²,448 m²,Entre 30 y 50 años,En buen estado,Parquet,,,Eléctrica,N/A,,,Más de 2,N/A,Madera,,N/A,N/A,,N/A,,,,Privado,Sur,N/A,N/A,N/A,N/A,,N/A,,,,,N/A,,N/A,,
Casa adosada en Carretera de Roda,Qualifinques,639 €/m²,325.000 €,508 m²,https://www.pisos.com/comprar/casa_adosada-caputxins_santa_clara_hospital-15035683564_225000/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),508 m²,5,2,2250-003713,,,N/A,508 m²,387 m²,Más de 50 años,A reformar,,,,,N/A,,,,,,,N/A,,,,,Más de 2,,,Este,N/A,,,N/A,,,,,Adosada,,N/A,,,,
Finca rústica en Gurb,Casabona Finques,11 €/m²,2.950.000 €,1.917 m²,https://www.pisos.com/comprar/finca_rustica-gurb_centro_urbano-40031703476_100500/,Anuncio actualizado el 06/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),1.917 m²,10,8,SA1962-1015,,,N/A,1.800 m²,250.000 m²,,En buen estado,,,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,
Casa en Vinyoles D´Orís,IMMOACASA.CAT,887 €/m²,198.000 €,223 m²,https://www.pisos.com/comprar/casa-vinyoles_oris-40881988383_501452/,Anuncio actualizado el 14/10/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),223 m²,3,2,501452-01819,,,N/A,195 m²,126 m²,Entre 10 y 20 años,En buen estado,Terrazo,,,Gas natural,N/A,,,,N/A,Madera,,N/A,N/A,,,,1,,,,N/A,,N/A,N/A,,,,,,,,,,,
Piso en Els Hostalets de Balenyà,B.C. GESTIONS,2.383 €/m²,143.000 €,60 m²,https://www.pisos.com/comprar/piso-els_hostalets_de_balenya-50010749439_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),60 m²,2,1,IFC76360-P-2021,,,,49 m²,,Menos de 5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Manlleu,estudivic,1.009 €/m²,106.000 €,105 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-47518793478_994602/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),105 m²,3,1,4994602-0220manlleu,,,N/A,85 m²,,Entre 30 y 50 años,A reformar,Terrazo,,,Gas natural,N/A,N/A,3ª,2,,Madera,,N/A,N/A,N/A,,N/A,1,,,,,,,,N/A,,N/A,,,,,,,,
Piso en Carretera de Manlleu,LA LLAR IMMOBILIÀRIA,2.500 €/m²,220.000 €,88 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat-45098697961_116000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),88 m²,3,2,1160-099774,N/A,,,71 m²,,Entre 20 y 30 años,En buen estado,Gres,,,Gas natural,N/A,,2ª,Más de 2,N/A,Madera,N/A,N/A,N/A,N/A,N/A,,,,,Sureste,,N/A,,,N/A,,N/A,,,,,,,,
Casa en Carrer de la Sagrada Família,HABITATGE,3.947 €/m²,525.000 €,133 m²,https://www.pisos.com/comprar/casa-nord_el_sucre_universitat08500-49201158174_110700/,Anuncio actualizado el 18/02/2025,"G, F","G, F",osona (BCN),133 m²,2,2,1107-VC02411-01,,,,120 m²,,,A estrenar,,,,,,,,,,,,,,,,,2,,Privado,,,,,,,,,,,,,,,,
Casa en Tona,IMMOSONA,1.000 €/m²,230.000 €,230 m²,https://www.pisos.com/comprar/casa-tona_centro_urbano-29173510365_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),230 m²,3,2,2424-10037,,,,220 m²,1.662 m²,,A reformar,,,,,,,,,,,,,,,,,,,Privado,,N/A,,,N/A,,,,,,,,,,,
Casa en Carrer de Puigsacalm,CÒDOL GESTIÓ TORELLÓ,65.000 €/m²,325.000 €,5 m²,https://www.pisos.com/comprar/casa-torello_centro_urbano-51667971240_100500/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),5 m²,,,SA4093-T01809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Els Hostalets de Balenyà,Engel & Völkers MMC Barcelona,1.933 €/m²,174.000 €,90 m²,https://www.pisos.com/comprar/duplex-els_hostalets_de_balenya-48430594269_101800/,Anuncio actualizado el 16/10/2024,"E, E","E, E",osona (BCN),90 m²,2,2,IF76306-I-00YQ4O-W-02XCSJ,N/A,,N/A,,,Entre 20 y 30 años,,,,,Central,,,2ª,,,,,,,,,,1,,,,,,,,,,,,,,,,,,
Apartamento en Tona,LA CLAU GRUP IMMOBILIARI,3.181 €/m²,175.000 €,55 m²,https://www.pisos.com/comprar/apartamento-tona_centro_urbano-34190240701_187000/,Anuncio actualizado el 20/02/2025,"A, A","A, A",osona (BCN),55 m²,1,1,1870-100255,N/A,,,47 m²,,Menos de 5 años,A estrenar,Parquet,,,Aerotermia,Comedor,,Bajo,1,N/A,PVC,,"20,71m²",N/A,N/A,N/A,N/A,1,N/A,,Este,,Lacado blanco,,,N/A,N/A,Mañanas,N/A,,,,,,,
Casa en Tona,IMMOSONA,Error al procesar precio m²,A consultar,482 m²,https://www.pisos.com/comprar/casa-tona_centro_urbano-30885828339_242400/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),482 m²,15,3,2424-10002,,,,377 m²,548 m²,,En buen estado,Gres,,,,,,,,,Madera,,,,,,,,,,Sur,N/A,,N/A,N/A,,,,,,,,,,,
Casa en Sant Julià de Vilatorta,Engel & Völkers MMC Barcelona,2.926 €/m²,875.000 €,299 m²,https://www.pisos.com/comprar/casa-sant_julia_de_vilatorta_centro_urbano-40853924342_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",osona (BCN),299 m²,6,4,IF76306-I-00XUSQ-W-02UG8E,,,N/A,,433 m²,Más de 50 años,,,,,Central,,,,,,,,,,,,,,,Privado,,,,,,,,,,,,,,,,
Piso en Rambla del Passeig,Qualifinques,2.384 €/m²,310.000 €,130 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-45918429101_225000/,Anuncio actualizado el 19/02/2025,"F, F","F, F",osona (BCN),130 m²,4,2,2250-004077,N/A,N/A,,110 m²,,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,N/A,,2ª,Más de 2,,Madera,,N/A,N/A,N/A,,,,,,Sur,,,,,N/A,,N/A,,,,,,,,
Dúplex en Centelles,estudivic,1.720 €/m²,222.000 €,129 m²,https://www.pisos.com/comprar/duplex-centelles_centro_urbano-45009005302_994602/,Anuncio actualizado el 20/02/2025,"E, D","E, D",osona (BCN),129 m²,3,3,4994602-4220-12dulpexcentelles,N/A,N/A,N/A,110 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Gas natural,N/A,,2ª,1,N/A,Aluminio,,N/A,,N/A,N/A,N/A,,,,,,N/A,,,N/A,,,,,,,,,,
Piso en Carrer d'Enric Prat de la Riba,estudivic,1.460 €/m²,73.000 €,50 m²,https://www.pisos.com/comprar/piso-remei_montseny_la_guixa08500-51756589755_994602/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),50 m²,1,1,4994602-00123vic,N/A,,,44 m²,,Entre 10 y 20 años,En buen estado,Gres,,,Eléctrica,N/A,N/A,1ª,,N/A,Aluminio,,N/A,,N/A,N/A,N/A,1,,,,,,,,N/A,,,,,,,,,,
Piso en Roda de Ter,estudivic,818 €/m²,62.200 €,76 m²,https://www.pisos.com/comprar/piso-roda_de_ter_centro_urbano-34208508486_994602/,Anuncio actualizado el 20/02/2025,"F, F","F, F",osona (BCN),76 m²,3,1,4994602-235roda,,N/A,,74 m²,,Más de 50 años,En buen estado,Gres,,,Gas natural,N/A,,3ª,,N/A,PVC,,N/A,N/A,,,N/A,,,,,,,,,N/A,,,,,,N/A,,,,
Piso en Els Hostalets de Balenyà,B.C. GESTIONS,2.267 €/m²,204.050 €,90 m²,https://www.pisos.com/comprar/piso-els_hostalets_de_balenya-50045204605_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),90 m²,3,2,IFC76360-P-2023,,,,76 m²,,Menos de 5 años,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer dels Marquesos de Vilallonga, 11",SIMM,2.695 €/m²,310.000 €,115 m²,https://www.pisos.com/comprar/piso-sant_julia_de_vilatorta_centro_urbano-46672788029_110300/,Anuncio actualizado el 13/02/2025,"B, A","B, A",osona (BCN),115 m²,3,2,1103-002451,N/A,,N/A,87 m²,,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,1ª,,N/A,PVC,N/A,N/A,N/A,N/A,N/A,,,,,Sureste,,N/A,,,N/A,N/A,N/A,,,,,N/A,,,
Dúplex en Carrer de Jaume Balmes,estudivic,1.005 €/m²,80.400 €,80 m²,https://www.pisos.com/comprar/duplex-torello_centro_urbano-44204570538_994602/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),80 m²,3,1,4994602-284sensepossessiotorello,N/A,,N/A,80 m²,,Entre 10 y 20 años,A reformar,,,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa rústica en El Brull,Engel & Völkers MMC Barcelona,1.700 €/m²,680.000 €,400 m²,https://www.pisos.com/comprar/casa_rustica-el_brull_centro_urbano-44230411178_101800/,Anuncio actualizado el 19/06/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),400 m²,5,3,IF76306-I-00Y73C-W-02UVG8,,,,,21.000 m²,Más de 50 años,,,,,,N/A,,,,,,,,,,,,1,,Privado,,,,,,,,,,Rústica,,,,,,
Piso en Carrer de les Flors,LA LLAR IMMOBILIÀRIA,2.086 €/m²,315.000 €,151 m²,https://www.pisos.com/comprar/piso-nord_el_sucre_universitat-45053624676_116000/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),151 m²,4,2,1160-099780,N/A,,N/A,128 m²,,Entre 20 y 30 años,En buen estado,Parquet,,,Gas natural,N/A,,3ª,,N/A,Aluminio,,N/A,N/A,N/A,,,,,Comunitario,N/A,,N/A,,,N/A,,N/A,,,Frío y calor,,,,,
Casa en Zona Centre,SIMM,1.331 €/m²,299.500 €,225 m²,https://www.pisos.com/comprar/casa-tona_centro_urbano-50848838806_110300/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),225 m²,3,2,1103-002509,,,N/A,165 m²,80 m²,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,N/A,,,1,N/A,Aluminio,N/A,N/A,N/A,,,,Más de 2,,,Sur,N/A,N/A,N/A,N/A,,N/A,,,,,N/A,,,,
Casa en Gurb,SIMM,1.950 €/m²,595.000 €,305 m²,https://www.pisos.com/comprar/casa-gurb_centro_urbano-50853882424_110300/,Anuncio actualizado el 20/02/2025,"G, G","G, G",osona (BCN),305 m²,5,2,1103-002517,,,N/A,,497 m²,Entre 30 y 50 años,En buen estado,Gres,N/A,,Gasoil,N/A,,,Más de 2,N/A,Madera,,N/A,N/A,,N/A,N/A,Más de 2,,Privado,Sureste,N/A,,N/A,N/A,,N/A,,,,Frío y calor,N/A,,,,
Dúplex en Carretera de Sant Hilari Sacalm,estudivic,884 €/m²,100.000 €,113 m²,https://www.pisos.com/comprar/duplex-estadi_horta_vermella_santa_anna-41728418923_994602/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),113 m²,2,2,4994602-946ocupatvic-call,No esta puesto en marcha,N/A,N/A,80 m²,,Entre 10 y 20 años,A reformar,,,,Gas natural,N/A,,2ª,,,,,N/A,,N/A,,N/A,,,,,,,,,N/A,,N/A,,,,,,,,
Casa en Residencial,Qualifinques,938 €/m²,229.000 €,244 m²,https://www.pisos.com/comprar/casa-roda_de_ter_centro_urbano-43400367027_225000/,Anuncio actualizado el 19/02/2025,"G, G","G, G",osona (BCN),244 m²,4,2,2250-004036,,,N/A,191 m²,163 m²,Entre 30 y 50 años,En buen estado,Terrazo,,,Gasoil,N/A,,,,,Madera,,N/A,N/A,,,,Más de 2,,Privado,Suroeste,N/A,,N/A,N/A,,,,N/A,,,N/A,,,,
Casa adosada en Avenida Sant Josep Pta.6-7,Aliseda Inmobiliaria,1.129 €/m²,83.600 €,74 m²,https://www.pisos.com/comprar/casa_adosada-sant_quirze_de_besora_centro_urbano-30067513123_107000/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),74 m²,3,1,AS1-52986336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adosada,,,,,,
"Piso en Carrer dels Marquesos de Vilallonga, 11",SIMM,2.916 €/m²,315.000 €,108 m²,https://www.pisos.com/comprar/piso-sant_julia_de_vilatorta_centro_urbano-30081929061_110300/,Anuncio actualizado el 13/02/2025,"B, A","B, A",osona (BCN),108 m²,3,2,1103-002128,N/A,,N/A,85 m²,,Menos de 5 años,En buen estado,Gres,,,N/A,N/A,,1ª,,N/A,PVC,N/A,N/A,N/A,N/A,,,,,,Norte,,N/A,,,N/A,N/A,N/A,,,,,N/A,,,
Finca rústica en Sant Martí de Centelles,IMMOSONA,1 €/m²,540.000 €,677 m²,https://www.pisos.com/comprar/finca_rustica-sant_marti_de_centelles_centro_urbano-44176124826_242400/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),677 m²,15,2,2424-00010,,,,600 m²,300.000 m²,,A reformar,,,,,,,,,,,,,,,,,,,,Suroeste,,,,,,,,,,,N/A,,,,
Dúplex en Carrer de Manlleu,GESTIONS TONI OLIVER,2.344 €/m²,211.000 €,90 m²,https://www.pisos.com/comprar/duplex-nord_el_sucre_universitat08500-50917664676_100500/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),90 m²,2,2,SA2723-106995955,N/A,N/A,N/A,,,Entre 20 y 30 años,En buen estado,,,,,,,3ª,1,,,,,,,,,,,,Sur,,,,,N/A,,,,,,,,,,Entre 40 y 60 €
Piso en Carretera d'Olot,HELLOFINCA.,1.421 €/m²,108.000 €,76 m²,https://www.pisos.com/comprar/piso-manlleu_centro_urbano-51758650968_527713/,Anuncio actualizado el 03/02/2025,"G, F","G, F",osona (BCN),76 m²,3,1,4527713-000074,N/A,N/A,Comunitaria,58 m²,,Más de 50 años,En buen estado,Parquet,,,,Independiente,N/A,3ª,1,N/A,Aluminio,,Amplio y soleado,Independiente,,N/A,,,,,Suroeste,,Madera blanca,,,N/A,,,N/A,,Frío y calor,,,Negociable,,Entre 40 y 60 €
Dúplex en Carrer de Manlleu,LA LLAR IMMOBILIÀRIA,2.048 €/m²,211.000 €,103 m²,https://www.pisos.com/comprar/duplex-nord_el_sucre_universitat08500-48420498384_116000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),103 m²,3,2,1160-099827,N/A,,N/A,90 m²,,Entre 10 y 20 años,En buen estado,Parquet,,,Gas natural,N/A,,3ª,,N/A,Aluminio,,N/A,N/A,N/A,,,,,Comunitario,,,,,,N/A,,N/A,,,,,,N/A,,
