nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Habitaciones,Baños,Referencia,Ascensor,Balcón,Terraza,Superficie útil,Superficie solar,Antigüedad,Conservación,Tipo suelo,Agua,Luz,Calefacción,Cocina equipada,Trastero,Planta,Armarios empotrados,Vidrios dobles,Carpintería exterior,Gas,Comedor,Lavadero,Portero automático,Puerta blindada,Sistema de seguridad,Garaje,Adaptado a personas con movilidad reducida,Jardín,Orientación,Urbanizado,Carpintería interior,Calle alumbrada,Calle asfaltada,Exterior,Teléfono,Soleado,Se aceptan mascotas,Tipo de casa,Aire acondicionado,Chimenea,Interior,Amueblado,Piscina,Gastos de comunidad
Casa en Santa Eugènia de Berga,Finques La Vall,1.090 €/m²,350.000 €,321 m²,https://www.pisos.com/comprar/casa-santa_eugenia_de_berga_centro_urbano08507-45083621723_253600/,Anuncio actualizado el 20/02/2025,"G, G","G, G",osona (BCN),321 m²,4,2,2536-010509,,,,270 m²,156 m²,Entre 30 y 50 años,En buen estado,Gres,,,Gas natural,Office de 12.50 m²,,,,N/A,Madera,N/A,25 m²,,,,,Más de 2,,Privado,Sur,N/A,Roure,N/A,N/A,,,,,,,,,,,
Piso en calle *,URBENIA,2.837 €/m²,210.000 €,74 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-5020537603_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),74 m²,2,2,EP1014-21650447,N/A,,N/A,,,,A estrenar,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Verge de Fàtima,ESPAI HABITAT,1.234 €/m²,226.000 €,183 m²,https://www.pisos.com/comprar/casa-els_hostalets_de_balenya-42506625398_109300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",osona (BCN),183 m²,5,2,EP831-1065430,,,,150 m²,77 m²,Entre 30 y 50 años,En buen estado,Cerámica o gress,N/A,N/A,Gasoil,Independiente,,,,,N/A,,,,,,,N/A,,,Este::oeste,,,,,,,,,,,,,,,
Casa adosada en Camí de Verinal,LA CLAU GRUP IMMOBILIARI,2.445 €/m²,317.900 €,130 m²,https://www.pisos.com/comprar/casa_adosada-tona_centro_urbano-49220336806_187000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),130 m²,3,3,1870-100381,,,,101 m²,120 m²,Menos de 5 años,A estrenar,Gres,,,N/A,N/A,,,,N/A,PVC,,N/A,N/A,,N/A,,,,Privado,Sur,N/A,N/A,N/A,N/A,,,,N/A,Adosada,Frío y calor,,,,,
Piso en Carrer de Ramon Sala i Saçala,OSONA ACTIVA,2.812 €/m²,180.000 €,64 m²,https://www.pisos.com/comprar/piso-caputxins_santa_clara_hospital-50901173215_137000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),64 m²,2,1,1370-082608,,,,64 m²,,,En buen estado,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle *,URBENIA,2.311 €/m²,215.000 €,93 m²,https://www.pisos.com/comprar/piso-centelles_centro_urbano-5069178019_109700/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,osona (BCN),93 m²,3,2,EP1014-21650443,N/A,,N/A,,,,A estrenar,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer de Sant Sebastià, 50",ARKI,1.397 €/m²,320.000 €,229 m²,https://www.pisos.com/comprar/casa-taradell_centro_urbano-49260621516_524984/,Anuncio actualizado el 12/12/2024,"E, E","E, E",osona (BCN),229 m²,5,3,4524984-T25,,,,134 m²,,Entre 30 y 50 años,En buen estado,Gres,,,Gasoil,N/A,,,Más de 2,,Madera,,N/A,N/A,,,,Más de 2,,Privado,N/A,,,,,,,,,,,N/A,,,,
Piso en Carrer dels Corretgers,HABITATGE,3.529 €/m²,180.000 €,51 m²,https://www.pisos.com/comprar/piso-vic_centre_historic-45870647459_110700/,Anuncio actualizado el 18/02/2025,"C, C","C, C",osona (BCN),51 m²,2,1,1107-VP12407-08,N/A,N/A,,51 m²,,Entre 5 y 10 años,En buen estado,N/A,,,N/A,N/A,,3ª,,N/A,Aluminio,N/A,N/A,,N/A,,,,,,N/A,,N/A,,,N/A,,,,,,,N/A,N/A,,
Casa en Muntanyola,IMMOSONA,1.538 €/m²,360.000 €,234 m²,https://www.pisos.com/comprar/casa-muntanyola_centro_urbano-49176365369_242400/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,osona (BCN),234 m²,4,2,2424-10029,,,,200 m²,2.853 m²,Entre 20 y 30 años,En buen estado,Gres,,,N/A,N/A,,,Más de 2,N/A,Aluminio,,N/A,,,,,2,,Privado,Sur,N/A,,N/A,N/A,,N/A,,,,,N/A,,,Propia,
Dúplex en Tona,NOVA,1.952 €/m²,248.000 €,127 m²,https://www.pisos.com/comprar/duplex-tona_centro_urbano-51709474991_440100/,Anuncio actualizado el 20/02/2025,"E, D","E, D",osona (BCN),127 m²,2,2,4401-010022,,N/A,N/A,100 m²,,Entre 20 y 30 años,En buen estado,Gres,,,Gas natural,N/A,,2ª,Más de 2,N/A,Madera,N/A,N/A,,N/A,,,1,,,,,N/A,,,N/A,,N/A,,,Frío y calor,,N/A,,,
