nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Carrer de Verdi,GESTIONS IMMOBILIARIES SILVIA,1.923 €/m²,175.000 €,91 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-49262641294_308400/,Anuncio actualizado el 20/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),91 m²,73 m²,4,1,N/A,3084-24097,,Gres,,,,N/A,,,,,N/A,Oeste,,,,4ª,Más de 50 años,N/A,,A reformar,,,,Aluminio,N/A,N/A,,,,N/A,,,,,,,,,
"Piso en Carrer del Rellotge, 26",VOLCASA,1.583 €/m²,76.000 €,48 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-45018581717_519874/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),48 m²,45 m²,2,,,4519874-Rellotge,,Parquet,,,,,,N/A,,,,,,,,3ª,Más de 50 años,,,A reformar,,,,,N/A,N/A,,,N/A,N/A,N/A,,,,,,,,
"Piso en Carrer dels Pirineus, 64",VOLCASA,2.230 €/m²,145.000 €,65 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-48347266336_519874/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,60 m²,2,1,N/A,4519874-Pirineus,,Gres,,,Gas natural,N/A,,,,,,Sureste,,,,1ª,Más de 50 años,N/A,,Reformado,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,
Piso en Carrer de Sant Francesc,VOLCASA,2.636 €/m²,145.000 €,55 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-50866779585_519874/,Anuncio actualizado el 27/01/2025,"F, D","F, D",santa_coloma_de_gramenet (BCN),55 m²,51 m²,2,1,Soleado,4519874-Stk_Franc,,Parquet,,,,Americana,,,,,,Noreste,,,,1ª,Más de 50 años,,,Reformado,,,,Aluminio,,N/A,,,N/A,N/A,N/A,,,,,,,,
Piso en Llatí-Riera Alta-Cementiri Vell,Estudi Projecte Sant Pere Nord Slu,2.612 €/m²,209.000 €,80 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-51720634481_100200/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),80 m²,,3,1,,TC973-609667,,,,N/A,,,,,N/A,,,,,,,2ª,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer del Bruc,L´AGENCIA GESTIO IMMOBILIARIA,2.192 €/m²,228.000 €,104 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-47578506806_992337/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),104 m²,83 m²,3,2,N/A,4992337-1695,1,Parquet,,Frío,Gas natural,Salida a lavadero,N/A,,,,N/A,,,,,2ª,Más de 50 años,,,Reformado,Entre 40 y 60 €,,,Aluminio,Salida a balcón,,,,N/A,N/A,,,,,,,,,
Piso en Carrer de Mossèn Camil Rosell,L´AGENCIA GESTIO IMMOBILIARIA,2.770 €/m²,252.100 €,91 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08921-50896986653_992337/,Anuncio actualizado el 23/01/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),91 m²,82 m²,3,1,N/A,4992337-1711,,Gres,N/A,Frío,Gas natural,N/A,,N/A,N/A,,,Sur,,,,2ª,Más de 50 años,,,En buen estado,Entre 40 y 60 €,N/A,N/A,Aluminio,N/A,,,,N/A,,,,,,,,,,
Piso en Carrer de Wagner,ASIFRAN-GROUP,2.068 €/m²,120.000 €,58 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo-50885988473_500186/,Anuncio actualizado el 20/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),58 m²,52 m²,2,1,N/A,500186-023600,,Parquet,,,,N/A,,,,,,,,,,Entresuelo,,N/A,N/A,En buen estado,,,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,,,,,,,
Piso en Carrer de Gènova,L´AGENCIA GESTIO IMMOBILIARIA,2.660 €/m²,290.000 €,109 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-49215371755_992337/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),109 m²,100 m²,3,2,N/A,4992337-1704,Más de 2,Gres,,,Gas natural,N/A,N/A,N/A,N/A,N/A,N/A,Sur,,,,Bajo,Entre 10 y 20 años,N/A,,En buen estado,,,N/A,Aluminio,N/A,,,,,,,N/A,,,,,,,
"Dúplex en Carrer del Doctor Pagès, 36",INMO- INMUEBLES & INTERIORISMO,2.169 €/m²,525.000 €,242 m²,https://www.pisos.com/comprar/duplex-centre_can_mariner08922-48416591929_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),242 m²,214 m²,4,4,,SA5255-sta_coloma_2/6359,,Parquet,,N/A,N/A,,N/A,N/A,N/A,,N/A,Norte,,,,1ª,Entre 20 y 30 años,,N/A,,,N/A,,,N/A,,,1,N/A,,,,N/A,N/A,,,,,
