nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Exterior,Referencia,Armarios empotrados,Tipo suelo,Vidrios dobles,Aire acondicionado,Calefacción,Cocina equipada,Trastero,Puerta blindada,Ascensor,Adaptado a personas con movilidad reducida,Terraza,Orientación,Interior,Chimenea,Jardín,Planta,Antigüedad,Lavadero,Sistema de seguridad,Conservación,Gastos de comunidad,Amueblado,Carpintería interior,Carpintería exterior,Comedor,Portero automático,Superficie solar,Garaje,Balcón,Soleado,Se aceptan mascotas,Gas,Teléfono,Agua,Piscina,Tipo de casa,Urbanizado,Calle alumbrada,Calle asfaltada
Piso en Carrer del Rellotge,Aliseda Inmobiliaria,1.666 €/m²,115.000 €,69 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-51715186293_105900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),69 m²,,3,1,,AN1-ANT00030672811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Raval-Santa Rosa-Safaretjos,"ESTUDI SANTA COLOMA, S.L.U",1.857 €/m²,195.000 €,105 m²,https://www.pisos.com/comprar/atico-raval_santa_rosa_safaretjos08923-48370952797_100200/,Anuncio actualizado el 08/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),105 m²,,4,1,,TC204-597962,,Gres,,,,N/A,,,,,N/A,,,,,4ª,Más de 50 años,,,A reformar,,,,,,,,,N/A,,,,,,,,,,
Piso en Avinguda de la Pallaresa,Flamat Sant Andreu,2.916 €/m²,280.000 €,96 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-51756788171_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),96 m²,60 m²,3,1,N/A,SA5615-PR-SANTA COLOMA PA,,,,,,,,,,,,,,,,Bajo,,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Raval-Santa Rosa-Safaretjos,URBENIA,1.403 €/m²,87.000 €,62 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-47523755108_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),62 m²,,3,1,N/A,EP1014-93813,,,,,,N/A,,,,,,,,,,1ª,,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Pirineus,SEGURPISO GESTION INMOBILIARIA,1.901 €/m²,135.000 €,71 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-48349688892_528240/,Anuncio actualizado el 19/02/2025,"F, E","F, E",santa_coloma_de_gramenet (BCN),71 m²,55 m²,3,1,N/A,4528240-000014,,Gres,,,,,,,,,Vistas panorámicas,Oeste,,,,4ª,Entre 30 y 50 años,,,A reformar,Entre 20 y 40 €,,,Aluminio,Salida a terraza,N/A,,,,N/A,,N/A,,,,,,,
Piso en Carrer de Mossèn Jacint Verdaguer,SEGURPISO GESTION INMOBILIARIA,1.616 €/m²,97.000 €,60 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-51706596001_528240/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),60 m²,56 m²,2,1,N/A,4528240-Jacinto Verdaguer,,Gres,,,,N/A,,N/A,,,,Norte,,,,Bajo,Más de 50 años,N/A,,A reformar,Entre 10 y 20 €,,,Madera,N/A,N/A,,,,,N/A,,,,,,,,
Piso en Centre-Can Mariner,"ESTUDI NOVA RIPOLLET, S.L.U.",2.615 €/m²,170.000 €,65 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-51706675549_100200/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,,,1,,TC682-609130,,,,,N/A,,,,,,N/A,,,,,2ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Washington,Flamat Sant Andreu,2.292 €/m²,149.000 €,65 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-50876954360_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,60 m²,2,1,N/A,SA5615-EN - SANTA COLOMA WSR91,,,,,,,,,,,N/A,,,,,1ª,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Passatge d'en Caralt,Aliseda Inmobiliaria,1.442 €/m²,88.000 €,61 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-41684295848_105900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),61 m²,,2,1,,AN1-ANT00030672936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'en Dalmau,Aliseda Inmobiliaria,2.284 €/m²,164.500 €,72 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-50838940144_105900/,Anuncio actualizado el 09/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),72 m²,,3,1,,AN1-ANT00030672722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Andreu,"Punt Sagrada Família, S.L.",2.180 €/m²,102.500 €,47 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-50091240856_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),47 m²,,2,1,,BLU5-LCB33558,,,,,,,,,,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer de les Aguileres,HOGAREA,2.402 €/m²,185.000 €,77 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-50088413772_108900/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),77 m²,67 m²,3,1,N/A,XA484-9522,,,,Frío y calor,Gas natural,,,,,,N/A,Sur,,,,3ª,,,,,Entre 40 y 60 €,,,,,,,,,,,,,N/A,,,,,
Ático en Llatí-Riera Alta-Cementiri Vell,Engel & Völkers MMC Barcelona,2.455 €/m²,415.000 €,169 m²,https://www.pisos.com/comprar/atico-llati_riera_alta_cementiri_vell08921-44233494778_101800/,Anuncio actualizado el 31/05/2024,"A, A","A, A",santa_coloma_de_gramenet (BCN),169 m²,,3,2,,IF76306-I-00YAZ8-W-02VYCA,,,,,Central,,,,N/A,,N/A,,,,,,Menos de 5 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Florència,Aliseda Inmobiliaria,1.657 €/m²,116.000 €,70 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-41741868618_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),70 m²,,3,1,,AN1-ANT00030672765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sant Andreu,Aliseda Inmobiliaria,2.184 €/m²,124.500 €,57 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51765454319_105900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),57 m²,,3,1,,AN1-ANT00030650002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Doctor Pagès, 18",SEGURPISO GESTION INMOBILIARIA,1.616 €/m²,97.000 €,60 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-44258656980_528240/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),60 m²,56 m²,2,1,,4528240-000005,,Gres,,,Gas natural,Americama,,,,,,Norte,N/A,,,Sótano,Más de 50 años,,,A reformar,Entre 20 y 40 €,,,,,N/A,,,,,,,,,,,,,
"Piso en Carrer de Sicília, nº -",ALTAMIRA,1.518 €/m²,120.000 €,79 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08917-35028534096_103600/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),79 m²,79 m²,3,1,,AM9-2302##33000255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Pi,Flamat Sant Andreu,2.479 €/m²,119.000 €,48 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-48399299325_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),48 m²,,2,1,N/A,SA5615-EN - SANTA COLOMA DE GRAMENET PA,,,,,,Cocina amueblada,,,,,,,,,,1ª,,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Ático en Carrer de Verdi,Comprarcasa-Finques Ema,1.902 €/m²,175.000 €,92 m²,https://www.pisos.com/comprar/atico-santa_coloma_de_gramenet_fondo08922-49228524335_100500/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),92 m²,72 m²,3,1,,SA375-404-1-9099/2440,,,,,,,,,,,N/A,,,,,4ª,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Rambla de Sant Sebastià,080 REAL ESTATE,2.468 €/m²,197.500 €,80 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-42590515084_100500/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),80 m²,,3,1,,SA2013-CC150,1,,,Frío,,Cocina amueblada,,,,,,,,,,3ª,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Sant Ernest,Aliseda Inmobiliaria,914 €/m²,57.600 €,63 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-41736099710_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),63 m²,,3,1,,AN1-ANT00030648483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de Sants,VICTORIA DIEGO AGENTE INMOBILARIO,2.619 €/m²,330.000 €,126 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-50862699511_529351/,Anuncio actualizado el 19/02/2025,"F, G","F, G",santa_coloma_de_gramenet (BCN),126 m²,89 m²,3,1,,4529351-000002,Más de 2,Gres,N/A,Frío y calor,,Reformada amplia,,,,,Con cesped,Noreste,,,,,Más de 50 años,Independiente,N/A,A estrenar,,,Lacada blanca,Aluminio,Exterior a porche,,126 m²,2,,,,,,,,,,N/A,Buenas comunicaciones
Casa pareada en Riu Nord-Riu Sud,"ESTUDI SANTA COLOMA, S.L.U",3.351 €/m²,600.000 €,179 m²,https://www.pisos.com/comprar/casa_pareada-riu_nord_riu_sud08922-50854169330_100200/,Anuncio actualizado el 30/01/2025,"E, D","E, D",santa_coloma_de_gramenet (BCN),179 m²,,3,2,,TC204-605034,,Gres,,N/A,Central,N/A,N/A,,,,N/A,,,,,,Más de 50 años,,,Reformado,,,,,,,,,,,,,,,,Pareada,,,
Piso en Santa Coloma de Gramenet,LA CASA AGENCY ECV,2.418 €/m²,295.000 €,122 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-48339678193_103700/,Anuncio actualizado el 18/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),122 m²,,3,2,N/A,BLU3-LCB32338,,,,,N/A,,,,N/A,,,,,,,,Entre 20 y 30 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer d'Alella,VICTORIA DIEGO AGENTE INMOBILARIO,2.740 €/m²,137.000 €,50 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-51754831153_529351/,Anuncio actualizado el 14/02/2025,"C, C","C, C",santa_coloma_de_gramenet (BCN),50 m²,45 m²,2,1,N/A,529351-000024,,Parquet,N/A,,,Ofis,En terrado,N/A,,,,Noreste,,,,Bajo,Más de 50 años,,,En buen estado,63€ trimestrales,,Embero,Aluminio,Amplio,N/A,,,,N/A,,,,,,,,,
Piso en Passatge d'en Caralt,WEST SIDE,1.442 €/m²,88.000 €,61 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-50862027659_100500/,Anuncio actualizado el 20/01/2025,"D, D","D, D",santa_coloma_de_gramenet (BCN),61 m²,55 m²,2,1,,SA3620-0683-672-936-V4,,Parquet,,,,,,,,,,,N/A,,,Semisótano,Más de 50 años,,,A reformar,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Nàpols,SEGURPISO GESTION INMOBILIARIA,2.403 €/m²,149.000 €,62 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-50933253955_528240/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),62 m²,60 m²,2,1,,4528240-000024,,Parquet,N/A,,,N/A,,,,,,Suroeste,,,,Bajo,Más de 50 años,,,Reformado,Entre 10 y 20 €,,,Aluminio,,N/A,,,,,,,,,,,,,
Piso en Carrer de Singuerlín,Aliseda Inmobiliaria,1.738 €/m²,113.000 €,65 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-41731981037_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,,3,1,,AN1-ANT00030657070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Bruc,Aliseda Inmobiliaria,1.333 €/m²,96.000 €,72 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-41674695101_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),72 m²,,3,1,,AN1-ANT00030672926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Wagner,FINQUES ENRIC,2.068 €/m²,120.000 €,58 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-50865077824_100500/,Anuncio actualizado el 03/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),58 m²,52 m²,2,1,N/A,SA5788-6135,,,,,,,,,,,,Sur,,,,1ª,Entre 30 y 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Casa en Carrer d'Eiximenis,"Punt Sagrada Família, S.L.",2.589 €/m²,580.000 €,224 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-50866774585_103700/,Anuncio actualizado el 17/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),224 m²,,4,3,,BLU5-LCB34444,,,,,N/A,,N/A,,,,N/A,,,,N/A,,Entre 30 y 50 años,,,En buen estado,,,,,,,,N/A,,,,,,,N/A,,,,
Piso en Avenida Amadeu Vives,Aliseda Inmobiliaria,2.037 €/m²,110.000 €,54 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08917-42565238694_105900/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),54 m²,,2,1,,AN1-ANT00030678488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de la Salut,Aliseda Inmobiliaria,1.850 €/m²,161.000 €,87 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-41718514584_105900/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),87 m²,,3,1,,AN1-ANT00030672864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle en Singuerlin,LA CASA AGENCY CASTELLDEFELS,2.428 €/m²,170.000 €,70 m²,https://www.pisos.com/comprar/piso-singuerlin_les_oliveres_can_franquesa_guinardera08-50858902972_103700/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),70 m²,,3,1,N/A,BLU1-LCB34719,,,,,,,,,,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,N/A,,,,,,,,,,
Piso en Carrer de Mossèn Jacint Verdaguer,FINCAS BERNAL,1.650 €/m²,99.000 €,60 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-51698986597_528265/,Anuncio actualizado el 19/02/2025,"G, G","G, G",santa_coloma_de_gramenet (BCN),60 m²,56 m²,2,1,,4528265-000017,,,,,,,,,,,,Norte,,,,Bajo,Más de 50 años,,,A reformar,,,,,,,,,,,,,,,,,,,
Piso en Avenida Franz Liszt,Aliseda Inmobiliaria,1.873 €/m²,118.000 €,63 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08917-46708178523_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),63 m²,,2,1,,AN1-ANT00030678381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer del Mas Marí, nº .",Housfy real Estate,2.289 €/m²,190.000 €,83 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-51681192446_109300/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),83 m²,83 m²,3,1,,EP442-848409,,,,,N/A,,,,,,N/A,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,
Ático en Llatí-Riera Alta-Cementiri Vell,Engel & Völkers MMC Barcelona,2.621 €/m²,377.500 €,144 m²,https://www.pisos.com/comprar/atico-llati_riera_alta_cementiri_vell08921-44182073704_101800/,Anuncio actualizado el 31/05/2024,"A, A","A, A",santa_coloma_de_gramenet (BCN),144 m²,,2,2,,IF76306-I-00YAZA-W-02VYBZ,,,,,Central,N/A,,,N/A,,N/A,,,,,,Menos de 5 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Doctor Pagès,Aliseda Inmobiliaria,2.467 €/m²,192.500 €,78 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-42582708883_105900/,Anuncio actualizado el 29/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),78 m²,,3,1,,AN1-ANT00030672785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Passeig de la Salzereda,ATICNOU,3.833 €/m²,230.000 €,60 m²,https://www.pisos.com/comprar/piso-riu_nord_riu_sud08922-50921605714_518281/,Anuncio actualizado el 14/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),60 m²,55 m²,3,1,N/A,4518281-TWRE-00490,,Parquet,,,Gas natural,,,,N/A,,,,,,,2ª,Más de 50 años,,,En buen estado,,,,Aluminio,,,,,N/A,,,,,,,,,,
Piso en Carrer de Wagner,Aliseda Inmobiliaria,1.833 €/m²,121.000 €,66 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-41713342949_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),66 m²,,3,1,,AN1-ANT00030672892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'en Pons i Pons,Aliseda Inmobiliaria,2.029 €/m²,170.500 €,84 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-49189205210_105900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),84 m²,,4,1,,AN1-ANT00030672559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Sicília,Aliseda Inmobiliaria,1.966 €/m²,175.000 €,89 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-41722315008_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),89 m²,,3,1,,AN1-ANT00030672650,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
"Piso en Carrer de Florència, 63",Housfy real Estate,1.830 €/m²,130.000 €,71 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08917-45892040858_109300/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),71 m²,71 m²,3,1,,EP442-645635,,,,N/A,,,,,,,,,,,,2ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Nàpols,FINCAS BERNAL,2.403 €/m²,149.000 €,62 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-45002480658_528265/,Anuncio actualizado el 19/02/2025,"E, E","E, E",santa_coloma_de_gramenet (BCN),62 m²,60 m²,2,1,,4528265-000003,,,,,,N/A,,,,,,Noroeste,N/A,,,Bajo,Más de 50 años,,,A estrenar,,,,,N/A,,,,,,,,,,,,,,
Piso en Carrer del Bruc,Aliseda Inmobiliaria,1.729 €/m²,147.000 €,85 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08923-41721736160_105900/,Anuncio actualizado el 24/10/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),85 m²,,3,1,,AN1-ANT00030655420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Beethoven,MERCAT IMMOBILIARI CATALA,2.545 €/m²,140.000 €,55 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-50867759854_106000/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),55 m²,50 m²,2,1,,NI268-PORTA-4195MA,,,,,,,,,,,,,,,,1ª,,,,,,,,Aluminio,,,,,,,,,,Gas natural,,,,,
Piso en Avenida San Ignacio,Aliseda Inmobiliaria,1.507 €/m²,95.000 €,63 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-40055210295_104500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),63 m²,,3,1,,ASR1-SRB0000005525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer dels Roviralta,Aliseda Inmobiliaria,1.754 €/m²,103.500 €,59 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-41686079206_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),59 m²,,3,1,,AN1-ANT00030648635,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Milà i Fontanals,MONAPART,2.467 €/m²,190.000 €,77 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-50846123773_101800/,Anuncio actualizado el 11/02/2025,"E, D","E, D",santa_coloma_de_gramenet (BCN),77 m²,,3,1,,IF76872-DT0100-4484,,,,,Central,N/A,,,,,N/A,,,,,3ª,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Mas Marí,Aliseda Inmobiliaria,1.450 €/m²,87.000 €,60 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-43432857334_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),60 m²,,3,1,,AN1-ANT00047720136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Singuerlín-Les Oliveres-Can Franquesa-Guinardera,Engel & Völkers MMC Barcelona,3.151 €/m²,520.000 €,165 m²,https://www.pisos.com/comprar/casa-singuerlin_les_oliveres_can_franquesa_guinardera08-50856400317_101800/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),165 m²,,4,3,,IF76306-I-00YZ4L-W-02Y7CD,,,,,Central,N/A,,,,,N/A,,,,Privado,,Entre 20 y 30 años,,,,,,,,,,200 m²,,,,,,,,,,,,
Piso en Carrer de Roma,Aliseda Inmobiliaria,1.840 €/m²,127.000 €,69 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08921-41711803989_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),69 m²,,3,1,,AN1-ANT00047722423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Llatí-Riera Alta-Cementiri Vell,"ESTUDI NOVA RIPOLLET, S.L.U.",2.941 €/m²,299.999 €,102 m²,https://www.pisos.com/comprar/casa_adosada-llati_riera_alta_cementiri_vell08921-51731290311_100200/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),102 m²,,3,1,,TC682-609016,,,,,N/A,,,,,,N/A,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,Adosada,,,
Piso en Raval-Santa Rosa-Safaretjos,"ESTUDI SANTA COLOMA, S.L.U",1.213 €/m²,82.500 €,68 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-47508309217_100200/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),68 m²,,,1,,TC204-594552,,,,,,,,,,,,,,,,,Más de 50 años,,,En buen estado,,,,,,,,,,,,,,,,,,,
Piso en Carrer d'en Pons i Pons,WEST SIDE,2.029 €/m²,170.500 €,84 m²,https://www.pisos.com/comprar/piso-raval_santa_rosa_safaretjos08923-50904756107_100500/,Anuncio actualizado el 16/01/2025,"D, D","D, D",santa_coloma_de_gramenet (BCN),84 m²,80 m²,4,1,N/A,SA3620-0737-672-559-V2,,Gres,,,Gas natural,Cocina amueblada,,,,,,,,,,2ª,Más de 50 años,N/A,,En buen estado,,,,,,,,,N/A,N/A,,,,,,,,,
Piso en Fondo,LH INMOBILIARIA,1.923 €/m²,175.000 €,91 m²,https://www.pisos.com/comprar/piso-santa_coloma_de_gramenet_fondo08922-49209060973_100500/,Anuncio actualizado el 10/02/2025,"G, F","G, F",santa_coloma_de_gramenet (BCN),91 m²,73 m²,4,1,,SA388-LH-1-9099/2734,,,,,,,,,,,N/A,,,,,4ª,Más de 50 años,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Nàpols,Aliseda Inmobiliaria,2.049 €/m²,125.000 €,61 m²,https://www.pisos.com/comprar/piso-llati_riera_alta_cementiri_vell08917-41718402741_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),61 m²,,2,1,,AN1-ANT00030672627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida Magallanes,Aliseda Inmobiliaria,1.606 €/m²,104.400 €,65 m²,https://www.pisos.com/comprar/piso-centre_can_mariner08922-41722992326_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,santa_coloma_de_gramenet (BCN),65 m²,,3,1,,AN1-ANT00030672881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
