nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Cocina equipada,Lavadero,Trastero,Terraza,Jardín,Planta,Exterior,Calefacción,Ascensor,Adaptado a personas con movilidad reducida,Balcón,Soleado,Armarios empotrados,Chimenea,Garaje,Piscina,Orientación,Gastos de comunidad,Puerta blindada,Tipo de casa,Carpintería exterior,Vidrios dobles,Sistema de seguridad,Agua,Teléfono,Luz,Gas,Urbanizado,Calle alumbrada,Calle asfaltada,Carpintería interior,Comedor,Portero automático,Interior,Amueblado,Se aceptan mascotas,No se aceptan mascotas
Piso en Instituts-Ponent,URBENIA,1.716 €/m²,139.000 €,81 m²,https://www.pisos.com/comprar/piso-instituts_ponent08401-51763998699_109300/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),81 m²,,,3,1,,,EP1014-98134,,,N/A,,,,,4ª,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer del Ponent,FINCAS RO,1.878 €/m²,154.000 €,82 m²,https://www.pisos.com/comprar/piso-les_franqueses_del_valles_bellavista-50074537871_100500/,Anuncio actualizado el 19/02/2025,"D, A","D, A",valles_oriental (BCN),82 m²,73 m²,,3,1,Más de 50 años,,SA5741-PD-05812/12251,Parquet,N/A,,,N/A,N/A,,3ª,,Gas natural,,,N/A,,,,,,Suroeste,Entre 20 y 40 €,N/A,,,,,N/A,,,,,,,,,,,,,
Casa adosada en Carrer de Ruldo,FINQUES VILA VALLS,1.296 €/m²,415.000 €,320 m²,https://www.pisos.com/comprar/casa_adosada-caldes_de_montbui_centro_urbano-50838828153_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),320 m²,250 m²,,4,4,Más de 50 años,,SA1359-02-1450/6415,Gres,,,,,N/A,,,,Gas natural,,,,,,,1,,Este,,,Adosada,,,,,,,,,,,,,,,,,
Casa adosada en Carrer d'Ildefons Cerdà,Asif Grup,983 €/m²,295.000 €,300 m²,https://www.pisos.com/comprar/casa_adosada-sant_feliu_de_codines_centro_urbano-50053029899_101800/,Anuncio actualizado el 31/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),300 m²,,110 m²,5,3,,,IF76363-vsf-0811,,,N/A,N/A,,N/A,,,,Central,,,,,1,,1,,,,,Adosada,,,,,,,,,,,,,,,,,
Dúplex en Carrer de Llevant,UBICA´T GESTIÓ IMMOBILIARIA,1.756 €/m²,325.000 €,185 m²,https://www.pisos.com/comprar/duplex-granollers_centre08402-45025268747_522005/,Anuncio actualizado el 04/02/2025,"B, A","B, A",valles_oriental (BCN),185 m²,170 m²,,4,2,Menos de 5 años,A estrenar,522005-GR-45,Gres,Frío y calor,N/A,N/A,N/A,N/A,,Bajo,N/A,Central,,,,N/A,,,1,,Este,,N/A,,Aluminio,N/A,,,N/A,,,,,,N/A,N/A,N/A,,,N/A,
Apartamento en Font Verda,Engel & Völkers MMC Barcelona,2.124 €/m²,665.000 €,313 m²,https://www.pisos.com/comprar/apartamento-font_verda08402-43382715962_101800/,Anuncio actualizado el 22/06/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),313 m²,,,5,3,Entre 20 y 30 años,,IF76306-I-00Y6GE-W-023EXQ,,,N/A,,,N/A,,3ª,,Central,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Casa en Llinars del Vallès,Engel & Völkers MMC Barcelona,1.125 €/m²,585.000 €,520 m²,https://www.pisos.com/comprar/casa-llinars_del_valles_centro_urbano-10841961909_101800/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_oriental (BCN),520 m²,,1.534 m²,6,4,Entre 30 y 50 años,,IF76306-I-00TNWU-W-02IYZ5,,,N/A,N/A,N/A,N/A,Privado,,,Central,,,,,1,,1,Propia,A la montaña,,,,,,,,,,,,,,,,,,N/A,,
Piso en Passatge de Llúria,FINCAS RO,1.666 €/m²,155.000 €,93 m²,https://www.pisos.com/comprar/piso-la_roca_del_valles_centro_urbano-50850137040_100500/,Anuncio actualizado el 19/02/2025,"G, G","G, G",valles_oriental (BCN),93 m²,,,3,1,Más de 50 años,,SA5741-PA-05614/12251,Gres,,,,N/A,N/A,,1ª,,Gas natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Sagrera,FINQUES VILA VALLS,710 €/m²,155.500 €,219 m²,https://www.pisos.com/comprar/casa-sant_feliu_de_codines_centro_urbano-98385559902_100500/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),219 m²,158 m²,96 m²,5,2,Más de 50 años,,SA1359-01-1059/6415,Gres,,,,N/A,,,,,N/A,,,,,,,,,Sureste,,,,,,,,,,,,,,,N/A,,,,,
Casa adosada en Carrer de Josep Tarradellas,CANO & PUJOL,2.267 €/m²,399.000 €,176 m²,https://www.pisos.com/comprar/casa_adosada-montmelo_centro_urbano-48383139237_109300/,Anuncio actualizado el 25/10/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),176 m²,,,3,4,,,EP1034-5649,,,N/A,,N/A,N/A,,,,,,,,,,,2,,,,,Adosada,,,,N/A,,,,,,,,,,,,,
Chalet en calle C de Sant Pere,FINQUES VILA VALLS,1.586 €/m²,690.000 €,435 m²,https://www.pisos.com/comprar/chalet-santa_eulalia_de_roncana_centro_urbano-45055014188_100500/,Anuncio actualizado el 10/01/2025,"E, F","E, F",valles_oriental (BCN),435 m²,300 m²,1.511 m²,6,4,,,SA1359-03-1040/6415,,N/A,,,N/A,N/A,N/A,,,N/A,,,,,1,N/A,1,,Sur,,,,,,,,N/A,,,N/A,,,,N/A,,,,,
Piso en Vallromanes,NCLOTI GRUP GESTOR,3.375 €/m²,270.000 €,80 m²,https://www.pisos.com/comprar/piso-vallromanes_centro_urbano-47575968849_118700/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),80 m²,70 m²,,3,2,Entre 10 y 20 años,En buen estado,1187-031112,,,N/A,,N/A,N/A,,1ª,N/A,Gas natural,N/A,,,,,,2,,,,,,Aluminio,N/A,,,,,,,,,,N/A,N/A,,,,
Chalet en Can Duran,L´ALTELL,1.721 €/m²,575.000 €,334 m²,https://www.pisos.com/comprar/chalet-canovelles_centro_urbano-41716513562_109300/,Anuncio actualizado el 20/02/2025,"E, E","E, E",valles_oriental (BCN),334 m²,,521 m²,4,3,Entre 20 y 30 años,,EP748-9415710,,Yes,N/A,,,,,,,Yes,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,
Piso en Centre,Nou Niu,1.551 €/m²,166.000 €,107 m²,https://www.pisos.com/comprar/piso-la_llagosta_centro_urbano-43353936002_511608/,Anuncio actualizado el 12/02/2025,"D, D","D, D",valles_oriental (BCN),107 m²,100 m²,,4,1,Más de 50 años,A reformar,511608-LIRE-07501,Gres,,,,,,,4ª,N/A,,,,N/A,N/A,,,,,Este,,,,Aluminio+madera,,,,,,,,,,,,,,,,
Casa en Carrer de l'Amistat,UBICA´T GESTIÓ IMMOBILIARIA,1.405 €/m²,485.000 €,345 m²,https://www.pisos.com/comprar/casa-ametlla_del_valles_centro_urbano-43415405981_522005/,Anuncio actualizado el 31/01/2025,"E, E","E, E",valles_oriental (BCN),345 m²,300 m²,979 m²,4,2,Entre 30 y 50 años,Reformado,522005-LDV-03,Gres,,N/A,N/A,,N/A,Privado,,,Gasoil,,,,,2,N/A,1,Propia,Oeste,,N/A,,Aluminio,N/A,,,N/A,,,N/A,N/A,N/A,N/A,N/A,,,,N/A,
Piso en Can Xarlet,FINCAS RO,2.543 €/m²,145.000 €,57 m²,https://www.pisos.com/comprar/piso-canovelles_centro_urbano-51692877868_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),57 m²,56 m²,,3,1,Más de 50 años,,SA5741-PA-05841/12251,Parquet,N/A,,,,,,2ª,,Gas natural,N/A,,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de Buenos Aires,A DINS 1964 Serveis Immobiliaris S.L.,3.150 €/m²,189.000 €,60 m²,https://www.pisos.com/comprar/piso-caldes_de_montbui_centro_urbano-51745411561_417500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),60 m²,55 m²,,1,1,Entre 10 y 20 años,En buen estado,4175-100725,Gres,Frío y calor,N/A,N/A,,,,Bajo,N/A,Gas natural,N/A,,,,,,,,,,,,,N/A,,,,,,,,,,N/A,,N/A,,,
Piso en Carrer Arcadi Viñas,JPC Serveis Immobiliaris,2.030 €/m²,199.000 €,98 m²,https://www.pisos.com/comprar/piso-plana_lledo_can_borrell_gallecs_lourdes08100-45039037930_527412/,Anuncio actualizado el 14/11/2024,"E, E","E, E",valles_oriental (BCN),98 m²,98 m²,,3,1,Entre 30 y 50 años,En buen estado,4527412-000072,Gres,,N/A,,,,,2ª,N/A,Gas natural,N/A,,,,,,,,Este,,,,Aluminio,,,,,,,,,,,N/A,,,,,
Casa en Carrer del Montseny,A DINS 1964 Serveis Immobiliaris S.L.,2.421 €/m²,385.000 €,159 m²,https://www.pisos.com/comprar/casa-caldes_de_montbui_centro_urbano-51675585671_417500/,Anuncio actualizado el 14/02/2025,"C, C","C, C",valles_oriental (BCN),159 m²,145 m²,83 m²,4,3,,En buen estado,4175-100728,Parquet,Frío,,,,N/A,,,,Gas natural,,,,,,N/A,1,,,,,,Aluminio,,,,,,,,,,,,,,,,
Casa adosada en Aiguafreda,Engel & Völkers MMC Barcelona,1.437 €/m²,266.000 €,185 m²,https://www.pisos.com/comprar/casa_adosada-aiguafreda_centro_urbano-44198959644_101800/,Anuncio actualizado el 02/07/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),185 m²,,,3,2,Entre 30 y 50 años,,IF76306-I-00YAEV-W-02O13K,,,N/A,,,,Privado,,,Central,,,,,1,,1,,,,,Adosada,,,,,,,,,,,,,,,,,
Chalet en Vallés Oriental,Jesus VIDAL PICADO,1.459 €/m²,750.000 €,514 m²,https://www.pisos.com/comprar/chalet-santa_eulalia_de_roncana_centro_urbano-49241982704_108700/,Anuncio actualizado el 29/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),514 m²,514 m²,12.000 m²,3,3,Entre 20 y 30 años,,UVC817-29628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Muntanya del Montseny,A DINS 1964 Serveis Immobiliaris S.L.,2.147 €/m²,539.000 €,251 m²,https://www.pisos.com/comprar/casa-caldes_de_montbui_centro_urbano-45032153343_417500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),251 m²,240 m²,670 m²,5,3,Más de 50 años,En buen estado,4175-100651,,Frío y calor,N/A,N/A,,N/A,Privado,,,,,,,,Más de 2,,Más de 2,,,,,,,,,,,,,N/A,N/A,N/A,,N/A,,,,,
Piso en Avinguda de l'Onze de Setembre,Aliseda Inmobiliaria,2.166 €/m²,110.500 €,51 m²,https://www.pisos.com/comprar/piso-montornes_del_valles_centro_urbano-41754153798_105900/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),51 m²,,,3,1,,,AN1-ANT00030667098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Vallromanes,SETCLAUS ALELLA,1.929 €/m²,849.000 €,440 m²,https://www.pisos.com/comprar/chalet-vallromanes_centro_urbano-25003429884_108900/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),440 m²,410 m²,,4,5,,En buen estado,XA602-1059,,,30m²,,N/A,N/A,,,,Gasoil,,,,,,Comedor /bodega,Más de 2,Propia,Sureste,,N/A,,,,,N/A,,,,,,,,,,,,,
"Piso en Carrer de Rafael Casanova, 48",IMMOEXIT,783 €/m²,195.000 €,249 m²,https://www.pisos.com/comprar/piso-instituts_ponent08401-50032641251_100500/,Anuncio actualizado el 09/02/2025,"D, D","D, D",valles_oriental (BCN),249 m²,240 m²,,1,1,Entre 30 y 50 años,,SA5768-115/12311,,N/A,,,,N/A,,Bajo,,,N/A,,,,,,,,Oeste,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Girona,Aliseda Inmobiliaria,4.005 €/m²,276.400 €,69 m²,https://www.pisos.com/comprar/piso-les_franqueses_del_valles_bellavista-51744833406_109700/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),69 m²,,,2,1,,A estrenar,AS1-00C0001689,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Llinars del Vallès,Engel & Völkers MMC Barcelona,1.732 €/m²,440.000 €,254 m²,https://www.pisos.com/comprar/casa-llinars_del_valles_centro_urbano-48381616186_101800/,Anuncio actualizado el 04/02/2025,"G, G","G, G",valles_oriental (BCN),254 m²,,666 m²,5,3,Más de 50 años,,IF76306-I-00YRT9-W-02P6FY,,,,,,,,,,Central,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Casa en Lliçà D´Amunt,Tot Immobles San Narciso,1.160 €/m²,390.000 €,336 m²,https://www.pisos.com/comprar/casa-llica_amunt_centro_urbano-51695244854_998850/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),336 m²,336 m²,500 m²,3,2,Entre 10 y 20 años,En buen estado,4998850-TOT-2367,Gres,,Office,N/A,,N/A,Privado,,,Gasoil,,,,,,,2,,,,,,Persiana motorizadas,,,,,,,N/A,N/A,N/A,Haya vaporizada,N/A,,,,,
"Dúplex en Carrer de València, 15",Nou Niu,3.362 €/m²,380.000 €,113 m²,https://www.pisos.com/comprar/duplex-granollers_centre08401-5006640893_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),113 m²,,,3,3,,A estrenar,1097-21585257,,,,,,N/A,,2ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de València, 15",Nou Niu,3.150 €/m²,315.000 €,100 m²,https://www.pisos.com/comprar/piso-granollers_centre08401-4956880345_109700/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),100 m²,,,3,2,,A estrenar,1097-21585235,,,,,,N/A,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carrer de Girona, 62",FINCAS RO,2.712 €/m²,255.000 €,94 m²,https://www.pisos.com/comprar/piso-granollers_centre08402-50052315736_100500/,Anuncio actualizado el 19/02/2025,"E, A","E, A",valles_oriental (BCN),94 m²,79 m²,,3,2,,,SA5741-PS-05784/12251,Parquet,N/A,,,,,,3ª,,,N/A,,,,1,,,,Este,Entre 40 y 60 €,N/A,,,,,,,,,,,,,,,,,,
Finca rústica en La Terrera,L´ALTELL,181 €/m²,250.000 €,1.380 m²,https://www.pisos.com/comprar/finca_rustica-santa_eulalia_de_roncana_centro_urbano-41737719887_109300/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),,,1.380 m²,,,,,EP748-9415522b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Puiggreciós - Bonavista,CANO & PUJOL,1.744 €/m²,399.500 €,229 m²,https://www.pisos.com/comprar/casa-bigues-48368470008_109300/,Anuncio actualizado el 17/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),229 m²,207 m²,,4,3,,,EP1034-5602,,,,,N/A,N/A,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,
Casa en Ca L ´Esmandia,FINQUES AFISA,4.111 €/m²,370.000 €,90 m²,https://www.pisos.com/comprar/casa-canoves-47587214328_115700/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),90 m²,90 m²,1 m²,4,3,Entre 30 y 50 años,En buen estado,1157-009821,Gres,,N/A,,,N/A,Privado,,,Gasoil,,,,,,N/A,,Propia,,,,,Madera,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,,
Piso en La Garriga,GISELA FINQUES,2.177 €/m²,196.000 €,90 m²,https://www.pisos.com/comprar/piso-la_garriga_centro_urbano-49208993390_501446/,Anuncio actualizado el 13/02/2025,"E, E","E, E",valles_oriental (BCN),90 m²,85 m²,,4,1,Más de 50 años,En buen estado,501446-020264,Terrazo,Frío y calor,N/A,,,,,1ª,N/A,Eléctrica,N/A,,N/A,N/A,2,,,,Oeste,Entre 40 y 60 €,,,Aluminio,,,,,,,,,,,N/A,,,,,
Piso en Centre,MONTCLAU,2.457 €/m²,172.000 €,70 m²,https://www.pisos.com/comprar/piso-mollet_del_valles_centre-7581097027_501564/,Anuncio actualizado el 27/04/2023,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),70 m²,65 m²,,3,1,Más de 50 años,En buen estado,501564-001800,Parquet,Frío y calor,N/A,,,,,3ª,N/A,Gas natural,N/A,,N/A,N/A,,,,,Este,,,,Aluminio,,,,,,,,,,,N/A,,,,,
Casa adosada en Can Sauleda,FINQUES AFISA,1.983 €/m²,599.000 €,302 m²,https://www.pisos.com/comprar/casa_adosada-sant_antoni_de_vilamajor_centro_urbano-43390196405_115700/,Anuncio actualizado el 01/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),302 m²,302 m²,400 m²,4,3,,A estrenar,1157-009792,,,N/A,N/A,,N/A,Privado,,,N/A,,,,,,,2,,,,,Adosada,,,,,,,,N/A,N/A,N/A,,N/A,,,,,
Piso en Carrer de l'Enginyer,FINCAS RO,3.181 €/m²,280.000 €,88 m²,https://www.pisos.com/comprar/piso-granollers_centre08402-51760480878_100500/,Anuncio actualizado el 20/02/2025,"G, G","G, G",valles_oriental (BCN),88 m²,76 m²,,3,2,Entre 10 y 20 años,,SA5741-PS-05842/12251,Parquet,N/A,,,,,,Bajo,,Gas natural,N/A,,N/A,,,,1,,Noreste,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer d'Artigues,FINQUES CITY GRUP,1.761 €/m²,280.000 €,159 m²,https://www.pisos.com/comprar/casa-llica_amunt_centro_urbano-32597451720_518056/,Anuncio actualizado el 29/01/2025,"E, E","E, E",valles_oriental (BCN),159 m²,150 m²,413 m²,4,2,Entre 30 y 50 años,En buen estado,518056-J428,,,N/A,,,,N/A,,,Gasoil,,,,,,N/A,,N/A,,,,,Aluminio,,,,,,,N/A,N/A,N/A,N/A,N/A,,,,N/A,
Chalet en Carrer de Sant Albert,CANO & PUJOL,1.590 €/m²,439.000 €,276 m²,https://www.pisos.com/comprar/chalet-llica_de_vall_centro_urbano-48379968195_109300/,Anuncio actualizado el 07/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),276 m²,,,5,3,,,EP1034-5780,,,N/A,,,N/A,,,,,,,,,,N/A,2,Comunitaria,,,N/A,,,,N/A,N/A,,,,,,,,,,,,,
Piso en Carrer de Cristóbal Colón,IAD ESPAÑA,2.741 €/m²,159.000 €,58 m²,https://www.pisos.com/comprar/piso-plana_lledo_can_borrell_gallecs_lourdes08100-48367724571_108700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),58 m²,58 m²,,3,1,Más de 50 años,,UVC882-29564,,,,,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Rafael Casanova,BONESTIL,1.780 €/m²,178.000 €,100 m²,https://www.pisos.com/comprar/piso-instituts_ponent08401-50871743923_514389/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),100 m²,90 m²,,4,1,Entre 30 y 50 años,En buen estado,514389-PI-1989,Gres,,Officce,N/A,,,,2ª,N/A,Gas natural,N/A,N/A,N/A,N/A,,,,,Noroeste,,,,Aluminio,,,,,,N/A,,,,,Salon,,,,N/A,
Apartamento en Corró d'Avall,Engel & Völkers MMC Barcelona,2.980 €/m²,232.500 €,78 m²,https://www.pisos.com/comprar/apartamento-corro_avall-48360398168_101800/,Anuncio actualizado el 19/11/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),78 m²,,,3,2,Menos de 5 años,,IF76306-I-00YRU7-W-02XJNS,,,,,,,,1ª,,Central,N/A,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en Avinguda del Parc,IMMOEXIT,3.230 €/m²,420.000 €,130 m²,https://www.pisos.com/comprar/piso-granollers_centre08402-51755305163_100500/,Anuncio actualizado el 09/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),130 m²,113 m²,,3,2,Entre 30 y 50 años,,SA5768-127/12311,Gres,N/A,,,,N/A,,Bajo,,N/A,N/A,,N/A,,,,,,Sur,,N/A,,,,,N/A,N/A,,,,,,,N/A,,,,,
Ático en Ctra.Nova - Ctra.Ametlla,IMMOEXIT,2.454 €/m²,270.000 €,110 m²,https://www.pisos.com/comprar/atico-la_garriga_centro_urbano-51707009326_100500/,Anuncio actualizado el 09/02/2025,"E, E","E, E",valles_oriental (BCN),110 m²,78 m²,,3,2,Entre 20 y 30 años,,SA5768-131/12311,Parquet,N/A,,,,N/A,,3ª,,Gas natural,N/A,,N/A,,,,,,Este,,,,,,,N/A,,,,,,,,N/A,,,,,
Chalet en Les Roquetes,L´ALTELL,3.322 €/m²,598.000 €,180 m²,https://www.pisos.com/comprar/chalet-ametlla_del_valles_centro_urbano-45070943988_109300/,Anuncio actualizado el 20/02/2025,"A, A","A, A",valles_oriental (BCN),180 m²,,1.170 m²,3,2,Menos de 5 años,,EP748-9415819,,,N/A,,,,N/A,,,Yes,,,,,,N/A,,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,
Piso en Sant Celoni,FINQUES  ALPHA,1.111 €/m²,97.800 €,88 m²,https://www.pisos.com/comprar/piso-sant_celoni_centro_urbano-50851772464_108500/,Anuncio actualizado el 14/02/2025,"E, E","E, E",valles_oriental (BCN),88 m²,,,3,1,,,AG652-4033/3507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Corró d'Avall,Engel & Völkers MMC Barcelona,3.408 €/m²,340.800 €,100 m²,https://www.pisos.com/comprar/piso-corro_avall-4980956541_109700/,Anuncio actualizado el 27/12/2024,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),100 m²,,,3,3,,A estrenar,IF76306-D-000MBH,,Frío y calor,,,,,,,,,,N/A,N/A,,,,N/A,,A la montaña,,,,Aluminio,N/A,,,,,,,,,,,,,,,
Piso en Parets del Vallés,CANO & PUJOL,2.703 €/m²,319.000 €,118 m²,https://www.pisos.com/comprar/piso-parets_del_valles_centro_urbano08150-50894075476_109300/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),118 m²,,,3,2,,Reformado,EP1034-5837,,,N/A,,N/A,N/A,,3ª,N/A,,N/A,,,,,,1,Comunitaria,,,N/A,,,,,N/A,,,,,,,,,,,,,
"Chalet en Carrer de Riells, 5",IMMOEXIT,770 €/m²,175.000 €,227 m²,https://www.pisos.com/comprar/chalet-la_batlloria-50073813923_100500/,Anuncio actualizado el 09/02/2025,"G, B","G, B",valles_oriental (BCN),227 m²,200 m²,263 m²,7,2,Más de 50 años,,SA5768-096/12311,,,,,,N/A,N/A,,,,,,,,,,,,Sureste,,,,,,,,,,,,,,,,,,,,
Piso en Plaça de les Arts,UBICA´T GESTIÓ IMMOBILIARIA,2.038 €/m²,265.000 €,130 m²,https://www.pisos.com/comprar/piso-granollers_centre08401-48348795866_522005/,Anuncio actualizado el 13/12/2024,"E, E","E, E",valles_oriental (BCN),130 m²,128 m²,,3,1,Entre 30 y 50 años,En buen estado,522005-GR-52,Gres,Frío y calor,N/A,N/A,N/A,N/A,,1ª,N/A,Gas natural,N/A,N/A,N/A,N/A,1,,2,,Este,,,,Aluminio,N/A,,,N/A,,N/A,,,,N/A,N/A,N/A,,,N/A,
Finca rústica en Els Dominics,SINGULAR PROPERTIES,326 €/m²,1.690.000 €,1.970 m²,https://www.pisos.com/comprar/finca_rustica-cardedeu_centro_urbano-38342104386_100500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),1.970 m²,,5.180 m²,10,5,,,SA2030-SP166SD/2237,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Font Verda,LA CASA AGENCY PUNT POBLE SEC REAL ESTATE,2.447 €/m²,585.000 €,239 m²,https://www.pisos.com/comprar/casa_adosada-font_verda08402-48344174731_101800/,Anuncio actualizado el 31/10/2024,"G, G","G, G",valles_oriental (BCN),239 m²,,,4,4,Entre 20 y 30 años,,IF77106-LCB32589-1,,,,,N/A,,,,,Central,,,,,,,1,,,,,Adosada,,,,,,,,,,,,,,,,,
Casa en Canovelles,Engel & Völkers MMC Barcelona,2.261 €/m²,950.000 €,420 m²,https://www.pisos.com/comprar/casa-canovelles_centro_urbano-49200839313_101800/,Anuncio actualizado el 17/02/2025,"D, D","D, D",valles_oriental (BCN),420 m²,,,6,3,Entre 30 y 50 años,,IF76306-I-00YU2E-W-02WDJN,,,N/A,,N/A,,Privado,,,Central,,,,,1,,1,Propia,,,,,,,,,,,,,,,,,,,,,
Casa en Carrer de la Pineda,A DINS 1964 Serveis Immobiliaris S.L.,1.291 €/m²,430.000 €,333 m²,https://www.pisos.com/comprar/casa-caldes_de_montbui_centro_urbano-50047406974_417500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),333 m²,215 m²,786 m²,6,2,,En buen estado,4175-100705,,,N/A,N/A,,N/A,Privado,,,,,,,,,,,,,,,,,N/A,,,,,,N/A,N/A,N/A,,N/A,,,,,
Chalet en Montornès del Vallès,SETCLAUS ALELLA,1.875 €/m²,1.200.000 €,640 m²,https://www.pisos.com/comprar/chalet-montornes_del_valles_centro_urbano-5884737138_108900/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),640 m²,542 m²,,5,4,,,XA602-1158,,,24m²  office,,,N/A,,,,Gas natural,,,,,,N/A,Más de 2,Propia,Sureste,,N/A,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de Lluís Vives,TU PISO LOW COST,4.214 €/m²,295.000 €,70 m²,https://www.pisos.com/comprar/piso-font_verda08402-51698592076_527950/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),70 m²,70 m²,,3,1,Entre 20 y 30 años,En buen estado,4527950-000348,,,N/A,N/A,,N/A,,2ª,,,N/A,,,N/A,,,1,,,,,,,,,,,,,,,,,N/A,,,,,
"Piso en Avinguda de les Escoles, 1",A DINS 1964 Serveis Immobiliaris S.L.,2.452 €/m²,233.000 €,95 m²,https://www.pisos.com/comprar/piso-sant_feliu_de_codines_centro_urbano-47559361068_417500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,valles_oriental (BCN),95 m²,88 m²,,3,1,,A estrenar,4175-100674,Gres,,N/A,,,N/A,,Bajo,N/A,N/A,N/A,N/A,,,,,1,,,,,,,N/A,,,,,,,,,,N/A,,N/A,,,
