nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Tipo de casa,Antigüedad,Conservación,Referencia,Garaje,Terraza,Jardín,Orientación,Planta,Exterior,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Teléfono,Calefacción,Cocina equipada,Comedor,Lavadero,Trastero,Portero automático,Soleado,Se aceptan mascotas,Amueblado,Aire acondicionado,Balcón,Chimenea,Urbanizado,Calle alumbrada,Armarios empotrados,Agua,Puerta blindada,Ascensor,Gastos de comunidad,Piscina,Sistema de seguridad,Adaptado a personas con movilidad reducida
Piso en Berga,HABITATPORT,2.330 €/m²,240.000 €,103 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50090765190_528277/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),103 m²,77 m²,,2,1,,Entre 30 y 50 años,En buen estado,528277-B19,1,,,Sur,3ª,,,,,Madera,,,Gas natural,,,,,,N/A,,,,N/A,N/A,,,1,,,,,,,
Casa en Carrer de Barcelona,MST IMMOBILIÀRIA,944 €/m²,220.000 €,233 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-42576256046_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),233 m²,230 m²,125 m²,3,2,,Entre 30 y 50 años,En buen estado,4997923-1021,Más de 2,N/A,,Sur,,,,Gres,N/A,,N/A,,Gas natural,N/A,N/A,,,,,N/A,,Frío y calor,,,,,,,,,,,,
Piso en Carrer de la Mare de Déu de Montserrat,HABITATPORT,1.377 €/m²,124.000 €,90 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50900766042_528277/,Anuncio actualizado el 27/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),90 m²,87 m²,,3,1,,Entre 30 y 50 años,En buen estado,528277-B26,1,,,Sur,3ª,,,Parquet,,Aluminio,,,Gas natural,,,,N/A,,N/A,,N/A,Frío y calor,N/A,,,,1,,,,,,,
Piso en Berga,B.C. GESTIONS,903 €/m²,70.500 €,78 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-49265830179_106700/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),78 m²,68 m²,,3,1,,,,IFC76360-DIRE-001347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Berga,B.C. GESTIONS,662 €/m²,28.500 €,43 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-49168773508_106700/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),43 m²,36 m²,,2,1,,Más de 50 años,,IFC76360-FRRE-00983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer del Cantonet, 7",INMOGLOBAL BCN,874 €/m²,139.000 €,159 m²,https://www.pisos.com/comprar/casa-casserres_centro_urbano-46764954078_106700/,Anuncio actualizado el 08/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),159 m²,159 m²,56 m²,3,3,,,,IFC75924-CAS_396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avià,HABITATPORT,1.614 €/m²,310.000 €,192 m²,https://www.pisos.com/comprar/casa_adosada-avia_centro_urbano-50069472952_528277/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),192 m²,190 m²,,3,2,Adosada,Entre 10 y 20 años,A estrenar,528277-B18,,,,,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,
Casa pareada en Gironella,Alfa Puig-Reig,534 €/m²,230.000 €,430 m²,https://www.pisos.com/comprar/casa_pareada-gironella_centro_urbano-45837720897_101000/,Anuncio actualizado el 03/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),430 m²,,,5,2,Pareada,,,AF94-245/1351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Montclar,MST IMMOBILIÀRIA,897 €/m²,96.000 €,107 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50880723547_997923/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),107 m²,80 m²,,4,2,,Entre 30 y 50 años,En buen estado,4997923-1092,,,,,Bajo,N/A,,Gres,N/A,,,,Gas natural,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,
Piso en Carrer Vell,MST IMMOBILIÀRIA,1.122 €/m²,55.000 €,49 m²,https://www.pisos.com/comprar/piso-ametlla_de_merola-50082046225_997923/,Anuncio actualizado el 19/02/2025,"E, E","E, E",bergueda (BCN),49 m²,45 m²,,2,1,,Más de 50 años,En buen estado,4997923-1098,,,,,1ª,N/A,,Parquet,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa adosada en Gironella,HABITATPORT,2.018 €/m²,325.000 €,161 m²,https://www.pisos.com/comprar/casa_adosada-gironella_centro_urbano-48350356964_528277/,Anuncio actualizado el 08/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),161 m²,159 m²,275 m²,4,2,Adosada,Menos de 5 años,A estrenar,528277-B08,1,N/A,Privado,Noreste,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en Carrer Font d'Olvan, 12",INMOGLOBAL BCN,1.056 €/m²,225.000 €,213 m²,https://www.pisos.com/comprar/casa-olvan_centro_urbano-50853197471_106700/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),213 m²,200 m²,142 m²,5,2,,,,IFC75924-CAS_728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Barcelona,Aliseda Inmobiliaria,881 €/m²,171.000 €,194 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-49212923412_104500/,Anuncio actualizado el 10/11/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),194 m²,,,3,2,,,,ASR1-SRB0000167466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Diseminados Masover.Rovira,INMOGLOBAL BCN,2.854 €/m²,685.000 €,240 m²,https://www.pisos.com/comprar/casa-viver_i_serrateix_centro_urbano-48408828616_106700/,Anuncio actualizado el 22/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),240 m²,240 m²,10.000 m²,4,3,,Más de 50 años,,IFC75924-CAS_681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Berga,FINQUES PUJOL,969 €/m²,126.000 €,130 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-49253945093_500010/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),130 m²,125 m²,,4,2,,Entre 10 y 20 años,En buen estado,500010-000811,,,,Sur,1ª,,,Gres,,Aluminio,,,Gas natural,N/A,N/A,N/A,,,N/A,,N/A,,N/A,,,,Más de 2,,,N/A,,,,
Piso en Berga,SAFTI ESPAÑA,1.085 €/m²,89.000 €,82 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-41691203304_100500/,Anuncio actualizado el 28/01/2025,"G, G","G, G",bergueda (BCN),82 m²,77 m²,,4,1,,Entre 30 y 50 años,,SA3541-REF_26307,,,,,4ª,,,,,,,,N/A,,,,,,,,N/A,,N/A,,,,,,,,,,,
"Casa en Carrer de la Serra Casampons, 73",INMOGLOBAL BCN,1.101 €/m²,400.000 €,363 m²,https://www.pisos.com/comprar/casa-berga_centro_urbano-47507339207_106700/,Anuncio actualizado el 15/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),363 m²,329 m²,,4,2,,,,IFC75924-CAS_432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Berga,INMOGLOBAL BCN,1.000 €/m²,85.000 €,85 m²,https://www.pisos.com/comprar/piso-berga_centro_urbano-50858051718_106700/,Anuncio actualizado el 21/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),85 m²,70 m²,,5,1,,Más de 50 años,,IFC75924-PIS_727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Carretera Carretera, 24",PISOS DEL BAGES,288 €/m²,24.500 €,85 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-48393644801_101300/,Anuncio actualizado el 31/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),85 m²,80 m²,,3,1,,Más de 50 años,,API122-PIS567,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Sant Josep,SAM GRUPO M,921 €/m²,70.000 €,76 m²,https://www.pisos.com/comprar/piso-olvan_centro_urbano-39242072438_100500/,Anuncio actualizado el 14/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),76 m²,65 m²,,4,1,,Más de 50 años,,SA4980-SO-64/10877,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,Entre 20 y 40 €,,,
Piso en Cercs,B.C. GESTIONS,1.101 €/m²,76.000 €,69 m²,https://www.pisos.com/comprar/piso-cercs_centro_urbano-49203647259_106700/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),69 m²,49 m²,,2,1,,,,IFC76360-SBRE-0109394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Casa en calle del Carme, 16",PISOS DEL BAGES,226 €/m²,23.800 €,105 m²,https://www.pisos.com/comprar/casa-berga_centro_urbano-48395645982_101300/,Anuncio actualizado el 31/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),105 m²,80 m²,,,,,Más de 50 años,,API122-CAS568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en Carrer Pere Costa,HELLOFINCA.,3.058 €/m²,260.000 €,85 m²,https://www.pisos.com/comprar/atico-berga_centro_urbano-50031738226_527713/,Anuncio actualizado el 24/01/2025,"D, E","D, E",bergueda (BCN),85 m²,85 m²,,2,1,,Entre 20 y 30 años,En buen estado,4527713-000032,1,N/A,,Sureste,3ª,N/A,,Parquet,N/A,Aluminio,N/A,,Gas natural,Independiente,Con salida a la terraa,,,,N/A,N/A,,,N/A,En el comedor,,,Más de 2,,N/A,,Entre 40 y 60 €,,,
Piso en Carrer de l'Orient,HELLOFINCA.,1.177 €/m²,106.000 €,90 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-50917848474_527713/,Anuncio actualizado el 13/02/2025,"C, C","C, C",bergueda (BCN),90 m²,90 m²,,3,1,,,Reformado,4527713-PUIG REIG,,,,,1ª,N/A,N/A,Parquet,N/A,Aluminio,N/A,N/A,Eléctrica,N/A,N/A,,,N/A,N/A,N/A,,Frío y calor,,,,,Más de 2,,N/A,,,,,
Chalet en Berguedá,IAD ESPAÑA,706 €/m²,212.000 €,300 m²,https://www.pisos.com/comprar/chalet-casserres_centro_urbano-48415062358_108700/,Anuncio actualizado el 07/12/2024,"E, E","E, E",bergueda (BCN),300 m²,300 m²,200 m²,5,,,Más de 50 años,,UVC882-28258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Carrer de Barcelona,Aliseda Inmobiliaria,881 €/m²,171.000 €,194 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-49188277312_104500/,Anuncio actualizado el 10/11/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),194 m²,,,3,2,,,,ASR1-SRB0000195903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Cercs,SAFTI ESPAÑA,1.104 €/m²,159.000 €,144 m²,https://www.pisos.com/comprar/casa-cercs_centro_urbano-49207558220_100500/,Anuncio actualizado el 30/01/2025,"E, E","E, E",bergueda (BCN),144 m²,144 m²,,4,2,,,,SA3541-REF_31922,,,,,,,,,,,,,N/A,,,,,,,,N/A,,,,,,,,,,,,,
Casa en Carrer de Cal Biel,HIPOGES IBERIA,791 €/m²,380.000 €,480 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-51729106415_100700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),480 m²,480 m²,480 m²,,,,Entre 10 y 20 años,,REMO-00026,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,N/A,,
Piso en Cercs,SAFTI ESPAÑA,1.276 €/m²,83.000 €,65 m²,https://www.pisos.com/comprar/piso-cercs_centro_urbano-44240256158_100500/,Anuncio actualizado el 28/01/2025,"F, E","F, E",bergueda (BCN),65 m²,65 m²,,2,1,,,,SA3541-REF_29700,,,,,1ª,,,,,,,,Eléctrica,,,,,,,,N/A,,,,,,,,,,,,,
Piso en Carrer de l'Orient,HELLOFINCA.,1.730 €/m²,135.000 €,78 m²,https://www.pisos.com/comprar/piso-puig_reig_centro_urbano-51667272827_527713/,Anuncio actualizado el 12/02/2025,"F, F","F, F",bergueda (BCN),78 m²,78 m²,,2,1,,Más de 50 años,En buen estado,4527713-000079,,,,Suroeste,1ª,N/A,Madera blanca,Parquet,N/A,Madera,,,Gas natural,Abierta al salon,N/A,Independiente,Independiente,,N/A,N/A,N/A,,,,,,,,N/A,,Entre 20 y 40 €,,N/A,
Piso en Carrer de Pau Casals,SAM GRUPO M,1.382 €/m²,159.000 €,115 m²,https://www.pisos.com/comprar/piso-baga_centro_urbano-39254587823_100500/,Anuncio actualizado el 14/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),115 m²,,,2,,,,,SA4980-SO-207/10877,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Puig-reig,B.C. GESTIONS,791 €/m²,380.000 €,480 m²,https://www.pisos.com/comprar/casa-puig_reig_centro_urbano-50871504388_106700/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),480 m²,408 m²,,4,3,,,,IFC76360-REMO-00026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,
Casa en Carrer de l'Harmonia,SAM GRUPO M,232 €/m²,91.000 €,391 m²,https://www.pisos.com/comprar/casa-berga_centro_urbano-39173322356_100500/,Anuncio actualizado el 10/10/2024,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),391 m²,,,9,4,,,,SA4980-EXC_SO-120/10877,,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,
Casa unifamiliar en Cercs,SAFTI ESPAÑA,1.599 €/m²,379.000 €,237 m²,https://www.pisos.com/comprar/casa_unifamiliar-cercs_centro_urbano-41697220503_100500/,Anuncio actualizado el 28/01/2025,"E, D","E, D",bergueda (BCN),237 m²,167 m²,,5,2,Unifamiliar,Entre 30 y 50 años,,SA3541-REF_26217,2,N/A,,,,,,,,,,,Gasoil,,,,,,,,,N/A,,,,,,,,,,N/A,,
Piso en Carrer de Olvan Alt,Aliseda Inmobiliaria,745 €/m²,41.000 €,55 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-50856030537_104500/,Anuncio actualizado el 19/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),55 m²,,,,,,,,ASR1-SRB0000285397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en La Molina,BEST HOUSE BARCELONA SANTS,690 €/m²,345.000 €,500 m²,https://www.pisos.com/comprar/casa-castellar_de_nhug_centro_urbano-17541796350_100500/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),500 m²,500 m²,800 m²,6,4,,Más de 50 años,,SA431-658380/5661,,N/A,,,,,,,,,,,Central,,N/A,,,,,,,,,N/A,,,1,,N/A,,,,,
Piso en Carrer de Olvan Alt,ONREALE REAL ESTATE SERVICES,678 €/m²,49.500 €,73 m²,https://www.pisos.com/comprar/piso-gironella_centro_urbano-51681948256_109300/,Anuncio actualizado el 03/02/2025,Error al procesar consumo,Error al procesar emisiones,bergueda (BCN),73 m²,,,,,,Entre 10 y 20 años,,EP839-PB-ON240783,,,,,Sótano,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
