nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Agua,Calefacción,Sistema de seguridad,Ascensor,Terraza,Orientación,Conservación,Garaje,Aire acondicionado,Cocina equipada,Trastero,Puerta blindada,Adaptado a personas con movilidad reducida,Jardín,Piscina,Exterior,Carpintería interior,Vidrios dobles,Carpintería exterior,Comedor,Lavadero,Portero automático,Balcón,Soleado,Tipo de casa,Superficie solar,Chimenea,Urbanizado,Teléfono,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Gas,Interior,Luz
Ático en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,6.324 €/m²,790.500 €,125 m²,https://www.pisos.com/comprar/atico-vallpineda_santa_barbara-44191700116_101800/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),125 m²,,3,2,2ª,,,IF76306-I-00Y7LU-W-02VO7R,,1,,,Central,,N/A,N/A,,,1,,N/A,,,,,Propia,,,,,,,,,,,,,,,,,,,,
Chalet en Vinyet-Terramar-Can Pei-Can Girona,ONIX REAL ESTATE S.L,4.493 €/m²,2.575.000 €,573 m²,https://www.pisos.com/comprar/chalet-can_girona_terramar_vinyet-50075550170_100500/,Anuncio actualizado el 08/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),573 m²,395 m²,5,4,,Entre 5 y 10 años,,SA5730-OR104AA/12062,N/A,1,,N/A,N/A,N/A,,N/A,Sur,,1,N/A,,N/A,N/A,,N/A,N/A,,,,,N/A,,,,,,1.426 m²,,N/A,N/A,,,,,,
Casa en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,3.580 €/m²,1.790.000 €,500 m²,https://www.pisos.com/comprar/casa-vallpineda_santa_barbara-43344879193_101800/,Anuncio actualizado el 05/11/2024,"B, B","B, B",garraf (BCN),500 m²,,6,7,,Entre 10 y 20 años,,IF76306-I-00Y4T5-W-02TMES,,1,,,Central,,,N/A,,,1,,N/A,N/A,,,Privado,Propia,,,,,,N/A,,,,,1.000 m²,,,,,,,,,
Casa en Canyelles,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/casa-canyelles_centro_urbano-41745183767_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-I-00XZA4-W-02UW3F,,,,,Central,,,,A la montaña,,,,N/A,,,,Privado,Propia,,,,,,N/A,,,,,600 m²,,,,,,,,,
Piso en Mas Trader I,Grupo TorreSol Inmobiliaria,2.864 €/m²,275.000 €,96 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-45854201807_100500/,Anuncio actualizado el 03/02/2025,"B, B","B, B",garraf (BCN),96 m²,82 m²,3,2,Bajo,Menos de 5 años,Entre 80 y 100 €,SA4441-CubRUmolantonio-21/4861,N/A,1,Parquet,N/A,Gas natural,N/A,N/A,N/A,Este,,,,,N/A,N/A,,N/A,Comunitaria,,,,,N/A,,,N/A,,,,,,N/A,,,,,,
Piso en Nucli Urbà,Ribes Roig Serveis Immobiliaris,2.206 €/m²,169.900 €,77 m²,https://www.pisos.com/comprar/piso-sant_pere_de_ribes_nucli_urba-50036452068_109300/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),77 m²,55 m²,2,1,2ª,,Entre 40 y 60 €,EP924-2604,,,,N/A,Eléctrica,,N/A,N/A,Sur,,,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,,
Piso en Maritim,VISTAMAR FINQUES,3.734 €/m²,239.000 €,64 m²,https://www.pisos.com/comprar/piso-maritim-50073409924_500964/,Anuncio actualizado el 20/02/2025,"B, B","B, B",garraf (BCN),64 m²,54 m²,2,1,Bajo,Menos de 5 años,,500964-001444,N/A,Más de 2,Parquet,,,,N/A,24m²,Sureste,En buen estado,1,Frío y calor,Abierta a comedor,,N/A,N/A,,,N/A,,N/A,Aluminio,32´82m²,,N/A,,N/A,,,,,,,,,,,
Apartamento en Carrer de Viladellops,Engel & Völkers MMC Barcelona,3.243 €/m²,399.000 €,123 m²,https://www.pisos.com/comprar/apartamento-sant_joan_moli_de_vent-45063760397_101800/,Anuncio actualizado el 06/08/2024,"E, E","E, E",garraf (BCN),123 m²,,3,2,5ª,Entre 20 y 30 años,,IF76306-I-00YCI5-W-02W3PB,,1,,,Central,,N/A,N/A,,,,,N/A,,,,,Propia,,,,,,N/A,,,,,,,,,,,,,,
Apartamento en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,7.221 €/m²,902.700 €,125 m²,https://www.pisos.com/comprar/apartamento-vallpineda_santa_barbara-44168511113_101800/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),125 m²,,3,2,,,,IF76306-I-00Y7M8-W-02VOF4,,1,,,Central,,N/A,N/A,,,1,,N/A,,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,
Ático en Centre,Engel & Völkers MMC Barcelona,5.781 €/m²,370.000 €,64 m²,https://www.pisos.com/comprar/atico-sitges_centre-4992539980_109700/,Anuncio actualizado el 18/12/2024,"B, A","B, A",garraf (BCN),64 m²,,2,2,,,,IF76306-D-000FT5,,,,,,,N/A,N/A,,A estrenar,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Sant Joan-Molí de Vent,Vilanova Daurada Sl,2.678 €/m²,375.000 €,140 m²,https://www.pisos.com/comprar/casa_adosada-sant_joan_moli_de_vent-51710768384_100200/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),140 m²,,3,,,Más de 50 años,,TC909-608198,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,Adosada,,,,,,,,,,
Casa en California,OPEN INMO,2.282 €/m²,445.000 €,195 m²,https://www.pisos.com/comprar/casa-canyelles_centro_urbano-46757192978_100500/,Anuncio actualizado el 10/02/2025,"E, F","E, F",garraf (BCN),195 m²,135 m²,4,4,,Entre 20 y 30 años,,SA1406-OI01946/5763,,,,N/A,Central,,,N/A,Sur,,1,,,N/A,,,N/A,Propia,,,,,,,,,,,690 m²,N/A,,,,,,,,
Casa en Nucli Urbà,Ribes Roig Serveis Immobiliaris,3.685 €/m²,645.000 €,175 m²,https://www.pisos.com/comprar/casa-sant_pere_de_ribes_nucli_urba-45046191982_109300/,Anuncio actualizado el 01/11/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),175 m²,150 m²,3,3,,,,EP924-1248,,,,N/A,,N/A,,N/A,,Reformado,1,,N/A,N/A,,,Comunitario,,,,,,,,,,,,,,,,,,,,,
Casa en Canyelles,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/casa-canyelles_centro_urbano-41671952904_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-I-00XZAP-W-02UW5D,,,,,Central,,,,A la montaña,,,,N/A,,,,Privado,Propia,,,,,,N/A,,,,,600 m²,,,,,,,,,
Ático en Les Parellades,OPEN INMO,2.772 €/m²,280.000 €,101 m²,https://www.pisos.com/comprar/atico-puigmolto_vinedos_can_macia08810-50924108944_100500/,Anuncio actualizado el 07/02/2025,"G, G","G, G",garraf (BCN),101 m²,94 m²,3,2,2ª,Entre 20 y 30 años,,SA1406-OI02051/5763,,,,N/A,Gas natural,,,N/A,Suroeste,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Canyelles,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/casa-canyelles_centro_urbano-41674892949_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-I-00XZAE-W-02UW4Q,,,,,Central,,,,A la montaña,,,,N/A,,,,Privado,Propia,,,,,,N/A,,,,,600 m²,,,,,,,,,
Chalet en Mas Alba,Alemany Real Estate,2.283 €/m²,740.000 €,324 m²,https://www.pisos.com/comprar/chalet-mas_en_serra_els_cards08812-30902625830_100500/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),324 m²,195 m²,7,1,,,,SA1889-A01674/5298,,,,,,,,N/A,,,,,,N/A,,,N/A,Propia,,,,,,,,,,,588 m²,,N/A,,,,,,,
Casa en Can Girona-Terramar-Vinyet,Engel & Völkers MMC Barcelona,6.418 €/m²,7.490.000 €,1.167 m²,https://www.pisos.com/comprar/casa-can_girona_terramar_vinyet-25086573388_101800/,Anuncio actualizado el 21/05/2024,"E, E","E, E",garraf (BCN),1.167 m²,,11,12,,Más de 50 años,,IF76306-I-00O6QG-W-023UOS,,1,,,Central,,,N/A,Sur,,1,,N/A,N/A,,,Privado,Propia,,,,,,N/A,,,,,3.006 m²,,,,,,,,,
Casa en Olivella,Engel & Völkers MMC Barcelona,1.980 €/m²,499.000 €,252 m²,https://www.pisos.com/comprar/casa-olivella_centro_urbano-49226060115_101800/,Anuncio actualizado el 04/02/2025,"E, D","E, D",garraf (BCN),252 m²,,4,3,,Entre 20 y 30 años,,IF76306-I-00YUZL-W-02XJQW,,,,,Central,,,N/A,,,1,,,,,,Privado,Propia,,,,,,,,,,,918 m²,,,,,,,,,
Apartamento en Can Girona-Terramar-Vinyet,Engel & Völkers MMC Barcelona,8.217 €/m²,189.000 €,23 m²,https://www.pisos.com/comprar/apartamento-can_girona_terramar_vinyet-50097196204_101800/,Anuncio actualizado el 03/01/2025,"E, E","E, E",garraf (BCN),23 m²,,1,1,,Más de 50 años,,IF76306-I-00YX7C-W-02Y0NC,,,,,Central,,,N/A,,,,,,,,,Privado,,,,,,,,,,,,,,,,,,,,,
Piso en Maritim,OPEN INMO,2.361 €/m²,153.500 €,65 m²,https://www.pisos.com/comprar/piso-maritim-47526395223_100500/,Anuncio actualizado el 13/02/2025,"G, E","G, E",garraf (BCN),65 m²,55 m²,1,1,2ª,Entre 30 y 50 años,Entre 40 y 60 €,SA1406-OI01979/5763,,,Gres,N/A,,,,N/A,Sur,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Ático en Rambla de Josep Antoni Vidal,Engel & Völkers MMC Barcelona,3.846 €/m²,350.000 €,91 m²,https://www.pisos.com/comprar/atico-vilanova_i_la_geltru_centre-33395970460_101800/,Anuncio actualizado el 21/01/2025,"G, F","G, F",garraf (BCN),91 m²,,3,1,5ª,Entre 30 y 50 años,,IF76306-I-00WUU2-W-02RVGP,,,,,Central,,N/A,N/A,Suroeste,,,,N/A,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Casa pareada en Urb. Mas Trader I,VISTAMAR FINQUES,2.435 €/m²,380.000 €,156 m²,https://www.pisos.com/comprar/casa_pareada-mas_trader_corral_en_tort_corral_en_cona-20074563370_500964/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),156 m²,113 m²,4,2,,Entre 10 y 20 años,N/A,500964-001255,,2,,,Gas natural,,,"14m², 11m²",Oeste,En buen estado,1,,14m² independiente,,N/A,,Privado,Propia,,Haya,N/A,Aluminio,25m²,,,,,Pareada,405 m²,N/A,N/A,,N/A,N/A,,N/A,,
Casa en calle Pic de Laliga,Ribes Roig Serveis Immobiliaris,1.600 €/m²,480.000 €,300 m²,https://www.pisos.com/comprar/casa-mas_en_serra_els_cards08812-40084512903_109300/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),300 m²,172 m²,4,4,,,,EP924-2196,,,,N/A,,,N/A,,,En buen estado,1,,N/A,,,,Comunitario,Propia,,,,,,,,,,,,,,,,,,,,
Casa en Vallpineda,OPEN INMO,4.761 €/m²,800.000 €,168 m²,https://www.pisos.com/comprar/casa-vallpineda_santa_barbara-35839632876_100500/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),168 m²,160 m²,3,2,,Entre 30 y 50 años,,SA1406-OI01488/5763,,,Tarima maciza,N/A,Gas natural,,,N/A,Sur,,1,N/A,,N/A,,,N/A,Propia,,,,,,,,,,,569 m²,N/A,N/A,N/A,,,,,,
Casa en Ribes Roges,OPEN INMO,2.781 €/m²,470.000 €,169 m²,https://www.pisos.com/comprar/casa-barri_de_mar_ribes_roges_placa_de_la_sardana-35847564660_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",garraf (BCN),169 m²,141 m²,4,2,,Entre 30 y 50 años,,SA1406-OI00905/5763,,,Parquet,N/A,Gas natural,N/A,,N/A,Este,,1,N/A,,N/A,,,N/A,,,,,,N/A,,,,,,,,N/A,N/A,,,,,,
Casa en Olivella,Engel & Völkers MMC Barcelona,2.052 €/m²,745.000 €,363 m²,https://www.pisos.com/comprar/casa-olivella_centro_urbano-39196552551_101800/,Anuncio actualizado el 07/11/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),363 m²,,5,2,,Entre 10 y 20 años,,IF76306-I-00XPYU-W-02T0DJ,,,,,Central,,,N/A,,,,,N/A,,,,Privado,,,,,,,,,,,,3.388 m²,,,,,,,,,
Piso en Carrer del Doctor Fleming,Engel & Völkers MMC Barcelona,4.689 €/m²,407.977 €,87 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-5142198419_109700/,Anuncio actualizado el 18/02/2025,"B, B","B, B",garraf (BCN),87 m²,,3,,Bajo,,,IF76306-D-000HYW,,,,,,,N/A,N/A,,A estrenar,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,6.944 €/m²,979.200 €,141 m²,https://www.pisos.com/comprar/apartamento-vallpineda_santa_barbara-44166908677_101800/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),141 m²,,4,3,,,,IF76306-I-00Y7M2-W-02VOBW,,1,,,Central,,N/A,N/A,,,1,,N/A,,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,
Piso en Mas Trader I,HOME71,2.864 €/m²,275.000 €,96 m²,https://www.pisos.com/comprar/piso-moli_de_baix_bardaji-48384381634_100500/,Anuncio actualizado el 03/12/2024,"B, B","B, B",garraf (BCN),96 m²,82 m²,3,2,Bajo,Menos de 5 años,Entre 80 y 100 €,SA3926-CubRUmolantonio-21/7019,N/A,1,Parquet,N/A,Gas natural,N/A,N/A,N/A,Este,,,,,N/A,N/A,,N/A,Comunitaria,,,,,N/A,,,N/A,,,,,,N/A,,,,,,
Apartamento en Llevantina-Montgavina-Quint-Mar-Garraf,Engel & Völkers MMC Barcelona,5.684 €/m²,540.000 €,95 m²,https://www.pisos.com/comprar/apartamento-llevantina_montgavina_quint_mar_garraf08870-49220011685_101800/,Anuncio actualizado el 17/02/2025,"E, E","E, E",garraf (BCN),95 m²,,,2,1ª,Entre 30 y 50 años,,IF76306-I-00YUYP-W-02XXOQ,,1,,,Central,,,N/A,,,1,,N/A,N/A,,,Privado,,,,,,,N/A,,,,,,,,,,,,,,
Piso en Centre,INMOBEL GESTION INMOBILIARIA,2.500 €/m²,275.000 €,110 m²,https://www.pisos.com/comprar/piso-sant_joan_moli_de_vent-49201009762_100500/,Anuncio actualizado el 17/01/2025,"F, F","F, F",garraf (BCN),110 m²,,2,2,1ª,Entre 30 y 50 años,,SA5689-69-4900-1/5486,,1,Parquet,,Gas natural,,N/A,N/A,Suroeste,,,N/A,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Zona Nord,Engel & Völkers MMC Barcelona,2.151 €/m²,439.000 €,204 m²,https://www.pisos.com/comprar/casa-zona_nord-47598198126_101800/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),204 m²,,4,3,,Menos de 5 años,,IF76306-I-00YL5O-W-02WF2N,,,,,Central,,,N/A,,,1,,,N/A,,,Privado,,,,,,,,,,,,,,,,,,,,,
Casa en Zona Nord,Engel & Völkers MMC Barcelona,2.023 €/m²,429.000 €,212 m²,https://www.pisos.com/comprar/casa-zona_nord-47501145863_101800/,Anuncio actualizado el 13/01/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),212 m²,,4,3,,Menos de 5 años,,IF76306-I-00YL5M-W-02WE6Z,,,,,Central,,,N/A,,,1,,,N/A,,,Privado,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Mas Trader-Corral d'en Tort-Corral d'en Cona,Estudi La Geltru Slu,1.341 €/m²,405.000 €,302 m²,https://www.pisos.com/comprar/casa_unifamiliar-mas_trader_corral_en_tort_corral_en_cona-50097248742_100200/,Anuncio actualizado el 30/01/2025,"E, E","E, E",garraf (BCN),302 m²,,6,3,,Entre 20 y 30 años,,TC1040-602804,,,,,N/A,,,N/A,,En buen estado,,N/A,,,,,,N/A,,,,,,,,,,Unifamiliar,,,,,,,,,,
Casa en calle Cirerers,llars.net agents immobiliaris,1.712 €/m²,435.000 €,254 m²,https://www.pisos.com/comprar/casa-mas_trader_corral_en_tort_corral_en_cona-35047206144_365700/,Anuncio actualizado el 03/02/2025,"E, E","E, E",garraf (BCN),254 m²,158 m²,7,3,,Entre 30 y 50 años,,3657-06700,,Más de 2,Terrazo,,Gasoil,,,N/A,Sureste,En buen estado,Más de 2,Frío y calor,N/A,,,,Privado,Propia,,N/A,N/A,Aluminio,N/A,,,,,,2.679 m²,N/A,N/A,,N/A,N/A,,,,
Piso en Carrer d'Edison,"FINQUES MAJES 2000, S.L.",1.523 €/m²,198.000 €,130 m²,https://www.pisos.com/comprar/piso-sant_pere_de_ribes_les_roquetes08812-48430088758_501506/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),130 m²,115 m²,4,1,1ª,Entre 30 y 50 años,,501506-B11572,N/A,,Terrazo,,Gasoil,,,,Sur,En buen estado,,,10m²,N/A,,,,,N/A,,N/A,Aluminio,15m²,,,N/A,,,,,,,,,,,,
Piso en Centre,Vilanova Daurada Sl,2.177 €/m²,135.000 €,62 m²,https://www.pisos.com/comprar/piso-cubelles_centre-46755623941_100200/,Anuncio actualizado el 19/02/2025,"F, E","F, E",garraf (BCN),62 m²,,3,1,,Entre 30 y 50 años,,TC909-591285,,,Gres,,,,,,,En buen estado,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Centre,Estudi La Geltru Slu,2.557 €/m²,399.000 €,156 m²,https://www.pisos.com/comprar/casa_adosada-vilanova_i_la_geltru_centre-51670013243_100200/,Anuncio actualizado el 06/02/2025,"D, D","D, D",garraf (BCN),156 m²,,4,2,,Entre 20 y 30 años,Más de 100 €,TC1040-608185,,,,,,,,N/A,,En buen estado,1,,N/A,,,,,,,,,,,,,,,Adosada,,,,,,,,,,
Casa en Puigmoltó-Viñedos-Can Macià,Engel & Völkers MMC Barcelona,4.743 €/m²,3.700.000 €,780 m²,https://www.pisos.com/comprar/casa-puigmolto_vinedos_can_macia08810-44229130492_101800/,Anuncio actualizado el 09/12/2024,"F, F","F, F",garraf (BCN),780 m²,,11,7,,Más de 50 años,,IF76306-I-00YB41-W-02UEMM,,1,,,,,,N/A,,,1,,N/A,N/A,,,Privado,Propia,,,,,,N/A,,,,,3.665 m²,,,,,,,,,
Piso en La Collada-Els Sis Camins-Fondo Somella-Santa Maria,Engel & Völkers MMC Barcelona,4.543 €/m²,468.000 €,103 m²,https://www.pisos.com/comprar/piso-la_collada_els_sis_camins_fondo_somella_santa_mari-4946741298_109700/,Anuncio actualizado el 16/01/2025,"B, B","B, B",garraf (BCN),103 m²,,4,2,,,,IF76306-D-000LAC,,2,,,,,N/A,N/A,A la montaña,A estrenar,N/A,Frío y calor,N/A,,,N/A,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Carrer del Arc de Sant Martí,Engel & Völkers MMC Barcelona,1.615 €/m²,530.000 €,328 m²,https://www.pisos.com/comprar/casa-olivella_centro_urbano-45072901880_101800/,Anuncio actualizado el 23/09/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),328 m²,,4,2,,Entre 20 y 30 años,,IF76306-I-00YBZG-W-02VUDM,,,,,Central,,,,,,,,N/A,,,,,Propia,,,,,,,,,,,793 m²,,,,,,,,,
Ático en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,7.231 €/m²,969.000 €,134 m²,https://www.pisos.com/comprar/atico-vallpineda_santa_barbara-44214260996_101800/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),134 m²,,3,2,2ª,,,IF76306-I-00Y7LC-W-02VO78,,1,,,Central,,N/A,N/A,,,1,,N/A,,,,,Propia,,,,,,,,,,,,,,,,,,,,
Apartamento en Can Girona-Terramar-Vinyet,Engel & Völkers MMC Barcelona,5.612 €/m²,550.000 €,98 m²,https://www.pisos.com/comprar/apartamento-can_girona_terramar_vinyet-33420556989_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),98 m²,,3,2,,Entre 20 y 30 años,,IF76306-I-00WVO9-W-02RS16,,,,,Central,,N/A,N/A,,,1,,N/A,,,,,Propia,,,,,,,,,,,,,,,,,,,,
Chalet en Olivella,Ribes Roig Serveis Immobiliaris,1.450 €/m²,335.000 €,231 m²,https://www.pisos.com/comprar/chalet-olivella_centro_urbano-49200246329_109300/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),231 m²,180 m²,5,3,,,,EP924-2591,,,,N/A,,,,,,Reformado,2,,,N/A,,,,Propia,,,,,,,,,,,,,,,,,,,,
Piso en Marítim,VISTAMAR FINQUES,1.677 €/m²,260.000 €,155 m²,https://www.pisos.com/comprar/piso-maritim-51667427080_500964/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),155 m²,65 m²,2,1,Bajo,Más de 50 años,80 euros trimestrales,500964-001451,,,Parquet,,Eléctrica,,,70m. + 15m.,Oeste,Reformado,,,"Abierta a comedor, dos senos",6 trasteros enjardín,,N/A,Privado,,"Porche de 15m² , jardin de 70m²",,,Aluminio,20m²,De obra en porche,,,,,,,,,,,,,,
Ático en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,6.221 €/m²,877.200 €,141 m²,https://www.pisos.com/comprar/atico-vallpineda_santa_barbara-44178065956_101800/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),141 m²,,4,3,2ª,,,IF76306-I-00Y7LI-W-02VO7E,,1,,,Central,,N/A,N/A,,,1,,N/A,,,,,Propia,,,,,,,,,,,,,,,,,,,,
Piso en Ribes Roges,Konectas.com,4.586 €/m²,399.000 €,87 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-48428848446_100500/,Anuncio actualizado el 21/01/2025,"D, D","D, D",garraf (BCN),87 m²,75 m²,3,2,Bajo,Entre 30 y 50 años,Más de 100 €,SA5251-KON06320/2837,N/A,1,,,N/A,,N/A,N/A,Este,,1,N/A,,N/A,,,N/A,,,,,,N/A,,,N/A,,,,N/A,,,,,,,,
Casa en Centre,Engel & Völkers MMC Barcelona,3.531 €/m²,1.250.000 €,354 m²,https://www.pisos.com/comprar/casa-sitges_centre-44238745390_101800/,Anuncio actualizado el 09/08/2024,"G, F","G, F",garraf (BCN),354 m²,,4,3,,Más de 50 años,,IF76306-I-00Y8S2-W-02VCNG,,,,,Central,,,N/A,,,1,,N/A,,,,Privado,Propia,,,,,,N/A,,,,,1.200 m²,,,,,,,,,
Casa en Canyelles,Engel & Völkers MMC Barcelona,3.732 €/m²,2.900.000 €,777 m²,https://www.pisos.com/comprar/casa-canyelles_centro_urbano-46680231185_101800/,Anuncio actualizado el 06/12/2024,"D, D","D, D",garraf (BCN),777 m²,,9,9,,Más de 50 años,,IF76306-I-00YJQ3-W-02WSNM,N/A,,,,,,,N/A,,,,,,,,,Privado,Propia,,,,,,,,,,,4.430 m²,,,,,,,,,
Apartamento en Molí de Baix-Bardají,Engel & Völkers MMC Barcelona,4.807 €/m²,283.649 €,59 m²,https://www.pisos.com/comprar/apartamento-moli_de_baix_bardaji-39233955017_101800/,Anuncio actualizado el 15/01/2025,"B, B","B, B",garraf (BCN),59 m²,,2,1,,Menos de 5 años,,IF76306-I-00XQG9-W-02RKBC,,,,,Central,,N/A,N/A,,,1,,N/A,,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,
Casa en La Collada-Els Sis Camins-Fondo Somella-Santa Maria,Engel & Völkers MMC Barcelona,1.516 €/m²,379.000 €,250 m²,https://www.pisos.com/comprar/casa-la_collada_els_sis_camins_fondo_somella_santa_mari-33414292535_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),250 m²,,6,3,,Más de 50 años,,IF76306-I-00WWFS-W-02RROU,,,,,Central,,,N/A,,,1,,N/A,,,,,,,,,,,,,,,,248 m²,,,,,,,,,
Piso en Clot del Basso,OPEN INMO,2.203 €/m²,379.000 €,172 m²,https://www.pisos.com/comprar/piso-les_salines_clot_del_basso_mota_de_sant_pere-47573306078_100500/,Anuncio actualizado el 07/02/2025,"E, G","E, G",garraf (BCN),172 m²,110 m²,4,2,Bajo,Entre 20 y 30 años,Más de 100 €,SA1406-OI01982/5763,,1,Gres,N/A,N/A,,N/A,N/A,Sureste,,1,,,,N/A,,N/A,Comunitaria,,,,,,,,,,,,,,,,,,,,
Piso en Rambla de Salvador Samà,Finques La LLar.,2.782 €/m²,320.000 €,115 m²,https://www.pisos.com/comprar/piso-barri_de_mar_ribes_roges_placa_de_la_sardana-51712997606_520753/,Anuncio actualizado el 12/02/2025,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),115 m²,100 m²,4,2,2ª,,,4520753-004048,,,,,,,N/A,,Suroeste,A estrenar,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa en Canyelles,Engel & Völkers MMC Barcelona,3.605 €/m²,375.000 €,104 m²,https://www.pisos.com/comprar/casa-canyelles_centro_urbano-41687965182_101800/,Anuncio actualizado el 21/05/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),104 m²,,3,2,,,,IF76306-I-00XZAH-W-02UW4X,,,,,Central,,,,A la montaña,,,,N/A,,,,Privado,Propia,,,,,,N/A,,,,,600 m²,,,,,,,,,
Apartamento en Vallpineda-Santa Bàrbara,Engel & Völkers MMC Barcelona,6.800 €/m²,958.800 €,141 m²,https://www.pisos.com/comprar/apartamento-vallpineda_santa_barbara-44216420614_101800/,Anuncio actualizado el 03/10/2024,Error al procesar consumo,Error al procesar emisiones,garraf (BCN),141 m²,,4,3,,,,IF76306-I-00Y7M6-W-02VOEK,,1,,,Central,,N/A,N/A,,,1,,N/A,,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,
Dúplex en Sud Sumella,VISTAMAR FINQUES,2.621 €/m²,215.000 €,82 m²,https://www.pisos.com/comprar/duplex-santa_maria_eixample_sud_sumella-24229885551_500964/,Anuncio actualizado el 20/02/2025,"E, E","E, E",garraf (BCN),82 m²,70 m²,3,2,2ª,Entre 10 y 20 años,121€/mes,500964-001286,,2,,,Gas natural,,N/A,15m²,Sur,En buen estado,1,Frío y calor,6m²,8,N/A,N/A,Comunitario,Comunitaria,N/A,Haya,N/A,Aluminio,20m²,Exterior,N/A,N/A,N/A,,,,,,,,,N/A,,
