nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Chalet en Boadilla del Monte - Valdecabañas,INMOGES,3.666 €/m²,1.650.000 €,450 m²,28022,https://www.pisos.com/comprar/chalet-boadilla_del_monte_valdecabanas-48336184607_101800/,2024-10-04,Error al procesar consumo,Error al procesar emisiones,450 m²,,5,4,,,,En buen estado,IF6199-681-B,1,,Gres,,,,Frío,Gas natural,,N/A,,1,N/A,,N/A,N/A,,N/A,,Propia,A la montaña,,,,1.000 m²,,,,,,,,,,,,,
Chalet en calle de Albacete,Te Compro La Casa,1.891 €/m²,539.000 €,285 m²,28061,https://www.pisos.com/comprar/chalet-el_guijo_colonia_espana28292-14214758709_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,285 m²,,3,3,,,,En buen estado,SA2144-TCC_10023,1,,Gres,N/A,,,,Gasoil,N/A,Cocina amueblada,,1,,,,,,N/A,Privado,Propia,Noreste,,,,1.200 m²,,,,,,,,,,,,,
"Apartamento en calle de Guadarrama, 56",Aliseda Inmobiliaria,1.558 €/m²,120.000 €,77 m²,28068,https://www.pisos.com/comprar/apartamento-guadarrama_centro_urbano-50061460581_104500/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,77 m²,,4,3,,,,,ASR1-SRB0000029043,,,,,,,,,,N/A,,,N/A,,,,,N/A,,,,,,,,,N/A,,,,,,,,,,,
Piso en calle de los Pensamientos,HOGARES VILLALBA ESTACION,2.623 €/m²,209.900 €,80 m²,28046,https://www.pisos.com/comprar/piso-collado_mediano_centro_urbano-51694914142_525831/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,80 m²,79 m²,3,1,1ª,N/A,Más de 50 años,En buen estado,4525831-316542,2,,,,,,,Gasoil,,,,1,,,,,,,,Comunitaria,Suroeste,,,,,,,,,,,,,,,,,
Chalet en calle de los Tilos,REMAX URBE,3.854 €/m²,1.850.000 €,480 m²,28115,https://www.pisos.com/comprar/chalet-monte_claro28223-45838873818_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,480 m²,360 m²,7,4,,,Más de 50 años,En buen estado,SA2484-3248-24013,,,,,,,N/A,,,,,,,,,,,N/A,N/A,N/A,,,,,3.000 m²,,,,,,,,,,,,,
Casa en calle del Mar Cantábrico,HOGARES VILLALBA ESTACION,1.519 €/m²,398.000 €,262 m²,28047,https://www.pisos.com/comprar/casa-collado_villalba_los_negrales-45006511745_525831/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,262 m²,116 m²,4,2,,,Entre 30 y 50 años,En buen estado,4525831-000189,Más de 2,,,,,,,Gas natural,,,,1,,,,,,N/A,Privado,,,,,,584 m²,,,,,,,,,,,,,
Chalet en calle de Asturias,DON CHAMBERI,1.736 €/m²,1.250.000 €,720 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-32561997858_108900/,2024-12-16,Error al procesar consumo,Error al procesar emisiones,720 m²,570 m²,5,5,,,,En buen estado,XA785-418113,,,,,,,Frío-calor,N/A,,N/A,30.00 m²,Privado 3 plazas,N/A,,N/A,,,30.00 m²,Privado,Privada,,,,,1.850 m²,,,,,,,,,,,,,
Casa rústica en Navacerrada,COMPRAVENDE NAVACERRADA,1.125 €/m²,495.000 €,440 m²,28093,https://www.pisos.com/comprar/casa_rustica-navacerrada_centro_urbano-37560816932_527003/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,440 m²,420 m²,12,5,,,Más de 50 años,A reformar,4527003-000006,,,,,,,,,,,,,,,,,,,,,,,Rústica,,,,,,,,,,,,,,,
Casa pareada en Núcleo Urbano,Estudio Nuevo La Cañada 2023 Sl,2.696 €/m²,445.000 €,165 m²,28176,https://www.pisos.com/comprar/casa_pareada-villanueva_de_la_canada_nucleo_urbano-50840764016_100200/,2025-01-09,"E, E","E, E",165 m²,,4,3,,,Entre 30 y 50 años,En buen estado,TC1077-605007,,,,,,,,N/A,,N/A,,1,,,,,,,,,,,Pareada,,,,,,,,,,,,,,,
Piso en Zona Norte,"ESTUDIO MAJADAHONDA, S.L.U.",2.772 €/m²,610.000 €,220 m²,28080,https://www.pisos.com/comprar/piso-majadahonda_zona_norte28220-50859406350_100200/,2025-01-20,"E, E","E, E",220 m²,,5,3,4ª,,Entre 30 y 50 años,En buen estado,TC66-605556,,,,,,,,Central,,N/A,,1,,,,,N/A,N/A,Comunitario,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en Club de Golf-Molino de la Hoz,REMAX HORIZON Las Rozas,2.442 €/m²,1.380.000 €,565 m²,28127,https://www.pisos.com/comprar/chalet-club_de_golf_molino_de_la_hoz-35020730310_100500/,2025-02-18,"C, C","C, C",565 m²,,8,7,,,Entre 30 y 50 años,En buen estado,SA2483-3367-04289,1,,,,,,N/A,,,,,1,N/A,,,,,N/A,N/A,N/A,Norte,,,,1.717 m²,,,Más de 100 €,,,,,,,,,,
"Piso en calle de la Higuera,  s/n",PRYGESA,4.929 €/m²,473.190 €,96 m²,28127,https://www.pisos.com/comprar/piso-el_cantizal28232-4399396803_109700/,2024-12-23,Error al procesar consumo,Error al procesar emisiones,96 m²,,2,2,Bajo,,,A estrenar,4992541-1446589297,,,,,,,,,,,,,,,,,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,
Piso en Centro,ELEPHANT ROOM VILLALBA,2.175 €/m²,198.000 €,91 m²,28068,https://www.pisos.com/comprar/piso-guadarrama_centro_urbano-48416787490_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,91 m²,,3,1,1ª,,Entre 30 y 50 años,,SA3036-06668/7622,,,Parquet,,,,,Eléctrica,,,,,,,,,,,,,,,,,,,,Entre 20 y 40 €,,,,,,,,,,
Piso en Centro,"ESTUDIO VILLAVICIOSA DE ODON, S.L.U.",5.500 €/m²,275.000 €,50 m²,28181,https://www.pisos.com/comprar/piso-villaviciosa_de_odon_centro-51756596613_100200/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,50 m²,,2,1,,,Entre 20 y 30 años,En buen estado,TC304-609830,,,Gres,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,Estudio Las Rozas Estacion Slu,4.619 €/m²,425.000 €,92 m²,28127,https://www.pisos.com/comprar/piso-las_rozas_de_madrid_centro28231-50075317972_100200/,2025-01-22,"E, E","E, E",92 m²,,2,2,,,Entre 30 y 50 años,En buen estado,TC961-604405,,,,,,,N/A,N/A,,,,,,N/A,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,,,,
Piso en Sector S,ESTUDIO BOADILLA DEL MONTE,2.941 €/m²,659.000 €,224 m²,28022,https://www.pisos.com/comprar/piso-sector_s28660-48422642063_100200/,2024-10-22,Error al procesar consumo,Error al procesar emisiones,224 m²,,3,3,,,Entre 20 y 30 años,En buen estado,TC369-595495,,,,,,,,,,,,1,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
"Piso en calle de las Eras de Móstoles, 11",M&M INMOBILIARIA,6.754 €/m²,283.691 €,42 m²,28176,https://www.pisos.com/comprar/piso-villanueva_de_la_canada_nucleo_urbano-46760888163_514966/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,42 m²,36 m²,1,1,2ª,N/A,Menos de 5 años,A estrenar,4514966-B4-2C,1,N/A,Gres,N/A,PVC,,,Aerotermia,,N/A,N/A,1,,N/A,N/A,,N/A,,Comunitario,,,,,,,,,,,,,,,,,,,
Loft en Centro,CONSULTORIA 360º,2.080 €/m²,104.000 €,50 m²,28181,https://www.pisos.com/comprar/loft-villaviciosa_de_odon_centro-35920499470_997897/,2024-08-22,Error al procesar consumo,Error al procesar emisiones,50 m²,50 m²,1,1,Bajo,,,En buen estado,4997897-23072401V,1,,,,,,Frío y calor,,,N/A,,,,,N/A,,,,,,,N/A,,,,N/A,,Entre 10 y 20 €,,,,,,,,,,
Chalet en Torrelodones Casco Urbano,Gilmar Villalba,3.016 €/m²,935.000 €,310 m²,28152,https://www.pisos.com/comprar/chalet-zona_hospital_hm_torrelodones-51709838210_102100/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,310 m²,,5,5,,,,,GM13-204733,,,,,,,,,,,,1,,,,,,,N/A,N/A,,,,,400 m²,,,,,,,,,,,,,
Chalet unifamiliar en calle Vizcaya,TRADER INMOBILIARIO,1.449 €/m²,1.100.000 €,759 m²,28181,https://www.pisos.com/comprar/chalet_unifamiliar-castillo_campodon-50882457944_997966/,2025-01-28,Error al procesar consumo,Error al procesar emisiones,759 m²,460 m²,6,8,,,,En buen estado,4997966-148093,Más de 2,,,,,,,,,Principal y con bodega,3,Más de 2,,,,,,N/A,Privado,Propia,,,,,2.277 m²,,,,,,,,,,,,,
Chalet en Valdemorillo,PARQUECASA,1.817 €/m²,785.000 €,432 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-42534920687_109300/,2025-01-16,Error al procesar consumo,Error al procesar emisiones,432 m²,432 m²,5,4,,,,,EP781-297V,,N/A,N/A,,N/A,,,N/A,,N/A,,,M2,,,,,M2,,N/A,N/A,,,,1 m²,,,,N/A,,,,,,,,,
Chalet en La Chopera,SAPRIAN HOMES,2.062 €/m²,730.000 €,354 m²,28127,https://www.pisos.com/comprar/chalet-monte_rozas_la_chopera28232-51759623633_100500/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,354 m²,,4,5,,,Entre 30 y 50 años,En buen estado,SA5134-SH-Las Rozas 125,1,,,,,,Frío,Gas natural,,,,1,N/A,,,,,N/A,Privado,Propia,Sureste,,,,500 m²,,,,,,,,,,,,,
Piso en calle de San Joaquín,RUAL GESTION INMOBILIARIA,3.431 €/m²,267.660 €,78 m²,28080,https://www.pisos.com/comprar/piso-majadahonda_casco_antiguo28220-46736668158_100500/,2024-12-26,Error al procesar consumo,Error al procesar emisiones,78 m²,73 m²,3,1,4ª,N/A,Más de 50 años,En buen estado,SA248-832-RUAL,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Villanueva del Pardillo,ALLEGRO INMOBILIARIA,1.908 €/m²,998.000 €,523 m²,28177,https://www.pisos.com/comprar/chalet-villanueva_del_pardillo_centro_urbano-50080066612_106700/,2025-01-08,Error al procesar consumo,Error al procesar emisiones,523 m²,500 m²,9,5,,,,,IFC75943-XAL_699,,,,,,,,,,,,,,,,,,,,,,,,,1.013 m²,,,,,,,,,,,,,
Piso en Centro,Estudio Las Rozas Estacion Slu,4.782 €/m²,330.000 €,69 m²,28127,https://www.pisos.com/comprar/piso-las_rozas_de_madrid_centro28231-48426868937_100200/,2025-01-28,"E, E","E, E",69 m²,,2,1,2ª,,Entre 20 y 30 años,En buen estado,TC961-597683,,,,,,,,N/A,,,,1,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Villalba Pueblo,ELEPHANT ROOM VILLALBA,2.520 €/m²,242.000 €,96 m²,28047,https://www.pisos.com/comprar/piso-villalba_pueblo-51671382824_100500/,2025-02-20,"E, E","E, E",96 m²,83 m²,3,1,3ª,,Más de 50 años,,SA3036-07018/7622,1,,,,,,,Gas natural,N/A,,,,,,N/A,,,N/A,N/A,Comunitaria,Suroeste,,,,,,,Más de 100 €,N/A,N/A,,,,,,,,
Chalet en - Parque de Las Infantas - El Paraiso,ELEPHANT REAL ESTATE,1.219 €/m²,1.050.000 €,861 m²,28160,https://www.pisos.com/comprar/chalet-valdemorillo_centro_urbano-49221675532_100500/,2025-02-18,"D, C","D, C",861 m²,800 m²,8,7,,,Entre 10 y 20 años,,SA2135-06741/7619,,,,,,,,Eléctrica,N/A,,N/A,1,N/A,,,,,N/A,N/A,Comunitaria,Este,,,,2.505 m²,,,Más de 100 €,N/A,,N/A,,,,,,,
Chalet en Moralzarzal,Gilmar Villalba,1.556 €/m²,425.000 €,273 m²,28090,https://www.pisos.com/comprar/chalet-moralzarzal_centro_urbano-43344899985_102100/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,273 m²,,4,3,,,,,GM13-197113,,,,,,,,,,,,1,,,,,,,N/A,N/A,Oeste,,,,626 m²,,,,,,,,,,,,,
Chalet en Los Lagos,IBERCORP,4.470 €/m²,3.800.000 €,850 m²,28115,https://www.pisos.com/comprar/chalet-la_finca-945856908320491_109700/,2024-08-02,Error al procesar consumo,Error al procesar emisiones,850 m²,800 m²,5,3,,,Menos de 5 años,A estrenar,4998317- ind lagos,Más de 2,,Tarima flotante,N/A,Aluminio,,Frío y calor,Gas natural,N/A,N/A,N/A,Más de 2,,,N/A,N/A,,N/A,Privado,Propia,,,,N/A,,N/A,,Más de 100 €,N/A,N/A,N/A,N/A,N/A,,N/A,,,
Chalet en La Berzosilla,ELEPHANT ROOM VILLALBA,2.875 €/m²,995.000 €,346 m²,28152,https://www.pisos.com/comprar/chalet-la_berzosilla-48397281756_100500/,2025-01-17,"C, B","C, B",346 m²,280 m²,5,4,,,Más de 50 años,,SA3036-06619/7622,1,,,,,,,N/A,N/A,,N/A,1,,,,N/A,,N/A,N/A,N/A,Sur,,,,,,,,N/A,,,,,,,,,
Casa en calle del Miño,STAR´S HOUSE C.B.,1.824 €/m²,675.000 €,370 m²,28181,https://www.pisos.com/comprar/casa-villaviciosa_de_odon_el_bosque28670-43378953225_514034/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,370 m²,350 m²,4,3,,,Menos de 5 años,A estrenar,4514034-13347310,Más de 2,N/A,Tarima flotante,N/A,PVC,,,Geosolar,,N/A,N/A,1,,,N/A,,,N/A,Privado,Propia,Sur,,,N/A,317 m²,,,,,,N/A,N/A,N/A,,N/A,,,
Chalet en calle del Cigorgo,INMOLINE,3.250 €/m²,780.000 €,240 m²,28127,https://www.pisos.com/comprar/chalet-club_de_golf_molino_de_la_hoz28232-51676947460_106000/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,240 m²,220 m²,5,4,,,,,NI485-1236,N/A,,Mármol,,Puente térmico,,A/a f/c,Gas natural,,Independiente - amueblada con elec.,N/A,2,,,,,,N/A,,,,,,,330 m²,Cocina amueblada,,,Gas natural,,,,,,,,,
"Piso en calle de las Eras de Móstoles, 11",M&M INMOBILIARIA,6.874 €/m²,288.720 €,42 m²,28176,https://www.pisos.com/comprar/piso-villanueva_de_la_canada_nucleo_urbano-46705784808_514966/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,42 m²,36 m²,1,1,2ª,N/A,Menos de 5 años,A estrenar,4514966-B2-2D,1,N/A,Gres,N/A,PVC,,,Aerotermia,,N/A,N/A,1,,N/A,N/A,,N/A,,Comunitario,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en calle Prado del Rey,IBERCORP,2.545 €/m²,1.400.000 €,550 m²,28115,https://www.pisos.com/comprar/casa_unifamiliar-la_finca-945856908153547_109700/,2024-08-01,Error al procesar consumo,Error al procesar emisiones,550 m²,500 m²,5,3,,,Entre 5 y 10 años,En buen estado,4998317-6702150,Más de 2,,Tarima maciza,N/A,Aluminio,,Frío y calor,Gas natural,N/A,N/A,N/A,Más de 2,,,N/A,N/A,,N/A,Privado,Propia,Suroeste,,Unifamiliar,N/A,,N/A,,Más de 100 €,N/A,N/A,N/A,N/A,N/A,,N/A,,,
Casa en Hoyo de Manzanares,CLN REAL ESTATE,785 €/m²,810.000 €,1.031 m²,28072,https://www.pisos.com/comprar/casa-hoyo_de_manzanares_centro_urbano-49250144897_528556/,2025-02-12,"C, D","C, D",1.031 m²,461 m²,6,4,,,Entre 20 y 30 años,En buen estado,4528556-Hoyo Independiente,Más de 2,,,,,N/A,Frío,Gas natural,N/A,N/A,N/A,Más de 2,,,N/A,,,N/A,Privado,Propia,Sur,,,,,,,,,N/A,,,,,,,,
Piso en calle Real,RUAL GESTION INMOBILIARIA,3.059 €/m²,149.900 €,49 m²,28047,https://www.pisos.com/comprar/piso-villalba_estacion-51737651656_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,49 m²,,1,1,3ª,N/A,Entre 10 y 20 años,En buen estado,SA248-889-RUAL,1,,Tarima flotante,,,,,Gas natural,,Cocina amueblada,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en Galapagar,Gilmar Villalba,977 €/m²,1.200.000 €,1.228 m²,28061,https://www.pisos.com/comprar/chalet-zona_club_deportivo_galapagar_los_almendros-37501464249_102100/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,1.228 m²,,5,5,,,,,GM13-180063,,,,,,,,,,,,,,,,,,,N/A,N/A,Oeste,,,,29.540 m²,,,,,,,,,,,,,
Piso en Casco Antiguo,"ESTUDIO MAJADAHONDA, S.L.U.",3.071 €/m²,215.000 €,70 m²,28080,https://www.pisos.com/comprar/piso-majadahonda_casco_antiguo28220-47507534122_100200/,2025-02-08,"B, A","B, A",70 m²,,2,1,,,Entre 30 y 50 años,En buen estado,TC66-594571,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Quintina Martín,SAPRIAN HOMES,3.085 €/m²,790.000 €,256 m²,28115,https://www.pisos.com/comprar/chalet-pueblo28223-47557535734_100500/,2025-01-28,Error al procesar consumo,Error al procesar emisiones,256 m²,239 m²,4,4,,,Entre 30 y 50 años,En buen estado,SA5134-SH-Las Rozas 57,1,,,,,,Frío,N/A,,,,1,N/A,,,,,N/A,Privado,Propia,Suroeste,,,,,,,Más de 100 €,,,,,,,,,,
Piso en Plaza Mayor,INMOBILIARIA M. JIMENEZ,2.181 €/m²,240.000 €,110 m²,28038,https://www.pisos.com/comprar/piso-cercedilla_centro_urbano-49169189201_518878/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,110 m²,110 m²,3,2,2ª,N/A,Entre 20 y 30 años,En buen estado,4518878-1977,Más de 2,N/A,Parquet,N/A,PVC,N/A,,Gas natural,,N/A,N/A,,,N/A,N/A,,,,,,Sur,,,N/A,,,,Entre 40 y 60 €,,,,,,,,,,
Chalet en Colmenarejo,Gilmar Villalba,1.465 €/m²,875.000 €,597 m²,28044,https://www.pisos.com/comprar/chalet-colmenarejo_centro_urbano-51723566254_102100/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,597 m²,,,,,,,,GM13-203399,,,,,,,,,,,,,,,,,,,N/A,,,,,,3.854 m²,,,,,,,,,,,,,
Piso en Madrid,"ALQUILER SEGURO,S.A.",3.158 €/m²,199.000 €,63 m²,28047,https://www.pisos.com/comprar/piso-villalba_estacion-47568829839_108900/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,63 m²,,2,2,Bajo,,,En buen estado,XA24-001/019/008292,N/A,,,,,,,,,N/A,N/A,,,,,,N/A,N/A,,,,,,,,,,N/A,N/A,,,,,,,,,
"Piso en calle de la Higuera,  s/n",PRYGESA,4.926 €/m²,596.145 €,121 m²,28127,https://www.pisos.com/comprar/piso-el_cantizal28232-4577358421_109700/,2024-12-23,Error al procesar consumo,Error al procesar emisiones,121 m²,,3,2,Bajo,,,A estrenar,4992541-1446589297,,,,,,,,,,,,,,,,,N/A,N/A,Privado,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Los Ángeles-Jarandilla,INMOBILIARIA REAL-VIV,2.000 €/m²,900.000 €,450 m²,28152,https://www.pisos.com/comprar/chalet_unifamiliar-los_angeles_jarandilla-50896199075_992673/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,450 m²,450 m²,6,4,,,Entre 30 y 50 años,En buen estado,992673-668411,,,Gres,,,,,Gasoil,N/A,N/A,N/A,Más de 2,,,N/A,,,N/A,Privado,Propia,Suroeste,,,N/A,,,,,,,N/A,N/A,N/A,,,,,
Chalet pareado en calle Monteredondo,HOGARES VILLALBA ESTACION,1.715 €/m²,410.000 €,239 m²,28046,https://www.pisos.com/comprar/chalet_pareado-collado_mediano_centro_urbano-47574193281_525831/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,239 m²,200 m²,4,3,,,Entre 30 y 50 años,En buen estado,4525831-000240,Más de 2,,,,,,,Gas natural,,N/A,N/A,1,,,,,,N/A,Privado,Comunitaria,Este,,,,315 m²,,,,,,N/A,N/A,N/A,,,,,
Chalet en Los Peñascales,SANCHEZ RUBIO INMOBILIARIA,2.403 €/m²,649.000 €,270 m²,28152,https://www.pisos.com/comprar/chalet-los_penascales-47588117599_101800/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,270 m²,,5,4,,,Entre 20 y 30 años,,IF6229-V-1784,1,,,,,,,Central,,N/A,,1,N/A,,,,,N/A,Privado,,Suroeste,,,,1.330 m²,,,,,,,,,,,,,
Piso en Majadahonda,SAPRIAN HOMES,4.333 €/m²,650.000 €,150 m²,28080,https://www.pisos.com/comprar/piso-golf_el_carralero28222-50894556657_100500/,2025-01-10,Error al procesar consumo,Error al procesar emisiones,150 m²,140 m²,3,3,2ª,N/A,,En buen estado,SA5134-SH-Las Rozas 102,1,,,,,,,Gas natural,,,,1,N/A,,,,N/A,N/A,Privado,Comunitaria,,,,,,,,,,,,,,,N/A,,,
Piso en Centro,Estudio Las Rozas Estacion Slu,4.600 €/m²,345.000 €,75 m²,28127,https://www.pisos.com/comprar/piso-las_rozas_de_madrid_centro28231-49237140258_100200/,2024-11-29,"E, E","E, E",75 m²,,1,1,2ª,,Entre 10 y 20 años,En buen estado,TC961-602573,,,,,,,N/A,N/A,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle Urbanizacion los Valles,MR. HOUSE REAL ESTATE,2.103 €/m²,183.000 €,87 m²,28047,https://www.pisos.com/comprar/piso-collado_villalba_los_valles-46713629778_100500/,2025-01-06,Error al procesar consumo,Error al procesar emisiones,87 m²,,3,2,3ª,N/A,,En buen estado,SA208-8550HPG-AM,1,,,,,,,,,Cocina amueblada,,,,,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,
Chalet en Robledo de Chavela,GARSIERRA,954 €/m²,250.000 €,262 m²,28125,https://www.pisos.com/comprar/chalet-robledo_de_chavela_centro_urbano-46697354873_108500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,262 m²,,4,2,,,,,AG588-ROBLEDO,N/A,,Tarima normal,N/A,,,,N/A,N/A,,,,N/A,,N/A,,,Acristalada,N/A,,Sur,,,,,,,,,,,,,,N/A,,,
Piso en Centro,Estudio Las Rozas Estacion Slu,5.072 €/m²,350.000 €,69 m²,28127,https://www.pisos.com/comprar/piso-las_rozas_de_madrid_centro28231-50086768469_100200/,2024-12-13,"E, E","E, E",69 m²,,1,2,2ª,,Entre 30 y 50 años,En buen estado,TC961-602569,,,,,,,N/A,,,N/A,,1,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,
Piso en Marazuela-El Torreón,Estudio Las Rozas Estacion Slu,2.657 €/m²,380.000 €,143 m²,28127,https://www.pisos.com/comprar/piso-marazuela_el_torreon28231-48349355749_100200/,2025-01-22,"E, E","E, E",143 m²,,2,2,,,Entre 10 y 20 años,En buen estado,TC961-597676,,,,,,,N/A,N/A,,,,1,,N/A,,,N/A,N/A,,N/A,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Paseo del Río,IBERCORP,4.362 €/m²,3.800.000 €,871 m²,28115,https://www.pisos.com/comprar/casa_unifamiliar-la_finca-945856908153480_109700/,2024-07-30,Error al procesar consumo,Error al procesar emisiones,871 m²,771 m²,5,3,,,Menos de 5 años,En buen estado,4998317-6702052,Más de 2,,Tarima maciza,N/A,Aluminio,,Frío y calor,Gas natural,N/A,N/A,N/A,Más de 2,,,N/A,N/A,,N/A,Privado,Propia,Sur,,Unifamiliar,N/A,,N/A,,Más de 100 €,N/A,N/A,N/A,N/A,N/A,,N/A,,,
Piso en Collado Villalba,Gilmar Villalba,2.725 €/m²,169.000 €,62 m²,28047,https://www.pisos.com/comprar/piso-dehesa_el_soto-51733768404_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,62 m²,,2,1,,Exterior,,,GM13-206464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Monte Rozas-La Chopera,Estudio Las Rozas Estacion Slu,2.837 €/m²,777.500 €,274 m²,28127,https://www.pisos.com/comprar/casa_adosada-monte_rozas_la_chopera28232-48362280405_100200/,2025-01-27,"E, E","E, E",274 m²,,4,3,,,Entre 20 y 30 años,En buen estado,TC961-597542,,,,,,,N/A,N/A,,,,1,,,,,,,,Comunitaria,,,Adosada,,,,,,,,,,,,,,,
Chalet en Castillo - Campodón,HOGARES VILLAVICIOSA DE ODON,3.620 €/m²,1.049.900 €,290 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-49198597705_100500/,2024-11-19,"A, A","A, A",290 m²,,4,4,,,,,SA5368-00106/10248,1,,,,,,N/A,Eléctrica,,,,1,,,,,,,N/A,Propia,,,,,,,,,,,,,,,,,,
Casa en Cerro Alarcón,ELEPHANT REAL ESTATE,3.600 €/m²,749.000 €,208 m²,28160,https://www.pisos.com/comprar/casa-valdemorillo_centro_urbano-45017775751_100500/,2025-02-16,"E, E","E, E",208 m²,207 m²,5,3,,,Más de 50 años,,SA2135-06130/7619,1,,,,,,,N/A,N/A,,N/A,1,,,,,,N/A,N/A,Propia,Este,,,,1.392 m²,,,,N/A,N/A,N/A,,,,,,,
Chalet en Las Rozas de Madrid,SAPRIAN HOMES,2.250 €/m²,675.000 €,300 m²,28127,https://www.pisos.com/comprar/chalet-las_matas_los_penascales28290-50002940814_100500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,300 m²,280 m²,4,3,,,,En buen estado,SA5134-SH-Las Rozas 86,1,,,,,,Frío,Gas natural,,,,1,N/A,,,,,N/A,Privado,,Sureste,,,,,,,Entre 40 y 60 €,,,,,,,,,,
Chalet en El Bosque,Linkcasa Servicios  Inmobiliario,2.517 €/m²,1.470.000 €,584 m²,28181,https://www.pisos.com/comprar/chalet-villaviciosa_de_odon_el_bosque28670-47536590727_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,584 m²,450 m²,6,3,,,Entre 30 y 50 años,,SA1457-G-6132/5300,1,,Gres,,,,,Gasoil,N/A,,N/A,,,,N/A,,,,N/A,Comunitaria,,,,,1.757 m²,,,,N/A,N/A,N/A,,,,,,,
Piso en calle de Serafín Gómez Bonilla,OIH INMOBILIARIA,2.200 €/m²,132.000 €,60 m²,28047,https://www.pisos.com/comprar/piso-carlos_ruiz-51691418669_991741/,2025-02-13,"E, E","E, E",60 m²,60 m²,2,1,2ª,N/A,Entre 30 y 50 años,En buen estado,4991741-11497,,,Gres,,Aluminio,,,,,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa pareada en Núcleo Urbano,BARCHAN,2.200 €/m²,660.000 €,300 m²,28176,https://www.pisos.com/comprar/casa_pareada-villanueva_de_la_canada_nucleo_urbano-49263226426_106700/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,300 m²,290 m²,5,4,,,,,IFC76168-HAB_148,,,,,,,,,,,,,,,,,,,,,,,Pareada,,487 m²,,,,,,,,,,,,,
