nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Exterior,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Gas,Aire acondicionado,Calefacción,Chimenea,Cocina equipada,Comedor,Garaje,Trastero,Portero automático,Puerta blindada,Sistema de seguridad,Ascensor,Terraza,Jardín,Piscina,Orientación,Soleado,Tipo de casa,Lavadero,Superficie solar,Amueblado,Balcón,Gastos de comunidad,Agua,Teléfono,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Adaptado a personas con movilidad reducida,No se aceptan mascotas,Interior,Luz
Chalet en Pozuelo de Alarcón - Somosaguas,JAIME VALCARCE CONSULTING INMOBILAIRIO,6.666 €/m²,6.900.000 €,1.035 m²,28115,https://www.pisos.com/comprar/chalet-somosaguas_humera_los_angeles28223-42524546531_101800/,2025-02-20,"A, A","A, A",1.035 m²,,6,7,,,Menos de 5 años,En buen estado,IF5271-230,1,,,,,,Frío,Eléctrica,,N/A,,1,N/A,,,,,,,Propia,,,,N/A,2.500 m²,N/A,,,,,,,,,,,,
Chalet en calle del Río Duero,HOGARES GUADARRAMA,2.038 €/m²,519.900 €,255 m²,28068,https://www.pisos.com/comprar/chalet-guadarrama_centro_urbano-47550506868_101800/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,255 m²,,5,3,,,Entre 30 y 50 años,,IF76801-RIO DUERO,1,,,,,,,,,N/A,,,,,,,,,Privado,Comunitaria,,,,,500 m²,,,,,,,,,,,,,
Piso en Paseo del Hontanar,INMOBARALIA,2.874 €/m²,1.690.000 €,588 m²,28115,https://www.pisos.com/comprar/piso-la_finca-50858978609_280500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,588 m²,432 m²,2,4,Bajo,N/A,Entre 20 y 30 años,Reformado,2805-002423,Más de 2,N/A,Mármol,N/A,Aluminio,N/A,Frío y calor,Gas natural,N/A,N/A,N/A,Más de 2,,,N/A,N/A,N/A,N/A,Comunitario,Propia,Norte,N/A,,N/A,,,,600,,,,,,,,,,
Chalet en Campodón,FLIMASA,3.294 €/m²,850.000 €,258 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-49212089375_100500/,2024-12-27,Error al procesar consumo,Error al procesar emisiones,258 m²,,4,4,,,,En buen estado,SA4858-C501197,,,,,,,,,,,,,,,,,,,,,,,,,1.084 m²,,,,,,,,,,,,,
Chalet en Avenida de la Loma,HOGARES TORRELODONES,1.866 €/m²,659.000 €,353 m²,28152,https://www.pisos.com/comprar/chalet-los_penascales-50930293746_101800/,2025-02-19,"A, B","A, B",353 m²,,4,4,,,Entre 30 y 50 años,,IF76925-AV. DE LA LOMA,1,,,,,,,Central,,N/A,,,,,N/A,,,,Privado,Propia,,,,N/A,489 m²,,,,,,,,,,,,,
Piso en calle Luis Garcia Cereceda,INMOBARALIA,12.500 €/m²,2.350.000 €,188 m²,28115,https://www.pisos.com/comprar/piso-la_finca-49241217386_280500/,2025-02-20,"A, A","A, A",188 m²,188 m²,3,3,Bajo,N/A,Menos de 5 años,En buen estado,2805-002411,Más de 2,N/A,Mármol,N/A,Aluminio,,Suelo refrescante,Suelo radiante,,N/A,N/A,Más de 2,,N/A,N/A,N/A,N/A,N/A,Privado,Propia,Sur,N/A,,N/A,,,,,,N/A,,,,,N/A,,,
Chalet en Campodón,FLIMASA,3.543 €/m²,730.000 €,206 m²,28181,https://www.pisos.com/comprar/chalet-castillo_campodon-48421348466_100500/,2025-02-20,"A, A","A, A",206 m²,,4,5,,,,En buen estado,SA4858-C501193,1,,Gres,N/A,,,Frío,,N/A,Cocina amueblada,,,N/A,,,,,,Privado,Propia,,,,,1.445 m²,,,,,,,,,,,,,
Apartamento en calle de San José,MISCASA VILLALBA,3.333 €/m²,170.000 €,51 m²,28047,https://www.pisos.com/comprar/apartamento-carlos_ruiz-50045532277_992271/,2025-02-10,"E, D","E, D",51 m²,45 m²,1,1,1ª,N/A,Entre 10 y 20 años,En buen estado,4992271-1072,1,N/A,Tarima flotante,N/A,Aluminio,N/A,,Gas natural,,N/A,N/A,1,N/A,N/A,N/A,,N/A,N/A,,,Este,,,,,,,Entre 40 y 60 €,,,,,,,,,,
Casa pareada en El Bosque,FLIMASA,2.927 €/m²,685.000 €,234 m²,28181,https://www.pisos.com/comprar/casa_pareada-villaviciosa_de_odon_el_bosque28670-49238204523_100500/,2024-12-27,Error al procesar consumo,Error al procesar emisiones,234 m²,,5,4,,,Entre 20 y 30 años,En buen estado,SA4858-C501201,1,,Parquet,,,,,Gas natural,,Cocina amueblada,,,,,,,,N/A,Privado,Propia,Noroeste,,Pareada,,387 m²,,,Entre 80 y 100 €,,,,,,,,,,
Chalet en Avenida de las Rozas,HOGARES TORRELODONES,2.996 €/m²,749.000 €,250 m²,28152,https://www.pisos.com/comprar/chalet-bellavista_salud_y_alegria-50836175975_101800/,2025-02-19,"D, C","D, C",250 m²,,5,3,,,,,IF76925-AV. ROZAS,1,,,,,,,Central,,N/A,,,,,N/A,N/A,,,Privado,Propia,,,,N/A,550 m²,,,,,,,,,,,,,
