nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Referencia,Armarios empotrados,Calefacción,Garaje,Trastero,Puerta blindada,Ascensor,Terraza,Piscina,Superficie útil,Superficie solar,Conservación,Aire acondicionado,Jardín,Tipo de casa,Cocina equipada,Sistema de seguridad,Planta,Amueblado,Tipo suelo,Gastos de comunidad,Carpintería exterior,Teléfono,Comedor,Lavadero,Urbanizado,Calle alumbrada,Calle asfaltada,Exterior,Carpintería interior,Vidrios dobles,Portero automático,Balcón,Orientación,Soleado,Chimenea,Gas,Interior,Se aceptan mascotas,Adaptado a personas con movilidad reducida,Agua
Piso en calle de Toledo,Estudio Juan De Austria El Val Slu,2.815 €/m²,335.000 €,119 m²,28005,https://www.pisos.com/comprar/piso-el_val_barrio28804-50904066875_100200/,2025-01-17,"C, C","C, C",119 m²,3,2,Entre 20 y 30 años,TC1065-605193,,N/A,,,,,,Comunitaria,,,A estrenar,,,,,,,,Mármol,,,,,,,,,,,,,,,,,,,,,
Piso en Ciudad 70,REYLANK PROPIEDADES,2.468 €/m²,197.500 €,80 m²,28049,https://www.pisos.com/comprar/piso-ciudad_70-51678419300_106700/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,80 m²,3,1,Más de 50 años,IFC75993-2684,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Huerta,GRUPO SM HOMES,3.085 €/m²,290.000 €,94 m²,28130,https://www.pisos.com/comprar/piso-san_fernando_de_henares_centro-51683715996_101800/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,94 m²,2,1,,IF76811-Calle de la Huerta,1,Central,,N/A,N/A,N/A,N/A,,,,,,,,N/A,,2ª,N/A,,,,,,,,,,,,,,,,,,,,,,
Piso en Venecia,VEOFINCAS.COM,2.840 €/m²,215.900 €,76 m²,28005,https://www.pisos.com/comprar/piso-venecia28804-50058932260_519702/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,76 m²,3,1,Entre 30 y 50 años,4519702-000020,,Gas natural,,,N/A,N/A,N/A,,71 m²,,En buen estado,Frío y calor,,,N/A,,2ª,,Parquet,Entre 60 y 80 €,Aluminio,,,,,,,N/A,,,N/A,,Noreste,,,,N/A,,,
Piso en Venecia,GEPPCO ASESORES - ALCALA DE HENARES,1.909 €/m²,168.000 €,88 m²,28005,https://www.pisos.com/comprar/piso-venecia28804-50900543751_100500/,2025-02-01,Error al procesar consumo,Error al procesar emisiones,88 m²,3,1,Más de 50 años,SA2459-GPA-19144,,,,,,N/A,N/A,,,,En buen estado,,,,,,4ª,,,,,,,,,,,N/A,,,,,,,,,,,,
Piso en calle del Ecce-Homo,NETHOME.ES,2.042 €/m²,145.000 €,71 m²,28005,https://www.pisos.com/comprar/piso-chorrillo28806-45923123331_100500/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,71 m²,3,1,Más de 50 años,SA215-434609,,Eléctrica,,,N/A,,N/A,,,,En buen estado,,,,Cocina equipada,,1ª,,,Entre 20 y 40 €,,,,,,,,N/A,,,,N/A,,,,,,,,
Dúplex en calle Ronda de Saliente,VOHOME PROPIEDADES TORREJON DE ARDOZ,2.836 €/m²,295.000 €,104 m²,28148,https://www.pisos.com/comprar/duplex-zona_noroeste-45054911709_100500/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,104 m²,4,,,SA1478-GZG-12042034,,,,,,N/A,,,,,En buen estado,,,,,,3ª,,,,,,,,,,,,,,,N/A,,,,,,,,
Dúplex en San Fernando de Henares,CR HOMES INMOBILIARIA,2.818 €/m²,310.000 €,110 m²,28130,https://www.pisos.com/comprar/duplex-parque_roma_coronas-51747002241_100500/,2025-02-19,"D, D","D, D",110 m²,3,2,Entre 30 y 50 años,SA84-7058RG,1,Gas natural,1,,,N/A,N/A,Propia,,,En buen estado,Frío,Comunitario,,Cocina amueblada,N/A,4ª,,Parquet,Más de 100 €,,,,,,,,N/A,,,,,Suroeste,N/A,,,,,,
Piso en Centro,REYLANK PROPIEDADES,2.227 €/m²,245.000 €,110 m²,28130,https://www.pisos.com/comprar/piso-san_fernando_de_henares_centro-49191373170_106700/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,110 m²,4,2,Entre 30 y 50 años,IFC75993-3607,,,,,N/A,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en Mejorada del Campo,VIVA HOME,2.307 €/m²,180.000 €,78 m²,28084,https://www.pisos.com/comprar/duplex-mejorada_del_campo_centro_urbano-48345569830_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,78 m²,3,2,,IFC76050-DÚP_7402,,,,,,N/A,,,67 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Mayor,Valeshouse,2.360 €/m²,339.900 €,144 m²,28005,https://www.pisos.com/comprar/piso-centro_casco_historico28801-51763632649_100500/,2025-02-11,"E, E","E, E",144 m²,3,2,Más de 50 años,SA5838-107180048,1,,,,,,,,,,En buen estado,N/A,,,,,2ª,,,,,,,,,,,N/A,,,,N/A,,,,,,,,
Piso en San Fernando de Henares,GESTION BIENES RAICES INMOBILAIRIA,2.550 €/m²,153.000 €,60 m²,28130,https://www.pisos.com/comprar/piso-san_fernando_de_henares_centro-48427210272_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,60 m²,2,1,Más de 50 años,SA5568-ManueldeFalla7/11754,,,,N/A,,,N/A,,48 m²,,,N/A,,,,,3ª,,,Entre 40 y 60 €,,,N/A,,,,,,,,,,Sur,,,,,,,
Chalet en Paracuellos del Jarama,Gilmar Orgaz-Naciones,1.473 €/m²,949.000 €,644 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-49245336068_102100/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,644 m²,5,5,,GM24-203388,,,N/A,,,,,N/A,,1.232 m²,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle de la Plata,  s/n","PREMIER ESPAÑA, S.A.",3.521 €/m²,309.900 €,88 m²,28148,https://www.pisos.com/comprar/piso-zona_sureste-5121390467_109700/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,88 m²,2,2,,4991481-0,,,N/A,N/A,,,N/A,,,,A estrenar,,,,,,5ª,,,,,,,,,,,,,,,,,,,,,,,
"Piso en San Isidro, Estación",Estudio Alcala Barrio Estación Sl,2.279 €/m²,134.500 €,59 m²,28005,https://www.pisos.com/comprar/piso-san_isidro_estacion28807-51710071353_100200/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,59 m²,3,1,Más de 50 años,TC1084-609464,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Paracuellos de Jarama,AC HOME SERVICIOS INMOBILIARIOS 2020 S.L,2.511 €/m²,525.000 €,209 m²,28104,https://www.pisos.com/comprar/piso-paracuellos_de_jarama_centro_urbano-50893253818_108900/,2025-01-22,Error al procesar consumo,Error al procesar emisiones,209 m²,3,2,,XA669-1281,,,2,N/A,,N/A,Terrazas,Comunitaria,140 m²,,En buen estado,,,,N/A,,2ª,,,Más de 100 €,,,,,,,,N/A,,,,,,,,,,,,
Piso en Centro,CASSAS.es Inmobiliaria experta en Torrejón de Ardoz,3.081 €/m²,323.600 €,105 m²,28148,https://www.pisos.com/comprar/piso-zona_noroeste-51717985002_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,105 m²,3,2,,SA555-47005795/1670,1,Eléctrica,,,,N/A,N/A,,,,,N/A,,,,,2ª,,,,,,,,,,,,,,,,Oeste,,,,,,,
Piso en Casco Antiguo,Estudio Nuevo Coslada Pueblo Slu,2.445 €/m²,166.300 €,68 m²,28049,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-49228600788_100200/,2025-02-18,"E, E","E, E",68 m²,2,1,Más de 50 años,TC1092-602295,,N/A,,,,N/A,N/A,,,,En buen estado,N/A,,,,,,,Gres,,,,,,,,,,,,,,,,,,,,,
Piso en El Val,"ESTUDIO ALCALA EL VAL, S.L.U.",2.307 €/m²,210.000 €,91 m²,28005,https://www.pisos.com/comprar/piso-el_val_barrio28804-50073892276_100200/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,91 m²,3,1,Más de 50 años,TC198-602395,,N/A,,,,N/A,N/A,,,,En buen estado,N/A,,,N/A,,5ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de Madrid,METRO CUADRADO VENDEMOS TODOS S.L.,2.757 €/m²,262.000 €,95 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-51697284004_107700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,95 m²,3,1,,VE28-C0026-02341,,,,,,N/A,,,90 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,MILLENIUM SERVICIOS INMOBILIARIOS,2.141 €/m²,224.820 €,105 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-47536896218_100500/,2024-09-10,Error al procesar consumo,Error al procesar emisiones,105 m²,3,2,,SA3384-00588/8697,1,N/A,1,N/A,,N/A,,,81 m²,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Casa en Valdecelada,VILSA GRUPO INMOBILIARIO,1.861 €/m²,335.000 €,180 m²,28084,https://www.pisos.com/comprar/casa-mejorada_del_campo_centro_urbano-51725794774_100500/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,180 m²,5,4,Entre 20 y 30 años,SA668-15389/2328,1,Gas natural,1,N/A,N/A,,,Propia,160 m²,900 m²,,N/A,N/A,,,,,,Gres,Más de 100 €,,,N/A,,N/A,,,,,,,,Noroeste,,,,,,,N/A
Piso en Centro,MILLENIUM SERVICIOS INMOBILIARIOS,2.126 €/m²,242.370 €,114 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-47594923495_100500/,2024-09-10,Error al procesar consumo,Error al procesar emisiones,114 m²,3,2,,SA3384-00595/8697,1,N/A,1,N/A,,N/A,N/A,Comunitaria,84 m²,,,,N/A,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Casa en Avenida del Somorrostro,SEMAR HOGAR - Madrid,2.298 €/m²,485.000 €,211 m²,28130,https://www.pisos.com/comprar/casa-parque_henares-46720550363_381300/,2025-02-14,"E, D","E, D",211 m²,4,3,Entre 20 y 30 años,3813-05188,5 armarios empotrados,Gas natural,Más de 2,N/A,N/A,,N/A,,200 m²,,Reformado,Salón y dorm ppal,Privado,,"Grande, amueblada",Alarma,,,Granito brasileño,Sin gastos de comunidad,Doble climalit,,"Independiente, con chimenea","Grande, en sótano",,,,,Roble,"Climalit, persianas eléctricas toda la casa,toldos",,,Este,,En el salón.,G/n,,,,
Estudio en calle Ronda de Saliente,VOHOME PROPIEDADES TORREJON DE ARDOZ,3.918 €/m²,145.000 €,37 m²,28148,https://www.pisos.com/comprar/estudio-zona_noroeste-45895926564_100500/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,37 m²,,1,,SA1478-GZG-12042049,1,N/A,,,,N/A,,,,,En buen estado,Frío,,,Cocina americana,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Ciudad 70,Estudio Ciudad 70 Sl,2.333 €/m²,175.000 €,75 m²,28049,https://www.pisos.com/comprar/piso-ciudad_70-50833837752_100200/,2025-02-20,"E, D","E, D",75 m²,3,1,Más de 50 años,TC884-606033,,N/A,,,,N/A,N/A,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Montserrat,OIH INMOBILIARIA,2.782 €/m²,217.000 €,78 m²,28130,https://www.pisos.com/comprar/piso-san_fernando_de_henares_montserrat-47522214451_991741/,2024-09-13,"E, E","E, E",78 m²,3,1,,4991741-11450,Más de 2,Gas natural,,,N/A,,N/A,,78 m²,,En buen estado,,,,N/A,,1ª,,Gres,,Aluminio,,,,,,,N/A,,,,,,,,N/A,,,,
Chalet en San Fernando de Henares,VIVA HOME,1.867 €/m²,495.000 €,265 m²,28130,https://www.pisos.com/comprar/chalet-san_fernando_de_henares_montserrat-47578295995_106700/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,265 m²,4,4,Entre 20 y 30 años,IFC76050-XAL_7207,,,,,,,,,250 m²,170 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en calle de Ucrania,METRO CUADRADO VENDEMOS TODOS S.L.,3.140 €/m²,533.900 €,170 m²,28005,https://www.pisos.com/comprar/atico-garena28806-51752383373_107700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,170 m²,3,2,Entre 5 y 10 años,VE28-C0026-02324,,,,,,N/A,N/A,,138 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en calle de Juncal,CASSAS.es Inmobiliaria experta en Torrejón de Ardoz,3.516 €/m²,386.800 €,110 m²,28148,https://www.pisos.com/comprar/atico-zona_noreste-48403567304_100500/,2024-11-29,Error al procesar consumo,Error al procesar emisiones,110 m²,3,2,,SA555-47364239/1670,1,Gas natural,1,,,N/A,N/A,,,,,N/A,,,,,4ª,,,,,,,,,,,,,,,,Oeste,,,,,,,
Ático en Carretera de Loeches,AS Fresnos Inmobiliaria,2.635 €/m²,390.000 €,148 m²,28148,https://www.pisos.com/comprar/atico-zona_sureste-50019108543_525678/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,148 m²,3,2,Entre 20 y 30 años,4525678-000059,N/A,Gas natural,1,Sótano,Principal,N/A,75 m²,Comunitaria,101 m²,,En buen estado,Frío y calor,Comunitario,,Vitroceramica,,5ª,,Tarima flotante,Más de 100 €,Climalit,,,,,,,N/A,Madera blnca lacada,N/A,N/A,,Este,N/A,,Natural,,N/A,N/A,
Piso en Valleaguado-La Cañada,"ESTUDIO CAÑADA_VALLEAGUADO, S.L.",3.263 €/m²,310.000 €,95 m²,28049,https://www.pisos.com/comprar/piso-valleaguado_la_canada28823-50024088266_100200/,2025-01-10,"D, D","D, D",95 m²,3,2,Más de 50 años,TC171-602964,,N/A,,,,,N/A,,,,En buen estado,N/A,,,,,4ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Barberán y Collar,Estudio Juan De Austria El Val Slu,3.040 €/m²,225.000 €,74 m²,28005,https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-50859206339_100200/,2025-01-29,"E, E","E, E",74 m²,2,,Entre 30 y 50 años,TC1065-594643,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Zona Noroeste,RED PISO ESTUDIO NUEVO TORREJON,2.089 €/m²,140.000 €,67 m²,28148,https://www.pisos.com/comprar/piso-zona_noroeste-47575628397_994728/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,67 m²,3,1,Más de 50 años,4994728-12829216,,,,,N/A,,N/A,,63 m²,,En buen estado,,,,N/A,,3ª,,Gres,Entre 40 y 60 €,Aluminio,,,,,,,N/A,,,N/A,,Este,N/A,,N/A,,,,
"Piso en Colonia, Avenida de Meco",Consulting El Ensanche De Alcalá Slu,2.034 €/m²,175.000 €,86 m²,28005,https://www.pisos.com/comprar/piso-colonia_avenida_de_meco28805-30011543050_100200/,2024-10-10,"E, E","E, E",86 m²,3,2,Entre 30 y 50 años,TC825-529321,,,,,,,,,,,A reformar,,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Valleaguado-La Cañada,REYLANK PROPIEDADES,2.820 €/m²,299.000 €,106 m²,28049,https://www.pisos.com/comprar/piso-valleaguado_la_canada28822-49261229148_106700/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,106 m²,3,2,Entre 30 y 50 años,IFC75993-3773,,N/A,,,,N/A,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,
Casa rústica en Los Santos de la Humosa,Estudio Inmobiliario Pozo De Guadalajara Sl,837 €/m²,139.900 €,167 m²,28137,https://www.pisos.com/comprar/casa_rustica-los_santos_de_la_humosa_centro_urbano-45840979999_100200/,2024-08-12,Error al procesar consumo,Error al procesar emisiones,167 m²,5,2,Más de 50 años,TC1010-588258,,,1,,,,,,,,En buen estado,,,Rústica,,,,,,,,,,,,,,,,,,,,,,,,,,
Estudio en Centro,CASSAS.es Inmobiliaria experta en Torrejón de Ardoz,3.365 €/m²,134.600 €,40 m²,28148,https://www.pisos.com/comprar/estudio-zona_noroeste-51694176927_100500/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,40 m²,1,1,,SA555-50969629/1670,1,N/A,,,,,,,,,,N/A,,,,,Bajo,,,,,,,,,,,,,,,,,,,,,,,
Piso en Montserrat,REYLANK PROPIEDADES,3.511 €/m²,298.500 €,85 m²,28130,https://www.pisos.com/comprar/piso-san_fernando_de_henares_montserrat-49198045672_106700/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,85 m²,2,2,Entre 10 y 20 años,IFC75993-3775,,,,N/A,N/A,N/A,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,MILLENIUM SERVICIOS INMOBILIARIOS,2.194 €/m²,206.270 €,94 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-47526551428_100500/,2024-09-10,Error al procesar consumo,Error al procesar emisiones,94 m²,3,2,,SA3384-00585/8697,1,N/A,1,N/A,,N/A,N/A,,72 m²,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Serracines,INFINIT INMOBILIARIA,1.813 €/m²,349.990 €,193 m²,28057,https://www.pisos.com/comprar/chalet-fresno_de_torote_centro_urbano-47537134544_100500/,2025-02-03,"E, F","E, F",193 m²,4,2,Entre 30 y 50 años,SA5173-INF0116/10685,1,N/A,1,N/A,,,N/A,Propia,121 m²,2.723 m²,,,N/A,,,,,,Terrazo,,,,,,N/A,,,,,,,,Este,,N/A,,,,,N/A
Piso en calle Unamuno,Inmuebling Servicios inmobiliarios Madrid,2.526 €/m²,240.000 €,95 m²,28049,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-51727462018_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,95 m²,3,1,Más de 50 años,SA179-IM/VENTAUNAMUNO0225,,Gas natural,,,N/A,N/A,N/A,,,,A reformar,,,,,,1ª,,Terrazo,,,,,,,,,N/A,,,,,,,,,,,N/A,
Piso en Centro,MILLENIUM SERVICIOS INMOBILIARIOS,2.058 €/m²,201.740 €,98 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-47537922382_100500/,2024-09-10,Error al procesar consumo,Error al procesar emisiones,98 m²,3,2,,SA3384-00587/8697,1,N/A,1,N/A,,N/A,N/A,,74 m²,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Mejorada del Campo,Estudio Mejorada Del Campo Sl,453 €/m²,167.000 €,368 m²,28084,https://www.pisos.com/comprar/casa_unifamiliar-mejorada_del_campo_centro_urbano-48341373431_100200/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,368 m²,3,1,Entre 30 y 50 años,TC918-588487,,N/A,,,,,,,,,En buen estado,,,Unifamiliar,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Mar Cantábrico,  s/n","PREMIER ESPAÑA, S.A.",2.127 €/m²,763.900 €,359 m²,28104,https://www.pisos.com/comprar/chalet-paracuellos_de_jarama_centro_urbano-5069706416_109700/,2025-02-07,Error al procesar consumo,Error al procesar emisiones,359 m²,5,3,,4991481-21673030,,,N/A,N/A,,,N/A,N/A,,,A estrenar,,Privado,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Paracuellos del Jarama,Gilmar Orgaz-Naciones,2.449 €/m²,1.455.000 €,594 m²,28104,https://www.pisos.com/comprar/chalet-los_berrocales_del_jarama-48387388690_102100/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,594 m²,7,6,,GM24-202053,,,Más de 2,,,,,N/A,,1.768 m²,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Zona Puerto,Estudio Nuevo Coslada Pueblo Slu,2.128 €/m²,257.500 €,121 m²,28049,https://www.pisos.com/comprar/piso-zona_puerto28821-42592531742_100200/,2025-02-18,"F, E","F, E",121 m²,3,2,,TC1092-577380,,N/A,1,,,N/A,N/A,,,,,,,,N/A,,,,Gres,Más de 100 €,,,,,,,,,,,,,,,,,,,,
Piso en Noreste,VOHOME PROPIEDADES TORREJON DE ARDOZ,2.738 €/m²,199.900 €,73 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-48415121505_100500/,2025-01-30,"D, D","D, D",73 m²,3,1,Más de 50 años,SA1478-GZG-12042093,1,Gas natural,,,N/A,,N/A,,,,En buen estado,Frío,,,Cocina amueblada,,2ª,,Tarima flotante,Entre 60 y 80 €,,,,,,,,N/A,,N/A,,,Este,,,,,,,
Chalet en calle España,ALCALA SERCOMCASA,2.434 €/m²,650.000 €,267 m²,28083,https://www.pisos.com/comprar/chalet-meco_centro_urbano-50870996912_524533/,2025-02-18,"D, D","D, D",267 m²,4,3,Entre 10 y 20 años,4524533-54635236,Más de 2,,1,,N/A,,N/A,Propia,260 m²,646 m²,En buen estado,,Privado,,N/A,N/A,,,,,,,N/A,N/A,,,,,,,,,Sur,,,,,,,
Piso en Centro,MILLENIUM SERVICIOS INMOBILIARIOS,2.217 €/m²,206.270 €,93 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-47593542792_100500/,2024-09-10,Error al procesar consumo,Error al procesar emisiones,93 m²,3,2,,SA3384-00594/8697,1,N/A,1,N/A,,N/A,N/A,Comunitaria,71 m²,,,,N/A,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de la Cruz,VOHOME PROPIEDADES TORREJON DE ARDOZ,4.067 €/m²,419.000 €,103 m²,28148,https://www.pisos.com/comprar/piso-zona_noroeste-49237717124_100500/,2025-01-30,Error al procesar consumo,Error al procesar emisiones,103 m²,3,2,Menos de 5 años,SA1478-GZG-12042091,1,Gas natural,1,N/A,N/A,N/A,N/A,Comunitaria,92 m²,,En buen estado,Frío,,,Cocina amueblada,N/A,3ª,,,,,,,,,,,N/A,,N/A,,,Este,,,,,,N/A,
Piso en Zona Noreste,"ESTUDIO BARRIO ZARZUELA, S.L.U.",2.658 €/m²,199.400 €,75 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-50912990410_100200/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,75 m²,3,1,Entre 30 y 50 años,TC676-602940,,N/A,,,,,N/A,,,,En buen estado,N/A,,,N/A,,2ª,,,,,,,,,,,,,,N/A,,,,,,,,,
Casa en Loeches,WillCoSpain,3.252 €/m²,1.600.000 €,492 m²,28075,https://www.pisos.com/comprar/casa-loeches_centro_urbano-50073636054_106700/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,492 m²,5,3,,IFC76075-PAL_541,,,,,,,,,,435 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Ensanche,Consulting El Ensanche De Alcalá Slu,1.984 €/m²,269.900 €,136 m²,28005,https://www.pisos.com/comprar/piso-ensanche_espartales_ensanche28806-45867295797_100200/,2024-10-10,Error al procesar consumo,Error al procesar emisiones,136 m²,2,2,Entre 20 y 30 años,TC825-585114,,N/A,,,,,,,,,En buen estado,N/A,,,,,1ª,,Parquet,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Meco,Estudio Meco Sl,2.189 €/m²,335.000 €,153 m²,28083,https://www.pisos.com/comprar/casa_pareada-meco_centro_urbano-50840782873_100200/,2025-01-13,"E, E","E, E",153 m²,5,2,Entre 20 y 30 años,TC885-598575,,,,,,,,,,,En buen estado,,N/A,Pareada,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Noreste,CASSAS.es Inmobiliaria experta en Torrejón de Ardoz,3.692 €/m²,184.600 €,50 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-50908997849_100500/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,50 m²,2,1,,SA555-1012555/1670,,N/A,,,,,,,,,,N/A,,,,,Bajo,,,,,,,,,,,,,,,,Sur,,,,,,,
Piso en Casco Antiguo,Estudio Nuevo Coslada Pueblo Slu,2.012 €/m²,161.000 €,80 m²,28049,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-51703430691_100200/,2025-02-20,"E, E","E, E",80 m²,3,1,Más de 50 años,TC1092-610250,,N/A,,,,,N/A,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Casco Antiguo,REYLANK PROPIEDADES,2.778 €/m²,289.000 €,104 m²,28049,https://www.pisos.com/comprar/piso-coslada_casco_antiguo28821-49240969929_106700/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,104 m²,3,2,Entre 30 y 50 años,IFC75993-PIS_3752,,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Paracuellos de Jarama,SAFTI ESPAÑA,1.572 €/m²,467.000 €,297 m²,28104,https://www.pisos.com/comprar/casa_unifamiliar-paracuellos_de_jarama_centro_urbano-50079676644_100500/,2025-02-03,"E, E","E, E",297 m²,6,2,Entre 30 y 50 años,SA3541-REF_31744,,Eléctrica,1,,,,N/A,N/A,200 m²,,,,,Unifamiliar,,,,,,,,,,,,,,,,,,,Oeste,,,,,,,
Casa pareada en Los Santos de la Humosa,Estudio Inmobiliario Pozo De Guadalajara Sl,565 €/m²,119.900 €,212 m²,28137,https://www.pisos.com/comprar/casa_pareada-los_santos_de_la_humosa_centro_urbano-45835249175_100200/,2024-07-15,Error al procesar consumo,Error al procesar emisiones,212 m²,4,1,,TC1010-588086,,,,,,,,,,,A reformar,,,Pareada,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Torres de la Alameda,Estudio Loeches-Torres De La Alameda Sl,2.440 €/m²,209.900 €,86 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-51695176532_100200/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,86 m²,2,2,Entre 10 y 20 años,TC929-606379,,,,,,,,,,,En buen estado,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Piso en Centro,MILLENIUM SERVICIOS INMOBILIARIOS,2.183 €/m²,205.280 €,94 m²,28154,https://www.pisos.com/comprar/piso-torres_de_la_alameda_centro_urbano-47536813055_100500/,2024-09-10,Error al procesar consumo,Error al procesar emisiones,94 m²,3,2,,SA3384-00584/8697,1,N/A,1,N/A,,N/A,N/A,,72 m²,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,
"Piso en San Isidro, Estación",OIH INMOBILIARIA,2.957 €/m²,420.000 €,142 m²,28005,https://www.pisos.com/comprar/piso-san_isidro_estacion28807-50875659022_991741/,2025-01-18,Error al procesar consumo,Error al procesar emisiones,142 m²,4,2,,4991741-11482,Más de 2,Central,,N/A,N/A,N/A,N/A,,142 m²,,En buen estado,Frío y calor,,,,,3ª,,Tarima flotante,,Aluminio,,,,,,,N/A,,,N/A,,,,,,,,,
Piso en calle Martin Luther King,VOHOME PROPIEDADES TORREJON DE ARDOZ,4.191 €/m²,285.000 €,68 m²,28148,https://www.pisos.com/comprar/piso-zona_noreste-49186640326_100500/,2025-01-30,"A, A","A, A",68 m²,2,2,Menos de 5 años,SA1478-GZG-12042095,1,Gas natural,1,N/A,,N/A,N/A,Propia,59 m²,,En buen estado,,,,Cocina americana,,2ª,,Tarima flotante,,,,,,,,,N/A,,N/A,,,,,,,,,N/A,
