nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Referencia,Armarios empotrados,Calefacción,Garaje,Trastero,Puerta blindada,Ascensor,Terraza,Piscina,Superficie útil,Superficie solar,Conservación,Aire acondicionado,Jardín,Tipo de casa,Cocina equipada,Sistema de seguridad,Planta,Amueblado,Tipo suelo,Gastos de comunidad,Carpintería exterior,Teléfono,Comedor,Lavadero,Urbanizado,Calle alumbrada,Calle asfaltada,Exterior,Carpintería interior,Vidrios dobles,Portero automático,Balcón,Orientación,Soleado,Chimenea,Gas,Interior,Se aceptan mascotas,Adaptado a personas con movilidad reducida,Agua
Chalet en Campiña,Concepción HERNANDEZ TENDERO,2.093 €/m²,1.340.000 €,640 m²,28172,https://www.pisos.com/comprar/chalet-villalbilla_centro_urbano-43351902326_108700/,2025-02-19,"D, D","D, D",640 m²,6,6,Entre 20 y 30 años,UVC841-20950,,,,,,,,,640 m²,3.200 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle Luis Buñuel,GAVILAN INMOBILIARIA,3.125 €/m²,250.000 €,80 m²,28053,https://www.pisos.com/comprar/piso-daganzo_de_arriba_centro_urbano-49236296603_100500/,2025-02-03,"E, E","E, E",80 m²,2,1,Entre 10 y 20 años,SA114-0381,1,Gas natural,1,,,N/A,,,63 m²,,En buen estado,,,,Cocina americana,,1ª,,Gres,Entre 40 y 60 €,,,,,,,,N/A,,N/A,,,Este,,,,,,N/A,
Casa pareada en Zona Noroeste,Estudio Plaza Habana 2024 Sl,2.650 €/m²,265.000 €,100 m²,28148,https://www.pisos.com/comprar/casa_pareada-zona_noroeste-49251024937_100200/,2025-01-31,"F, E","F, E",100 m²,3,1,Más de 50 años,TC1186-601512,,N/A,,,,,,,,,En buen estado,,,Pareada,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Valdeavero,TECNOCASA CABANILLAS DEL CAMPO,1.547 €/m²,229.000 €,148 m²,28156,https://www.pisos.com/comprar/casa_adosada-valdeavero_centro_urbano-46766257389_100200/,2025-02-16,"E, E","E, E",148 m²,3,3,Entre 10 y 20 años,TC876-592751,1,N/A,1,,,,,Propia,,,En buen estado,N/A,,Adosada,,,,,Gres,,,,,,,,,,,,,,,,,,,,,
Chalet en Pezuela de las Torres,IRIS INMOBILIARIA.,999 €/m²,179.990 €,180 m²,28111,https://www.pisos.com/comprar/chalet-pezuela_de_las_torres_centro_urbano-51715824209_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,180 m²,4,1,Entre 30 y 50 años,SA4163-V507,1,,1,,,,,N/A,,561 m²,En buen estado,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Parque Roma,AC HOME SERVICIOS INMOBILIARIOS 2020 S.L,2.185 €/m²,236.000 €,108 m²,28130,https://www.pisos.com/comprar/piso-parque_roma_coronas-50037906699_108900/,2025-01-14,Error al procesar consumo,Error al procesar emisiones,108 m²,3,1,,XA669-1278,,,,,,N/A,,,86 m²,,En buen estado,,,,N/A,,4ª,,,Entre 60 y 80 €,,,,,,,,N/A,,,,,,,,,,,,N/A
Piso en Campiña,María Del Val DE MARCOS SALAS,2.416 €/m²,203.000 €,84 m²,28172,https://www.pisos.com/comprar/piso-villalbilla_centro_urbano-50873312867_108700/,2025-02-18,Error al procesar consumo,Error al procesar emisiones,84 m²,2,1,Entre 10 y 20 años,UVC870-31576,,N/A,,,,N/A,,,84 m²,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Paracuellos de Jarama,Estudio Desarrollo Paracuellos Del Jarama Slu,1.966 €/m²,466.000 €,237 m²,28104,https://www.pisos.com/comprar/casa_pareada-paracuellos_de_jarama_centro_urbano-49228318260_100200/,2024-12-04,Error al procesar consumo,Error al procesar emisiones,237 m²,4,2,Entre 20 y 30 años,TC1195-601677,,N/A,1,,,,N/A,Propia,,,En buen estado,,Privado,Pareada,N/A,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Velilla de San Antonio,Estudio Velilla S.L.,2.772 €/m²,183.000 €,66 m²,28167,https://www.pisos.com/comprar/piso-velilla_de_san_antonio_centro_urbano-46692137086_100200/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,66 m²,2,2,Menos de 5 años,TC993-592181,,N/A,,,,N/A,N/A,,,,A estrenar,,,,N/A,,1ª,,,,,,,,,,,,,,,,,,,,,,,
Ático en calle de Arturo Soria,BERLIN SV PROPERTIES,2.871 €/m²,425.000 €,148 m²,28005,https://www.pisos.com/comprar/atico-garena28806-40076754498_100500/,2024-10-29,Error al procesar consumo,Error al procesar emisiones,148 m²,3,2,,SA4861-103470409,1,,1,N/A,,N/A,N/A,N/A,,,En buen estado,N/A,N/A,,,,4ª,,,,,,,,,,,N/A,,,,,,,,,,,,
Casa rústica en Valdeavero,TECNOCASA CABANILLAS DEL CAMPO,1.116 €/m²,192.000 €,172 m²,28156,https://www.pisos.com/comprar/casa_rustica-valdeavero_centro_urbano-47542972157_100200/,2025-02-16,Error al procesar consumo,Error al procesar emisiones,172 m²,4,2,Más de 50 años,TC876-593664,,N/A,,,,,,Propia,,,Reformado,,,Rústica,N/A,,,,Parquet,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Camarma de Esteruelas,LA CASA IDEAL,1.443 €/m²,475.000 €,329 m²,28032,https://www.pisos.com/comprar/chalet_unifamiliar-camarma_de_esteruelas_centro_urbano-45083149840_996540/,2024-06-10,Error al procesar consumo,Error al procesar emisiones,329 m²,5,3,Entre 30 y 50 años,4996540-2406081,Más de 2,Gas natural,,,N/A,,N/A,Propia,320 m²,579 m²,En buen estado,Frío y calor,Privado,,N/A,,,,Gres,,Climalit doble,,N/A,,,N/A,N/A,,Roble,Climalit,,,Este,,,N/A,,,N/A,
Casa adosada en calle de la Gran Vía,Hercesa,3.215 €/m²,385.910 €,120 m²,28032,https://www.pisos.com/comprar/casa_adosada-camarma_de_esteruelas_centro_urbano-51720200969_101800/,2025-02-20,"A, A","A, A",120 m²,3,3,,IF6892-107415,1,Central,1,,N/A,,,,,,,,Privado,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,
