nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Habitaciones,Baños,Antigüedad,Conservación,Gastos de comunidad,Referencia,Armarios empotrados,Tipo suelo,Aire acondicionado,Calefacción,Garaje,Terraza,Jardín,Piscina,Tipo de casa,Vidrios dobles,Cocina equipada,Puerta blindada,Trastero,Orientación,Planta,Exterior,Carpintería exterior,Ascensor,Adaptado a personas con movilidad reducida,Superficie solar,Agua,Chimenea,Comedor,Soleado,Amueblado,Sistema de seguridad,Carpintería interior,Gas,Lavadero,Portero automático,Balcón,Urbanizado,Calle alumbrada,Calle asfaltada,Se aceptan mascotas,Teléfono,Interior,No se aceptan mascotas,Luz
Casa adosada en Avenida del Cid Campeador,Estudio Ciudad De Navalcarnero Sl,1.586 €/m²,364.900 €,230 m²,https://www.pisos.com/comprar/casa_adosada-navalcarnero_centro_urbano-45866881307_100200/,Anuncio actualizado el 28/08/2024,"D, C","D, C",madrid_suroeste,230 m²,,4,3,,En buen estado,,TC1137-589825,,,N/A,N/A,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dúplex en calle de Castilla y León,REDPISO ARROYOMOLINOS,2.455 €/m²,279.900 €,114 m²,https://www.pisos.com/comprar/duplex-arroyomolinos_castaneras-50009158069_104700/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,114 m²,91 m²,3,3,Entre 20 y 30 años,En buen estado,,STA62-RP1712024132764,2,Tarima maciza,Frío y calor,Eléctrica,1,N/A,N/A,,,,,,N/A,Sur,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Oeste,"ESTUDIO NUEVO SOTO 2013, S.L.U",2.650 €/m²,220.000 €,83 m²,https://www.pisos.com/comprar/piso-mostoles_oeste28935-48377191714_100200/,Anuncio actualizado el 20/02/2025,"G, G","G, G",madrid_suroeste,83 m²,,3,1,Entre 30 y 50 años,En buen estado,,TC50-598128,,,,Central,,N/A,Comunitario,,,,N/A,,,,1ª,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Dúplex en Castañeras,HOGARES ARROYOMOLINOS,2.563 €/m²,299.900 €,117 m²,https://www.pisos.com/comprar/duplex-arroyomolinos_castaneras-49179471969_525651/,Anuncio actualizado el 30/01/2025,"E, E","E, E",madrid_suroeste,117 m²,117 m²,3,3,Entre 10 y 20 años,En buen estado,,4525651-106100239,,,Frío,Gas natural,,N/A,,,,,,,N/A,,1ª,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Oeste,"ESTUDIO NUEVO SOTO 2013, S.L.U",2.746 €/m²,195.000 €,71 m²,https://www.pisos.com/comprar/piso-mostoles_oeste28935-51674163327_100200/,Anuncio actualizado el 20/02/2025,"F, G","F, G",madrid_suroeste,71 m²,,3,1,Entre 30 y 50 años,Reformado,,TC50-610002,,,,Central,,N/A,,,,,N/A,,,,2ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa en calle de Salvador Gramaje,HOGARES NAVALCARNERO,1.602 €/m²,439.000 €,274 m²,https://www.pisos.com/comprar/casa-navalcarnero_centro_urbano-48375877031_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,274 m²,250 m²,4,4,Entre 10 y 20 años,Reformado,,4525846-000043,Más de 2,Mármol,Frío y calor,Gas natural,Más de 2,N/A,Privado,,,,N/A,,,Sureste,,,PVC,,,,,,N/A,,,,N/A,N/A,N/A,,,,,,,,,,
Casa unifamiliar en Urbanización,Alfa Navas del Rey,1.068 €/m²,235.000 €,220 m²,https://www.pisos.com/comprar/casa_unifamiliar-san_martin_de_valdeiglesias_centro_urbano-45017523515_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,220 m²,197 m²,3,3,,,,AF14-5972/874,Más de 2,,,,,,,,Unifamiliar,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle Sagitario,  s/n",HABITAT INMOBILIARIA,3.839 €/m²,529.900 €,138 m²,https://www.pisos.com/comprar/chalet-sur_este28938-5259483102_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,138 m²,,4,2,,A estrenar,,4990150-MPMA,,,,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,2.649 €/m²,219.900 €,83 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-48360964429_100200/,Anuncio actualizado el 25/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,83 m²,,3,1,Más de 50 años,A reformar,,TC1137-598062,,Gres,,Central,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Nuestra Señora del Villar,HOGARES SEVILLA LA NUEVA,2.390 €/m²,219.900 €,92 m²,https://www.pisos.com/comprar/piso-sevilla_la_nueva_centro_urbano-48426501616_100500/,Anuncio actualizado el 27/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,92 m²,,3,1,Entre 30 y 50 años,,,SA4642-00069/9778,1,,N/A,Gas natural,,N/A,,,,,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en Urbanización,Alfa Navas del Rey,835 €/m²,142.000 €,170 m²,https://www.pisos.com/comprar/casa_unifamiliar-navas_del_rey_centro_urbano-50887498096_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,170 m²,,4,2,,,,AF14-5972/880,2,,Frío,,,,,,Unifamiliar,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Parque Ondarreta-Urtinsa,Estudio Parque Ondarreta Slu,2.936 €/m²,279.000 €,95 m²,https://www.pisos.com/comprar/piso-parque_ondarreta_urtinsa28923-51692328577_100200/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,95 m²,,3,1,Entre 30 y 50 años,En buen estado,,TC874-609374,,Parquet,,N/A,,N/A,,,,,,,,,2ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
"Chalet en calle del Pastoreo, 16",HOGARES NAVALCARNERO,1.430 €/m²,429.000 €,300 m²,https://www.pisos.com/comprar/chalet-navalcarnero_centro_urbano-50885275917_525846/,Anuncio actualizado el 22/01/2025,"C, C","C, C",madrid_suroeste,300 m²,300 m²,4,3,,En buen estado,,4525846-000054,Más de 2,,,Gas natural,,,,,,,,,,Noroeste,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,2.149 €/m²,214.900 €,100 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-48402792144_100200/,Anuncio actualizado el 20/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,100 m²,,2,2,Entre 10 y 20 años,En buen estado,,TC1137-594567,,Gres,N/A,N/A,,,,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle de Ribadesella,HOGARES ARROYOMOLINOS,2.369 €/m²,499.900 €,211 m²,https://www.pisos.com/comprar/casa-zona_bulevar-51683280783_525651/,Anuncio actualizado el 11/02/2025,"E, E","E, E",madrid_suroeste,211 m²,211 m²,4,3,Entre 10 y 20 años,En buen estado,,"4525651-Ribadesella, 48",Más de 2,,,,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Zamora,TOTALLY RAD,1.488 €/m²,129.500 €,87 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-50041711236_525064/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,87 m²,87 m²,3,1,Más de 50 años,En buen estado,,4525064-TR0244792,,,,,,N/A,,,,,N/A,,,,3ª,,,,,,,,N/A,,,,,,,,,,,,,,,,
Casa pareada en calle de Cervantes,HOGARES SEVILLA LA NUEVA,2.733 €/m²,349.900 €,128 m²,https://www.pisos.com/comprar/casa_pareada-villanueva_de_perales_centro_urbano-42561233626_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,128 m²,,4,3,Entre 20 y 30 años,,,SA4642-00034/9778,1,,N/A,N/A,,,N/A,N/A,Pareada,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,Alfa Navas del Rey,2.039 €/m²,155.000 €,76 m²,https://www.pisos.com/comprar/casa_adosada-navas_del_rey_centro_urbano-50897824387_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,76 m²,,2,2,,,,AF14-5972/888,,,,,,8,,,Adosada,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida de la Unión Europea,HOGARES ARROYOMOLINOS,2.161 €/m²,399.900 €,185 m²,https://www.pisos.com/comprar/piso-zona_europa-51680135023_525651/,Anuncio actualizado el 12/02/2025,"E, E","E, E",madrid_suroeste,185 m²,185 m²,3,2,Entre 10 y 20 años,En buen estado,,"4525651-Unión Europea, 96",Más de 2,,Frío,Gas natural,1,N/A,,,,,,,,,3ª,,,,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en calle del Santo,OIH INMOBILIARIA,945 €/m²,156.000 €,165 m²,https://www.pisos.com/comprar/chalet_adosado-aldea_del_fresno_centro_urbano-50922303080_991741/,Anuncio actualizado el 30/01/2025,"F, F","F, F",madrid_suroeste,165 m²,165 m²,3,2,,A reformar,,4991741-11491,Más de 2,Gres,,Gasoil,1,,Privado,,,,,,,,,,Aluminio,,,131 m²,,,,,,,,,,,,N/A,,,,,,,
Chalet adosado en calle de Santander,HOGARES ARROYOMOLINOS,1.884 €/m²,489.900 €,260 m²,https://www.pisos.com/comprar/chalet_adosado-zona_bulevar-51765558031_525651/,Anuncio actualizado el 10/02/2025,"E, E","E, E",madrid_suroeste,260 m²,260 m²,4,3,Entre 10 y 20 años,En buen estado,,"4525651-Santander, 1",Más de 2,,Frío,,1,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Magallanes,HOGARES NAVALCARNERO,2.726 €/m²,319.000 €,117 m²,https://www.pisos.com/comprar/piso-norte_universidad28933-50885894933_525846/,Anuncio actualizado el 23/01/2025,"C, C","C, C",madrid_suroeste,117 m²,110 m²,3,2,Entre 30 y 50 años,Reformado,Entre 40 y 60 €,4525846-000052,,,Frío y calor,Gas natural,,N/A,,,,,N/A,N/A,,,10ª,N/A,PVC,N/A,,,,,N/A,,,,,N/A,,,,,,,N/A,,,,
Piso en calle de Nuestra Señora del Villar,HOGARES SEVILLA LA NUEVA,2.370 €/m²,229.900 €,97 m²,https://www.pisos.com/comprar/piso-sevilla_la_nueva_centro_urbano-47572823575_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,97 m²,,3,1,Entre 30 y 50 años,,,SA4642-00065/9778,1,,N/A,Gas natural,1,N/A,,,,,,,,,Bajo,,,,,,,,,,,,,,,,N/A,,,,,,,,
Dúplex en calle de Fuente Cisneros,GRUPO FINCASA,3.082 €/m²,450.000 €,146 m²,https://www.pisos.com/comprar/duplex-parque_oeste_fuente_cisneros_campodon-49257965869_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,146 m²,,4,3,Entre 20 y 30 años,En buen estado,,SA5356-fuente cisneros,1,,N/A,,1,N/A,N/A,N/A,,,,,N/A,,6ª,N/A,,N/A,,,,,,,,,,,,,N/A,,,,,,,,
Piso en calle de Aragón,HOGARES ARROYOMOLINOS,4.465 €/m²,334.900 €,75 m²,https://www.pisos.com/comprar/piso-arroyomolinos_castaneras-51684069759_525651/,Anuncio actualizado el 12/02/2025,"E, E","E, E",madrid_suroeste,75 m²,75 m²,2,1,Entre 20 y 30 años,En buen estado,,"4525651-Aragón, 17",,,Frío,,1,N/A,,Comunitaria,,,,,N/A,,2ª,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Oeste,"ESTUDIO NUEVO SOTO 2013, S.L.U",2.611 €/m²,235.000 €,90 m²,https://www.pisos.com/comprar/piso-mostoles_oeste28935-48368821318_100200/,Anuncio actualizado el 20/02/2025,"E, E","E, E",madrid_suroeste,90 m²,,3,1,Entre 30 y 50 años,Reformado,,TC50-598454,,,N/A,Central,,N/A,,,,,N/A,,,,7ª,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en Navalcarnero,Estudio Ciudad De Navalcarnero Sl,1.635 €/m²,350.000 €,214 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-50876921369_100200/,Anuncio actualizado el 01/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,214 m²,,3,1,Entre 30 y 50 años,Reformado,,TC1137-537705,,,,,,,,,,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,
Chalet pareado en calle Tórtola,HOGARES NAVALCARNERO,1.628 €/m²,464.000 €,285 m²,https://www.pisos.com/comprar/chalet_pareado-navalcarnero_centro_urbano-45018145440_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,285 m²,271 m²,4,4,Entre 10 y 20 años,En buen estado,,4525846-000037,Más de 2,Tarima flotante,Frío y calor,Gas natural,2,N/A,Privado,Propia,,,N/A,N/A,,Sureste,,,,,N/A,,,,N/A,,,,,,N/A,,,,,,N/A,,,,
Casa unifamiliar en Campo,Alfa Navas del Rey,642 €/m²,475.000 €,739 m²,https://www.pisos.com/comprar/casa_unifamiliar-san_martin_de_valdeiglesias_centro_urbano-97538503591_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,739 m²,,7,3,,,,AF14-5972/704,,,,,,,,N/A,Unifamiliar,,,N/A,N/A,,,,,,,,,,,,N/A,,,,,,,,,,,,,,
Chalet en calle Encinas,HOGARES ARROYOMOLINOS,1.473 €/m²,495.000 €,336 m²,https://www.pisos.com/comprar/chalet-coimbra_guadarrama-50874473534_525651/,Anuncio actualizado el 30/01/2025,"E, E","E, E",madrid_suroeste,336 m²,336 m²,5,2,Entre 30 y 50 años,En buen estado,,4525651-107129879,Más de 2,,,,1,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Avenida del Dos de Mayo,HOGARES SEVILLA LA NUEVA,3.304 €/m²,204.900 €,62 m²,https://www.pisos.com/comprar/piso-sevilla_la_nueva_centro_urbano-48380284131_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,62 m²,60 m²,2,2,Entre 10 y 20 años,,,SA4642-00067/9778,1,,N/A,Gas natural,1,N/A,,Comunitaria,,,,,N/A,,2ª,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en Plaza de Arroyomolinos,PRISCASA,3.511 €/m²,158.000 €,45 m²,https://www.pisos.com/comprar/apartamento-mostoles_oeste28938-51675978855_510487/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,45 m²,40 m²,1,1,Menos de 5 años,A estrenar,Entre 40 y 60 €,4510487-697283,1,Gres,Frío y calor,Eléctrica,,,Comunitario,,,,Cocina americana,N/A,9m²,Este,Bajo,Vivienda de esquina,Aluminio,N/A,,,,,,,Electrodomésticos,Alarma,Lacada blanco,,,N/A,,,,,,,,,
Piso en Centro,AGENCIA CONTACASA ASESORES,2.012 €/m²,161.000 €,80 m²,https://www.pisos.com/comprar/piso-el_alamo_centro_urbano-48345310422_103800/,Anuncio actualizado el 12/02/2025,"G, G","G, G",madrid_suroeste,80 m²,61 m²,3,1,Más de 50 años,En buen estado,,INB35-1375-Mea2898,,,,,,N/A,,,,,,,,,3ª,N/A,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle de Fuente Fría,HOGARES SEVILLA LA NUEVA,2.030 €/m²,529.900 €,261 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-50835090382_100500/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,261 m²,,4,3,Entre 20 y 30 años,,,SA4642-00085/9778,1,,,Gas natural,1,N/A,N/A,Propia,,,,,,,,,,,,753 m²,,N/A,,,,,,,,,,,,,,,,,
Chalet adosado en calle Alcázar Segovia,HOGARES NAVALCARNERO,1.586 €/m²,399.900 €,252 m²,https://www.pisos.com/comprar/chalet_adosado-navalcarnero_centro_urbano-45028426147_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,252 m²,243 m²,5,3,Entre 20 y 30 años,En buen estado,,4525846-000036,Más de 2,Mármol,Frío y calor,Gas natural,2,N/A,Privado,Propia,,,N/A,N/A,,Suroeste,,,,,N/A,,,,N/A,,,,,,N/A,,,,,,N/A,,,,
Piso en Norte-Universidad,RocalHouse Inmobiliaria,3.000 €/m²,360.000 €,120 m²,https://www.pisos.com/comprar/piso-norte_universidad28932-51707346147_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,120 m²,,4,2,,En buen estado,,SA5660-107324273,,,,,,N/A,,,,,,,,Este,3ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Colegios,HOGARES SEVILLA LA NUEVA,2.107 €/m²,429.900 €,204 m²,https://www.pisos.com/comprar/casa_adosada-sevilla_la_nueva_centro_urbano-39241944604_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,204 m²,,4,4,,,,SA4642-00012/9778,1,,,,1,N/A,N/A,Propia,Adosada,,,N/A,N/A,,,,,,,,,N/A,,,,N/A,,,,,,,,,,,,,
Chalet pareado en Zarzalejo,HOGARES ARROYOMOLINOS,1.627 €/m²,559.900 €,344 m²,https://www.pisos.com/comprar/chalet_pareado-arroyomolinos_zarzalejo-48425149751_525651/,Anuncio actualizado el 30/01/2025,"E, E","E, E",madrid_suroeste,344 m²,344 m²,4,3,Entre 5 y 10 años,En buen estado,,4525651-Benicarló,,,,,1,N/A,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle San Andrés. Esq C/ Labrador,  S/N",GESBRO,1.952 €/m²,220.604 €,113 m²,https://www.pisos.com/comprar/piso-navalcarnero_centro_urbano-4840324629_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,113 m²,,3,2,,A estrenar,,4525023-21493166,,,,,N/A,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,Grupo Inmobiliario Ares,2.084 €/m²,469.000 €,225 m²,https://www.pisos.com/comprar/casa_adosada-mostoles_centro28934-49193771889_108500/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,225 m²,,6,4,,,,AG610-ADO0090,N/A,Ceramica,N/A,N/A,,,N/A,,Adosada,,Individual,N/A,N/A,,,,,N/A,N/A,,,N/A,,,,,,,,,,,,,,,,,
Casa adosada en Centro,Alfa Navas del Rey,445 €/m²,81.000 €,182 m²,https://www.pisos.com/comprar/casa_adosada-san_martin_de_valdeiglesias_centro_urbano-10038185350_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,182 m²,,4,1,,,,AF14-5972/736,,,,,,,,,Adosada,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Móstoles,JMJ GESTION INMOBILIARIA,2.340 €/m²,187.260 €,80 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-49190049777_100500/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,80 m²,75 m²,2,1,Entre 30 y 50 años,,Más de 100 €,SA557-04148/1230,,,,N/A,,N/A,,,,,,N/A,,Oeste,2ª,,,N/A,,,,,N/A,,,,,,,,N/A,,,,,,,,
Chalet en Travesía del Caño,HOGARES SEVILLA LA NUEVA,1.773 €/m²,469.900 €,265 m²,https://www.pisos.com/comprar/chalet-sevilla_la_nueva_centro_urbano-50041285923_100500/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,265 m²,,4,3,Más de 50 años,,,SA4642-00071/9778,1,,N/A,Central,1,N/A,,,,,,,,,,,,,,512 m²,,,,,,,,,,,,,,,,,,,
Piso en calle Alejandro Peris Barrios,Aliseda Inmobiliaria,739 €/m²,108.000 €,146 m²,https://www.pisos.com/comprar/piso-villa_del_prado_centro_urbano-49171764493_107000/,Anuncio actualizado el 28/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,146 m²,,2,2,,,,AS1-52991712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Centro,Alfa Navas del Rey,1.526 €/m²,116.000 €,76 m²,https://www.pisos.com/comprar/casa_adosada-san_martin_de_valdeiglesias_centro_urbano-39229399018_101000/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,76 m²,,3,1,,,,AF14-5972/845,,,,,,,,,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Colón,BBCIN INMOBILIARIA,3.666 €/m²,220.000 €,60 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-50922425903_997864/,Anuncio actualizado el 04/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,60 m²,60 m²,2,3,Entre 20 y 30 años,En buen estado,Entre 80 y 100 €,4997864-000148,Más de 2,Gres,,Eléctrica,,,,,,,Amueblada,N/A,,,2ª,N/A,Aluminio,N/A,N/A,,,,,N/A,,,N/A,,,N/A,,,,,N/A,,,,
Chalet en Parque Coímbra,Gilmar Madrid Río,1.672 €/m²,669.000 €,400 m²,https://www.pisos.com/comprar/chalet-norte_universidad28935-45890861851_102100/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,400 m²,,4,3,,,,GM7-199650,,,,,,,N/A,N/A,,,,,,Sur,,,,,,1.010 m²,,,,,,,,,,,,,,,,,,,
"Piso en calle del Pintor Velázquez, 41",SERGIO ORTIZ MONJE,3.535 €/m²,495.000 €,140 m²,https://www.pisos.com/comprar/piso-norte_universidad28935-48361308531_100500/,Anuncio actualizado el 25/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,140 m²,113 m²,4,2,Entre 10 y 20 años,En buen estado,Más de 100 €,SA5597-105845537,1,,N/A,,1,N/A,N/A,N/A,,,,,N/A,Sur,1ª,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet adosado en calle Mateo De Leceta,HOGARES NAVALCARNERO,1.481 €/m²,474.000 €,320 m²,https://www.pisos.com/comprar/chalet_adosado-navalcarnero_centro_urbano-45041857483_525846/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,320 m²,309 m²,4,3,Entre 20 y 30 años,En buen estado,,4525846-000038,Más de 2,Mármol,,Gas natural,2,N/A,Privado,Comunitaria,,,N/A,N/A,,Sureste,,,,,N/A,,,,N/A,,,,,,N/A,,,,,,N/A,,,,
Piso en Paseo de Goya,MECOMPROCASA,2.458 €/m²,295.000 €,120 m²,https://www.pisos.com/comprar/piso-mostoles_centro28931-51710166180_510790/,Anuncio actualizado el 15/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,120 m²,119 m²,3,2,Entre 30 y 50 años,A estrenar,Entre 40 y 60 €,4510790-998728984,Más de 2,Tarima flotante,Frío y calor,Gas natural,1,N/A,,,,N/A,N/A,N/A,N/A,Sur,4ª,N/A,Aluminio,N/A,N/A,,,,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,,,,N/A,N/A,,,
Piso en Sevilla La Nueva,HOGARES SEVILLA LA NUEVA,2.387 €/m²,214.900 €,90 m²,https://www.pisos.com/comprar/piso-sevilla_la_nueva_centro_urbano-46699838216_100500/,Anuncio actualizado el 30/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,90 m²,,3,1,Entre 30 y 50 años,,,SA4642-00062/9778,1,,N/A,Gas natural,,N/A,N/A,,,,,,,,3ª,,,,,,,,,,,,,,,,N/A,,,,,,,,
Piso en Casco Antiguo,Grupo Inmara Inmobiliaria Madrid SL.,2.457 €/m²,149.900 €,61 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-50890963725_108900/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,61 m²,,2,1,,En buen estado,Entre 60 y 80 €,XA801-1712,,,,Gas natural,,,,,,,,N/A,,,,,,N/A,,,,,,,N/A,,,,,,,,,,,,,,
Piso en calle de los Guindales,Aliseda Inmobiliaria,2.115 €/m²,173.500 €,82 m²,https://www.pisos.com/comprar/piso-alcorcon_casco_antiguo28921-41679877130_105900/,Anuncio actualizado el 19/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,82 m²,,3,1,,,,AN1-ANT00020717469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Oeste,"ESTUDIO NUEVO SOTO 2013, S.L.U",2.323 €/m²,158.000 €,68 m²,https://www.pisos.com/comprar/piso-mostoles_oeste28935-49189912480_100200/,Anuncio actualizado el 20/02/2025,"E, D","E, D",madrid_suroeste,68 m²,,3,1,Entre 30 y 50 años,En buen estado,,TC50-599377,,,,Central,,,Comunitario,,,,N/A,,,,7ª,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,
Casa pareada en calle Aligustre,HOGARES SEVILLA LA NUEVA,1.510 €/m²,339.900 €,225 m²,https://www.pisos.com/comprar/casa_pareada-villamantilla_centro_urbano-45852459937_100500/,Anuncio actualizado el 28/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,225 m²,,4,3,Entre 10 y 20 años,,,SA4642-00057/9778,1,,N/A,Eléctrica,1,N/A,N/A,Propia,Pareada,,,,N/A,,,,,,,265 m²,,,,,,,,,,,,,,,,,,,
Ático en Avenida de la Unión Europea,REDPISO ARROYOMOLINOS,3.092 €/m²,364.900 €,118 m²,https://www.pisos.com/comprar/atico-zona_europa-47521058733_104700/,Anuncio actualizado el 23/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,118 m²,100 m²,4,3,Entre 10 y 20 años,En buen estado,,STA62-RP1712024130323,N/A,Tarima maciza,Frío y calor,N/A,1,N/A,N/A,N/A,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Marbella,REDPISO ARROYOMOLINOS,3.827 €/m²,179.900 €,47 m²,https://www.pisos.com/comprar/piso-arroyomolinos_castaneras-50871958648_104700/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_suroeste,47 m²,40 m²,1,1,Entre 10 y 20 años,En buen estado,Entre 60 y 80 €,STA62-RP1712025133480,1,Tarima maciza,Frío y calor,Gas natural,1,,,N/A,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
