nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Garaje,Puerta blindada,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Tipo de casa,Trastero,Planta,Exterior,Gastos de comunidad,Amueblado,Ascensor,Gas,Portero automático,Sistema de seguridad,Lavadero,Calle asfaltada,Teléfono,Chimenea,Soleado,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Agua,Interior,Balcón,Luz,No se aceptan mascotas
Piso en Avenida del Hospital,HOGARES FUENLABRADA,3.590 €/m²,395.000 €,110 m²,https://www.pisos.com/comprar/piso-vivero_hospital_universidad-50877411971_101800/,Anuncio actualizado el 13/02/2025,"D, E","D, E",madrid_sur,110 m²,,,4,2,,,IF77016-HOSPITAL,1,,,,,,Central,N/A,,,N/A,N/A,,Comunitaria,,,,,N/A,,,,,N/A,,,,N/A,,,,,,,,,,,
"Casa pareada en calle Arte Rupestre de España, Blo. A",R 2000 Servicios Inmobiliarios,1.527 €/m²,275.000 €,180 m²,https://www.pisos.com/comprar/casa_pareada-la_montana_cortijo_de_san_isidro-21727250593_519303/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,180 m²,120 m²,,3,3,Entre 10 y 20 años,En buen estado,4519303-000012,2,N/A,Tarima flotante,N/A,Madera,Frío y calor,Gas natural,Equipada,,2,N/A,N/A,Privado,Comunitaria,Suroeste,N/A,N/A,Pareada,,,,Entre 40 y 60 €,,,N/A,,N/A,,N/A,N/A,N/A,,N/A,N/A,,,,,
"Ático en Avenida de los Reyes Católicos, 4",INMOBILIARIA LA GOMERA S.L,2.568 €/m²,280.000 €,109 m²,https://www.pisos.com/comprar/atico-valdemoro_hospital28342-4964468330_109700/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,109 m²,,,2,2,,A estrenar,4526462-21571359,,,,,,,,,,N/A,,N/A,,,,,,,N/A,2ª,,,,N/A,,,,,,,,,,,,,,,
Apartamento en Urbanización Nuevo Versalles,COMPRARCASA MONTEMI,3.241 €/m²,188.000 €,58 m²,https://www.pisos.com/comprar/apartamento-loranca_nuevo_versalles_parque_miraflores-51717257897_100500/,Anuncio actualizado el 07/02/2025,"E, E","E, E",madrid_sur,58 m²,,,1,1,Entre 30 y 50 años,,SA357-28352-00734/3612,,,,,,,Eléctrica,,,,,N/A,N/A,Comunitaria,,,,,,1ª,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de Nazaret,PRIMER PASO INMOBILIARIA,2.578 €/m²,283.630 €,110 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-51684040258_100500/,Anuncio actualizado el 13/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,110 m²,105 m²,,4,2,Entre 30 y 50 años,En buen estado,SA4901-2025,,,,,,,,Cocina amueblada,,,,N/A,,,,,,,,2ª,N/A,Más de 100 €,,N/A,,,,,,,,,,,,,,,
Piso en Laguna Park,CASALIA.,1.704 €/m²,289.700 €,170 m²,https://www.pisos.com/comprar/piso-laguna_park28981-49238952323_524396/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,170 m²,126 m²,,3,2,Entre 10 y 20 años,En buen estado,4524396-027287,Más de 2,,,,,Frío y calor,Gas natural,,,1,,N/A,,,,,,,N/A,5ª,N/A,Entre 80 y 100 €,,,,,,,,,,N/A,,,,,,,
Piso en calle de Madrid,UNIPISO,3.106 €/m²,146.000 €,47 m²,https://www.pisos.com/comprar/piso-leganes_centro28912-49245431626_106000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,47 m²,35 m²,,1,1,Entre 30 y 50 años,,NI7-2231-V,,,Gres,,Climalit,,Eléctrica,Amueblada con electrodomésticos,,,,,,,,,,,,2ª,,,Semi amueblado,,,,,,,,,,,,Agua individual,,,,
Casa adosada en Sector III,LUNA INMOBILIARIA,2.833 €/m²,510.000 €,180 m²,https://www.pisos.com/comprar/casa_adosada-getafe_sector_iii28905-49188410546_101800/,Anuncio actualizado el 20/02/2025,"D, D","D, D",madrid_sur,180 m²,,200 m²,3,3,Entre 30 y 50 años,,IF6376-Luna1013,1,,,,,,Central,,,1,,,,,,,,Adosada,N/A,,,,,,,,,,,,,,,,,,,,
"Piso en Avenida del Caballero de la Triste Figura, 3",GESBRO,4.010 €/m²,377.000 €,94 m²,https://www.pisos.com/comprar/piso-los_molinos_los_olivos28906-4376789418_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,94 m²,,,2,2,,A estrenar,4525023-21054455,,,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,
Piso en Centro - Centro,UNIPISO,2.578 €/m²,245.000 €,95 m²,https://www.pisos.com/comprar/piso-leganes_centro28911-51763412054_106000/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,95 m²,80 m²,,3,2,Entre 30 y 50 años,,NI7-2331-V,,,Tarima flotante,,Aluminio,,N/A,Amueblada,N/A,,,N/A,,,,,,,,1ª,,,Cocina amueblada,N/A,,,,,,,,,,,Agua individual,,,,
Piso en La Fortuna,"ESTUDIO INMOBILIARIO LA FORTUNA, S.L.U.",2.277 €/m²,179.900 €,79 m²,https://www.pisos.com/comprar/piso-leganes_la_fortuna28917-50059786369_100200/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,79 m²,,,,,Más de 50 años,En buen estado,TC604-603064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Avenida de Manuel Azaña,Inmobiliaria VOhome La Gavia,1.862 €/m²,557.000 €,299 m²,https://www.pisos.com/comprar/casa_adosada-valdepelayo_montepinos_arroyo_culebro28914-48370367110_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,299 m²,,170 m²,5,4,Entre 30 y 50 años,En buen estado,SA1606-171579,1,,Gres,N/A,,,Gas natural,Cocina amueblada,,1,N/A,,,Comunitaria,Este,,,Adosada,,,,Entre 20 y 40 €,,,,,,,,,,,,,,,,,
Chalet unifamiliar en calle Pinares,INMOCASARRUBUELOS REAL STATE,1.475 €/m²,579.900 €,393 m²,https://www.pisos.com/comprar/chalet_unifamiliar-grinon_centro_urbano-47544762225_995801/,Anuncio actualizado el 20/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,393 m²,390 m²,851 m²,8,3,Entre 30 y 50 años,En buen estado,4995801-1463,Más de 2,,,,,,Gasoil,,,2,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Centro,GALAXIA SERVICIOS INMOBILIARIOS,1.198 €/m²,375.000 €,313 m²,https://www.pisos.com/comprar/chalet-parla_centro28981-50922664254_100500/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,313 m²,250 m²,,3,3,Entre 30 y 50 años,En buen estado,SA1424-ME2497,1,,Gres,N/A,,Frío,Gas natural,Cocina amueblada,,1,N/A,N/A,,,Noroeste,,,,N/A,,,,,,,,,,,,,,,,,,,,
Casa pareada en Hospital,TECNOCASA NUEVO HOSPITAL,878 €/m²,439.000 €,500 m²,https://www.pisos.com/comprar/casa_pareada-valdemoro_hospital28342-49184888474_100200/,Anuncio actualizado el 06/02/2025,"E, E","E, E",madrid_sur,500 m²,,,5,3,Entre 10 y 20 años,En buen estado,TC466-600436,1,,,,,,Central,N/A,,1,,N/A,,Propia,,,,Pareada,,,,,,,,,,,,,,,,,,,,,
Piso en Juan de la Cierva,"ESTUDIO VALENCIA, S.L.",3.000 €/m²,225.000 €,75 m²,https://www.pisos.com/comprar/piso-getafe_juan_de_la_cierva28903-48412216094_100200/,Anuncio actualizado el 20/02/2025,"G, G","G, G",madrid_sur,75 m²,,,2,1,Entre 30 y 50 años,En buen estado,TC51-598372,,,,,,N/A,Central,N/A,,,,,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de Leganés,Estudio Nuevo Getafe Centro 2024 Sl,2.800 €/m²,168.000 €,60 m²,https://www.pisos.com/comprar/piso-la_alhondiga28904-51765336974_100200/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,60 m²,,,,1,Más de 50 años,En buen estado,TC1215-609180,,,Gres,,,N/A,N/A,,,,,N/A,,,,,,,,4ª,,,,,,,,,,,,,,,,,,,
Piso en Juan de la Cierva,"ESTUDIO DESARROLLO JUAN DE LA CIERVA, S.L.",3.114 €/m²,189.990 €,61 m²,https://www.pisos.com/comprar/piso-getafe_juan_de_la_cierva28903-50090310715_100200/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_sur,61 m²,,,3,1,Más de 50 años,En buen estado,TC537-603083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Las Margaritas-Universidad,"ESTUDIO LAS MARGARITAS, S.L.",3.000 €/m²,162.000 €,54 m²,https://www.pisos.com/comprar/piso-las_margaritas_universidad28903-51740536854_100200/,Anuncio actualizado el 12/02/2025,"G, F","G, F",madrid_sur,54 m²,,,2,1,Más de 50 años,A reformar,TC68-608068,,,Gres,,,,N/A,N/A,,,,N/A,,,,,,,,3ª,,,,N/A,,N/A,,,,,,,,,,,,,
Chalet en Las Américas,CASALIA.,1.599 €/m²,399.990 €,250 m²,https://www.pisos.com/comprar/chalet-las_americas28983-50896144576_524396/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,250 m²,180 m²,,7,3,Entre 20 y 30 años,En buen estado,4524396-027293,Más de 2,,,,,Frío y calor,Gas natural,,,1,,N/A,Privado,,Oeste,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,
Casa adosada en San Benito-Soledad-Hispanidad,Estudio Seseña Ciempo SL,2.444 €/m²,220.000 €,90 m²,https://www.pisos.com/comprar/casa_adosada-san_benito_soledad_hispanidad-48370167832_100200/,Anuncio actualizado el 11/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,90 m²,,,3,1,Más de 50 años,En buen estado,TC1122-596391,,,,,,,,,,,,,,N/A,,,,Adosada,,,,,,,,,,,,,,,,,,,,,
Piso en La Fortuna,"ESTUDIO INMOBILIARIO LA FORTUNA, S.L.U.",1.162 €/m²,86.000 €,74 m²,https://www.pisos.com/comprar/piso-leganes_la_fortuna28917-50840768216_100200/,Anuncio actualizado el 05/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,74 m²,,,3,1,Más de 50 años,En buen estado,TC604-537582,,,,,,,,,,,,N/A,,,,,,,,2ª,,,,,,,,,,,,,,,,,,,
Piso en Avanzada-La Cueva,GESTION 3,2.551 €/m²,267.865 €,105 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-50925356404_500185/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,105 m²,99 m²,,4,2,Entre 30 y 50 años,En buen estado,500185-008452,,Roble,Parquet,N/A,Aluminio,Frío y calor,Central,N/A,N/A,,N/A,Abierta,,,,,,,,2ª,N/A,130,,N/A,,N/A,,,,,,N/A,,,,,,,
"Piso en calle de Móstoles, 72",Centro Comercial Inmobiliario10,2.846 €/m²,316.000 €,111 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-5185658418_109700/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,111 m²,,,3,2,,A estrenar,IF4098-CCI-022-000049227,,,,,,,,N/A,,N/A,,N/A,,,,,,,N/A,5ª,,,,,,,,,,,,,,,,,,,
Casa adosada en Avanzada-La Cueva,Fuenlabrada Gestion Inmobiliaria 2022 Sl,1.472 €/m²,530.000 €,360 m²,https://www.pisos.com/comprar/casa_adosada-avanzada_la_cueva28945-50888729367_100200/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,360 m²,,,6,,Entre 30 y 50 años,En buen estado,TC917-605606,,,Parquet,,,,,,,,,,,N/A,,,,Adosada,,,,Entre 60 y 80 €,,,,,,,,,,,,,,,,,
Piso en calle de la Ribera,TAMCASA INMOBILIARIA,2.087 €/m²,119.000 €,57 m²,https://www.pisos.com/comprar/piso-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-48371828485_103800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,57 m²,,,2,1,,,INB305-ES-Nuevoaranjuez,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Dúplex en Centro,Grupo Inmobiliario Ares,3.134 €/m²,279.000 €,89 m²,https://www.pisos.com/comprar/duplex-leganes_centro28911-50032717169_108500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,89 m²,,,2,2,,,AG610-DUP0001,N/A,,,N/A,,N/A,Eléctrica,,,,N/A,No acristalada,,,Sureste,,,,N/A,,N/A,,,N/A,,,,,,,,,N/A,,,,,,
Ático en La Tenería,GALAXIA SERVICIOS INMOBILIARIOS,2.751 €/m²,410.000 €,149 m²,https://www.pisos.com/comprar/atico-la_teneria_i_la_teneria_ii-50857250879_100500/,Anuncio actualizado el 31/01/2025,"E, E","E, E",madrid_sur,149 m²,85 m²,,4,2,Entre 20 y 30 años,En buen estado,SA1424-ME2495,1,,Gres,N/A,,Frío,Gas natural,Cocina amueblada,,1,,N/A,Comunitario,,Este,,,,N/A,4ª,N/A,Entre 60 y 80 €,,N/A,,,N/A,,,,,N/A,,,,,,,
Piso en Pintores-Ferial,INMO III,1.977 €/m²,178.000 €,90 m²,https://www.pisos.com/comprar/piso-pintores_ferial28982-51766457477_992282/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,90 m²,90 m²,,3,1,,En buen estado,4992282-R- 6471,,,Gres,,Aluminio,,Gas natural,Grandes dimensiones,N/A,,,N/A,,,,,,,,1ª,N/A,,,N/A,,N/A,,,,,,N/A,N/A,N/A,,,,,
Casa en Las Américas,REDPISO PARLA,1.541 €/m²,369.900 €,240 m²,https://www.pisos.com/comprar/casa-las_americas28983-45077563248_997672/,Anuncio actualizado el 18/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,240 m²,120 m²,,5,2,Entre 20 y 30 años,En buen estado,4997672-13448599,Más de 2,,Gres,,,,,,,1,,N/A,Privado,,Norte,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Cristina-Los Cisnes,"ESTUDIO PINTO EGIDO, S.L.",1.501 €/m²,515.000 €,343 m²,https://www.pisos.com/comprar/casa_adosada-cristina_los_cisnes-50897109769_100200/,Anuncio actualizado el 16/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,343 m²,,,5,3,Entre 20 y 30 años,Reformado,TC307-604453,,,Parquet,,,N/A,N/A,N/A,,,,,,Comunitaria,,,,Adosada,,,,,,,,,N/A,,,,,,,,,,,,
Casa en calle de la Ermita,INMOCASARRUBUELOS REAL STATE,3.125 €/m²,1.250.000 €,400 m²,https://www.pisos.com/comprar/casa-grinon_centro_urbano-45086222438_995801/,Anuncio actualizado el 06/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,400 m²,380 m²,5.128 m²,7,4,Más de 50 años,En buen estado,4995801-1455,Más de 2,,Gres,,,,Gasoil,,,Más de 2,,,Privado,Propia,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Parla Este,GALAXIA SERVICIOS INMOBILIARIOS,2.579 €/m²,356.000 €,138 m²,https://www.pisos.com/comprar/piso-parla_este28983-49229542307_100500/,Anuncio actualizado el 18/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,138 m²,92 m²,,3,2,Entre 10 y 20 años,En buen estado,SA1424-ME2486,1,,Gres,N/A,,Frío,Gas natural,Cocina amueblada,,1,N/A,N/A,Comunitario,Comunitaria,Este,,,,N/A,3ª,N/A,Más de 100 €,,N/A,,,N/A,,,,,N/A,,,,,,,
Piso en Cerro-El Molino,GESTION 3,2.313 €/m²,212.865 €,92 m²,https://www.pisos.com/comprar/piso-cerro_el_molino28943-48349685772_500185/,Anuncio actualizado el 17/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,92 m²,92 m²,,2,2,Entre 10 y 20 años,En buen estado,500185-008425,Más de 2,Lacada en blanco,Gres,,Aluminio,,Gas natural,Acceso a patio,N/A,,N/A,,,,,,,,N/A,Entresuelo,N/A,78,,N/A,Individual,N/A,,,,,,,,,,,,,
"Piso en calle del Postiguillo, 7",REALIA BUSINESS S.A.,2.653 €/m²,390.000 €,147 m²,https://www.pisos.com/comprar/piso-valdemoro_hospital28342-5160810287_109700/,Anuncio actualizado el 07/01/2025,"A, A","A, A",madrid_sur,147 m²,,,4,,,A estrenar,-99970,,,,,,,,,,N/A,,,,,,,,,N/A,1ª,,,,N/A,,,,,,,,,,,,,,,
Piso en Las Dehesillas-Vereda de los Estudiantes,C&S INMOBILIARIA,3.641 €/m²,295.000 €,81 m²,https://www.pisos.com/comprar/piso-las_dehesillas_vereda_de_los_estudiantes28914-50854158473_100500/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,81 m²,71 m²,,3,2,Entre 20 y 30 años,En buen estado,SA5124-CENTRO,1,,,,,N/A,,,,1,,N/A,,,,,,,,1ª,N/A,,,N/A,,,,,,,,,N/A,,,,,,
Chalet adosado en Laguna Park,REDPISO PARLA,2.269 €/m²,374.520 €,165 m²,https://www.pisos.com/comprar/chalet_adosado-laguna_park28981-49177077468_997672/,Anuncio actualizado el 10/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,165 m²,160 m²,,3,3,Entre 20 y 30 años,En buen estado,4997672-13448615,1,,Gres,,,,Gas natural,N/A,N/A,1,,,,Propia,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en Paseo de los Hoteles,  s/n",REGISTRO DE DEMANDANTES DE VIVIENDA Y SUELO EN COOPERATIVA,2.678 €/m²,141.977 €,53 m²,https://www.pisos.com/comprar/piso-valdemoro_centro28341-4335187551_109700/,Anuncio actualizado el 18/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,53 m²,,,1,1,,A estrenar,STD1-20925943,,,,,,,,,,N/A,,,,,,,,,N/A,Bajo,,,,N/A,,,,,,,,,,,,,,,
"Piso en calle de Móstoles, 72",Centro Comercial Inmobiliario10,2.873 €/m²,319.000 €,111 m²,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-5246981274_109700/,Anuncio actualizado el 17/02/2025,"A, A","A, A",madrid_sur,111 m²,,,3,2,,A estrenar,IF4098-CCI-022-000046514,,,,,,,,,,N/A,,N/A,,,,,,,N/A,6ª,,,,,,,,,,,,,,,,,,,
"Piso en Avenida del Caballero de la Triste Figura, 3",GESBRO,3.819 €/m²,401.000 €,105 m²,https://www.pisos.com/comprar/piso-los_molinos_los_olivos28906-4393049066_109700/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,105 m²,,,3,2,,A estrenar,4525023-21054461,,,,,,,,,,N/A,,N/A,,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,
Chalet en La Ermita,CASALIA.,1.714 €/m²,408.000 €,238 m²,https://www.pisos.com/comprar/chalet-parla_la_ermita28981-50881913570_524396/,Anuncio actualizado el 10/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,238 m²,200 m²,,6,3,Entre 30 y 50 años,En buen estado,4524396-027294,Más de 2,,Gres,,Aluminio,,Gasoil,,,2,,N/A,,,,,N/A,,,,,,,,,,,,N/A,,,,,,,,,,
Piso en San Nicasio-Campo de Tiro-Solagua,"ESTUDIO RIO DUERO, S.L.",3.122 €/m²,153.000 €,49 m²,https://www.pisos.com/comprar/piso-san_nicasio_campo_de_tiro_solagua28913-50912173508_100200/,Anuncio actualizado el 19/02/2025,"E, E","E, E",madrid_sur,49 m²,,,1,1,Más de 50 años,A estrenar,TC143-606983,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Piso en calle del Postiguillo, 7",REALIA BUSINESS S.A.,2.389 €/m²,313.000 €,131 m²,https://www.pisos.com/comprar/piso-valdemoro_hospital28342-5163696545_109700/,Anuncio actualizado el 07/01/2025,"A, A","A, A",madrid_sur,131 m²,,,2,,,A estrenar,-99970,,,,,,,,,,N/A,,,,,,,,,N/A,Bajo,,,,N/A,,,,,,,,,,,,,,,
Piso en Humanes de Madrid,GESTION 3,2.503 €/m²,267.865 €,107 m²,https://www.pisos.com/comprar/piso-humanes_de_madrid_centro_urbano-50898899711_500185/,Anuncio actualizado el 18/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,107 m²,93 m²,,3,2,Entre 20 y 30 años,En buen estado,500185-008454,Más de 2,Roble,Gres,,Aluminio,Frío y calor,Gas natural,Amueblada,Independiente,1,N/A,,,,Suroeste,,,,,2ª,N/A,70€.,,,Natural,N/A,,Cerrado,,,,N/A,,,,,N/A,,
Piso en Parque de los Estados,GESTION 3,3.145 €/m²,195.000 €,62 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-51749619556_500185/,Anuncio actualizado el 18/02/2025,"E, D","E, D",madrid_sur,62 m²,50 m²,,1,1,Entre 30 y 50 años,A estrenar,500185-008466,2,Lacadas en blanco,Porcelanico,N/A,PVC,,Eléctrica,Amueblada americana,Con cocina  americana,,N/A,,,,Suroeste,,,,,Entresuelo,N/A,"24,96",,,,N/A,,,,,,N/A,,,,,,,
Piso en Centro,GESTION 3,1.867 €/m²,199.865 €,107 m²,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente-403263031_500185/,Anuncio actualizado el 18/02/2025,"E, E","E, E",madrid_sur,107 m²,93 m²,,4,2,Entre 20 y 30 años,En buen estado,500185-004485,,Sapelly,Gres,,Aluminio,,Gas natural,N/A,Independiente,,N/A,6m² en cocina,,,Oeste,,,,numero 6,3ª,N/A,35€,,,Natural,N/A,,,,,,N/A,,,N/A,,N/A,N/A,
Casa adosada en Valdepelayo-Montepinos-Arroyo Culebro,BANCASA,1.980 €/m²,515.000 €,260 m²,https://www.pisos.com/comprar/casa_adosada-valdepelayo_montepinos_arroyo_culebro28914-50098406487_100500/,Anuncio actualizado el 07/02/2025,"F, E","F, E",madrid_sur,260 m²,,170 m²,4,3,,En buen estado,SA2661-E00165,1,,,,,N/A,,,,1,,N/A,N/A,N/A,,,,Adosada,N/A,,,,,,,,,,,,,,,,,,,,
Piso en Centro Salud,TAMCASA INMOBILIARIA,2.000 €/m²,110.000 €,55 m²,https://www.pisos.com/comprar/piso-aranjuez_centro-49180399596_103800/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,55 m²,,,1,1,,En buen estado,INB305-ES-Aranjuez-III,1,,,,,,,,,1,,,,,,,,,N/A,3ª,N/A,,,,,,,,,,,,,,,,N/A,,
Ático en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.736 €/m²,132.000 €,76 m²,https://www.pisos.com/comprar/atico-san_martin_de_la_vega_centro_urbano-49199359658_108500/,Anuncio actualizado el 30/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,76 m²,,,2,1,,,AG637-1777,N/A,,,,,N/A,Gas natural,Individual,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,
Dúplex en Getafe Norte,GESTORES Y ASESORES EN PRODUCTOS INMOBILIARIOS S.L,3.933 €/m²,653.000 €,166 m²,https://www.pisos.com/comprar/duplex-getafe_getafe_norte28903-51690162742_100500/,Anuncio actualizado el 20/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,166 m²,,,4,3,Entre 30 y 50 años,,SA814-EX04108/3763,,,,,,,Gas natural,,,1,,N/A,N/A,Comunitaria,,,,,N/A,Bajo,,Más de 100 €,,N/A,,,,,,,,,,,,,N/A,,
Casa unifamiliar en Griñón,"ESTUDIO PARQUE EUROPA 2002, S.L.U.",1.567 €/m²,450.000 €,287 m²,https://www.pisos.com/comprar/casa_unifamiliar-grinon_centro_urbano-49265345204_100200/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,287 m²,,,4,2,Entre 30 y 50 años,En buen estado,TC97-601582,,,Gres,,,,N/A,,,1,,,,N/A,,,,Unifamiliar,,,,,,,,,,,,,,,,,,,,,
Casa unifamiliar en La Ermita,"CONSULTING INMOBILIARIO PARLA SUR 2004, S.L.U.",2.320 €/m²,420.000 €,181 m²,https://www.pisos.com/comprar/casa_unifamiliar-parla_la_ermita28981-50911066841_100200/,Anuncio actualizado el 22/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,181 m²,,,,,Entre 30 y 50 años,En buen estado,TC134-605419,,,,,,,,,,,,,,,,,,Unifamiliar,,,,,,,,,,,,,,,,,,,,,
Piso en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.782 €/m²,220.998 €,124 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-49176743475_108500/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,124 m²,93 m²,,3,2,,,AG637-1765,N/A,,Tarima normal,,,N/A,N/A,Individual,,,,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,
Chalet adosado en Universidad,GESTION 3,2.353 €/m²,652.000 €,277 m²,https://www.pisos.com/comprar/chalet_adosado-vivero_hospital_universidad-21175993_500185/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,277 m²,277 m²,219 m²,4,3,,Reformado,500185-001524,Más de 2,Roble,Tarima y marmol,N/A,Aluminio climalit,Frío y calor,Individual,17m²,38m²,2,N/A,30 m² porche al jardín,N/A,Propia,Suroeste,N/A,,,,,,40€,,,Natural,,,En planta sótano,,,,,,,N/A,,,,
Piso en Getafe Norte,OhKey Servicios inmobiliarios,4.053 €/m²,458.000 €,113 m²,https://www.pisos.com/comprar/piso-getafe_getafe_norte28903-50027880139_109300/,Anuncio actualizado el 20/02/2025,"C, C","C, C",madrid_sur,113 m²,78 m²,,3,2,Entre 10 y 20 años,En buen estado,EP577-7204,N/A,,Cerámica o gress,,,,Gas natural,Independiente,,N/A,,N/A,,N/A,,,,,N/A,4ª,N/A,115,,N/A,,,,,,,,,,,,,,,
Piso en calle de la Magdalena,Cal Estudios Inmobiliarios,2.550 €/m²,242.250 €,95 m²,https://www.pisos.com/comprar/piso-san_isidro_distrito28901-50073111165_106000/,Anuncio actualizado el 12/12/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,95 m²,,,4,1,,,NI90-10323,,,,,,,,,,,,,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,
Chalet en San Martín de la Vega,Gestiones Inmobiliarias Madridsur.,1.446 €/m²,295.000 €,204 m²,https://www.pisos.com/comprar/chalet-san_martin_de_la_vega_centro_urbano-49208598837_108500/,Anuncio actualizado el 02/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,204 m²,,,4,3,,,AG637-1772,N/A,,Gres,,,N/A,Gas natural,Individual,,,,,,,Este,,,,,,,,,,,,,,,,,,,,,,,,
