nombre,agencia,precio_m2,precio,superficie,href,actualizacion,consumo,emisiones,zona,Superficie construida,Superficie útil,Superficie solar,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Armarios empotrados,Carpintería interior,Tipo suelo,Vidrios dobles,Carpintería exterior,Aire acondicionado,Calefacción,Cocina equipada,Comedor,Garaje,Puerta blindada,Terraza,Jardín,Piscina,Orientación,Urbanizado,Calle alumbrada,Tipo de casa,Trastero,Planta,Exterior,Gastos de comunidad,Amueblado,Ascensor,Gas,Portero automático,Sistema de seguridad,Lavadero,Calle asfaltada,Teléfono,Chimenea,Soleado,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Agua,Interior,Balcón,Luz,No se aceptan mascotas
Piso en Las Américas,"CONSULTING INMOBILIARIO PARLA REYES, S.L.U.",1.527 €/m²,220.000 €,144 m²,https://www.pisos.com/comprar/piso-las_americas28982-50017416654_100200/,Anuncio actualizado el 07/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,144 m²,,,3,2,Entre 20 y 30 años,En buen estado,TC308-604556,,,,,,N/A,N/A,,,1,,N/A,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
"Ático en Avenida de los Reyes Católicos, 4",INMOBILIARIA LA GOMERA S.L,Error al procesar precio m²,390.000 €,3,https://www.pisos.com/comprar/atico-valdemoro_hospital28342-4949261602_109700/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,,,,3,3,,A estrenar,4526462-0,,,,,,,,,,N/A,,N/A,,,Sur,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,
Piso en calle de Miguel de Unamuno,CME PENINSULAR,2.294 €/m²,195.000 €,85 m²,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-51735528334_526617/,Anuncio actualizado el 18/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,85 m²,80 m²,,3,1,Entre 30 y 50 años,En buen estado,4526617-000006,Más de 2,Puertas roble,Tarima flotante,,Aluminio,,Central,N/A,N/A,,N/A,,,,,,,,N/A,5ª,N/A,Entre 80 y 100 €,,N/A,,N/A,,,,N/A,,N/A,,,,,,,
Piso en Cerro-El Molino,"ESTUDIO PARQUE EUROPA 2002, S.L.U.",2.111 €/m²,149.900 €,71 m²,https://www.pisos.com/comprar/piso-cerro_el_molino28942-50900569930_100200/,Anuncio actualizado el 19/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,71 m²,,,3,1,Entre 30 y 50 años,En buen estado,TC97-606076,,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle de Fuentebella,eXp Realty,2.537 €/m²,170.000 €,67 m²,https://www.pisos.com/comprar/piso-parla_fuentebella-51679851087_100500/,Anuncio actualizado el 13/02/2025,"E, F","E, F",madrid_sur,67 m²,60 m²,,3,1,Entre 30 y 50 años,,SA3689-EXP09069/8930,,,,,,,Gas natural,,,,,N/A,N/A,,Este,,,,,3ª,,Más de 100 €,,N/A,,,,,,,,,,,N/A,,,,
Chalet en calle Cantabria,GESTIÓN INMOBILIARIA GRUPO ENCINAS,1.440 €/m²,360.000 €,250 m²,https://www.pisos.com/comprar/chalet-serranillos_del_valle_centro_urbano-45931625432_517769/,Anuncio actualizado el 10/01/2025,"D, D","D, D",madrid_sur,250 m²,248 m²,306 m²,6,3,Entre 10 y 20 años,En buen estado,4517769-3141280,Más de 2,,Gres,,PVC,Frío,Gasoil,N/A,N/A,Más de 2,N/A,N/A,Privado,,Suroeste,,N/A,,,,,,,,,,N/A,N/A,N/A,,,,,N/A,,,,,
Piso en calle de Fátima,MB Gestión Inmobiliaria -Madrid,1.883 €/m²,145.000 €,77 m²,https://www.pisos.com/comprar/piso-cerro_el_molino28943-51761064559_100500/,Anuncio actualizado el 14/02/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,77 m²,,,3,1,,En buen estado,SA200-2007,,,Gres,,,,Gas natural,,,,N/A,N/A,,,,,,,,,N/A,,,,,,,,,,,N/A,,,,,,,
"Finca rústica en Camino de la Barca, 1",ABITANDO REAL ESTATE,4 €/m²,75.000 €,16.198 m²,https://www.pisos.com/comprar/finca_rustica-olivas_vergel28312-41691054230_518502/,Anuncio actualizado el 24/01/2025,Error al procesar consumo,Error al procesar emisiones,madrid_sur,16.198 m²,,16.198 m²,,,,En buen estado,518502-M3004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Nuevo Aranjuez-Ciudad de las Artes-El Mirador,ARANDOMUS,1.778 €/m²,249.000 €,140 m²,https://www.pisos.com/comprar/piso-nuevo_aranjuez_ciudad_de_las_artes_el_mirador-51745860708_108500/,Anuncio actualizado el 05/02/2025,"E, E","E, E",madrid_sur,140 m²,,,4,2,,,KI258-ADV0012,N/A,,,,,N/A,Eléctrica,,,,N/A,,,,Oeste,,,,,,N/A,,N/A,N/A,,,,,,,,,,,,,,,
Piso en calle del Pintor Rafael Botí,Aliseda Inmobiliaria,1.000 €/m²,63.000 €,63 m²,https://www.pisos.com/comprar/piso-san_martin_de_la_vega_centro_urbano-41690113309_105900/,Anuncio actualizado el 21/11/2024,Error al procesar consumo,Error al procesar emisiones,madrid_sur,63 m²,,,3,1,,,AN1-ANT00030670840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
