nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
Apartamento en Fuente el Saz de Jarama,Engel & Völkers Madrid,1.322 €/m²,250.000 €,189 m²,28059,https://www.pisos.com/comprar/apartamento-fuente_el_saz_de_jarama_centro_urbano-47529997413_101800/,2025-01-07,Error al procesar consumo,Error al procesar emisiones,189 m²,,3,2,,Entre 30 y 50 años,,IF77045-I-00YN46-W-02X2AH,,1,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en  Gargantilla del Lozoya,Sierranorte2010,1.365 €/m²,258.000 €,189 m²,28063,https://www.pisos.com/comprar/chalet_unifamiliar-gargantilla_de_lozoya-39227821672_996287/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,189 m²,189 m²,3,2,,Entre 30 y 50 años,,996287-000129,,Más de 2,,Gasoil,1,Este,4.400 m²,,,,,En buen estado,,Independientedente,Privado,,,Climalit,N/A,,,,,,,,,,,,,,,,,,
Apartamento en El Soto de la Moraleja,Engel & Völkers Madrid,10.036 €/m²,1.375.000 €,137 m²,28904,https://www.pisos.com/comprar/apartamento-el_soto_de_la_moraleja28109-50880779731_101800/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,137 m²,,3,3,,Entre 30 y 50 años,,IF77045-I-00YZN7-W-02YCX6,,1,,,1,,,,,,,,,N/A,Privado,N/A,Propia,,,,,,,,,,,,,N/A,,,,,,,
Chalet en calle de Manolo Vázquez,CASA 10 ASESORES,1.954 €/m²,520.000 €,266 m²,28067,https://www.pisos.com/comprar/chalet-guadalix_de_la_sierra_centro_urbano-41743140393_100500/,2025-02-17,Error al procesar consumo,Error al procesar emisiones,266 m²,,4,2,,Entre 20 y 30 años,,SA3768-200136,,1,,,,,503 m²,,,,N/A,En buen estado,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
"Casa adosada en calle de las Cuatro Peñas,  s/n",FORO CONSULTORES INMOBILIARIOS,2.559 €/m²,519.600 €,203 m²,28082,https://www.pisos.com/comprar/casa_adosada-manzanares_el_real_centro_urbano-48410563993_109700/,2025-01-02,Error al procesar consumo,Error al procesar emisiones,203 m²,,4,4,,,,FP2-79941,,,,,,,,Adosada,,,,A estrenar,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Valdeolmos,CONSULTING INMOBILIARIO C Y H,4.189 €/m²,310.000 €,74 m²,28162,https://www.pisos.com/comprar/casa-valdeolmos-35870222344_106700/,2024-12-20,Error al procesar consumo,Error al procesar emisiones,74 m²,74 m²,,,,Más de 50 años,,IFC76289-004137,,,,,,,336 m²,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Casona,PORTAL 10 SOLUCIONES INMOBILIARIAS,3.601 €/m²,425.000 €,118 m²,28097,https://www.pisos.com/comprar/chalet-navarredonda_y_san_mames_navarredonda-48424052239_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,118 m²,110 m²,3,2,,Entre 10 y 20 años,,SA5582-280824P10LRC/11764,N/A,1,,Eléctrica,,Noreste,150 m²,,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,
Casa pareada en Patones,Estudio Residencial El Casar Sl,1.751 €/m²,239.990 €,137 m²,28107,https://www.pisos.com/comprar/casa_pareada-patones_centro_urbano-51725663693_100200/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,137 m²,,3,3,,Entre 20 y 30 años,,TC1037-608161,,,,,,,,Pareada,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle de la Reguera,Cal Estudios Inmobiliarios,492 €/m²,35.000 €,71 m²,28182,https://www.pisos.com/comprar/casa-villavieja_del_lozoya_centro_urbano-43363379421_106000/,2025-02-04,Error al procesar consumo,Error al procesar emisiones,71 m²,,2,1,,,,NI90-10121,,,,,,,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa pareada en Pinilla del Valle,Sierranorte2010,802 €/m²,134.000 €,167 m²,28112,https://www.pisos.com/comprar/casa_pareada-pinilla_del_valle_centro_urbano-36677661584_996287/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,167 m²,167 m²,6,2,,,,996287-000109,,,,,,Sur,,Pareada,,,,A reformar,,,,,,,,,,,,,,,,N/A,N/A,,,,,,,,
Chalet en Gargantilla del Lozoya,Sierranorte2010,761 €/m²,32.000 €,42 m²,28063,https://www.pisos.com/comprar/chalet-gargantilla_de_lozoya-5062129763_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,42 m²,,1,1,,,,IF7087-GARGANTILLA_GARAJE,,,,,1,,42 m²,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estudio en calle de Fuente Grande,PORTAL 10 SOLUCIONES INMOBILIARIAS,1.600 €/m²,120.000 €,75 m²,28030,https://www.pisos.com/comprar/estudio-la_cabrera_centro_urbano-48413148462_100500/,2025-02-15,Error al procesar consumo,Error al procesar emisiones,75 m²,70 m²,2,1,Bajo,Entre 30 y 50 años,,SA5582-081024-LOC-CABRERA/11764,,,,Eléctrica,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,,
Casa en Valdeolmos,CONSULTING INMOBILIARIO C Y H,Error al procesar precio m²,1.140.000 €,16.640 m²,28162,https://www.pisos.com/comprar/casa-valdeolmos-35887433404_106700/,2025-01-04,Error al procesar consumo,Error al procesar emisiones,,,,,,,,IFC76289-004082,,,,,,,16.640 m²,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en calle Granados,eXp Realty,2.768 €/m²,299.000 €,108 m²,28164,https://www.pisos.com/comprar/chalet-valdetorres_de_jarama_centro_urbano28150-45845717464_100500/,2025-01-23,"F, E","F, E",108 m²,95 m²,3,1,,Entre 30 y 50 años,,SA3689-EXP07744/8930,,,,,1,,2.499 m²,,N/A,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,,,,,,,,,,,
"Piso en Carretera de Fuencarral, 56",Homevitae Madrid,2.933 €/m²,220.000 €,75 m²,28006,https://www.pisos.com/comprar/piso-alcobendas_valdelacasa-51672986981_523805/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,75 m²,65 m²,1,1,3ª,Entre 10 y 20 años,Entre 60 y 80 €,4523805-000043,,,Tarima flotante,Eléctrica,1,Este,,,,,,En buen estado,Frío y calor,N/A,,,,,,N/A,N/A,,,,,N/A,,,,N/A,,,N/A,PVC,,N/A,
"Piso en calle de la Corredera, 3","IMPACT HOMES, S.L.",2.890 €/m²,398.900 €,138 m²,28045,https://www.pisos.com/comprar/piso-colmenar_viejo_el_mirador-4892847588_109700/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,138 m²,,2,2,,,,4992497-CC,,,,,N/A,,,,,,N/A,A estrenar,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Apartamento en Rosa Luxemburgo-Padrerón-Polígono Industrial Norte,Engel & Völkers Madrid,2.905 €/m²,340.000 €,117 m²,28134,https://www.pisos.com/comprar/apartamento-rosa_luxemburgo_padreron_poligono_industrial_norte-47584376722_101800/,2025-01-17,Error al procesar consumo,Error al procesar emisiones,117 m²,,4,2,,Entre 30 y 50 años,,IF77045-I-00YKWB-W-02V3L1,,,,Central,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Cobeña,SAFTI ESPAÑA,1.904 €/m²,459.000 €,241 m²,28041,https://www.pisos.com/comprar/casa_adosada-cobena_centro_urbano-51675380363_100500/,2025-02-11,"E, E","E, E",241 m²,170 m²,3,2,,Entre 30 y 50 años,,SA3541-REF_32650,,,,Gasoil,Más de 2,,,Adosada,,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en calle de San Vicente,INSOL TORRELAGUNA SIGLO XXI SL,1.071 €/m²,90.000 €,84 m²,28151,https://www.pisos.com/comprar/casa_adosada-torrelaguna_centro_urbano-48364244149_515809/,2025-01-03,Error al procesar consumo,Error al procesar emisiones,84 m²,84 m²,1,1,,Más de 50 años,,515809-2335,,,Gres,Eléctrica,,Este,43 m²,Adosada,,N/A,,A reformar,Frío y calor,N/A,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,Aluminio,,,
Loft en Vega de la Moraleja,Engel & Völkers Madrid,3.108 €/m²,230.000 €,74 m²,28134,https://www.pisos.com/comprar/loft-vega_de_la_moraleja-47504880798_101800/,2025-01-03,Error al procesar consumo,Error al procesar emisiones,74 m²,,1,1,,Entre 10 y 20 años,,IF77045-I-00YN3L-W-02V3SS,,,,Central,1,,,,,,N/A,,,,,,Propia,,,,,,,,,,,,,N/A,,,,,,,
Casa rústica en San Agustín del Guadalix,SAFTI ESPAÑA,2.577 €/m²,397.000 €,154 m²,28129,https://www.pisos.com/comprar/casa_rustica-san_agustin_del_guadalix_centro_urbano-49182478494_100500/,2025-01-27,"E, F","E, F",154 m²,104 m²,3,2,,Entre 30 y 50 años,,SA3541-REF_32006,,,,Gasoil,1,Oeste,,Rústica,,,N/A,,,,,,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en calle de los Olivos,HOGALIA Madrid,658 €/m²,385.000 €,585 m²,28059,https://www.pisos.com/comprar/chalet-fuente_el_saz_de_jarama_centro_urbano-40838668845_100500/,2024-09-13,Error al procesar consumo,Error al procesar emisiones,585 m²,483 m²,5,3,,Entre 30 y 50 años,Entre 40 y 60 €,SA323-FHOG-2217,,1,,,,,585 m²,,,,N/A,En buen estado,,Cocina amueblada,Privado,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Sur,ALFA COLMENAR,2.371 €/m²,460.000 €,194 m²,28045,https://www.pisos.com/comprar/casa_adosada-el_olivar_la_magdalena-51748605775_101000/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,194 m²,,3,3,,,,AF41-99/5779,,,,,,,,Adosada,,,60,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,
Casa unifamiliar en Soto del Real,Estudio Inmobiliario Colmenar Norte Sl,1.304 €/m²,690.000 €,529 m²,28144,https://www.pisos.com/comprar/casa_unifamiliar-soto_del_real_centro_urbano-49184968938_100200/,2025-01-24,"E, E","E, E",529 m²,,,2,,Más de 50 años,,TC903-600031,,,,N/A,1,,,Unifamiliar,,,N/A,En buen estado,,,Privado,,,,,,,,,,,,,,,,,,,,,,
Chalet en Horcajuelo de La Sierra,Sierranorte2010,367 €/m²,39.000 €,106 m²,28071,https://www.pisos.com/comprar/chalet-horcajuelo_de_la_sierra_centro_urbano-25025176616_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,106 m²,,1,1,,,,IF7087-HORCAJUELO_CASONA,,,,,,Sur,,,,,,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Soto del Real,Gilmar Villalba,2.977 €/m²,1.450.000 €,487 m²,28144,https://www.pisos.com/comprar/chalet-soto_del_real_centro_urbano-51673872774_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,487 m²,,4,3,,,,GM13-200872,,,,,1,,962 m²,,,,,,,,N/A,,N/A,,,,,,,,,,,,,,,,,,,,
Piso en El Mirador,Estudio Inmobiliario Colmenar Norte Sl,2.325 €/m²,399.900 €,172 m²,28045,https://www.pisos.com/comprar/piso-colmenar_viejo_el_mirador-50049449439_100200/,2024-12-10,"E, E","E, E",172 m²,,,2,,Entre 20 y 30 años,,TC903-602329,,,,,,,,,,,N/A,En buen estado,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Algete,PISOS Y SEGUROS.COM,1.975 €/m²,395.000 €,200 m²,28009,https://www.pisos.com/comprar/casa_adosada-algete_centro_urbano-50078856085_100500/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,200 m²,,3,3,,,Entre 60 y 80 €,SA1435-01591/5089,,1,,Gas natural,1,,,Adosada,,,N/A,,,,N/A,,Comunitaria,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Talamanca de Jarama,ATIKA - El Molar,1.923 €/m²,350.000 €,182 m²,28145,https://www.pisos.com/comprar/chalet_unifamiliar-talamanca_del_jarama-32565408343_197600/,2025-02-20,"E, E","E, E",182 m²,149 m²,4,2,,Entre 30 y 50 años,,1976-6645,,Más de 2,Terrazo,Gasoil,1,,979 m²,,,N/A,N/A,En buen estado,,N/A,Privado,,,,N/A,,,,,,,,,,,,N/A,,,Aluminio,,,
Apartamento en Valdelasfuentes-Norte,Engel & Völkers Madrid,6.144 €/m²,510.000 €,83 m²,28006,https://www.pisos.com/comprar/apartamento-valdelasfuentes_norte28100-51715017804_101800/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,83 m²,,2,2,4ª,Entre 20 y 30 años,,IF77045-I-00Z0FQ-W-02YN1A,,1,,Central,1,,,,,,,,,,,N/A,Propia,,,,,,,,,,,,,N/A,,,,,,,
Piso en calle del Capitán Gómez Pinto,Aliseda Inmobiliaria,1.847 €/m²,218.000 €,118 m²,28045,https://www.pisos.com/comprar/piso-colmenar_viejo_centro-42514287185_107000/,2024-05-08,Error al procesar consumo,Error al procesar emisiones,118 m²,,2,2,,,,AS1-ALI0000139295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Ciudalcampo-Fuente del Fresno,Engel & Völkers Madrid,1.956 €/m²,2.450.000 €,1.252 m²,28134,https://www.pisos.com/comprar/casa-ciudalcampo_fuente_del_fresno28708-51678841488_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,1.252 m²,,8,6,,Más de 50 años,,IF77045-I-00Z13O-W-02YASV,,1,,Central,1,,4.000 m²,,,,N/A,,,,Privado,N/A,Propia,,,,,,,N/A,,,,,,,,,,,,,
Loft en Vega de la Moraleja,Engel & Völkers Madrid,2.470 €/m²,210.000 €,85 m²,28134,https://www.pisos.com/comprar/loft-vega_de_la_moraleja-45903932115_101800/,2024-12-10,"E, D","E, D",85 m²,,1,1,,Entre 10 y 20 años,,IF77045-I-00YHOE-W-02WLP9,,,,Central,1,,,,,,,,,,,,Propia,,,,,,,,,,,,,N/A,,,,,,,
Casa pareada en Avenida de Madrid,INSOL TORRELAGUNA SIGLO XXI SL,1.093 €/m²,398.000 €,364 m²,28107,https://www.pisos.com/comprar/casa_pareada-patones_centro_urbano-44227705339_515809/,2024-12-08,Error al procesar consumo,Error al procesar emisiones,364 m²,141 m²,8,3,,Más de 50 años,,515809-2304,,,Gres,Gasoil,Más de 2,,529 m²,Pareada,,N/A,,En buen estado,,N/A,Privado,,Propia,,N/A,,,,N/A,N/A,,,,N/A,N/A,,,,,Aluminio,,,
Casa pareada en Cobeña,PISOS Y SEGUROS.COM,1.698 €/m²,474.000 €,279 m²,28041,https://www.pisos.com/comprar/casa_pareada-cobena_centro_urbano-48431686309_100500/,2025-02-06,Error al procesar consumo,Error al procesar emisiones,279 m²,225 m²,7,3,,,,SA1435-01454/5089,,1,,Gas natural,1,Norte,,Pareada,,,N/A,,N/A,,N/A,N/A,Propia,,,,,,,,,,,,,,,,,,,,
Casa en Miraflores de La Sierra,Engel & Völkers Madrid,2.436 €/m²,670.000 €,275 m²,28085,https://www.pisos.com/comprar/casa-miraflores_de_la_sierra_centro_urbano-45893153008_101800/,2024-07-18,Error al procesar consumo,Error al procesar emisiones,275 m²,,4,2,,Menos de 5 años,,IF77045-I-00YGO6-W-02VR8F,,1,,Central,1,,1.000 m²,,,,N/A,,,N/A,Privado,,,,,,,,,,,,,,,,,,,,,,
Loft en Zona Industrial,Engel & Völkers Madrid,3.055 €/m²,275.000 €,90 m²,28903,https://www.pisos.com/comprar/loft-tres_cantos_zona_industrial-51678971931_101800/,2025-02-03,"D, C","D, C",90 m²,,1,1,4ª,,,IF77045-I-00YZII-W-02YCH7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Casa rústica en San Agustín del Guadalix,Engel & Völkers Madrid,2.745 €/m²,549.000 €,200 m²,28129,https://www.pisos.com/comprar/casa_rustica-san_agustin_del_guadalix_centro_urbano-40894735659_101800/,2024-07-24,Error al procesar consumo,Error al procesar emisiones,200 m²,,4,2,,Entre 10 y 20 años,,IF77045-I-00XMGM-W-02TGV9,,1,,Central,1,,,Rústica,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Chalet unifamiliar en Carretera Silillos,VISTA HOMES,3.491 €/m²,419.000 €,120 m²,28164,https://www.pisos.com/comprar/chalet_unifamiliar-valdetorres_de_jarama_centro_urbano28150-49175680731_522706/,2025-01-29,Error al procesar consumo,Error al procesar emisiones,120 m²,96 m²,4,2,,Entre 30 y 50 años,,4522706-VIS-366,,Más de 2,Gres,Gasoil,Más de 2,,2.800 m²,,,,,En buen estado,,,Privado,,Propia,,N/A,,,,N/A,,,,,N/A,N/A,,,,,Aluminio,,,
Apartamento en La Moraleja,Engel & Völkers Madrid,6.837 €/m²,1.600.000 €,234 m²,28904,https://www.pisos.com/comprar/apartamento-la_moraleja_distrito28109-51761944334_101800/,2025-02-03,Error al procesar consumo,Error al procesar emisiones,234 m²,,4,3,1ª,Menos de 5 años,,IF77045-I-00YZD1-W-02Y4QD,,,,,1,,,,,,N/A,,,,,,Propia,,,,,,,,,,,,,N/A,,,,,,,
Piso en Vega de la Moraleja,Altor Asesores,3.187 €/m²,255.000 €,80 m²,28134,https://www.pisos.com/comprar/piso-vega_de_la_moraleja-44196738096_108900/,2024-09-18,Error al procesar consumo,Error al procesar emisiones,80 m²,55 m²,1,1,4ª,,Más de 100 €,XA491-3897,,,,,,,,,N/A,,,En buen estado,,,,,Comunitaria,,,,,,,,,N/A,,,,2,,,,,,,
Chalet en La Serna del Monte,Sierranorte2010,415 €/m²,250.000 €,601 m²,28138,https://www.pisos.com/comprar/chalet-la_serna_del_monte_centro_urbano-14229811925_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,601 m²,,1,1,,,,IF7087-LA SERNA_PL12,,,,,,A la montaña,,,,,,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en Gargantilla de Lozoya,Sierranorte2010,728 €/m²,78.000 €,107 m²,28063,https://www.pisos.com/comprar/casa-gargantilla_de_lozoya-25009624500_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,107 m²,,1,1,,,,IF7087-GARGANTILLA_PAJAR,,,,,,A la montaña,266 m²,,,,,A reformar,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Cañada de Guadalajara S/N,PISOS Y SEGUROS.COM,830 €/m²,349.000 €,420 m²,28041,https://www.pisos.com/comprar/casa-cobena_centro_urbano-49233712130_100500/,2025-01-09,Error al procesar consumo,Error al procesar emisiones,420 m²,290 m²,5,2,,Entre 30 y 50 años,,SA1435-01568/5089,,1,Gres,N/A,1,,15.000 m²,,,,N/A,,,,N/A,,,,N/A,,,,,,,,,,,,,,,,,,
Casa en Paredes de Buitrago,Sierranorte2010,450 €/m²,32.000 €,71 m²,28902,https://www.pisos.com/comprar/casa-paredes_de_buitrago-32522162246_996287/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,71 m²,60 m²,3,1,,,,996287-000072,,,,,,,,,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Apartamento en calle de la Cruz,ATIKA - El Molar,2.580 €/m²,129.000 €,50 m²,28086,https://www.pisos.com/comprar/apartamento-el_molar_el_molar-51667661860_197600/,2025-02-20,"E, E","E, E",50 m²,50 m²,1,1,Bajo,Menos de 5 años,,1976-6763,Totalmente amueblado,Empotrados,Parquet,Gas propano,N/A,,,,,Salon,,En buen estado,,Independiente amueblada con electrodomesticos,,N/A,,Climalit,,,N/A,,,,,N/A,,,,,,N/A,N/A,Aluminio,Roble,N/A,
"Chalet en Avenida de Miraflores de la Sierra, 2",BROSH,2.423 €/m²,635.000 €,262 m²,28085,https://www.pisos.com/comprar/chalet-miraflores_de_la_sierra_centro_urbano-4755756802_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,262 m²,,4,4,,,,4525022-21377987,,,,,N/A,,,,,,N/A,A estrenar,,,Privado,,,,,,,,,,,,,,,,,,,,,,
Finca rústica en calle de Valdepiélagos,AMAVENTO,30 €/m²,1.290.000 €,4.092 m²,28145,https://www.pisos.com/comprar/finca_rustica-talamanca_de_jarama_centro_urbano-49201614673_411000/,2025-02-14,Error al procesar consumo,Error al procesar emisiones,4.092 m²,4.092 m²,10,12,,,,4110-072730,,Más de 2,,Gasoil,Más de 2,,41.787 m²,,,N/A,N/A,En buen estado,Frío y calor,N/A,,,,N/A,N/A,,N/A,,N/A,,,,,N/A,N/A,,N/A,,,Aluminio-madera,N/A,,
Casa adosada en Pedrezuela,Estudio Pueblos Del Norte Sl,2.000 €/m²,350.000 €,175 m²,28108,https://www.pisos.com/comprar/casa_adosada-pedrezuela_centro_urbano-51694691047_100200/,2025-02-12,Error al procesar consumo,Error al procesar emisiones,175 m²,,3,3,,Entre 10 y 20 años,,TC1208-608781,,,,,,,,Adosada,,,,En buen estado,,,,,,,,,,,,,,,,,,,,,,,,,
Casa en calle Real,Sierranorte2010,238 €/m²,38.000 €,159 m²,28070,https://www.pisos.com/comprar/casa-aoslos-50929559505_996287/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,159 m²,159 m²,3,1,,,,996287-000205,,,,,,Sur,113 m²,,,,,A reformar,,,,,,,,,,,N/A,,,,,,N/A,,,,,,,,
Chalet unifamiliar en calle Cantarranas,Sierranorte2010,1.436 €/m²,270.000 €,188 m²,28024,https://www.pisos.com/comprar/chalet_unifamiliar-braojos_centro_urbano-50926877969_996287/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,188 m²,188 m²,3,2,,Entre 30 y 50 años,,996287-000207,Semi amueblada,Más de 2,Terrazo,Gasoil,,,,,,,N/A,En buen estado,,Independiente,Privado,N/A,,,Cassette,,,,,,,,,,,,,,,Aluminio,,,
Loft en Ciudalcampo-Fuente del Fresno,Engel & Völkers Madrid,4.573 €/m²,375.000 €,82 m²,28134,https://www.pisos.com/comprar/loft-ciudalcampo_fuente_del_fresno28703-38427177569_101800/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,82 m²,,1,1,,Entre 10 y 20 años,,IF77045-I-00UYV9-W-02IGPG,,,,Central,,,,,,,N/A,,,N/A,,,Propia,,,,,,,,,,,,,N/A,,,,,,,
Casa en Encinar de los Reyes,Engel & Völkers Madrid,5.266 €/m²,1.580.000 €,300 m²,28904,https://www.pisos.com/comprar/casa-la_moraleja_encinar_de_los_reyes28055-48367423085_101800/,2024-10-25,Error al procesar consumo,Error al procesar emisiones,300 m²,,5,4,,Entre 20 y 30 años,,IF77045-I-00YR1T-W-02W8BP,,1,,Central,1,,175 m²,,,,,,,N/A,Privado,N/A,Propia,,,,,,,N/A,,,,,,,,,,,,,
Piso en Navalafuente,Sycasa inmobiliaria,1.707 €/m²,140.000 €,82 m²,28094,https://www.pisos.com/comprar/piso-navalafuente_centro_urbano-51761365284_100500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,82 m²,72 m²,2,1,2ª,Entre 20 y 30 años,Entre 60 y 80 €,SA3660-RU-2525,,1,,,,Norte,,,,,,En buen estado,,,,,,,,,,,,,,N/A,,,,N/A,,,,,,,
Piso en calle del Tesoro,Cal Estudios Inmobiliarios,2.200 €/m²,220.000 €,100 m²,28009,https://www.pisos.com/comprar/piso-algete_centro_urbano-50891542744_106000/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,100 m²,,3,1,1ª,,,NI90-10358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en La Cabrera,Sierranorte2010,1.789 €/m²,213.000 €,119 m²,28030,https://www.pisos.com/comprar/piso-la_cabrera_centro_urbano-30016310372_996287/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,119 m²,111 m²,3,1,2ª,,,996287-000037,,Más de 2,Gres,Eléctrica,1,,,,,,N/A,En buen estado,,Con terraza cubierta,,,,,,,N/A,N/A,,,,N/A,,,,,,,N/A,Aluminio,,,
Ático en Encinar de los Reyes,Engel & Völkers Madrid,5.944 €/m²,1.385.000 €,233 m²,28904,https://www.pisos.com/comprar/atico-la_moraleja_encinar_de_los_reyes28055-51677133723_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,233 m²,,3,3,2ª,Entre 20 y 30 años,,IF77045-I-00Z0D0-W-02YDBI,,1,,Central,1,,,,,,,,,N/A,,N/A,Propia,,,,,,,,,,,,,N/A,,,,,,,
Piso en Manzanares El Real,Gilmar Villalba,2.578 €/m²,165.000 €,64 m²,28082,https://www.pisos.com/comprar/piso-manzanares_el_real_zona_de_la_ermita-51671591805_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,64 m²,,1,1,,,,GM13-204943,,,,,1,,,,,,2,,,,,N/A,N/A,,,,,,,,,Exterior,,,,,,,,,,,
Casa en Ciudalcampo-Fuente del Fresno,Engel & Völkers Madrid,3.929 €/m²,2.790.000 €,710 m²,28134,https://www.pisos.com/comprar/casa-ciudalcampo_fuente_del_fresno28707-38405816981_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,710 m²,,5,6,,Menos de 5 años,,IF77045-I-00XNAS-W-02TUN5,,1,,Central,1,A la montaña,2.528 m²,,,,N/A,,,N/A,Privado,,Propia,,,,,,,,,,,,,,,,,,,,
Casa en calle Camino de Hoyarrasa,Engel & Völkers Madrid,5.088 €/m²,2.890.000 €,568 m²,28904,https://www.pisos.com/comprar/casa-la_moraleja_distrito28109-44211471560_101800/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,568 m²,,5,4,,Entre 30 y 50 años,,IF77045-I-00Y7XC-W-02VMLT,,,,,1,,1.837 m²,,,,N/A,,,,Privado,,Propia,,,,,,,,,,,,,,,,,,,,
Casa en Ciudalcampo-Fuente del Fresno,Engel & Völkers Madrid,2.659 €/m²,1.170.000 €,440 m²,28134,https://www.pisos.com/comprar/casa-ciudalcampo_fuente_del_fresno28707-50859261631_101800/,2025-01-10,"A, A","A, A",440 m²,,6,5,,Entre 20 y 30 años,,IF77045-I-00YXBA-W-02WVFV,,1,,Central,1,,2.425 m²,,,,N/A,,,,Privado,N/A,Propia,,,,,,,,,,,,,,,,,,,,
Apartamento en Arroyos y Tempranales,Engel & Völkers Madrid,5.958 €/m²,435.000 €,73 m²,28134,https://www.pisos.com/comprar/apartamento-arroyos_y_tempranales28702-50880970866_101800/,2025-02-13,"F, E","F, E",73 m²,,2,1,3ª,Entre 20 y 30 años,,IF77045-I-00YYT1-W-02YBN7,,,,Central,1,,,,,,N/A,,,,,N/A,,,,,,,,,,,,,,,,,,,,,
Casa adosada en Fuente el Saz de Jarama,Engel & Völkers Madrid,1.600 €/m²,477.000 €,298 m²,28059,https://www.pisos.com/comprar/casa_adosada-fuente_el_saz_de_jarama_centro_urbano-38364840984_101800/,2024-05-21,Error al procesar consumo,Error al procesar emisiones,298 m²,,5,3,,Entre 10 y 20 años,,IF77045-I-00WQ8M-W-02P3AJ,,1,,Central,1,,363 m²,Adosada,,,N/A,,,N/A,Privado,N/A,,,,,,,,,,,,,,,,,,,,,
