nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Superficie útil,Habitaciones,Baños,Planta,Antigüedad,Gastos de comunidad,Referencia,Amueblado,Armarios empotrados,Tipo suelo,Calefacción,Garaje,Orientación,Superficie solar,Tipo de casa,Agua,Comedor,Terraza,Conservación,Aire acondicionado,Cocina equipada,Jardín,Trastero,Piscina,Vidrios dobles,Chimenea,Sistema de seguridad,Puerta blindada,Balcón,Urbanizado,Lavadero,Teléfono,Exterior,Interior,Calle alumbrada,Calle asfaltada,Ascensor,Adaptado a personas con movilidad reducida,Se aceptan mascotas,Soleado,Carpintería exterior,Carpintería interior,Portero automático,Gas
Chalet en Ciudalcampo,JAIME VALCARCE CONSULTING INMOBILAIRIO,3.373 €/m²,1.400.000 €,415 m²,28045,https://www.pisos.com/comprar/chalet-las_vegas_el_pozanco_adelfillas-50053260658_101800/,2025-02-20,"C, C","C, C",415 m²,,5,6,,Entre 30 y 50 años,,IF5271-301,,1,,Gas natural,1,Suroeste,2.843 m²,,,,N/A,A reformar,Frío,N/A,,N/A,Propia,,,,,,,N/A,,,,,,,,,,,,,
Casa adosada en Valdeolmos,INMOBILIARIA TECNICA NORTE PASARELA,2.461 €/m²,320.000 €,130 m²,28162,https://www.pisos.com/comprar/casa_adosada-valdeolmos-49184640705_106700/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,130 m²,120 m²,4,3,,,,IFC76153-1792TN,,,,,,,130 m²,Adosada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en Ciudalcampo,JAIME VALCARCE CONSULTING INMOBILAIRIO,4.319 €/m²,2.190.000 €,507 m²,28045,https://www.pisos.com/comprar/chalet-las_vegas_el_pozanco_adelfillas-50091478219_101800/,2025-02-20,"A, A","A, A",507 m²,,6,6,,Entre 5 y 10 años,,IF5271-300,,1,,Gas natural,1,,2.840 m²,,,,N/A,En buen estado,Frío,N/A,,N/A,Propia,,,,,,,N/A,,,,,,,,,,,,,
Chalet en calle Roble,BREM GLOBAL INMOBILIARIA,1.993 €/m²,295.000 €,148 m²,28030,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-45838528916_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,148 m²,,4,2,,,,SA5479-101437030/11756,,1,,,,,620 m²,,,,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
Casa en Lozoya,INMOBOULEVARD,1.403 €/m²,480.000 €,342 m²,28076,https://www.pisos.com/comprar/casa-lozoya_centro_urbano-39244475240_996152/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,342 m²,1 m²,,6,,Más de 50 años,,4996152-PKR38855,,,,,,,171 m²,,,N/A,N/A,A reformar,Frío y calor,N/A,,,,,,,,,N/A,N/A,,,,N/A,N/A,,,,,,,,
Chalet en Ciudalcampo-Fuente del Fresno,Bek Properties,3.020 €/m²,1.450.000 €,480 m²,28134,https://www.pisos.com/comprar/chalet-ciudalcampo_fuente_del_fresno28707-48359256721_108500/,2025-02-13,Error al procesar consumo,Error al procesar emisiones,480 m²,450 m²,4,7,,,,AG38-cha0320,,N/A,Ceramica,Gas natural,,Sur,,,,,No acristalada,,N/A,Individual,N/A,N/A,Privada,N/A,N/A,,N/A,,,,,,,,,,,,,,,,
Casa pareada en El Vellón,Estudio Inmobiliario San Agustin De Guadalix Sl,1.941 €/m²,330.000 €,170 m²,28168,https://www.pisos.com/comprar/casa_pareada-el_vellon_centro_urbano-45056031237_100200/,2024-12-05,Error al procesar consumo,Error al procesar emisiones,170 m²,,3,3,,Entre 10 y 20 años,Entre 80 y 100 €,TC930-584816,,,Gres,,1,,,Pareada,,,,En buen estado,,N/A,,,Comunitaria,,,,,,,,,,,,,,,,,,,,
"Chalet en Avenida de Miraflores de la Sierra, 2",BROSH,2.509 €/m²,660.000 €,263 m²,28085,https://www.pisos.com/comprar/chalet-miraflores_de_la_sierra_centro_urbano-5216480015_109700/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,263 m²,,4,4,,,,4525022-21769820,,,,,N/A,,,,,,N/A,A estrenar,,,Privado,,,,,,,,,,,,,,,,,,,,,,
Casa adosada en calle de Hontanilla,ALFA SIERRA NORTE,1.195 €/m²,239.000 €,200 m²,28030,https://www.pisos.com/comprar/casa_adosada-la_cabrera_centro_urbano-41705505215_101000/,2025-02-11,Error al procesar consumo,Error al procesar emisiones,200 m²,,2,3,,,,AF189-2216/36,,Más de 2,,,,,,Adosada,,,15,,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,
Chalet en Carretera de Valdemanco,BREM GLOBAL INMOBILIARIA,1.363 €/m²,409.000 €,300 m²,28030,https://www.pisos.com/comprar/chalet-la_cabrera_centro_urbano-45920164538_100500/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,300 m²,,4,2,,,,SA5479-98826364/11756,,1,,,,,1.600 m²,,,,N/A,,,,N/A,N/A,,,,,,,,,,,,,,,,,,,,,
