nombre,agencia,precio_m2,precio,superficie,codigo_postal,href,actualizacion,consumo,emisiones,Superficie construida,Habitaciones,Baños,Antigüedad,Conservación,Referencia,Tipo suelo,Aire acondicionado,Calefacción,Ascensor,Superficie útil,Gastos de comunidad,Amueblado,Armarios empotrados,Puerta blindada,Terraza,Orientación,Planta,Exterior,Cocina equipada,Comedor,Trastero,Portero automático,Soleado,Garaje,Vidrios dobles,Agua,Interior,Piscina,Carpintería interior,Carpintería exterior,Gas,Lavadero,Sistema de seguridad,Adaptado a personas con movilidad reducida,Balcón,Jardín,Superficie solar,Tipo de casa,Se aceptan mascotas,No se aceptan mascotas,Teléfono,Chimenea,Calle alumbrada,Urbanizado,Calle asfaltada,Luz
Piso en Chamberí,LARENA REAL ESTATE,10.475 €/m²,1.519.000 €,145 m²,28079,https://www.pisos.com/comprar/piso-trafalgar28010-50009370063_100500/,2024-12-12,Error al procesar consumo,Error al procesar emisiones,145 m²,3,3,Más de 50 años,,SA5745-00034/12224,,N/A,Gas natural,N/A,,Entre 60 y 80 €,,,,,,1ª,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Alcalde Sáinz de Baranda,DIPLOMATIC REAL ESTATE,9.510 €/m²,875.000 €,92 m²,28079,https://www.pisos.com/comprar/piso-nino_jesus28009-50048849038_996542/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,92 m²,2,2,Más de 50 años,En buen estado,996542-721-AM,Tarima flotante,Frío,Individual,N/A,85 m²,,N/A,,,,Norte,3ª,N/A,Completamente equipada,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en calle del Rutilo,INMOBILIARIA SAN FELIPE Y LACLOS SL,3.511 €/m²,295.000 €,84 m²,28079,https://www.pisos.com/comprar/piso-san_fermin-42545598662_100500/,2024-10-09,Error al procesar consumo,Error al procesar emisiones,84 m²,2,2,Entre 20 y 30 años,En buen estado,SA1625-1379,,Frío,N/A,N/A,74 m²,Entre 80 y 100 €,,,N/A,,,5ª,N/A,Cocina amueblada,,N/A,,,1,N/A,,,Propia,,,,,,,,,,,,,,,,,,
Piso en Vicálvaro,GLOBALPISO VICÁLVARO,3.571 €/m²,250.000 €,70 m²,28079,https://www.pisos.com/comprar/piso-palomeras_sureste28032-50886436286_105700/,2025-02-10,Error al procesar consumo,Error al procesar emisiones,70 m²,3,2,Más de 50 años,,GB22-VIC1184 PISO EN VENTA EN VICÁLVARO - CASCO HISTÓRI,,N/A,N/A,,,,,,,,-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Piso en Salamanca,"DIZA SOLUCIONES INMOBILIARIAS,S.L",12.383 €/m²,1.065.000 €,86 m²,28079,https://www.pisos.com/comprar/piso-goya28001-46712911160_100500/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,86 m²,2,2,,A estrenar,SA88-DS-P77166.,Tarima flotante,Frío,Gas natural,N/A,,Más de 100 €,,1,,,Este,1ª,N/A,Cocina americana,,,,N/A,,N/A,,,,,,,,N/A,,N/A,,,,,,,,,,,
Piso en Tetuán,Gilmar Castellana-Orense,8.910 €/m²,900.000 €,101 m²,28079,https://www.pisos.com/comprar/piso-centro_palacio28005-51738446769_102100/,2025-02-19,Error al procesar consumo,Error al procesar emisiones,101 m²,4,2,,,GM4-205778,,,,,,,,,,6,,,Exterior,,,,,,1,,,,,,,,,,,,,,,,,,,,,,
Piso en Embajadores-Lavapiés,TEAM JAVIER VILLALBA,4.285 €/m²,210.000 €,49 m²,28079,https://www.pisos.com/comprar/piso-centro_embajadores_lavapies28012-48420384297_101800/,2025-02-20,"E, E","E, E",49 m²,1,1,,,IF5563-PISO LAVAPIÉS Y3,,,Central,N/A,,,N/A,1,,,,Sótano,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ático en calle de Hortaleza,RINSA INVERSORES,6.104 €/m²,409.000 €,67 m²,28079,https://www.pisos.com/comprar/atico-justicia_chueca28004-51744888494_101800/,2025-02-05,Error al procesar consumo,Error al procesar emisiones,67 m²,2,1,Más de 50 años,,IF76036-11260,,,,,,,N/A,1,,,,5ª,,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chalet en La Florida,Gilmar Pozuelo-Aravaca,3.782 €/m²,2.950.000 €,780 m²,28079,https://www.pisos.com/comprar/chalet-fuencarral_el_pardo_el_pardo28023-35913624744_102100/,2025-02-20,Error al procesar consumo,Error al procesar emisiones,780 m²,5,5,,,GM31-186147,,,,,,,,,,,Sureste,,,,,,,,1,,,,N/A,,,,,,,,N/A,3.563 m²,,,,,,,,,
"Piso en calle de Rufino González, 59",PRYGESA,4.138 €/m²,269.000 €,65 m²,28079,https://www.pisos.com/comprar/piso-san_blas_simancas28037-4104667889_109700/,2024-12-18,Error al procesar consumo,Error al procesar emisiones,65 m²,1,1,,A estrenar,4992541-4026146529,,,,,,,,,,N/A,,3ª,,,,N/A,,,N/A,,,,,,,,,,,,,,,,,,,,,,
